
# The Grey Nato - Episode 10 - "Collection Inspection: Volume 1"
Published on Tue, 07 Jun 2016 08:58:03 -0400



## Synopsis
Jason and James each discuss a watch from their personal collections that they consider "keepers" - Jason's late 90s Rolex Submariner no-date 14060M, and James' Omega Seamaster Professional 300m 2254.50 "Swordhand" model. They talk about the history, details, and sentimental value behind these watches. They also respond to a question about recommendations for a dress watch in the $3,000-6,000 range for someone who primarily wears sport watches. For the hiking segment, Jason shares memorable hikes he's done including the Milford Track in New Zealand, the Enchanted Valley in Olympic National Park, and his wedding hike in Alaska, while James discusses local BC hikes like Joffre Lakes and seeing his first glacier. The show concludes with recommendations for the Gear Patrol magazine, car videos, and an article about Briggs Cunningham.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-10-collection-inspection)
- [episode MP3](https://www.buzzsprout.com/2049759/11311114-the-grey-nato-episode-10-collection-inspection-volume-1.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacy| Welcome to episode 10 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm James Stacy. |
|Jason Heaton|And I'm Jason Heaton. Today we're chatting about watches from our personal collections, dress watches for sport watch guys, best hikes, and more. Against all odds, we've made it to episode 10, and we want to say thank you to everyone who has listened, liked, replied, and emailed. |
|James Stacy| And we really appreciate all the support and the love for our first foray into double digits. We wanted to try something a little new. I mean, everything's still kind of new for this, but, uh, uh, you know, we wanted, uh, our main topic, uh, each of us have selected a watch from our own collection, something that we feel will probably stick. And, uh, we're going to kind of do a rolling collection review. So today we've each picked one watch and we'll, we'll select further watches in the future.  We're just gonna try and explain why we chose the watch initially, why we still have it, and why we think it's still interesting enough to remain in two collections that are kind of evolving all the time, just like, you know, probably most of you who are listening. |
|Jason Heaton|Yeah, it should be a fun show. James, why don't you kick it off? Which watch did you pick? |
|James Stacy|Yeah, so I picked what's arguably my first sort of foray into luxury watches. It's the Omega Seamaster Professional 300 meter. It's the 2254.50.  a.k.a. the Peter Blake, a.k.a. the last of the Swordhand Seamasters. So for those of you who can't picture the watch immediately, it's a 41mm steel dive watch with a black aluminum bezel, a sapphire crystal, it has their wave dial, so it has kind of a nicely detailed dial design, very simple painted markers, sword hands, big lume, uses Omega's 1120 movement, so this is before they went coax and then into the 8500 etc series. So this one is quite thin, it's based on an ETA 2892 and then modified by Omega. The 2254 came on a speedy style bracelet, but it could also be had on a bond bracelet, and at that point it would be called a 2054. I'm almost 95% sure of that. |
|Jason Heaton|The speedy bracelet, that's the one with, it has some thin sort of polished links in it, is that right? |
|James Stacy| Correct. So you have the Bond bracelet is a little bit chunkier and has these kind of two vertical lines on the side of each link in the center. And the Speedy bracelet's very much the more simple one. It's pulled directly off the Speedmaster Professional. And I think that's certainly it's the way that I like the watch, but I also think it is kind of the standard for people who like the look of these 1120 based Seamasters, which were typically very thin, and obviously came in like as Omegas want to do a litany of versions. So this is a watch I first liked only on aesthetics because I actually found it just as I got into watches. So a Google search that started with looking for a battery for like a Columbia field watch that I had been given ended with me learning that like watches had different movements and some didn't require batteries. And during that, you know, first few hours of learning about watches, I came across a picture of this black watch on a steel bracelet. And I remember thinking, like, that's awesome. I didn't know the brand Omega from anything else. I didn't know Seamaster. But I did save the picture to my desktop many, many years ago. And many, many years later, I bought one. And I've absolutely loved it since. I think it's a fantastic watch. I think it's a hallmark of an Omega that we don't have anymore, where Omega has gone upmarket to kind of directly throw blows with Rolex. This was an Omega that was a little bit more entry level, a little bit more accessible, ETA based, still very high quality, very reliable. Everything was made to a very high standard just as it still is. But the price point was different. They weren't in a world where they were necessarily having to consider all the other Swatch brands that exist.  Um, so they were just kind of balanced in their own right. And of course, uh, you know, Speedmasters have gotten more expensive over the years and it's no different with the Seamasters, especially as they produced the Planet Ocean and then they went to the 2500s and the 8500 movements and they went fully in-house. |
|Jason Heaton|Yeah. I think, I think that the 2254, it, it, uh, it was sort of, it sort of was a kind of a standard bearer for a certain era of Omega watches. And I think, like you said, it was sort of before they sort of blew up and kind of started really chasing Rolex pretty aggressively. I think it was one of those watches that represented such an incredible value, and it was a very unique, very Omega-esque watch. It had a high end, you know, nicely finished at a movement. It was thin. It just, it had, I don't know, I had one of those for a while too, and I just look back at that watch with a certain amount of fondness. |
|James Stacy|Yeah, it's really comfortable. It's great on the bracelet. Leather, it works beautifully on a NATO 20 millimeter, you know, turned lugs. I think it looks great.  The movement, as you said, is capable of excellent timekeeping, and I simply adore just the simple aesthetics of the watch. I think it's a very balanced design. It's certainly not, without its faults, the bezel's not good at all. I mean, the scale's fine and everything, but the actual gripping on the bezel is scalloped, and it's actually really difficult to grip when your hand and the bezel are dry, and it only gets worse when you move on from there. The action's fine. It's very tight. I've never had mine serviced or anything, but the, like, By the time they got to the Planet Ocean, they went with a normal coin edge, much grippier. Actually, the Planet Ocean has a nice lip on the bezel as well for added purchase. This doesn't have this, so you really find that you're slightly pushing down on the watch and trying to pinch it from two sides to turn the bezel. It's just not a great design. Aesthetically, I think it looks really good. This is, I think, right on the line of being a dress diver.  You know, it's a little bit strange to have a bezel that's not that functional and then you have a silly HEV valve. Yeah. Yeah. |
|Jason Heaton|So I think what's interesting is that it has that kind of, like you said, sort of a, I don't want to say non-functional, but a less than perfect dive bezel. And then you have this incredible, what I would consider one of their best dial hand combinations of any dive watch they've made, which is that those big beefy sword hands and those big, those really bright markers, um, It had the, does that one have the triangular 12 o'clock? |
|James Stacy|Yeah, it's like three times the size. Yeah. I mean, it's excellent. |
