
# The Grey NATO – Ep 100 – Hang Out With Us In NYC!
Published on Thu, 13 Feb 2020 06:00:20 -0500



## Synopsis
James Stacey and Jason Heaton celebrate the 100th episode of their podcast The Gray Nado. They reflect on the journey of the podcast over the past 4 years, from their initial meeting at Baselworld 2014 to starting the podcast in 2016. They express gratitude to their listeners and share plans for a celebratory meetup in New York City on March 18th. They also introduce a new format for listener Q&A, inviting listeners to record and submit voice memo questions. The episode is a lighthearted look back at their podcasting journey and an enthusiastic look ahead to the future.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-100-hang-out-with-us)
- [episode MP3](https://www.buzzsprout.com/2049759/11311020-the-grey-nato-ep-100-hang-out-with-us-in-nyc.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Gray Nado, a Houdinki podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 100. I've said this a hundred times with my co-host Jason Heaton, and we thank you for listening. We made it. Yeah. Amazing. We made it. |
|Jason Heaton|That's a hundred. I mean, it's, it's, it's incredible. You know, I was, Considering this this milestone and kind of the importance of it and you know, there's two ways to look at it It could be like New Year's Day where it's just another day another year passing But I think it's something worth pausing to kind of celebrate. |
|James Stacey|I agree I think it's worth acknowledging and you know, I didn't really know what we wanted to do We didn't want to do a bunch of fanfare. We didn't want to do a clip episode that would cost me 50 hours of my life and You know, play audio people had already heard and that's still very much available on our feed. So in the end, we're kind of just celebrating this milestone by taking the episode off. We're still doing an episode. We have a couple of things we want to talk to you about, specifically a hangout that's going to be happening in New York next month and kind of a new format for question and answers that we want to kind of trial out for the next few episodes and see how that goes.  For the most part, we wanted just to take a very brief chance to say thank you for listening, commenting, rating, sharing, emailing, Instagramming, everything else. We think that we only got here because people are listening and because so many of you have been so engaged and open to our mistakes and us learning how to make a podcast in general. And the kind of growth profile of the show has been in kind of big steps. And I think that it's kind of fun to take a moment and look back And then otherwise, in this case, as Heaton and I like to celebrate our successes, is just to kind of take a little bit of time to maybe lighten the schedule a little bit and enjoy the day. So instead of recording a big two hour episode, which is probably what we'll end up doing for 101, because we'll have a bunch to catch up on. This is a kind of a very quick, not too romantic look back at 99 previous episodes. And then, yeah, some kind of more functional news and requests on our part for some fun stuff. |
|Jason Heaton|So, yeah. So, you know, looking back, you know, you and I met, I think it was at like Baselworld 2014. Mike Pearson just sent us a photo of the two of us at the Bremont booth. So that was. |
|James Stacey|Yep. Yeah. Almost. Mike is our. He was our matchmaker. Mike in Bremont is our. Yeah, exactly. Mike was our matchmaker and we'll be forever grateful to Mike for that, for kind of making that connection, especially getting to meet in 2014 was kind of the starting of our friendship at a face to face level, certainly. And then We posted the first TGN, went up just after SIHH, February 2016. So we're almost exactly four years to, you know, we'll record this on the 12th of February. It'll go live on the 13th, 2020. And it's kind of fun to see, you know, it took us four years to get 100 episodes. We're doing roughly every other week. And, you know, we took a kind of hiatus in the 60s.  uh, to, uh, to kind of reassess and see if there was a way to take the show to a new level. And, uh, and, and certainly that was something that I feel like we succeeded. |
|Jason Heaton|Yeah. It's funny. It kind of would have been a neat format looking back and we're certainly not going to do it now, but, uh, calculate the number of, uh, cars or miles you've driven, how many, uh, hours of dive bottom time we've had, how many airline miles we've flown, you know, hours of recordings of recording, you know, for example, this is the second time we've done this episode because|
|James Stacey| every now and then a piece of equipment fails. And that's what happened. And luckily it was on an episode that's going to be more like 20 to 25 minutes long and not one that's two, two and a half hours long or something like that. Right. |
|Jason Heaton|I mean, we've, we've seen a lot of, a lot of changes over four years and a hundred episodes, you know, uh, career wise and, um, you know, watches we've acquired and sold and tried and places we've been and, um, puffy jackets we've owned and bags we've tried. |
|James Stacey|Yeah. And, and the funny thing is, is, is, There's different ways that I look at it. Sometimes I feel like TGN is just kind of another thing that I make. Yeah. And I'm lucky enough to get it, get to make it with you. But other times I see it as this kind of outlet for some of the pressure that builds up while I make other things. Yeah. Yeah. Because it is this distinctive singular piece of content. It's, it's audio, which I don't work in otherwise. Um, it's, I have to edit it, which I, you know, in other scenarios, like when I, when we do a week on the wrist or something with Hodinkee, I don't edit any of those files. I just have to sit in front of the camera.  try and say enough to give them enough meat to put a video together. In this case, it's something that you and I literally start with a blank Google Doc every two weeks and make a show. And for me, this is some of my proudest work because I think if I look back at what I would have loved when I was 20 and just getting into watches, it would be a show kind of like this. Maybe one that at times is more about watches and less about other things that I hadn't quite gotten into yet. But that's kind of like a live and let learn sort of scenario. You know, we cover our our topics kind of on a whim. If we want to talk about watches, I think we do. And we have. And if we want to talk about puffy jackets and Dopp kits, we do that, too. |
|Jason Heaton|So, yeah, I would agree with that. And I think there's something about doing audio that's very even though you do edit it and it's recorded, it feels very real time. And once you commit your voice to to this SD card and to the ether. Um, it's, they're kind of preserved with all of the emotion and the, the weather and the head cold you have or, or whatever it is. And, um, honks and the horns and the sirens. Yeah. I mean, and it's, it is, it's very different from anything else I do. Uh, you know, even though I'm still not a huge podcast consumer myself, it's really enjoyable to me because I think I grew up always kind of having this romantic notion of, of being some, something of like a late night, jazz disc jockey or something like that. I like the idea of talking into a microphone to sort of this anonymous audience out there. And so it's been it's been really kind of a fun, a fun and very different venue from from anything else I've ever done. |
|James Stacey|It's an interesting sort of medium because it is directly in your ears. And I think there's a time when I really didn't respect that. And oddly enough, I think in the process of us growing to the point where we could sell ads that weren't just copy read you know, use this promo code and then maybe we get some money like real advertising. Yeah. Once I got to that, I start to realize like, oh, well, when we transition from one thing to another, the tone or like the the the overall like context doesn't change that much. And it's a weird it's something that I feel like I'm learning to respect more and more as I hear it in other podcasts and as we try and produce it into ours. And and yeah, I think like largely what I'm saying is like, thank you so much to Jason, to you, obviously, for being a rock solid co-host and co-producer of the show, but also to everyone who's been like listening and providing constructive feedback and support and letting us know that we're not just shouting kind of out into a void or even producing something that people listen to for say five minutes and then shut off. It's kind of fun to feel like we have this big group of friends that are only an email away or if you happen to be in New York in March, Uh, you could be on the other side of a handshake, but it's a, it's a, a fun thing to have kind of seen these groups of people come together and it's, and you see it in the comments where it's not just people talking to you and I, but there's kind of a little circle of conversations that go around and it's this sort of ethos of like, we appreciating kind of nice things and amazing experiences, but really keeping it all hopefully in some sort of a perspective. And I think that perspective shifts from, from time. And certainly there's times where I think, we've presented things that are maybe too product focused or too consumerist. And then other times we go in the exact opposite direction. And I mean, it's a, it's very much been a learning experience, uh, for the two of us in, um, in speaking directly to an audience rather than speaking through a format like a webpage or, uh, uh, even a piece of print or something like that. |
|Jason Heaton|Yeah. And, and huge thanks to everybody that's been with us since, especially since the beginning. And there, there, there are a fair number of people that have listened since episode one and You know, it has been a real journey and I think we've had our hits and misses. We've had kind of dud episodes. We've had, um, you know, we've tried different sort of interview formats and, um, we've had some great, uh, interview subjects, Corey Richards, Nims Purja, you know, Rolf Studer, Paul Scherfield, et cetera. And, you know, we're going to continue to evolve that format. We've got some exciting, uh, interview subjects lined up or, or hopefully lined up for the future. But, you know, just thank you for everybody for, for kind of putting up with,|
