
# The Grey NATO - Ep 101 - A Proper Q And A Megasode
Published on Thu, 27 Feb 2020 06:00:20 -0500



## Synopsis
This episode featured a Q&A format where listeners submitted audio questions on various topics related to watches, diving, gear, and lifestyle. Questions covered sapphire bezels, being content with one's collection, dry suits for diving, pilot watches, everyday carry items like knives and wallets, watch servicing intervals, exploring one's existing collection, and more. The hosts provided insightful answers drawing from their personal experiences and expertise.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-101-a-proper-q-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11311019-the-grey-nato-ep-101-a-proper-q-and-a-megasode.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey (co-host)| Hello and welcome to another episode of the Graynado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 101, and it's proudly brought to you by Alps and Meters. I am of course joined with my co-host Jason Heaton. Jason, how you doing? Great. |
|Jason Heaton (co-host)|Yeah, doing really well here. Kind of getting a little, winter's getting a little long now. Kind of ready for Ready for something new, but you know, holding, holding my own. |
|James Stacey (co-host)|Yeah. I'm, I'm very much over winter. I was in New York for a little while before this recording and over the weekend, Sunday was just, or Sunday or Monday, the long weekend was just this gorgeous sunny day that like was very much like a spring sort of day. And I was like, I need this to come back. But I mean, we are most of our way to March. So that is what it is. But I got home to Toronto and it's, it's chilly. |
|Jason Heaton (co-host)|Yeah. Yeah.  I mean, it's been a good winter. We've had decent snow and we've gotten a bit of skiing in and plenty of sunshine, which is always nice. But yeah, it's time. It's time to move on. Ready to get on the bike and do some hiking and kind of get outside a bit. |
|James Stacey (co-host)|Yeah, I want to take the top off the Jeep. Definitely want to do a little bit of hiking, some camping, some stuff I'm pretty insanely excited about for the cleaner weather, if we'll say. |
|Jason Heaton (co-host)|Yeah. Are you going to go full topless in the Jeep? Are you going to take the whole thing off, do you think? |
|James Stacey (co-host)|You know, I have the I won't go too deep into this. I have the Jeep or the one that I bought has both tops. Yeah. So I have a black soft rider, sun rider, whatever they're called. And when I bought it, it had several pieces in cardboard boxes and Ziploc bags. So, yes, I would like to at least try one summer with the soft top on. Yeah. And the ability to put it down. But, you know, when I'm out driving, I'm often with my kids. They are two of the palest little girls.  you would come across. So I don't know how much sun time they actually need while we're driving around. But the other thing is, is I'll need to find on one of the Jeep forums, I'm sure it exists, some sort of manifest. Yeah. So that I know that I have all the little bits. Oh, sure. Before before I take apart a pristine and from what I can tell, never removed from the vehicle, you know, painted hardtop. Yeah, right. But but I think definitely for the for the for the the opening season of spring and summer, I'll just use the, those freedom panels, the two panels just above the driver that pop off, uh, no sunburns for, uh, for the little ones. And, and I can take those off in just a couple of minutes. And if it starts to rain, it's just a couple more minutes to put them back on. |
|Unknown|Oh, cool. |
|Jason Heaton (co-host)|When I, I had an old Jeep with a soft top many years ago and, and I remembered that the top was a bit of a puzzle. It was, uh, slightly, slightly easier than building the Lego defender, but, uh, it was a bit of a, bit of a puzzle. So that'll be a good afternoon project for you. |
|James Stacey (co-host)| Yeah, the YouTube videos I've looked at say that it's a lot harder than you could possibly imagine your first time. And they basically said, like, you need to find someone else who has done this. Or like watch a video where just the just the videos describing how to do it in order is like it's like 50 minutes. So like you have to imagine this will take me several hours the first time I do it. So I'll pick a weekend with like really good weather where like once the panels are off and packaged correctly, I can yeah.  I can deal with the fact that I won't have a roof for the next six hours or however long it takes. But yeah, I think it'd be kind of fun. As long as I have all the pieces, I'm excited to do it because I know that is sort of a modular approach to the system. And I think, you know, kids will get a kick out of it. But yeah, that and some camping. I mean, the easy stuff. |
|Jason Heaton (co-host)|Yeah. So, I mean, last episode, 100, was obviously our big milestone episode. And we announced our big event in New York on March 18th, which we've got a lot of great response from people on social media and, uh, I've got a lot of DMS about it and certainly, uh, in the comments on, on Hodinkee and elsewhere. But, you know, just, just a reminder to everybody to stay tuned for an RSVP signup on Hodinkee and probably coming in a week or two. |
|James Stacey (co-host)|Yeah, I can, I can fill in a little bit of a blank there for people. So I did get some messages about this. If you're, if you're planning on traveling an extensive distance or like where you would be booking flights or, or, um, accommodations or both.  drop me a line to thegraynadoatgmail.com. Just let me know. A couple people were kind enough to do that. The RSVP is like very much within our control. So if it's a scenario where you're going to a really considerable extent to be able to hang out, you know, on the 18th with us, then we want to make sure that you don't go to that level of trouble and then not be able to join in. So just let me know. Give me a heads up so I can kind of manage that. I would expect the RSVP to go up just a few days before the event. This is something that Hodinkee's learned really well, like how to fine tune when these things go up so that the people who RSVP actually show up. Because there's a huge contention of people who just live in New York and will go to these events, whether they're from us or Analog Shift or whatever. Yeah, right. But in our case, because there are some people who are going to fly in and because this isn't something we do that often, we want to make sure that this is something that we can get all interested parties within reason to, to, uh, you know, come hang out. So if you're, if you're in a scenario where you might be making a little vacation out of it and you want to tie the 18th into that, just, you know, drop me a line. Uh, let me know. I want to make sure that people get what they need. And if you end up trying to get on the RSVP and you're external to New York and we're planning to travel in and it doesn't work out also let me know. I, you know, I don't think people will stay necessarily for the whole amount of time.  And we've got room for, I would say, a considerable number of people. So unless the response is much more than we could have expected, I think everything should be fine as far as RSVPs. But we're insanely excited for that and looking forward to just kind of hanging out. It's going to be really chill. We're not doing any special presentations. I don't think we're going to do any giveaways or anything like that. We just kind of wanted to Hang out. See you guys, you know, say thank you for listening for a hundred. Anyone who can come out and hopefully we can kind of do the same thing in a couple other cities, you know, throughout the year. |
|Jason Heaton (co-host)|Yeah. Yeah. I'm really excited for that. I'm just excited to come to New York. It's been since last fall and we'll get to hang on. I'm sure we'll record an episode and get some good Thai food, meet some people, get some Thai food. Yeah, it'll be fun. Just before we jump into the main topic, I just wanted to mention I I'd written this article recently on Houdinki about not buying my 50th birthday watch. And, you know, a hugely|
|James Stacey (co-host)| popular article. |
|Jason Heaton (co-host)|Yeah, and that's why I wanted to bring it up here. Well done. Certainly, thank you. I don't want to, you know, be here promoting my story here, but I did want to just acknowledge the overwhelming response that I've gotten from people on the comments and on social media and all the early birthday wishes. My birthday's in April. And, you know, I've sort of shot myself in the foot now. I don't think I can actually buy another watch without being scrutinized by people.  But it was a fun piece and I just want to acknowledge all the great comments and the well wishes and thank everybody for the feedback on that. So that's all I'll say about it. You can check it out on Hodinkee. But yeah, it was a fun one to write. |
|James Stacey (co-host)|Yeah, I think it's a great thing. I also think it's one of those angles that's missing from the sort of overall scope of Hodinkee. It's just kind of these open-ended editorial opinion pieces, personal, like you know, not necessarily about a product. In this case, this is about a watch, but not necessarily a product. And I think it's something that I hope that the response to that will spur other editors to kind of drop in their experiences with a watch over the past decade. Or, you know, I wrote that piece about my first little Timex. People love these kinds of stories.  I mean, it's the stuff that I want to read, you know, like, like, don't get me wrong. I like an introducing post as much as the next guy, but they're also, they take a minute and a half to kind of absorb. And there's no real like cultural connection to watch enthusiasm or to getting into this hobby or that sort of thing. And I think these things that speak more to the passion and the kind of ridiculous love of these, these products and these items versus the product and where they stand in the market. But I think we need both sides. But I was just happy to see that, you know, when you pop up on the site, you often get these great responses. And it's because you connect with things just that are kind of encircling the, yeah, the kind of like core product concerns or branding concerns. Yeah. And I think it was fun. I really enjoyed the post a lot. And certainly the response from within the Hodinkee team was huge. And then we saw this kind of explosion of comments as well, which is very supportive. I'm glad to see that fun stuff, fun stuff gets loved. Yeah. |
|Jason Heaton (co-host)|And I think the, the neat comments were, were, there were several that said, you know, this is very TGN and, and, uh, I, I couldn't agree more. I mean, it was, uh, it came from the heart and I think it really spoke to kind of what, what we're all about here on the, on the podcast. So absolutely. Yeah. So, um, without further ado, maybe we, we jump into kind of the bulk of the show, our main topic here, which is, uh, Q&A episode you had mentioned on the last show James that We've got a new format. |
