
# The Grey NATO - Ep 102 - Desert Island Picks (And The Meetup Has Been Postponed. Sorry)
Published on Thu, 12 Mar 2020 06:00:00 -0400



## Synopsis
This episode discusses items James and Jason would take with them if stranded alone or in self-quarantine, such as music albums, books, watches, luxury items, essential tools, food, clothing, and tech items. Their choices reflect a love of adventure literature, jazz, and practical yet cherished objects that could provide utility, comfort, and memories in isolation. The conversational tone conveys their shared interests and friendship.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-102-desert-island-picks)
- [episode MP3](https://www.buzzsprout.com/2049759/11311018-the-grey-nato-ep-102-desert-island-picks-and-the-meetup-has-been-postponed-sorry.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hey everyone, James actually just cutting in here with an editor's note as we've had some kind of late term news that came in after we recorded episode 102. The hangout on March 18th has been postponed. We will not be doing the hangout. We will not be posting an RSVP. We are not comfortable with the general conditions around coronavirus and we're certainly not comfortable with putting any of you at risk or any of your families at risk.  just to come and attend kind of a hangout with a couple of podcast hosts. So like everyone else is saying, due to an abundance of caution, which I think is what this is, we're not going to be doing an event on the 18th. We will be postponing it to a later date when the public health climate is in a more stable condition. And yeah, sorry that it worked out this way, but we really don't want anyone to get sick. So we'll see you as soon as we can, but it won't be on March 18th. Let's get back to the show.  Hello and welcome to another episode of the GrayNado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 102, and we thank you for listening. Jason, how are you doing? |
|Jason Heaton from Toronto|Pretty good. Yeah, if I'm a little nasally, I apologize. It's that time of year as we've discussed, and I've got a bit of congestion, but I'll soldier through. |
|James Stacey|Yeah, I've been on both sides of that battle this year already. I had a pretty bad go.  Uh, you know, about 10 days ago. Um, and I still have a little bit of the congestion and that sort of stuff. So apologies from both Toronto and Minneapolis, uh, as, as we take care of this, but, uh, it's that time of year. So yeah, you gotta, you gotta take what you can get. And I think you sound pretty good from this side anyways. |
|Jason Heaton from Toronto|These are weird days, very strange days. I mean, the Bond film got postponed and Baselworld got canceled and just strange stuff. |
|James Stacey|Literally as we're recording this, I, uh, would have been in Tokyo. Oh, right. So this would have been I was going to Japan to to photograph all of the new launches from Grand Seiko, many of which are already on the Houdinki website. And you can take a look. There's some really cool stuff from them. But they were doing their own sort of Japanese local version of Baselworld because they weren't going to Baselworld before Baselworld 2020 wasn't going to happen anyways. And and then just kind of as these things started to ramp up with coronavirus and the rest of this, they pulled the plug on the trip and the entire event. And it'll be redone at a later date, probably in New York. But those of you who have been listening to the show for a long time know that Japan's absolutely number one on my list. And these days when I have actual quote unquote vacation time, I spend it with my family and I'm probably not going to take two kids under six to Tokyo with me the first time. So this was going to be my chance to get to Tokyo, and I had extended the stay by about a week. So it would have been three or four days of work and about six days of touring around. I had hopes of seeing Osaka and Kyoto and eating all the ramen that the world has to offer. But these things didn't work out that way. I made it up to myself this past week with a little trip to a cabin.  We were just kind of hung out and put logs in a wood-burning stove and ate candy. It was pretty good. I think I needed it. I guess it's pretty common, but you get that kind of burnout feeling. I think, Jason, you're a lot better at this than I am, just knowing that there's a phase. There's times when you phase 100% into work and there's times where you back off and you go skiing or to a cabin.  just read a book for a couple of days or something like that. And it's something I'm kind of learning is that I have to, I have to move, I have to vacillate between the two. Otherwise one really eats the other. Yeah. Yeah. Uh, which is, uh, which is something to kind of figuring out, but it was, it was nice to have some time to just kind of do nothing, you know, wasn't too concerned with email. I only did, you know, maybe one Instagram post and, uh, and just kind of took it easy and, and, and, you know, really took a break from most of the inputs in my life. |
|Jason Heaton from Toronto|Yeah. Yeah. It sounds great. I mean, uh, you know, I think we exchanged a handful of Slack messages to kind of arrange a time to record this week. But, uh, other than that, yeah, it's, it's good. It's good to unplug. I think it's just so healthy. We're, we're heading up North, uh, actually. Um, well, I guess by the time this episode airs, we'll be back, but we're leaving in a couple of days to go way up North where there's still some winter to do a little last ski outing. Um, which.  I don't know, it feels a little smug. It's going to push 60 degrees Fahrenheit here this weekend, which is really incredibly warm for this time of year. And so all the snow is pretty well gone already. So I'm kind of looking forward to a last gasp of winter and then embrace the warm weather fully, which I'm quite ready for. |
|James Stacey|Yeah, I'm over winter pretty strongly. I do like it from inside looking out.  I'm a little over the snow shoveling and the way that people drive when there's a little bit of snow happening. And we had a couple of really lovely days here, and then all of a sudden, as we're recording this, it's snowing quite hard in Toronto. Wow. So, you know, well into full spring. |
|Jason Heaton from Toronto|Yeah. Speaking of, our Q&A episode that we did for Episode 101 was a huge success. We got great feedback, both from email and in the comments on Hodinkee and, you know, DMs on Instagram.  So, you know, thanks for everybody that, that sent those voice memos in and definitely keep those coming. We've got another crop that's growing in our inbox and we'll certainly do another Q and A episode, you know, not probably not episode 103, but you know, who knows. And then once we have a good load of them, we'll, we'll do that all over again. It was great. |
|James Stacey|Yep. By all means, keep, please keep the messages coming 30 to 60 seconds, your name, where you're from.  And your question, we look forward to doing another episode. And we thank everyone for giving these episodes a try, because, you know, it is kind of a new thing. And as it turns out, it's probably one of our most popular episodes of the recent, you know, crop. And I'm just happy to see that, you know, people kind of attached to it and enjoyed it. I like having more voices on the show. And I think this is a fun way to keep the talk, you know, kind of within our community. And I think we're already going to see things where we'll get questions that you and I answer one way, and then we get an email with a whole different answer, which is fun and all that kind of stuff. |
|Jason Heaton from Toronto|Well, I say we jump into the main topic. We kind of were batting around ideas for today's topic and thought with the current state of affairs in the world with people quarantining, either self-quarantining or being stuck on a cruise ship or something, we thought we would, I don't want to say have a little fun with it, but it made for a good topic to talk about.  what we're terming sort of a desert island EDC or desert island TGN or whatever you want to call it, where if either of us or both of us are stranded on a desert island or somewhere remote, like a cabin, um, what would we take along with us? And we established a few categories to, uh, kind of launch the discussion and discuss. So why don't, why don't we kick it off with, uh, with music?  Um, you know, there's that show on the BBC that I think I've mentioned in the past called Desert Island Discs, which was kind of the inspiration for this, where they interview famous people and they've done this since like the 1950s. Um, and they asked them to pick, I think, five records or compact discs or whatever they're up to now, songs that they would take along if they were stranded somewhere. And so kind of in honor of that, we thought we'd kick it off with a piece of music. Um, this would be like an, I guess an album.  Right? I mean, you don't want to just have one song. |
|James Stacey|Yeah. I think it's going to be an album. It's, and it's hard to pick one. Um, but I do think, I think, I think like the idea of an album, it's similar to a book. It's theoretically, it's a singular story or an arc of some sort of a tone. And, uh, and yeah, so, uh, what did you, if you're, so let's say we're not saying you're stranded, we're saying like, maybe you're, we're, let's say you're in a position where you would like to be alone or mostly alone for a week or whatever.  What are you taking with you? So maybe this is a self quarantine or really just what I would call a reclusive spell. Yeah. I often do these, you know, two or three days a month in my home and I usually just don't leave my bed is the easiest way. So it's whatever I could possibly put on the bed next to me or on a table or something like that. So in that scenario, what kind of music are you reaching for, Jason? |
|Jason Heaton from Toronto|Yeah. So, you know, I've been a jazz fan since high school and kind of, I think the greatest jazz album of all time is Kind of Blue by Miles Davis. And it's a bit of a cliche. You hear the songs from this album in cafes and movie soundtracks and that sort of thing. But it's an album that I just never tire of. It has a subtlety to it and just a very calming effect that I've loved for the better part of my life at this point.  very seminal piece of work by Miles Davis. He kind of launched the whole cool jazz movement with this album back in 1959. And to me, it just, it has such a weight to it. It has such a depth to it that conjures up so many kind of memories and feelings from, from all the years that I've been listening to this. And I, I also chose it because, you know, certainly I've got favorite artists that are singers and songwriters.  You know, Sting, The Police, Gordon Lightfoot, you know, a number of these. But for some reason I wanted to choose something that didn't have lyrics. Something I wouldn't be singing along to because I guess being stuck in sort of a reclusive setting I might be doing other things. Repetitive lyrics for an extended period of time might get a little bit maddening, I guess, for me. So I chose something that is just purely instrumental. |
