
# The Grey NATO – Ep 104 – Isolation Tapes // TGN Bookclub
Published on Thu, 26 Mar 2020 06:00:20 -0400



## Synopsis
Jason Heaton and James Stacey discuss their recent experiences during isolation, including household projects and outdoor activities they've been able to do. They share the watches they're wearing - Jason with a vintage Doxa and James with a Rolex Explorer II. The main segment is a "book club" where each recommends three books: Jason suggests The Snow Leopard by Peter Mathiessen, The Perfect Storm by Sebastian Junger, and Eiger Dreams by Jon Krakauer. James recommends No Shortcuts to the Top by Ed Viesturs, The Obstacle is the Way by Ryan Holiday, and Mad, Bad, and Dangerous to Know by Ranulph Fiennes. They also plug the Hodinkee Shop and smaller watch brands like Monta and Everest. For "homework", Jason suggests going on a photo hike around the neighborhood, while James recommends listening to a full album start-to-finish with intent.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-104-isolation-tapes)
- [episode MP3](https://www.buzzsprout.com/2049759/11311016-the-grey-nato-ep-104-isolation-tapes-tgn-bookclub.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 104, and we thank you for listening. This is also volume two of our weekly isolation tapes that we're doing. And a quick note up top is that this episode is kindly brought to you by our friends and colleagues over at the Hodinkee shop, and we will talk about them a little bit later.  James, how's it going up there? Isolating there in Toronto? |
|James Stacey|Yeah, you know, it's okay. The weather's kind of all over the map the last few days. But otherwise, getting to a few household projects I've put off, well, as long as I've lived here. And yeah, other than that, just kind of staying in the mix. You know, our work can be done very easily from bed or a couch as it can, you know, an airplane or otherwise. And I haven't felt too stir-crazy yet. So, you know, all told, really positive.  And I think a lot of that comes down to, um, the response we've had from listeners and other people offering support. Uh, so yeah, I think we're all into this together and so far it seems to be going roughly. Okay. |
|Jason Heaton|Yeah. Yeah. We got good, good feedback on the, on the weekly episodes and, uh, our work from home episode, um, seemed to be well received as well. So I'm real pleased about that. We, this, uh, improve improving weather has really made a difference here too. I mean, we've had up and down, we had snow on the ground yesterday morning, which quickly melted and, and, uh, Kashani and I went for a walk in the afternoon and it was close to 50 Fahrenheit. So, you know, it's, uh, we're getting there slowly. Can't wait to get the bike out and get a little more exercise, but, uh, well, inquiring, inquiring ones. |
|James Stacey|I don't want to waste any more time, Jason. I don't want to waste any more time. Uh, inquiring minds want to know what is the Land Rover fog light scenario? How many lights now light up on the front of that? |
|Jason Heaton|We have four lights. We have four, two headlamps and two, two functioning fog lamps. Yeah. I feel very proud of that. I, uh, awesome.  as a bit of an all thumbs kind of shade tree mechanic. It was a good triumph last week. And it turns out, as many have told me, and especially those with longer histories with Land Rovers than myself, when in doubt it is almost always a bad ground. And indeed, that's what it was. My non-functioning headlamp was the result of a severed ground wire that comes out of the back of the the headlamp and goes to a ground spot on the frame. And then I must have, maybe I just didn't ground the, the fog lamps correctly. So I just, I went through all the wiring again and I just regrounded it, uh, moved some ground wires to different locations and, and man, was that satisfying to flick the switch and have all four lights come on. So, um, the, the irony is I do very little night driving in general and even less with the Land Rover, um, simply because, I don't know. I mean, we're getting longer days here. I mean, it's light till 730. So there's just isn't a lot of after after dark driving, but I did manage a dusk drive. And boy, did that make a difference, though, the OEM headlamps on that truck are pretty, pretty yellow and dim and pathetic. And this really made a difference to have four good, good lights burning away there. I like it. That's awesome. Yeah, really, really pleased with that. So and as somebody said, it's good to be well grounded. And I agree. So yeah, I've got I've got another lot of other little fiddly rover tasks that I can do out here in the driveway and still maintain my responsible citizen, isolated citizen status here. You know, little, little bits and bobs that I can do. So I'll trickle that out and give updates on future episodes. So there you go. Yeah. |
|James Stacey|All's well there. Yeah.  I got not so much a rude awakening as much as a suggestion of priorities from Amazon. I had a handful of, I'm gonna be honest, not really upgrades if you wanna call them, but just things to tack on to the Jeep that I was mostly going for just to learn, learn how to do the wiring, learn how to deal with this new vehicle and that sort of thing. And then Amazon changed their thing, so the non-essential items such as LED bulbs for the interior of my truck now are the better part of a month away. So that's okay. A nice lesson from Amazon. It made me think of Kevin Rose always had this thing where he said he wouldn't buy anything immediately on Amazon, he'd put it in his cart. Yeah.  but it had to sit there for more than 24 hours. And he said that cut him off of buying a lot of stuff that he didn't actually require. Yeah. Because the need or the want may only present once. Right. And that's probably the case here. I probably don't need more things. I mostly just wanted the project, I think, more than the actual item. Yeah. So yeah, maybe there might be a few mechanical things I could work on the Jeep. I need to learn about the the functionality of the parking brake, as this one won't hold itself alone on the hill, which is apparently from internet searches super common with these Jeeps. So I leave it in gear, obviously, but I should be able to find a way to make that. I do understand the basic structure for most vehicles, but there's a weird sort of cam system in the handle. |
|Jason Heaton|Yeah. |
|James Stacey| or next to the handle. So it's not really a direct connection to the line itself. Yeah. It's a weird thing with a big circular spring. If I pull the interior apart successfully, I'll take a picture and put it up. So that's probably the next thing. And that way, there's probably not even any parts. I might have to manufacture a little bracket or something to fix that. I've seen some solutions online. |
|Jason Heaton| Yeah. YouTube is so great for, for learning about this kind of stuff. We talked about this last time, but it's been such a savior. And, um, you know, like you're right. I mean, there are a lot of little fiddly things, improvements and fixes you can do without having to buy stuff. But I find myself, um, even needing the smallest things, you know, like there's a bit of a corroded fastener that holds the rear bench seat on and the Land Rover. And it's like, somebody suggested, Oh, you should add some, some rubber washers that'll isolate the steel bolt from the aluminum Tub so that which is smart, you know corrosion like okay. Well, I I don't have any rubber washers So like this like 10 cent object like i'm gonna need that from somewhere, but you know, i'm kind of stuck without it So we'll we'll see how that goes. But uh, yeah if speaking of parking brakes That was actually the very first repair I had to do on the land rover is I parked in front of my house like the week I got it Then I went out to go meet somebody for coffee one morning and I could not get it on Sorry, I could not get it released. And, you know, it's like, oh, what a pain, you know? So I started researching, called a friend, et cetera. And, you know, fortunately underneath the seats of this thing, which are very, just come right out, you can lift these panels off and basically the drivetrain is exposed. And the Land Rover doesn't use a cable that actually pulls tight on shoes that actuate the rear brake or anything like that. It's actually a mechanical linkage that actually pulls, closes two shoes around the drive shaft.  The actual driveshaft out of the back of the engine and it clamps onto that. Wow. Um, yeah, it's really weird. And what I had done is I had pulled up on the parking brake too much, you know, like you do, you just crank on it. Um, and with cars that have like a cable, the cable starts to slacken and you have to pull it harder and harder. And I thought, well, that probably should just give it a good, good pull. And I had pulled it too much. And this sort of ratchet got just wedged up too high and I couldn't get I couldn't release it. And so all I had to do was kind of loosen, take the seats out and just sort of loosen this bolt to kind of loosen it up. But good, good lesson learned. Now, you know, if anybody else drives it or parks it, I'm like, you know, just be careful with the parking brake. Uh, so yeah. Yeah. |
