
# The Grey NATO - Ep 105 - The Isolation Tapes // More Q and A
Published on Thu, 02 Apr 2020 06:00:12 -0400



## Synopsis
This episode features a Q&A segment where Jason Heaton and James Stacey answer questions submitted by listeners via voice memos. Topics covered include advice on next watch purchases, water resistance concerns, timing watch accuracy, wearing expensive watches, working from home tips, adventure travel memories, watch photography tips, changing watch straps, and more. The hosts also discuss new projects like a photography grant, Heaton's novel, and rearranging living spaces during quarantine. They highlight small businesses to support and share final notes on recipes, rearranging rooms, watch straps, coffee routines, and the history of the SR-71 Blackbird.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-105-the-isolation-tapes)
- [episode MP3](https://www.buzzsprout.com/2049759/11311015-the-grey-nato-ep-105-the-isolation-tapes-more-q-and-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey (co-host)| Hello and welcome to another episode of The Gray Nato, a Hodinkee podcast. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 105, and we thank you for listening. And a quick note up top, this episode is kindly brought to you by our friends and colleagues at The Hodinkee Shop, and we'll get to this a little bit later, but if you want to support the show, you can do so actively by supporting The Hodinkee Shop at shop.hodinkee.com.  Jason, how's it going? |
|Jason Heaton (co-host)|Oh, holding my own here. Yeah. How about you? The weather's getting better, which, which, uh, which helps. |
|James Stacey (co-host)|Um, yeah, we've had a couple of rainy days here, but, uh, luckily not freezing. We're not seeing snow, that sort of thing. |
|Jason Heaton (co-host)|So, yeah. Yeah. I finally got out on the bike yesterday, um, for the first time this year, popped up the tires, uh, lubed the chain and, and, uh, Ghoshani and I got out for, for a little spin, um, which, which felt good.  I'm getting a little bit of cabin fever just in terms of like if you want a change of scenery and that sort of thing. So far, you know, I really can't complain. I mean, there are a lot of people in worse situations and so I feel pretty fortunate and we get to do this every week, which is a lot of fun. |
|James Stacey (co-host)|This has definitely been a blessing for me and I get the same thing where like you're just kind of like I'd like some different air, maybe a different backdrop. I don't have a bike to hop on and I wouldn't actually, you know, you'd have to go some, you do have to go some distance where I am to feel like you're anywhere else. Oh, sure. Uh, so that, that's a couple of times I've jumped in the, in the Jeep and, and just gone, you know, an hour in one direction and found a dirt road and snapped a photo and then turned around and came back. Yeah. Uh, it seems, seems safe enough as far as the whole, uh, practice of social distance, distancing and everything else. |
|Jason Heaton (co-host)|Yeah. Yeah. I found that, uh, getting, you mentioned the dirt road and I do find that, Uh, these little small mercies of, of getting into the woods helps just even getting among trees. Uh, you know, we, we live in the city and, um, we have a little back garden here, but you know, to, to even drive a little ways and, and just walk and watch squirrels run around and listen to birds. It's that time of year anyway, so. For sure. Squirrels are everywhere. Really helps. Yeah, seriously. |
|James Stacey (co-host)|I've got one that keeps trying to break into my house. Oh no.  Oh, if I leave the he's a couple times he's muscled his way up to the window in my bedroom. Oh my god, you got you got to kind of chase him. He's kind of a crazy looking squirrel. Not as bad as what Ted Gushue is dealing with. If you follow him on on Instagram, he's got a couple of geese, some sort of special goose has, or a group of them have taken up pecking at all of his windows, including a skylight as of today. |
|Jason Heaton (co-host)|Oh my gosh. |
|James Stacey (co-host)| I can't imagine. It's something else. Ted, we feel for you. I hope those birds move on to somebody else's houseboat. That sucks, though. Oh, man. |
|Jason Heaton (co-host)|Yeah, I'm still trying to do a weekly Land Rover project here. You know, last we talked, it was the fog lamps. And most recently, this past week, I took out this particular vehicle as two sort of longitudinally oriented bench seats at the back.  There's this phenomenon with these because they have an aluminum tub sitting on a steel frame. Any steel fasteners that go through the aluminum tend to get this what's called galvanic corrosion. And it sort of enlarged the hole where the bolts were going through holding the bench in. So I actually removed the bench. I had to grind off one of the bolts and sort of sanded that down, covered it up with some Gorilla Tape, and then glued down. I have some sort of padded rubber matting that you find in like these industrial settings for leg, foot fatigue, you know, like in, um, and so I, I, uh, put some of that down with an adhesive and it works really well. It looks good. And, uh, no more dangerous bench. I was worried that if someone sat there, they'd literally fall through the bottom of the truck. So, yeah, that was this week's project. Fairly unglamorous, but, uh, yeah, it's good. |
