
# The Grey NATO - Ep 106 - The Isolation Tapes // A Refreshing Watch
Published on Thu, 09 Apr 2020 06:00:23 -0400



## Synopsis
In this episode, Jason and James discuss various ways to reignite their interest and passion for watches during the isolation period. They talk about affordable and quirky watch options from brands like Seiko, Casio, Orient, and CWC that can serve as "watch refreshers." They also suggest trying watch modding, collecting a specific niche of watches, getting into desk clocks, or taking up new hobbies like writing or planting a small indoor garden. The goal is to find activities that provide a mental break from the monotony of isolation while still engaging their love for watches and gear.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-106-the-isolation-tapes)
- [episode MP3](https://www.buzzsprout.com/2049759/11311014-the-grey-nato-ep-106-the-isolation-tapes-a-refreshing-watch.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, a Hodinkee podcast. A loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 106, and we thank you for listening. A quick note up top, this episode is kindly brought to you once again by our friends and colleagues at the Hodinkee shop, and we'll be chatting about them a little bit later. James, how's it going this week? |
|James| Good, man. How are you? Nice to hear your voice. |
|Jason Heaton|Yeah. Yeah. This has become kind of a weekly thing that I'm looking forward to. We don't really talk the rest of the week. We certainly chat a lot on Slack. But this is... Yeah. You're one of the few people outside of my wife that I actually speak with regularly. |
|James|Yeah. Yeah. I know. I know what you mean. You know, there's a lot. There's a lot more kind of conference calls and that sort of stuff with Hodinkee. Yeah. But this is definitely a call that I look forward to. You know, it's on literally on our terms and Uh, we haven't, we haven't quite gotten to the point of, um, of, uh, you know, zoom calls just to hang out. Um, you know, I think we do, we do pretty, like we've mentioned before, we do pretty well in this, uh, relative mode of isolation. Um, I know that you, um, you actually did get out of the house this week. How was, how'd that work out? |
|Jason Heaton|Oh, it was great. You know, we've had this kind of up and down weather one day warm, one day cold and cloudy, and now we're back to cloudy today. But last weekend was the timing was perfect. It was spectacularly, sunny and reasonably warm. And Ghoshani and I went out for a hike. There's a regional park, a 20,000 acre regional park, just about 20 minutes south of us. And we drove down there and there, there were a lot of cars in the parking lot cause I think everybody had a similar idea, but, um, we kind of aimed for the, the more muddy trails that are back in the woods. And we hardly saw anybody, um, except a few dog walkers, but we went for a good five mile hike and, um, you know, just saw birds and deer and we kind of were looking for mushrooms, although I think it's a little early, a little too early here. There was still some snow in the, in the shady patches, but man, it was, it was just so therapeutic. We went for a long bike ride on Sunday as well, but boy, that, that hike on Saturday was just what the doctor ordered. And I think we're going to do the same this weekend. Maybe I'll take a film camera out and make a bit of a project out of it. But it was, it was, it was really nice to get out in the woods. You know, we, we go for walks around the neighborhood, but it's, yeah, nice to get off the pavement and just kind of be among the trees. You forget about everything that's going on. |
|James|So it was, yeah, I'm lucky. I live near a pretty big park in Toronto. Um, so we can, we can go through stroll there, but again, you know, there's a lot of people out and they've, they actually got to the part where they've essentially closed off the, the driving road. There's like a road that laps through the park and they've closed it cause there's so many people coming on the weekends.  Yeah. And kind of filling the park and hanging out in the grass and the picnic tables. And now that's essentially illegal in Toronto. And they've got kind of people telling you, you can't get out and do that. And they're kind of saying like, if you want to go for a run, you want to go for a walk, obviously this is fine. Keep your company to those that you already live with, which is obviously smart. And then Other than that, you know, I thought I could probably do something similar to what you just suggested, which is, you know, visit a conservation area or like kind of a, an out of the city park, uh, and went for a drive last weekend to what I thought was a fairly remote choice. And it was, uh, like barricaded and chained up, fully closed down. So I get it. They don't, you know, they don't want to encourage people. Um, Toronto is not really the kind of thing where you'd have crown land.  It's not like being in BC where you could go a certain distance and you're so far from people that you could just get out and walk or go for a hike or something. You kind of have to stick to things like provincial parks and that sort of thing. So yeah, there's not a lot of outside activities going on. The weather looks quite nice today, so I might get out for yet another walk around my neighborhood. I'm growing tired of looking at the same houses. Maybe the key is to, you know, drive to another neighborhood and walk around there for a while. I'm not sure. |
|Jason Heaton|Yeah. I mean, I hate to rub it in, but thinking back to my visit to Vancouver, I can't imagine, you know, certain people are luckier than others in these isolating times. If you live near some mountains or a coast where, um, I just think to myself, boy, it'd be great to go for a shore dive or bag a peak or something. I mean, you probably, if you lived in Vancouver still, you could probably hike to a hike, to a trailhead and get up a, up a peak or something. |
|James|I would think so. I mean, I know that, There's been some problems in... My brother still lives in Squamish, which is between Vancouver and Whistler. Yeah. And I know that he was saying that they've been saying quite openly, like, we need people to stop going on adventures because we can't help you if you get hurt. Yeah, true. So there was kind of an explosion of outdoor activity in Whistler, which also means an explosion of broken ankles and beat up arms and that kind of thing coming into the hospital. And they basically said, like, you guys need to chill out and stay home, like actually stay home. Yeah, I suppose. So, I mean, I think it depends. A hike is obviously a less dangerous sort of scenario. But if you need to, you know, if you need to get rescued or something, that's going to cause a problem because these people, you know, the health workers and the medical professionals are busy with, you know, very pressing things. Yeah, true. So I think, yeah, you know, try and stick to the same maybe level of exercise as a run or a walk around your block. But Yeah, it's been kind of a weird time. I've been really dedicated to staying inside. That's where I'm finding myself to be most comfortable. I got a set of weights. Actually, just before this happened, it was a birthday present to myself before the kind of health crisis kicked off. And I picked up a set of these. I've talked about them probably a long time ago on the show, but I talked about them previously, the Bowflex 552s. This isn't an ad, Bowflex.  and I have no relationship of any type, but they are a very kind of expensive, but really nice weight system that has a companion app. So you, you end up with kind of two, two barbells that can go anywhere from like five to 52 pounds per hand. And you just rotate these dials. They're super easy to use. And, um, and then when you kind of get the, the app up and going, it kind of initiates you to the whole program by walking you through this six week workout plan, which is three workouts a week. So I've been doing that and loving it.  And they slowly ramp up. So they start you with like 20 minutes a day. And I way overdid it. You know, it had been a year since I had picked up the same weights and I way overdid it. I was like, like wildly sore. Like the kind of sore I used to be after a 20 kilometer hike that did, you know, three or 4,000 meters of elevation, uh, change in, in Vancouver where like your quads, you couldn't really like, there's no steps in my house, which I'm lucky. I don't have to go up or down a flight of stairs. Um, And then I also think like it was funny because I did that and then I was like, well, I'll take it easy for a day and get back on it. And it was ended up being four days until I felt so I was really sore. But I think that the general level of sedentary otherwise only made it worse, like the amount of time I'm spending sitting in a couch or sitting in bed or resting, kind of not moving around as much. Muscles turned to concrete. I probably should have like at day two or three gone for a short run or something like that to try and like get the blood flow going. But I'm, I'm, I'm really excited to be back into weights. It's something that I like legitimately missed. I did the first workout, um, you know, a couple of weeks ago and really loved it. And, uh, and that that's been nice. And then on, uh, on the other side of it is I, I, you know, I can, I can see another thing on our, on our notes here that you mentioned is, uh, some, some audio books and a way to get away from a screen. I actually went the opposite direction. Um, after, um, after a solid, oh man, it's gotta be, um, 13-year hiatus from video games. I bought a Nintendo Switch and I've been playing that quite a bit. I like it a lot. Two of my three brothers have a Switch and constantly play Mario Kart in the evening online. So we can get a call going and then we can get a couple people on the projector here and then also play against them. It's really good. It's super fun. My girls like it.  And then I got, I'll talk about this more a little later in the show, but I got, or I am, I'm not God, I am currently quite addicted to a game called the Stardew Valley. So this is what I like. I only have a couple of modes for video games and they're all borderline addictive. It's why I stopped playing, uh, years ago. I, it was, uh, there was like a turning point where I realized I either needed to stop playing call of duty with all of my free time. Um, or.  you know, I could stop and get deeper into watches or kind of give up watches and just enjoy video games. And I gave up my Xbox 360 at the time and didn't really look back until just recently, um, you know, being a little bit more inside and feeling pretty tired of like watching a passive thing, um, or, or, you know, reading more or something like that. And I finally was like, maybe this is kind of cool. And I found one for a really good deal and I'm liking it. And as starting value, basically just a farmer, um, you, you tend to this kind of, not complicated, but like rule based farming system and grow your little town. And it kind of looks like a game from 1995. And it's, uh, it's fantastic. It's, it's really, really good. And what I'm finding is like, it's, it's, uh, it's a really nice distraction. So if I finish a unit of work, um, I can play, you know, a day in started in the, in the, in the world is maybe 20 minutes. Yeah. Um, so I can do a farming cycle and water my plants and harvest some weed and make sure my chickens are okay. And that kind of thing.  And I know it's silly. And this is something I gave up, like I said, like a long time ago, like in a much earlier stage of my life. Um, but I, I don't know, like it has this, there's, it's not cathartic as much as it is just this like really nice kind of mental distraction that, um, normally I would just apply directly to work. Um, but currently doing a lot of work, you know, I have a daily post that I'm writing for Hodinkee, which is a big lift. Um, and then keeping up with other stuff, uh, you know, we just published the review of the Bremont Argonaut, uh, just before we recorded this. So yesterday, Um, if you're listening to this the day it comes out and yeah, it's been a nice sort of like escape and it's, uh, it's really fun to play Mario Kart with my kids, uh, because they, they just get really into it. And, and, uh, I get into it to the extent that I get, I'm furious when I lose. So it's, um, it's a nice distraction from, from not just being able to go outside and do anything you want, like we normally would. |
|Jason Heaton|Right. Yeah. And it's cool that you can interact with your brothers who presumably live, live in far-flung places. I don't know if Grant plays with you, but it's pretty cool that he's on the West Coast. |
