
# The Grey NATO - Ep 107 - The Isolation Tapes Ft. Cole Pennington
Published on Thu, 16 Apr 2020 06:00:13 -0400



## Synopsis
The hosts discussed the recent news of major brands like Rolex and Patek Philippe pulling out of Baselworld and planning their own event in Geneva. They talked about how this could impact the watch industry and product releases. Cole Pennington from Hodinkee joined as a guest, and they chatted about his Omega Seamaster 300 review, his 1991 Mitsubishi Pajero off-road vehicle, and favorite travel destinations like Ethiopia, northern Thailand, and Natchez, Mississippi. They also recommended learning outdoor skills like using a compass, Dutch oven cooking, and taking free online courses during the pandemic lockdown.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-107-the-isolation-tapes)
- [episode MP3](https://www.buzzsprout.com/2049759/11311013-the-grey-nato-ep-107-the-isolation-tapes-ft-cole-pennington.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of the Gray Nado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 107. We thank you for listening, and we would note that it's kindly brought to you by our friends and colleagues at the Hodinkee shop. Hey, Jason, how you doing? |
|Jason Heaton| Oh, good. Boy, as if the world isn't topsy-turvy enough, we got some news this morning. Yeah, it's been a morning already. Yeah, right. No more Baselworld. Well, we shouldn't say no more Baselworld. I don't know that that's been announced, right? It's just that the big brands have pulled out, which is kind of the death knell. |
|James Stacey|Yeah. I haven't seen any, like, official response from Baselworld, but of course, several key brands, most notably Rolex and Patek, have announced that they're going to essentially show at Watches and Wonders Geneva, although they're not using those terms directly. It's going to be another show supported by the FIHH or a present supported by the FIHH alongside the Geneva show next April. We put out a pretty quick episode of Hodinkee Radio about this topic. If you wanna go in more from the business side of it, that's with Ben and Jack. And when I say we, I mean Hodinkee, not Grenado, but I think, you know, Jason and I don't typically dip that deep into, you know, industry news and that sort of thing. It's obviously a huge deal that this is Rolex and Patek, not to mention Chopard and Chanel. These are big brands. These were the lasting big brands. Of course, that means Tudor as well, that were kind of taking part and really making Baselworld as big as it's been and ensuring that it would continue to be pretty big, you know, post-Swatch, leaving the fair.  But, you know, this is such a strange time. And as I said on Hodinkee Radio, you worry that any big adjustments that are made now are essentially you're making the law based on a flawed case. But I think in this scenario, it looks like they're kind of circling the wagons and they're preparing to kind of rebuild and protect the core of the market. And I don't see this as being necessarily a bad thing. It's going to be a tough thing for Basel, the city.  and certainly for Baselworld as the show will have to evolve. What do you think, Jason? |
|Jason Heaton|Yeah, I mean, I think we were already in an adjustment period after Swatch Group pulled out, and I think we had our first show post-Swatch last year. But you're right, it'll really affect the city more than the whole industry, because I think if everything moves over to Geneva and one big show in April, it's kind of a win-win for both all the brands that participate and to those of us who attend the show. |
|James Stacey| And yeah, I think it might be a big lift for those of us who attend the show. Like if suddenly we have kind of, if, if there's still kind of a competing element from LVMH, uh, existing in Geneva at the time, and then also now a new stack from two or three or four of the brands that you always have to cover almost everything they put out on top of a SIHH. It's a, it's an interesting move because Rolex is so much bigger and Patek is so much bigger in terms of their overall scope and market share and mind share.  than most of the brands that exhibit at SIHH or now watch as it wanders Geneva. |
|Jason Heaton|Well, it sure simplifies logistics for those of us that had to start considering going to two shows in two subsequent weeks in two different cities. And I would, I welcome going to Geneva in April versus the old January SIHH show, which was always kind of miserable weather and icy conditions. It's a lot better a few months later. Yeah. And you know, as much as I enjoyed walking around Basel, it was, I prefer Geneva as a city. I think it's just a prettier town. I like being near the lake there and having those views of the Alps. But yeah, we'll see. I mean, it's a bit early to really kind of digest all of it. We just learned of it literally like two hours ago or something. |
|James Stacey|Yeah. It'll be interesting also to see what the response is because now there's a void and that void could either be closed up by making Baselworld smaller or by retooling.  This is a genuinely a strange time. Like, could this be the hole that Swatch wants to come back? Oh, right. Yeah. And then it essentially becomes the Swatch show all over again. Like, who really knows at this point? It's a really interesting time. It's obviously, I would say, I'm worried that it might be more interesting to you and me, Jason, than to most people who are listening. Yeah. But in terms of what this means for the average watch enthusiast, it might mean a bit of a drought in terms of product releases from Tudor, Rolex, Patek Philippe, Chanel. Like these brands may just chill until next year. It's hard to say. It's, it's always almost impossible to say what Rolex will do ever. Um, because they operate entirely on their own wavelength. They only play their own game and nobody else's. Um, but it, it, it will be interesting to see if they, if, if there's a, this weird interim year where the music has kind of stopped, you know, Baselworld didn't really have a chair.  And, you know, where do we take this in terms of, will we get a couple of new tutors and a couple of new Rolexes and a few new Pateks over the next, uh, six to eight months, or, or are we waiting until April of next year to see some big enthusiast releases? |
|Jason Heaton|Who knows? Yeah. Well, um, you know, as we said, it's a fairly fresh news here and we'll, we'll see how it all transpires beyond that. Uh, we're, we're still in our weekly episodes here.  Staying at home. |
|James Stacey|How's that going for you? Just kind of leaning into it. I'm not really up to that much. A lot of work these days with Hodinkee and weekly episodes and everything else, which is fantastic. I'm super fortunate and feel really grateful to have that work and that push every day to get out of bed. Yeah. But otherwise, yeah, just kind of staying inside. You know, as I mentioned last week, playing more video games, doing all the sort of social events. I attended my first, you know, Zoom birthday party last night.  And that sort of thing, which was which was lovely and always nice to catch up with some people and not even have to leave your home. Yeah, so just just kind of I would characterize it as loosely laying low. Yeah, just kind of, you know, stay, yeah, staying in, you know, the weather's been fairly unpredictable here, as it can be in April. So when it's nice, you know, try and get some fresh air and excuse to go sit on the porch or something like that.  but for the most part just kind of hanging out you know I've been working on some on some reviews and and the nice thing that the thing I had forgotten is that it's actually kind of nice to photograph watches at home in something akin to a studio yeah obviously my my studio kind of kit and everything I've talked a little bit about that in the past is really down to a very small bag of gear But when I'm at home, if I want to use three reflectors, I can use three reflectors. If I want to go from one room to another and use a coffee table as a prop or a plant of one of my own as a prop, I can do that. I mean, I just have it all here. And if I want to get a little bit more inventive with flash lighting or something like that, I can pull out wireless strobes and the rest of it and kind of mess around with that kind of stuff. So that's something I'd kind of forgotten. It had been quite a while since I had shot a review or two at home.  and uh and yeah that's uh that's basically you know that's about all i've been up to just hanging out uh i i do i will say that uh your your tip to watch mountain of storms that was a good one oh yeah you really enjoyed that it was yeah no it was it was perfect i watched it uh i watched it that night and absolutely loved every minute oh yeah i'd seen only clips of it you know little bits used in other interviews and stuff and Wow, is it good? Yeah. If you miss Mountain of Storms, you should really go back and watch it because who knows how long Patagonia will just leave it on their YouTube. Yeah, that's so true. Yeah, it's great. |
|Jason Heaton|And how about you? How are things there? Well, again, you know, unpredictable weather here as well. We're not that far apart, I guess, a similar latitude. And we had last weekend, Ghoshani and I got out for another beautiful long hike and we were wearing like t-shirts and kind of just strolling on a really sunny day on these pretty unpopulated trails through the woods. So nice. And, uh, and then the next day we got a snowstorm, like a legitimate April snowstorm where, um, the temperature dropped well below freezing and we got about a half a foot of snow and, uh, you know, which was fun in its own right. And we took the Land Rover out for a little spin, kind of a photo shoot down in a, uh, kind of a deserted park nearby where we parked, uh, parked it and took a few shots. And that was fun. We still have, I mean, it looks like if I look out the window right now, it looks like February. I mean, it's, uh, nice blanket of snow on everything, but we'll see. I'm sure this coming weekend it's supposed to be back, uh, back warm again and all the snow will be gone. We'll be doing something outdoors as much as we can, sticking close to home, but it's, uh, it's been nice to get, get a little sunshine. Other than that, you know, you had put up on one of your daily uplift posts in Hodinkee, the Apollo 13 real time, uh, website, which I had so many people send those to me via like DM on Instagram, you know, uh, and, uh, being a bit of a space nerd that I am. It's, it's just been almost, I don't want to say all consuming, but I keep it in a tab, uh, in my browser and I just check in every now and then. And it's amazing to follow that in real time. You know, there, there, you know, for those of you who are out there that haven't been following it, uh, Apollo 13 happened 50 years ago, you know, as we speak here, literally, and this website has pulled together all of the audio artifacts and photography and timelines and just consolidated into this amazing website that allows you to follow along with Mission Control and the capsule, the Apollo 13 capsule, as it was happening like in real time. And it's just been fascinating. It's an interesting juxtaposition. I just thought of this this morning as we were getting ready to do this call that, you know, what they were doing was Almost like what everybody else is doing now with this work from home thing on Zoom conference calls. They were doing all of this from Capcom in Houston and this capsule way out in space. And I think there's a certain poetic beauty to kind of listening to that while we're all in our own little capsules communicating with each other over conference calls. |
|James Stacey|I couldn't agree more. And what an incredible project building that website must have been.  So 140 hours or 144 plus hours of archival audio. And I think that's actually only in module audio that doesn't include the other side, the transmissions to and from. Just really, really incredible. Once you get used to the interface, it's best on full screen is my recommendation. It makes almost like you really lose some detail if you start to half screen it.  Um, but full screen that and sit there for a little while, maybe drag the slider around to get a little bit closer to, you know, Houston, we have a problem and that sort of thing. And it's really something. Um, and if you ever needed an excuse to go back and watch the film, uh, Apollo 13, this would be a nice footnote to, to get into before going back to a rewatch. Yeah. Yeah, I agree. It's a, it's a really, really interesting presentation must've taken an insane amount of time and effort from the team that built it. |
|Jason Heaton| Yeah, that's great. And hopefully they'll keep that up in subsequent years because, you know, it's, it's always relevant. And, uh, yeah, but, uh, so that's been fun. 50 years. Wow. Right. 50 years. Yeah. Um, in other news, you know, I just saw Cole's post go up this morning on Hodinkee about the Seiko, the reissue of this Willard, the Prospex piece, SPB 151 and 153. And I saw the, you know, kind of the rumors, floating around the internet and the spy photos and the releases from I think Time and Tide in Australia posted it. And I was wondering if those were going to make it to the U.S. and I kind of want one. I mean, I've always loved the, you know, we love the Turtle, the SRP, which was kind of a later iteration of that same watch. But boy, nothing like the original. And I'm not crazy about, you know, the bracelet and the strap choice that they put on those colorways that they've released.  I'd just get rid of the strap and throw it on a NATO strap. Go right on a NATO, yeah. Yeah, it'd be great. I love that watch. |
|James Stacey|But... Yeah, for sure. And at about... They start a little over $1,000. Yeah. That's a special price point because I think a lot of us really know Seiko's about, let's call it $250 to $600 offerings. Yeah. So it's kind of killer to have something a little bit nicer on offer.  Right. To someone who's ready to make that jump into something that's going to feel a little bit more special. And I highly recommend checking out Cole's writeup because he didn't, this wasn't like your casual introducing. He really put a lot of words into it to explain where this sits against other references that they've made in the past. Even some that referenced the Willard. It's an interesting product in and of its own. And it, you know, it's a little bit smaller than an SRP 777, which is going to be very attractive to a lot of people.  And just a really killer looking watch. I mean, whether you do go black or olive drab green, that's up to you. I think the green looks incredible. The black, I suppose, a little bit more accurate to its own concept. But yeah, who doesn't like seeing a nice release from Seiko to kind of warm the heart? |
|Jason Heaton|Right. Yeah, they really pivoted from their withdrawal from Baselworld and good on them for for coming out with some cool releases. |
|James Stacey|Yeah, I think they're doing really well. I mean, I think this was something they were going to actually release in Florida this week or maybe last week at an event which I think was slated for SeaWorld. Yeah. Or at least I'm going to make a guess just due to timing. If I'm off on that, Seiko, my apologies. But I believe this was one of the watches that was going to be released at an American press event. Yeah. And yeah, I mean, Keep up the great work with Seiko, like always. Keep making great stuff at $200. Please keep making great stuff at $500. And if you want to edge into this kind of $1,000, very low four-figure, killer, for sure. |
|Jason Heaton|Great. Yeah, before we dive into our weekly risk check and then into our main topic, let's do our little small brand spotlight. And this week, I thought we'd focus on Lauren and Lorenzo, who run Laurier Watches. And we met the two of them, the founders of the company, husband and wife team based in New York. They came to our TGN meetup that we did in December of 2018. And, um, super nice people, big fans of TGN and, uh, they make some killer watches. And, you know, last week we had our episode about refresher watches and Laurier fits right into that category. I mean, they do some watches that kind of toe the, you know, they're kind of dip a toe into sort of homage space, but not quite. Uh, they definitely harken to certain, Iconic designs, I guess you'd say, but they definitely don't go too deep into that realm and I think they maintain their individuality and the pricing is just spectacularly accessible. We're talking $300, $400, maybe $500 for a twin Bicompax chronograph and they've got a cool field watch and a couple of great divers.  Just, you know, really strong designs, easy prices. So yeah, go check out Laurier watches. |
|James Stacey|Great pick for the for the spotlight. And yeah, two really lovely people who are cranking out really cool product for sure. Yeah. Well, normally, this is when we would dip into the wrist check. But given our guest today, our fellow isolated guest, I figured we'll probably bring him in first and then hit the wrist check. So let me get Cole on the line. Hey, Cole, do we have you there? How are you? |
|Cole Pennington| I am here and happy to be here. How's it going, James? |
|James Stacey|Hey, hey, what a treat. |
|Cole Pennington|Yeah, yeah, no. Hey, Jason, how you doing? |
|Jason Heaton|Good, good. Nice to have you on TGN. |
|Cole Pennington|It's my first time. I'm stoked. I've been a listener for a long time, so this is cool. |
|James Stacey|Awesome. Yeah, and you know, we don't typically like we haven't dipped into having, you know, fellow Hodinkee staff on, you know, that's something that Hodinkee Radio typically does with these those sort of interview episodes, but we figured You know this felt like the right week to do it and also at a certain point if Jason and I are being transparent we're running out of stuff to talk about. You know we're used to doing two of these a month and we're up to one a week which we love and it's been great so far but I think we're going to bring in more friends and you know looking at what you posted this week Cole and then also some of your recreational pursuits I think are well aligned with Just the sort of general isolation tape vibe. So, yeah, really, really happy to have you on. And how is isolation treating you? |
|Cole Pennington|To be honest, this might be an unpopular opinion, but I don't mind it. I mean, of course, there's the antsiness that comes from this, but like in terms of, I think if you make good use of this time, you'll come out really enjoying it. And I kind of like a life of solitude anyway, to be honest. |
|James Stacey| Yeah, I think you're a good company on that concept. Jason and I have said that we don't want to hit the point too hard, but that this isn't really that tough of a lifestyle. Yeah. Aside from maybe some weirdness at the grocery store or otherwise, it is kind of chill and certainly a change of pace. Let's dip into this week's risk check. We thought we'd bring you in for that. So Cole, what have you got on risk today? |
|Cole Pennington| So I'm actually I'm wearing the Bond Seamaster. I just did. I've just been on a roll with that watch, you know. |
|Jason Heaton|Your old one, right? |
|Cole Pennington|Yeah, my old one. Exactly. |
|Jason Heaton|Nice. |
|James Stacey|Nice. Yeah. And you published a week on the wrist, which we can get to in a few minutes. I definitely would like to talk about that because I think it's one of the best pieces you've put out about a new product for Hodinkee. Really, really strong work and a really, really compelling watch, I think overall. And I like that you kind of consider the fact that the old one had one place and the new one has kind of a different place. Totally. Which is a fair point. But before we get to that, for people who either don't follow you on Instagram, which is a mistake, they definitely should, or don't recognize your name from Hodinkee, again, that probably would suggest they're not reading that often. Why don't you give people like a loose rundown on what your deal is?  Uh, my deal. |
|Cole Pennington|Well, where do I start? Give me some. What's your deal, man? Uh, yeah, I think, um, the, the, the, the 32nd version is, was working in a boring job, started writing for fun, got a little traction, kept writing. And then obviously the, the most fun thing to write about are things that you enjoy, which is, you know, the same stuff you guys enjoy, of course. And, um, yeah, then, then I ended up as your, uh, as both of your coworkers. |
|Jason Heaton| Cole, I think, I think you and I sort of started to connect over social media before we met in person. And I think it was because you were at the time you were still living in Southeast Asia and I think you latched onto my connection with Sri Lanka and we kind of bonded over that. And how did that come about? What were you doing over there? Where were you living? |
|Cole Pennington|Yeah, that's right. That's exactly right. Actually, it was the Sri Lanka thing. So I was living in Bangkok. I lived in Bangkok for six years. I started off there teaching English because you know, the, the job prospects when I, um, graduated college, we're not, we're not good, right. It was, it was the time of the financial collapse and so forth. So I figured I would take a little breather for a year and then, uh, you know, a life of discovery just kept me over there. So, and, and I ended up writing like freelancing for fun, um, because of the unique position of being over there. And then that turned into a career. Um, and yeah, that, that when we virtually met or whatever was one of the times you were in Sri Lanka.  there was a project that I had been working on, which is super interesting, which I still think you kind of have the right to the story per se. I think I totally think you should pursue it. But, uh, the, because of the civil strife, the domestic private airline industry kind of ceased to exist for, for a long time. And then the government stepped in and took a bunch of surplus cargo planes and said, okay, we're going to make a national airline that goes from, uh, Tricomley to Jaffna, like two air bases, one in the south, one in the north. So this is how you get, it's just cool to me that domestic air travel was operated by military cargo planes for a little while, which is, yeah. So cool. Yeah. |
|Jason Heaton|Yeah. I totally forgot. That's, that's how you connected with me. I remember you, you bringing that topic up. My gosh, that was many years ago now, I think that we met at a couple of watch events once you got back to New York and And you were working for a couple of other publications and lo and behold, here we are sort of colleagues. It's great. |
