
# The Grey NATO - Ep 108 - The Isolation Tapes Ft. Josh Perez
Published on Thu, 23 Apr 2020 06:00:23 -0400



## Synopsis
This episode features a conversation with photographer and creative Josh Perez. They discuss Josh's journey from working corporate jobs to becoming a freelance photographer and starting his own creative agency SET. Josh shares advice for aspiring photographers on gear, developing skills, and the business side. They also talk about Josh's new lifestyle brand Pedro and Taylor, including the inspiration behind its recent photography grant contest. The episode covers topics like upcoming plans for Josh and the Pedro and Taylor brand, as well as recommendations for books, movies, and activities to enjoy during isolation.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-108-the-isolation-tapes)
- [episode MP3](https://www.buzzsprout.com/2049759/11311012-the-grey-nato-ep-108-the-isolation-tapes-ft-josh-perez.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, a Houdinki podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 108, and it's kindly brought to you by our friends and colleagues over at the Houdinki shop. More on that in a little bit. Thanks so much for listening. James, how's it going this week? |
|James Stacey|Oh, you know, I'm a, I'm a, I'm an inside boy now.  I don't go outside. |
|Jason Heaton|Fully quarantined, fully locked in. |
|James Stacey|Yeah. I realized that last weekend I must, you know, I locked the door on say Thursday night and I don't think I unlocked it to go outside until Monday morning.  So yeah, I live inside now. I do outside things in only virtual contexts. |
|Jason Heaton|The boy in the bubble. |
|James Stacey|Yeah, exactly. I'm sure we've got lots of listeners who got into a game called Zelda Breath of the Wild, but that's all of my outside time now. It's a huge map, but it has mountains that you can climb. It has all sorts of different forests and jungles and caves.  And it's really beautiful. And there's something a little bit cathartic about that, where I realized that I was like climbing a mountain and I only climbed it to the top, which was quite a task. If you've played the game, some of these mountains are huge. You climb to the top just to look around. And I was like, oh, yeah, no, I'm not. I need to go outside. But it's a sunny day here, so I think I'm going to spend the afternoon editing this on the porch, which should be should be pretty nice. How are things there? I'm still seeing that you're getting some actual outside activity in around Minneapolis. |
|Jason Heaton| Yeah, I mean Ghoshani and I try to get out for a daily neighborhood walk when we're here at home during the week. And then one day on the weekend we usually drive to a nearby, you know, nature area or something where we won't really encounter anybody. And, um, yeah, go for like a couple hour hike, bring a flask of tea and some lunch or something. And it's, uh, it's been pretty therapeutic, but it's, you know, Ted Gushue on his Instagram stories, he, every morning he shoots a little video of his, uh, his mocha espresso machine bubbling away and he calls it Groundhog Day. And it sure starts to feel like that. I'm all for routine, but it sure feels like every day is sort of bleeding into the next with the same, same wake up time, same going to bed time, kind of the same activities. Um, it's okay. I'm actually sleeping better than I think I have in years just because I've been going to bed at the same time and getting up at the same time and getting a, you know, a daily walk in and whatever. So it's kind of, It's been good in that respect. And I think we're probably eating better here because we're not getting food from outside at all or anything processed or anything. We're just sort of cooking something new every day. So it's, it's, it's had its benefits. Um, but you know, antsiness is starting to set in. I, I'm not eager to jump on a plane anytime soon, but I sure would like to take a little road trip or go camping or something, which would be fun. |
|James Stacey|I mean, I'm jealous if I'm honest that you're sleeping that well, I'm really not.  There's just kind of a lot stacking up for the next little while, and it's leading to that kind of normal insomnia, stress insomnia that I get sometimes when there's just kind of a lot on the plate, too much to be able to just unwind at any point. But this won't last forever, both the current wave of work and our current social scenario. But yeah, some camping would really be great. I kind of wish I even lived somewhere that had like an actual backyard I have a little stone patio full of raccoons where I live now. So yeah, that's all right. |
|Jason Heaton|Yeah. I've got a knife of yours here that's been sitting here waiting patiently for your fiddling. |
|James Stacey|You do, yeah. I'm excited about this one. So this is kind of a fun thing. So a little while ago we talked, I think it was a Q&A about knives. Yeah. And I had said that my go-to carry for a long time had been the Benchmade 556 Mini Grip, which is a knife that I really do genuinely love and would support anyone going out to get it. It's a nice, really usable tool knife. It's a little bit on the tactical side as far as it looks, but it makes perfect sense. Mine had a really nice deep pocket clip, which Benchmade was kind enough to send over. If you write them a letter, they may do the same for you. And I say had because Shortly after we recorded that episode, I must have been getting on one of the last few trips to New York, and I forgot that it was in my topo, in my topo bag, and I lost it to security. One of my most favorite knives. It was a 440 blade, it was maybe an $80 knife, it's not the end of the world. They're a little bit more expensive now, and it wasn't customized, it had no sentimental value, it was just my go-to tool knife for around the house.  And that was gone. So then I started thinking like, oh, well, I'll buy another Benchmade. And then it turns out that a guy I know, Steve Laughlin, who's the dude behind Raven watches and then previously Benares watches. These are two brands I've followed for. I mean, if you talk about Benares, one of the earliest automatic watches I owned was a 44 millimeter Moray. So Steve, along with this guy, Spencer Marquardt, they've started a kind of small micro brand knife company called Finch Knife Co. And I'm a huge fan of Steve and what he does. He's a great family guy from Kansas, a camper and very much a TGN sort of dude. And so they started making these knives. And a lot of times people who are listening who know their knives really well will know that typically if you're a very small company making an interesting product, the price point's high.  Mm-hmm. Everybody's in there against Chris Reeves. They want to make three, four, $500 knives. And I was kind of thrilled. That's more than I like to spend on a knife, but by almost a considerable margin. But it turns out that they're kind of small. I like a small flipper, an easy in-your-pocket sort of knife. And they make one called the Rently, which currently comes in three colors, although I think only black is available directly through Finch. It's a really cool little like kind of gentleman's folding knife with a liner lock, which is a pretty, pretty handy way to go about that. And, and yeah, it's, you know, they're about 140 bucks and I've got one of those. I had to get it because I wanted the yellow one. I had to get it through another, through one of Runtley's distributors. |
|James Stacey|Yeah. |
|James Stacey| So I bought it from them, and I would thank Bryce, who's a Jeep 99 dad on Instagram, for pointing me to this other distributor. And I can put a link in the show notes if people want, but certainly check these out if you want a kind of cool, distinctive-looking folding knife that doesn't look that aggressive or dangerous or tactical. It doesn't look like a SEAL Team 6 knife or something like that. I think this is great, and I was thrilled to be able to support another project from Steve. So you've got that for me now.  It looks like it's got some really fun packaging. I think I saw a band-aid included. There's a band-aid, yeah. |
|Jason Heaton|Which I find pretty funny. As you're talking about it and playing with it, and the color yellow, it's a great color, and I'm wondering, maybe you know this, what the material is for the actual housing for it. |
|James Stacey|Yeah, it's a G10, so it's a fiberglass laminate, which is a composite, basically stacking layers of cloth, which is why you get that sort of texture to it, that woven feel. Yeah. And it's super popular on knife scales. And I really... They made one, this yellow one, which is called the Yellow Belly. They make one that's Ghost Green, which is also a gorgeous color, and I had a real tough time picking between the two. And then they make a black one, which is called Black Shiner. And to their credit in picking colors, you know you picked a good color if it sells out faster than the standard color, that's like a Hallios thing.  Yeah. Is the, you know, the Bahama yellow or the, these deep purples or the pastel blue. Um, they go really quickly. And in this case, the ghost green and the yellow belly are sold out. I know that they're planning new color ways in the future. So it might be something to watch. I think it's a charming little thing. I'm excited to actually see it in person. I've watched some YouTube videos. So I have like an idea of the size, the blades, not that long. So it's going to be compatible with a lot of, um, with a lot of local restrictions. Certainly it isn't Canada here. That's a two and a quarter inch blade.  which is a nice size, and I like that it's got a pocket clip, and the yellow really talked to me. I don't really know why. When I was a much younger man, I always liked those rescue series knives from Spyderco, bright orange, bright yellow. Typically, the orange ones, and I think this changed at some point, but back in the day, the orange ones also meant that they were a type of metal that was impervious to salt water.  Um, so they had, you know, maybe you'd clip them on and use them in rescue scenarios, a SAR kind of stuff and, uh, really neat stuff. And I saw this yellow, the little logo on it, Jason, if you try this, the logo down at the base is loomed. |
|Jason Heaton|Okay. |
|James Stacey|All right. So if you hit that with a UV or really bright light, uh, it goes, I like this. Like I said before, I'm a huge fan of, uh, of Steven, what he does and Raven watches. They've got some really killer new stuff out, some smaller, 12-hour bezel stuff that I'd like to check out at some point in the future. And yeah, I'm excited. It's a cool little thing. I don't really know why I've decided I needed another knife. I certainly am not short knives even after the loss of that 556, but I don't know, this one called to me and it should be a fun thing to have at some point. |
|Jason Heaton|Oh, it's tremendous. I'm tempted to pick one up myself. I'm just kind of turning it over in my hand, even closed, and it's And flipping it open and shut, the blade is this kind of chunky shape. It's just a fun... It's a fun little tool. Yeah, for sure. Yeah. |
|James Stacey|Well, thank you very much for faring it or muling it or whatever term we're gonna use by the time you're able to get it to the mail. But until then, please, yeah, have a good time with it. I think it's a neat little thing. |
