
# The Grey NATO – Ep 109 – The Isolation Tapes // April Q and A
Published on Thu, 30 Apr 2020 06:00:38 -0400



## Synopsis
In this episode, James Stacey and Jason Heaton discuss the recent releases from Doxa and Seiko, as well as answer a variety of questions from listeners. The questions cover topics such as writing processes, the impact of the Apple Watch, watches that got away, colorful watches, collecting habits, the romantic side of watch collecting, bracelet recommendations, and more. The hosts also provide homework assignments and final notes related to stock trading, planning future adventures, and demagnetizing watches.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-109-the-isolation-tapes)
- [episode MP3](https://www.buzzsprout.com/2049759/11311011-the-grey-nato-ep-109-the-isolation-tapes-april-q-and-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Gray Nado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 109, and it's kindly brought to you by our friends and colleagues at The Hodinkee Shop. More on that in a bit. Hey, Jason, how you doing? Oh, pretty good. Yeah. |
|Jason Heaton|You had a busy week last week. A lot of new watch news. Other than that, just sitting here watching the show from a distance. |
|James Stacey| Watches and Wonders. Yeah, that Watches and Wonders digital, so you get a few days heads up with that sort of thing, it's all embargoed. Yeah. And then just the whole editorial crew scrambling to get, I don't know, it must have been 50 plus watches written up in relatively short order. |
|Jason Heaton|Yeah, a little different than doing it in a jet lagged in Geneva, isn't it? |
|James Stacey|It's very different because the other thing is, is they all kind of roughly speaking came out at once. Right. Unlike being at a show where you can only take seven or eight meetings a day and then maybe you write up three or four watches total each in a day and you get to edit the images and you get to hold the watch. This is all this like remote. And when you remove like holding the watch and taking pictures of it and walking from one meeting to another, then you can write more. But it's all from this very weird kind of satellite perspective where it's just so many introducing posts. |
|Jason Heaton|Yeah. Yeah.  Well, sorry to jump the gun here, but I mean, I didn't even ask how you were doing, but, uh, I imagine it's much the same this week as it was last. |
|James Stacey|I am still an inside boy. I went on the porch a couple of times this week. Uh, you know, the, the outside world is still there. It's somehow still noisy. Um, yeah, I'm becoming very crotchety in, uh, in my reclusive state. Uh, but yeah, no, I'm, I'm, I'm filling my days. Uh, I'm filling my days with kind of small projects around the house. I, uh, you know, I'm, I'm, clearing out some clutter and that sort of thing, and just kind of getting things back to the way that I think it probably always should have been if I spent this much time in the spot. And then beyond that, yeah, just I'm playing a little bit of video games and I'm reading a lot about high-end audio, so that that loop has come back around, I'm down that hole again. Probably not in a buying context necessarily, but certainly in a high-interest context, the Reddit has a few kind of audio focus. They have budget audio file. They have audio file. And these ones are quite a lot of fun. |
|Jason Heaton|Oh, cool. Yeah. I imagine we're, once we all come out of this, we're going to regret that we didn't do things that, that we might've with the time we have here. And I need to get out and clean out the garage and just kind of get, you know, classic sort of spring, spring cleaning time. If I don't do it now, I mean, what's going to happen when things start to get busy and we can all You know, fly the coop, so to speak. |
|James Stacey|Yeah. Yeah. You know, the longer this goes, the less of a grasp I feel like I have on what it's going to be like when we attempt to become a normal. I don't know what normal will be really as far as the scenario. You know, there's a lot of factors at play, not only time, but also the conditions under which various countries open up and things like that. And it'll be interesting to see how that goes. But I think it's going to be a while. So you've got time, I think, to get to that to get to that garage. And so I'm I'm kind of very slowly mental. I'm at a mental planning stage now, but, you know, working my way through some camping ideas and that sort of thing, which would, you know, in this case, thankfully, would be on private property and very, very remote, which I'm excited about. But it's a little bit too cool still here.  in Toronto to make that leap. I didn't pre-plan and get the proper kind of cooler weather sleeping bags, of which I have only one. Oh, sure. So I think I'm going to wait till it's a little bit warmer. But otherwise, I think, you know, yeah, it's the same as it was the last week, especially with the shows. They're only being seven days between each show. The difference is like this is still a hot time of year for the watch industry. |
