
# The Grey Nato - Episode 11 - "What's Old Is New (again)"
Published on Tue, 21 Jun 2016 09:03:47 -0400



## Synopsis
Jason and James discuss the trend of watchmakers releasing "new vintage" watches that harken back to designs from the 1950s and 1960s. They analyze how different brands like TAG Heuer, Tudor, Oris, Eterna, and others have approached this trend, some reissuing faithful recreations while others put a modern twist on vintage aesthetics. They explore what makes these new vintage watches successful or miss the mark, touching on elements like case size, lume color, and overall design philosophy. The discussion also covers topics like bronze cases, brand histories, and the collectors' perspective on new vintage watches vs. original vintage pieces.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-11-whats-old-in-new)
- [episode MP3](https://www.buzzsprout.com/2049759/11311113-the-grey-nato-episode-11-what-s-old-is-new-again.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Welcome to episode 11 of the Graynado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm James Stacy. |
|Jason Heaton|And I'm Jason Heaton. During today's episode, we're talking about quote-unquote new vintage watches. Those watches that brands are coming out with that sort of harken back to perhaps a vintage model of their own, or just trying to capture sort of the glory of the great days of the 50s and 60s when, you know, there were just a lot of great watches around. So, the watches we're kind of talking about here are those from, you know, Longines and Oris, Tudor, Eterna, Seiko, just a bunch of others. And it's kind of been a trend, I don't know, James, maybe, seems like it kind of, it's kind of in peak form now, but I would say we kind of saw this starting about, I don't know, three years ago, four years ago, would you say? |
|James Stacey|I would say closer to 10. Oh, really? Because 2007 was the Longines Heritage Diver. Yeah, yeah. And I think in, we'll say 2004 to 2005, so if you look to even smaller brands, like if you think of Ocean 7 and some of those early internet micro brands, a lot of them were producing watches that faded the line between a referential model and homage. And, and, and I mean, when it's in a brand, then it's no longer an homage, right? Like if, like a forest makes the 65, that's a legit watch, but if somebody else made a watch that looked just like a 65, yeah, then it's an homage. So, I mean, with, with some of these smaller brands, I don't think you can necessarily call them new vintage, but that's largely it's what, what they were cornering, what they were looking for in the market was, you know, these watches, um, that weren't around anymore in many cases, like, you know, a couple brands were making homages to the Ploprof before Omega released it. Right. So, I mean, there's kind of situations like that. And then you have brands like, I think it's called Persista. Oh, yeah. And they make all sorts of references to models that just don't exist anymore. So, I mean, I think you could trace it back to the early 2000s, this kind of fascination with a modern construction and generally speaking, a modern brand new movement.  but overall a style that's usually referential to a pre-quartz era and sometimes just specifically to the sweet spot of a certain brand, right? So, I mean, if you and I were going to set out to make a Rolex homage today, you would look after old Daytonas and old subs first. And I think that's, obviously that's not the direction Rolex has gone, but plenty of other brands have used their back catalog to inspire the new stuff. And I mean, I think kind of the glowing first point to touch on would be Tag Heuer. |
|Jason Heaton|Yeah, they've got such a deep catalog from which to choose. I think it's a brand that has taken full advantage of, in recent years, of the really great stuff that they were making in the 60s and in the 70s. |
|James Stacey|And I think they've done it really, really well. Obviously, right now, a lot of Tag Heuer fans are focused on the Octavia Challenge.  where they had, I think it was like 16 designs. I admittedly, I didn't follow it that closely, but one of my favorite ones did get selected. I just saved the photo into Dropbox. And then when I saw it pop up in Twitter, I was like, Oh, Hey, that's it. That's I like that one. That's cool. Um, but I mean that final watch will be outside of the price range of what I normally buy. And it's not like they're going to drop in value. Yeah. That's not going to be the kind of watch that's a deal. Secondhand people are going to go pretty nuts for those Octavias when they come out. |
|Jason Heaton|And of course the big one was, was the Monza at, uh, at Baselworld this year. |
|James Stacey| That mons is something else entirely. What did you think of it when you saw it? I think we talked about it during the Baselworld Mega episode, but maybe we didn't. |
|Jason Heaton|Yeah, I mean, we probably touched on it because I think almost everybody who was at Baselworld was kind of, I wouldn't say floored by it, but people, it was one of the favorites on most people's lists and mine included. I did, I think I posted a photo sometime during the show and somebody kind of nitpicked that they, you know, they kind of missed the case shape exactly, or the sub-dial. But I think, you know, the point of that watch, and I think something we will touch on today, that is important to note about these, quote-unquote, new vintage watches, is that it's not always about recreating the watch itself. And the Manza is a perfect example. It isn't an exact replica of the old one, and I think that's a good thing. You know, the sub-dials are arranged slightly differently. I think there's You know, there's a definite sort of tweak to the shape of the case, but it works. You look at it and you think, wow, this is a really cool watch from the sixties. And it's, it's pure, you know, it's pure Heuer sports watch. And, and I think that that's what they're going for. |
|James Stacey|Yeah. I think, I think what it successfully does is imagine if there'd been a second generation of the Monza that kind of lost its asymmetry. Cause they had this kind of strangely asymmetrical dial and the case was very basic and that like tag doesn't do a basic case anymore.  on any of their watches. Like if you pick up even like something basic like an Aquaracer, they're kind of faceted and they have shape, like additional shape to them. And that original kind of tonneau case would feel almost hopelessly referential to the original. So I like that they kind of, they went a different direction. It has a bezel. I love that it's titanium. I think it's really, and it's really killer on wrist and it's not a fortune. I mean, it's not a cheap watch by any stretch, but I think it's a little under six grand.  And I really liked it. I like it in the same way that I like those kind of old school Monacos. And I'm not a huge fan of a lot of their more modern aesthetic. Certainly I've had Aquaracers and I enjoy the current Aquaracer lineup. And the nice thing with an Aquaracer is TAG really likes to give buyers a lot of choice. Yeah. So there'll be like 20 SKUs, which as a journalist is a real pain, because that means I have to take pictures of 20 watches if I want to cover it.  Whereas with the Monza, there's one skew, which is awesome. I shoot 40 pictures of the one watch, I get coverage, and then I know what I'm writing about. But with the Aquaracer, it's a different thing. But when you see them all in a case, and you're a consumer, and whether you're on a cruise ship, or you're at the mall, or just whatever it is, like tags everywhere. Yeah. And they give you a lot of choice in color and size, and obviously you get quartz and automatic, and they're good movements. And the Aquaracer that I had was really nicely made, But certainly I think if I was going to put my own money back into a modern Tag Heuer now, especially because of the, um, there's a lot of heat on their vintage stuff. Yeah. Uh, you know, old Octavias are hot. Even some of the less popular older models are starting to spike like, uh, Camaros. And, um, what's the one that starts with a J? |
