
# The Grey NATO - Ep 114 - The Isolation Tapes // Topic Not Found
Published on Thu, 11 Jun 2020 06:00:48 -0400



## Synopsis
Jason and James discuss taking a break from the podcast last week due to the current events and Black Lives Matter movement. They share their perspectives on the importance of speaking out against racism and inequalities, even on a podcast not focused on politics. They announce plans to raise money for related charities by auctioning off watches from their collections. The conversation also covers more lighthearted topics like James taking the top off his Jeep, Jason's Land Rover getting upgrades, and a quirky $930 electric car reviewed in depth by Jalopnik. Overall, it's a thoughtful episode reflecting on social issues while also providing an escape through their usual gear and vehicle discussions.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-114-the-isolation-tapes)
- [episode MP3](https://www.buzzsprout.com/2049759/11311006-the-grey-nato-ep-114-the-isolation-tapes-topic-not-found.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Gray Nato. It's a Hodinkee podcast and a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 114 and we thank you for listening. Hey Jason. Hey there. It's been a minute. How you doing? |
|Jason Heaton|Oh, pretty good. It's been quite the couple of weeks. We skipped last week for reasons we're going to discuss here shortly.  We're back on air. We kind of felt like we needed to, you know, air some things out, talk to each other, uh, talk to, talk to our listeners and just kind of see where we're at. |
|James Stacey|Yeah. I certainly missed, uh, miss doing an episode last week, but, uh, you know, I, I don't, I certainly, I think I speak for the two of us when I say that we just literally couldn't find the frame of mind from which to produce an episode about kind of frivolous things. |
|Jason Heaton|It's been a tough, a tough couple of weeks. I mean, it's been a tough few months for everybody. And then I think the, Um, events of the last couple of weeks have sort of come down like a ton of bricks and, and just, yeah, you're right. It was just hard to come up with, uh, you know, diving and watches and gear and that sort of thing to talk about. |
|James Stacey|And on top of that, you know, obviously I think at some level this goes without saying we've been pretty clear about our stance on, on our Instagram channels, but there were just more important conversations going on and those conversations continue to go on. And, uh, we, we wanted to take some time just to consider.  uh, the kind of the best way to frame a continuation of, of again, frivolous media in, in a, in a time like this. And I think it still has a place, um, but it needs to be within context. You know, I think the show needs to be within context and yeah. |
|Jason Heaton|And, and, and, you know, just to be clear to everybody, I mean, TGN is, and never will be a political or current events kind of a podcast here, but we certainly can't ignore the reality of what's going on around us. And, um, you know, when we, decided last week not to do an episode. I think both of us were feeling in a very serious way and admittedly a bit drained. You know, the events that kind of kicked off a lot of the unrest and protests and things around the world were just three miles north of where I'm sitting right now. And I just was not in the frame of mind to record. And I'm glad we didn't. I think it was respectful and kind of a good thing to take a pause. But at the same time, we also don't want to you know, ignore what's going on. So we thought we'd spend a few minutes at the top here, just, you know, recapping our own feelings and, um, uh, you know, providing them maybe a few resources and, and just sort of venting a little bit before we move on and get back to, to what we, we usually talk about. |
|James Stacey|Yeah. And I mean, we have some, we have some ideas about, you know, putting our, putting our money, more money where our mouths are and, uh, and kind of keeping the ball rolling on that in a way that kind of aligns with TGN with the normal TGN. Yeah. Um, but I mean the, the, the big thing I think here to consider is, uh, you know, from my experience on Instagram and, and Heaton yours as well, I think is, is there seems to be this discussion of this being more of a political topic, the black lives.  matter movement being a political topic. And one, I'm, you know, I'm Canadian and I took, uh, I'm more than happy to take some heat for being Canadian. That's fine. Of course. And, um, um, my opinion is, and I think Jason, you'd agree with me is this isn't, um, this isn't at all political matter at its core. This is a, a social matter. Uh, it's international racism is international. It's part of the human condition, but it is something that we can work on. And I think that work requires people to speak about it.  Not only would it have been so strange to just continue posting pictures of watches and pocket knives and flashlights and stuff while the rest of the conversation had moved to, you know, a group of people that are begging for help and deserve exactly what they're asking for, which is equality and autonomy. And yeah, I found it just terrifying the thought of saying nothing. Um, because you know, these, this moment will pass as the way that things go. Um, the fight won't end in any way for, for black rights and, and minority rights and, and anything else. But, uh, the conversation will move on. There's always a new cycle to this and, and it just, it just, I, you know, I'm not sure I would have, I'm not sleeping great anyways, but I'm not sure I would have slept well saying literally nothing. Right. |
|Jason Heaton|So yeah. And I, and we have both received some, some feedback.  both positive and negative via direct message and email about our stances and some of the things we've posted on social media. And a few people have come out and said, you need to kind of stay in your lane, stick to what you know about, which is watches and some cars and travel and diving. And I engaged one person who I think is a listener and might even be listening to this episode. And we had a bit of a back and forth about this. And I think we came to a respectful, conclusion that, you know, we can agree to disagree, but, but we have to be able to be able to express our opinions no matter what we normally talk about or who we are or what our expertise is, because this is not a political issue. And I think there's enough divisiveness and politicization of things these days that I think this is one thing that, um, you know, we could all just, you know, just make an attempt to, to read more, uh, posts and books and watch movies about and by uh, people of color. And I think it's been, it's been really eyeopening. I think if anything good comes out of this, it's just, uh, hopefully people just being willing to, to open up and, and learn. Um, that's what I've been trying to do at least. |
|James Stacey|This is a, this is a show about communities, the communities that encircle the topics that we talk about. And I don't think these communities can be helpful, can be healthy, can move forward, can be supportive. Um, if it's just a community that'll turn its blind eye to pain. We get to talk about anything we want. It's our microphones, it's our show. If you don't like it, you don't listen, I won't notice. I literally won't. And lastly, we would say that a big side of this would be money. And we'll put the links in the show notes, but we have a nice list of what we think are pretty solid ways to donate could be two bucks, could be five bucks, could be more. And we're not saying spend money that you don't have or give money that you don't have or whatever. But if you're in a scenario where you have a few extra bucks, I think this is a pretty good way to, um, to be, be involved in, in a meaningful fashion. |
|Jason Heaton|Yeah. And also I think, you know, uh, committing some time to, to anything, um, uh, on, on any area of the spectrum, whether you consider it overtly political or just a community based thing like, um, you know, cleaning up. I know there's been some big cleanup efforts here after some of the, the arson and the, and the looting and things that were happening during, um, during the unrest here a couple of weeks ago. And just people have come out in droves to, you know, sweep up the streets and donate food and, and, you know, just help rebuild the community that that's equally, equally valuable. You know, as a community, we'd love to get feedback, uh, one way or the other, you know, however you feel, you know, right in the gray NATO at gmail.com.  Keep it respectful. Let's just have a dialogue. If you disagree with us, that's fine. I think expression of opinion is what makes all of this great. And no one's going to shut you down for that just as long as you stay respectful. |
|James Stacey|And just keep an open mind.  And, you know, with that in mind, we would like to at least make an effort to put our money where our mouths are. And I think Jason has a neat idea. We can give credit to somebody else for this idea, but we have a neat idea of how to do that. |
|Jason Heaton|Yeah. Thanks for bringing that up. So I got this idea because I think it was last week. Suguru Nishioka, who goes by Garactical on Instagram, he does some work doing some translation work for Houdinki and Houdinki Japan. |
|James Stacey|He's a great follow as well. |
