
# The Grey NATO - Ep 115 - Challenge: Seiko
Published on Thu, 18 Jun 2020 06:00:22 -0400



## Synopsis
This episode is a discussion between Jason Heaton and James Stacey, hosts of the podcast "The Gray Nado". They introduce a new segment called "Challenge" where they select a brand and an arbitrary budget, in this case $1,500 for Seiko watches, and discuss what models they would buy to build a well-rounded collection within that budget using the brand's MSRP prices. Jason selects the new Prospex SNJ031 "Safarni", the SRP777J "Turtle", the SRPD59 Seiko 5, and the SNZ-G09 field watch. James picks the Prospex SPB143 diver, and the SCXP158 gold-toned quartz field watch. They also discuss some car-related topics recommended by listeners.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-115-challenge-seiko)
- [episode MP3](https://www.buzzsprout.com/2049759/11311005-the-grey-nato-ep-115-challenge-seiko.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode number 115, and we thank you for listening. Well, how goes it north and east of me here? |
|James Stacey| Yeah, you know, things are okay. You know, not largely different than our last convo. It's another warm day in Toronto. We're actually recording this a little bit later. There's some fairly loud construction going on directly next to where I live. And my guess is it'll be going on for some time. If you notice, the vibe of the show kind of changes, maybe a little bit lower energy or weirder energy.  Or if you're just if you can just in the background hear me cracking several Diet Cokes throughout an episode, it's because we're recording these after 3 p.m. And our usual is definitely more like 9, 10 o'clock, 9, 10, 11. |
|Jason Heaton|Yeah, we're fresh. Yeah. Yeah. Well, I'm thinking this will be it'll have more of a laid back vibe before I have a cup of tea here. But yeah, I think it'll go fine.  Yeah, and you've been even living in a tent, sleeping in a tent the past few days. |
|James Stacey|Yeah, my girls want to do the tent thing again. I can't really say no to them, which means I'm in the tent because it's not really a backyard. It's kind of something that's our front yard. Yeah. So I'm actually, you know, tonight we're going to we're going to sleep indoors. And as much as it may belie the extent to which I say I like a tent, I am looking forward to sleeping just kind of in my own bed and for a whole night.  Yeah. Yeah. We had a couple of really noisy nights, the coyotes, there were some sirens not too far from me, like not super loud nearby, but close enough that the coyotes picked up on the sound and were howling with, uh, with the sirens. So that can be fun. And then, um, you know, it's also, it's summertime. So every kid in this neighborhood is out until 10 30. Yeah. They make an unbelievable amount of noise. I'm sure I made that much noise when I was like seven or eight years old. I didn't have a razor scooter to smash into every piece of, you know, curb and street around, but, uh, Yeah. It's just kind of a noisy neighborhood is what I'm learning, especially now that, you know, I'm spending this much time here with the windows open or even in this case, sleeping directly on my front lawn. |
|Jason Heaton|Yeah, I'm sure. Geez. Yeah. I think, I think this time being at home, you're right. It's, uh, and then with the weather, nice, you open the windows, you suddenly realize the sounds of a neighborhood, you know, when you're, you're traveling or busy or working in an office or something, you don't, you don't pick up on that stuff. And suddenly you realize who your neighbors are and what birds live in the backyard. Who's got the noisy Noisy pickup truck around the corner and that sort of stuff. |
|James Stacey|This is also like the first time in a really long time that I've lived on ground level. Oh. Uh, you know, in Vancouver, I was a couple of stories up, which makes a huge difference. I mean, the noise, the noise, the noise in Vancouver, my spot in Vancouver, which is just downtown adjacent, literally. Yeah. Um, was, was a, a 10th of what it is here. And we had the door open all year. It didn't have AC in Vancouver. Oh, sure. Uh, just, just much, much noisier.  kind of existence here. What I can do on a more positive note in an attempt to be positive rather than complain about the noise in my neighborhood, I can tell you that, and I can get a more exact list if this matters to people, but I have now spent several nights and have set up and taken down several times this Alps Mountaineering Taurus 4 is what it's called. It's a four-man tent. It's a lovely tent. I can confirm that. I've now used it a bunch. It sits through the rain without issue.  Nobody gets wet. The airflow is lovely. It's a really simple thing to set up. It's a really simple thing to take down. It dries in the sun like almost instantly. It doesn't weigh that much. So I can definitely support this for kind of an entry-level cheap tent that's also like tough enough for camping with kids and the rest of it. And then I'd have to look at what the brands are, but I've been using these like Amazon brand air mattresses. You know, they're packable and they're small. They're actually to their credit, they're maybe like $40 Canadian even.  And they pack down smaller than my Therm-a-Rest. Now, that said, the Therm-a-Rest is $200 or $300 and has an R rating and is like proper for camping and the rest of it. But these are, you know, if you're going to sleep via car camping or in your backyard or something, serious value. You can blow them up by, you know, mouth and lungs. You don't need some compressor or anything. You easily get four in this tent. So they're the correct size.  Obviously, if you deal with a temperature swing, which we had one last night, I woke up with my hip bone firmly in the dirt. You can go a long way on these off-brand camping equipment. Unless you're really doing backcountry stuff or looking to dial in a gear that doesn't weigh that much and will last a really long time, there's some huge value in some of these just simple Amazon brands. Sierra Wind or something like that made these.  three of the air mattresses I use. And then one of my daughters wanted the orange one, so they got my $300 Therm-a-Rest. The color makes a big difference. That's what I've learned. You should just buy everything the same color. Then there's no telling the difference between them. |
|Jason Heaton|Yeah, I like this idea of, might be a nice topic for the future, is sort of frugal alternatives to certain things and where not to be frugal. I think you're right. I think for 90% of the type of camping that most people do, you know, less expensive, even the sleeping bags, tents, and that sort of thing are fine. And I guess the flip side of that is the one time that you get caught in a high wind storm or something with your your cheap tent is when you get soaked or it gets blown over or something. |
|James Stacey|But yeah, I mean, I've I've guide the the Alps twice. Again, this is a tent that I think I spent one hundred and fifty Canadian dollars on. So this is not an expensive tent. It's it's the second Alps tent that I own. It's not to be confused with Alps and meters. This is a different brand than Alps Mountaineering. You gave me the first Alps tent that I have, which is a two man non freestanding tent, which I think is called the Ghost or the Ghost 2, I think.  I don't. And then this is the Taurus four, which is a simple two pole. Like if you attempted to draw a tent, you would draw this tent door, a door on each side. It has a really nice rain fly and the rain fly can be fully guidance and spiked. Yeah. And we had some pretty serious wind, not like not like bad enough to come inside despite being five feet from my home. But I'm really impressed by this tent for the money. You know, you look at MSR stuff, which is going to be three, four, five times the cost, um, or, or North face stuff, which again, gets quite expensive. It really, you just have to tune it to your expectations. It's a, it's really nicely made. It's good quality stuff. It's a nice place to sit on a hot day. It's a fine place to sleep. Um, as for the things like sleeping bags and all that, I mean, I, I'm very much a fan of if it's for you and you plan on doing this in kind of. Sometimes you're alone. Sometimes you're with these friends. Sometimes you're like, if you're just a camping, person in their 20s that lives in Squamish or something like that. Spend the money on the bag and spend the money on a proper sleeping pad, especially one that's not too loud for your tent mates. The material that the pad is made of can be quite loud, which is something to consider, but spend the money on that because a lot of them are buy one and buy once, cry once scenarios. But if you're just outfitting it for like your kids to do a weekend in the grass in the backyard or something, don't go crazy.  I mean, for the cost of my, certainly for the cost of my personal, like three and a half season sleeping bag, I bought the entire setup I sleep in now. The tent, four pads, four sleeping bags, a light, like the whole thing was less than the cost of the sleeping bag that I would use most of the time. |
|Jason Heaton|Yeah. Yeah. Yeah. We got an REI Basecamp 4, which is their their four person dome tent, uh, gosh, we got it as a wedding gift 15, 16 years ago. And we've used that a lot and we've never had to replace it. Don't even think about it. It sits in the basement most of the year. And then the few times we go, we take it. And the big secret is, you know, we used to deal with thermal rests and little inflatable air mattresses. And then we were like, you know, let's, let's live it up a bit. I mean, we're car camping and there's no weight limit. We're not hauling this stuff in. So we, we have a, uh, a queen sized air mattress that we like put down for guests. Like if we have a full house, we got to put it up in the room. It fits perfectly like in that four person tent with like room to spare on each side. And we just pump it up with a foot pump, takes five minutes and it's, it's luxury. I mean it's like, it's great. And the tent is gigantic so you can sit up in it. You can, I can almost stand full up, you know, at six foot two. I can, Oh wow, that's way bigger than a Taurus. |
