
# The Grey NATO - Ep 116 - June Q And A
Published on Thu, 25 Jun 2020 06:00:22 -0400



## Synopsis
The hosts discuss an upcoming Rolex auction for charity, share their weekly wrist checks, answer a variety of listener questions on topics like helium escape valves, reading Ian Fleming's books, selling watches, choosing lady's watches, mountain climbing gear and tips, using mechanical watches for tough activities, watch collecting versus enthusiasm, and finding large watch straps. They also share media recommendations including the band The Longest Johns and the Donut Media YouTube car channel.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-116-june-q-and-a)
- [episode MP3](https://www.buzzsprout.com/2049759/11311004-the-grey-nato-ep-116-june-q-and-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Gray Nado, a Hodinkee podcast that's a loose discussion of travel, diving, driving gear, and most certainly watches. My name is James Stacy. I am joined as ever with Jason Heaton, and this is episode 116, and we thank you for listening. How you doing, Jason?  Pretty good. Yeah, really good. It's been a good Monday, I think. Good weekend, good Monday. |
|Jason Heaton|Yeah, it was a good week all around. I mean even, you know, we just aired a few days ago and I announced the winning bid for that Unimatic that I auctioned off for Big Brothers Big Sisters and I'm happy to report that I sent off the check to Big Brothers today and the watch is on its way to Maldives. It's probably just a couple days away now and No, no, no sooner than that's off my plate. You have some exciting news about the Helios auction. |
|James Stacey|Yeah, so for those who may have missed the last episode or don't do the Instagram thing that heavily, we auctioned off or I auctioned off my first series pastel dial 12 hour bezel Helios C4, a favorite watch of mine, but one that I also thought would earn a respectable amount of money for this sort of scenario. And I gave the option for the high bidder to pick from a And I gave the option for the high bidder to pick from a few different charities. They ended up selecting the Innocence Project, and the total came out to $2,800. That's amazing. Which is more than 4X the original retail for that watch. And I think a really impressive result, especially when you consider that we put up two watches that maybe together would have cost $1,500. Yeah, right. And we're at about five grand. Jeez.  Yeah. So I'm really happy with this, and I've already been conferring with the high bidder, and that's how I got the receipt of their donation to the Innocence Project. I'm really thrilled about this. It really put a lot of gas back in my tank about my feelings about humanity and people, and certainly our community. And I don't mean our community like the people listening to this, but I mean the community of people who like and share watches online.  Right. Of which you and I are a part, not so much the distinct TGN community. I'm always 100 percent on board with those folks. So, yeah, that was great. I'm really, really thrilled. So that that donation is already made. I don't have to do in your case, like with the check or whatever. I just have to actually send the watch. And the funny thing is, is, you know, you deal with great people. Sometimes you take it for granted. But, you know, Jason from Haleo saw the auction total and he said, hey, you know, That watch has been kind of out of my orbit since you got it back a few years ago. Do you want me to take a look at it first? So it's going to go to Hallios and make sure that it's tip top, and then it'll go to the winner. |
|Jason Heaton|Oh, that's great. And the winner's in North America, right? It's in Texas. |
|James Stacey|That's not far to go. Good.  Nope, not at all. So he'll get a pristine and fairly rare, cool little Hallios and I'll miss it. But also I'm pretty thrilled with if it's going to go, I think this is the way it had to go. I don't think this is a watch I ever would have sold. Yeah. Unless things were fairly dire. But in this scenario, other people's scenario is pretty dire. And I think this is a good way to chip in what we can and We actually have another auction to announce for those of you who haven't gotten, you know, tired of this one. And at least in this case, we definitely saved the most impressive for last. You want to fill people in? |
|Jason Heaton|Yeah. So this is really exciting. We've got a friend of the show and a friend that James has met out in Denver, Colorado, who kind of saw what we were doing with the Unimatic and the Helios auctions and offered up his own single owner Rolex Oyster Perpetual for a really good cause. He's planning to auction it off on Instagram as, as we kind of did, um, with all proceeds going to the equal justice initiative. And, you know, both of us were just blown away by this, by this offer. And Sam asked us to help him spread the word and kind of for some advice on how to get this cranked up. And so he has actually set up an Instagram profile specifically for this auction. And the address is at Rolex four, that's the numeral four EJI.  And you can go there and follow and just, you know, bid if you're able. If you're looking for a cool, you know, beautiful 36 millimeter steel dial Rolex Oyster Perpetual, here's your chance to get one and to do something for a really good cause. So we're really pumped for this and, you know, I don't know. I mean, I love how this is sort of blossomed out of our friend Soog's, you know, original swatch that he put up and then the Unimatic and the Helios and it just keeps going. I just love it. |
|James Stacey|Yeah, I agree. And the big thing to keep in mind here for anyone who's listening is again, this is a nice single owner, boxes, papers bought from a great retailer in Denver, 36 millimeter steel OP. It's a really cool one with a kind of like a steel tone dial. And then Sam and his wife are actually going to match up to $5,000. Amazing.  So if this watch even goes for what it's probably worth normally, we're talking about 10 grand for charity or more. Wow. And I definitely think it should be more, you know, if we're getting 4x on a Hallios. Yeah. I don't see any reason why we can't see a great result for this. And it goes to a charity that's really well managed. You know, this is a very well vetted charity via charity navigator. And Sam, I mean, we're just thrilled to that you even asked for us for us to help out. And this is something that can, again, earn some more money and you know, likely considerably more than we've, uh, we've generated so far for these sorts of charities. |
|Jason Heaton|Yeah. And we should mention that he's planning to start the auction, um, today. So if you're listening to the show on Thursday, the 24th, um, at noon today, and I, I assume that's going to be mountain time, which is Sam's home time zone. Um, but be sure to check out Rolex for EJI on Instagram for more details. And we'll certainly be regramming and reposting and kind of spreading the word as we can. |
|James Stacey| I don't think you'll be able to miss it. We'll make sure that people get the notice and you get a chance to throw a bit in there if you're game. And yeah, I like between the matching donation and a really cool watch. I think this is a win in almost every direction. And yeah, I'm a little bit speechless. I'm just just so thrilled that this worked out the way it did and that Sam and his wife were so generous to to think of this way and and, you know, ask for a little bit of help, which we're more than happy to to attempt. |
