
# The Grey NATO - Ep 117 - Summer EDC With Kyle Snarr
Published on Thu, 09 Jul 2020 06:00:14 -0400



## Synopsis
This episode features a discussion with guest Kyle Snarr about summer everyday carry (EDC) items like kerchiefs, pocket knives, headwear, and bags. Kyle shares details about his new company Contonement which makes kerchiefs designed for various uses. The hosts and Kyle also discuss their favorite dive watches, shirts, shoes, and other summer gear preferences. They share recommendations on books, TV shows, and podcasts as well.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-117-summer-edc-with)
- [episode MP3](https://www.buzzsprout.com/2049759/11311003-the-grey-nato-ep-117-summer-edc-with-kyle-snarr.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of the Graynado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 117 and we thank you for listening. Jason, how are you doing? Keeping cool? Yeah. |
|Jason Heaton|You know, we go to this weekly, weekly episodes and our, our episode count just Goes up faster, doesn't it? 117. |
|James Stacey|It sure does. Yeah. I mean, we took last week off happily. Um, and you, you had a, you had a kind of like a cabin getaway during, during that time off. How was that? |
|Jason Heaton|Yeah. Yeah. It was much, much needed, much needed. We, um, we went up last week for I think four days and rented a cabin way up on what's called the Gunflint trail, which is what used to be an old, I suppose, logging or, uh, back country dirt road that went up close to the border with your country, and there's just a lot of lakes. It's up in the Boundary Waters Canoe Area Wilderness, and there's kind of a lot of cabins on lakes, and so we rented a place, had a private dock, and just kind of a normal, you know, no frills cabin, probably built in the 30s or 40s, and had a potbelly stove, which we didn't need to use, obviously, but we just spent a lot of time on the dock.  read books on the dock. We took naps on the dock. We had evening gin and tonics on the dock. Um, I finished a novel and then every day I went for, I went for a swim. I had my, my dive mask and some swim fins and I just, you know, jumped off and the water was really, really clear. I mean, it was nice up there. I think their, their ice out date is sometime in late May, you know, so that the vegetation doesn't, doesn't grow, uh, probably till late summer. And so it's a lot of kind of underwater boulders and, So it's really clear water and there were a lot of bass swimming around, really friendly fish, kind of curious about who I was and what I was up to and practiced a little freshwater free diving and kicked around a bit. And then we rented some kayaks from the owners of the place and did about a three-hour paddle up and down the length of the lake and went for a short hike on the day that we left. And as always happens on these trips, which I've forgotten about, we go five hours north of here and it's, it's nice and cool. And then as we head back home, it progressively gets hotter and hotter. And now we've been above 90 degrees Fahrenheit here for, you know, days and days. So, uh, it was, it was good. It was, it was well needed. Um, and you know, you and I have been talking about jumping off docks for, for several weeks now. And, and I finally got a chance to do that. And I think, you know, you did too. I mean, you just did yesterday, right? |
|James Stacey|Yep. Yeah. Yeah. I went, I went back up to, uh, kind of the family cottage.  Um, and, and did another day trip up there. The, the facilities aren't, are, you know, in need of some repair and not something that I could kind of deal with in a one day scenario. |
|No label provided|Yeah. |
|James Stacey|It's about two hours out of Toronto for me. And I've really grown to adore driving, uh, over quarantine. And then now with the Jeep, which I'm quite happy with. Uh, so yeah, we took a spin up there, brought masks and fins, did some, uh, I wouldn't call it free diving. I really, I found my lungs to be less cooperative than I thought. So we threw on some snorkels and just kind of floated around in the, in the, you know, I'm also in, uh, my West coast diving gear. So I've got five mil wet boots and then big steel spring loaded V 16 oceanic fins. Yeah. Right. So I could, I could motor around for sure. Um, you know, it's, it's one of those things that it's funny cause it's been years since I prepped a mask, a new mask. Yeah.  And I did the toothpaste treatment a couple of times. These are just like some simple Cressy Pano masks. I think they're like the best value in masks out there. I paid, I don't know, maybe $40 a mask. Yeah. Really simple, super adaptable to most people's faces. I bought a pair of them. I bought some fans and then I used mine.  And just a really, really nice thing to jump off a dock. The water was cooler, quite a few degrees cooler this weekend than it was two weeks ago when I was up there. And so I got that cold snap when you jump in the water, which is what I wanted. And then we finned around for a bit and saw some sunfish, some rock bass, some smallmouth, crayfish, simple stuff. It was nice. You could be in five, six feet of water.  It was beautiful. And I'm really excited to go back up, maybe with a weight belt and do something a little bit deeper. Yeah. You have to go pretty far out. So I'll need a signal, which I have for boats. There's a lot of boat traffic on this lake. But yeah, it's isn't it just the best? Like just even even like mask and fins are one thing, but just like you're hot and you go like, I'm going to jump out of the dock. |
|Jason Heaton|Yeah. Yeah, it's perfect. And it's funny.  And the cool thing about lakes is the surface of the lake heats up pretty quickly. So, you know, we arrived on, I guess it was last Sunday at about, you know, five o'clock and checked in and kind of got settled. And then I went down to the dock at, you know, it's light until 10 o'clock and, uh, I got in the water and, you know, the top foot of water has been warming by the sun all day. And then I free dive down about 10 feet and it's like this thermal climb that's, uh, you know, downright chilly. And it's, I don't know, it's just something.  I've missed that. I've really missed that. I think over the years, taking so many dive trips and going to exotic places, going to the Caribbean and stuff, I've forgotten the beauty of just swimming in a lake here in this part of the world. It's so nice. If there's been a silver lining to all of this kind of staying closer to home stuff, I think a renewed appreciation of kind of cabin life and going up north and just doing the simpler stuff is definitely part of it. |
|James Stacey| Yeah. No, I agree. It's been super nice. It's also like it's a little bit of a, of a ability to scratch the itch to dive. And, uh, and, and man, I, I, it's been a long time for me since I dove, you know, it was Clipperton was the last time I was in earnest, like underwater, like actually diving. And that's years and years at this point. And it feels bad for me to be the guy that says the, you know, the, the tagline at the top of the show, I haven't dove in a few years.  Yeah. Uh, between, you know, two kids and then work got crazy. It's still work is still crazy. Like everything gets crazy. And it's one of those things where like diving takes, you have to actively cut other things out of your life to make room to dive. Right. Right. And now I'm at the point where like, as soon as the whole scenario kind of wrapped up around COVID allows that it makes sense. I'm going to have, I'll have my reg service. I'd like to get back in the water this summer. |
|No label provided|Yeah. |
|James Stacey| uh, for a dive, maybe head up to Tobermory or something like that. We'll see. But, uh, I, I miss it a lot. And it was so nice just to even have a little taste of it with the mask and the fins and, and getting into the water. But it was kind of like that double-edged sword where like, I got a little bit of what I wanted, but I also got reminded of how much I didn't have. |
