
# The Grey NATO - 118 - On Paper, On Wrist // The Seiko SPB143
Published on Thu, 16 Jul 2020 06:00:16 -0400



## Synopsis
Jason and James discuss Jason's new Seiko Prospex analog digital watch and James' new Seiko SPB143 dive watch. They go in-depth on the features, sizing, and quality of the SPB143, which James is very impressed with despite the higher price for a Seiko. They also mention the new video on Hodinkee about the refurbished Tudor watch that was damaged in the Vietnam War. For final notes, they share articles on underwater archaeology in Sudan, the black market for bourbon, and a photo essay on how giant ships are built.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-118-on-paper-on-wrist)
- [episode MP3](https://www.buzzsprout.com/2049759/11311002-the-grey-nato-118-on-paper-on-wrist-the-seiko-spb143.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 118 and we thank you for listening. Busy week out there for you, James? |
|James| Yeah, plenty busy week. It's been, um, I don't know. It's been a busy, I guess it's been a busy season, but, uh, yeah, a lot, a lot of stuff going on with, uh, with, uh, Houdinki and just trying to balance work. And, uh, I don't know, something like a life you don't really go out anymore. So that's kind of different, but, uh, yeah, it's been busy. How about you? Decent weekend for you? |
|Jason Heaton| Yeah. Yeah. We had a great weekend. We've, uh, kind of, you know, as, as many people have during the pandemic, I mean, it's what it's a sourdough and it's a gardening and I don't know, a few other things for, for almost everybody these days, but we, uh, we've been tackling kind of getting our garden in shape. So we had a tree company come out and do a lot of some long overdue trimming and cutting down some, some kind of invasives and stuff like that. And then we kind of put a good effort in on the weekend and fit in a long bike ride. And I managed to, Do a couple of projects on the Land Rover. So it was kind of, kind of a hit all the high points this weekend. We had a little exercise and some long overdue projects and lovely. Um, yeah. And then we still had time to have a gin and tonic on the, on the patio afterwards. So it was, uh, it was good. |
|James|Yeah. I'm glad to hear it. And, uh, you've got a, you've got a little trip coming up for next week and the weekend after this episode comes out. |
|Jason Heaton|Yeah. So we leave on.  I guess it is Saturday, yeah. So two days after the episode goes up, we're headed up to the upper peninsula of Michigan to do some camping near a place called Pictured Rocks National Lakeshore. So it's a beautiful stretch of lakefront up there in Lake Superior where they've got these sea cliffs that have, I guess they've had some seepage of colorful minerals that have painted the cliffs these beautiful colors and it's a popular place to go kayaking and that sort of thing.  I managed to find a campsite for us that's on a place called 12 Mile Beach, which, as the name suggests, is a very long sandy beach right on the lake. And you can camp just above the dunes there, kind of in the pine forest. And so, yeah, we're going to do some car camping and hopefully not see anybody else or kind of keep our distance, which should be fairly easy there. And then, yeah, I managed to find a guy who runs a glass bottom boat business up there that's not doing terribly well these days. And he's, he runs a little sort of side business, taking people out diving. And I asked if, you know, if there's a possibility that Ghoshani and I could jump on his boat and if he can kind of stay forward in the boat and we can stay at the back, we should be able to do a pretty safe dive outing and dive a couple of wrecks. It's an underwater preserve up there. So they've got about a dozen shallow, like we're talking 30 to 40 to 50 foot wrecks, not unlike, you know, Tobermory up there. Well, you know, freshwater, some schooners and steel boats and things that are in really, really good shape. So hopefully get some good photos and just, you know, I'm badly overdue getting in the water. So, uh, yeah, we'll see. I hope the weather holds out. |
|James|Yeah. I hope that, I hope that works out too. That sounds like it could be a pretty good venture and, and yeah, I'll be, uh, I will be, uh, just riding with jealousy.  that you get to go diving. That's awesome. Yeah. Yeah. The only thing is if so by the time this comes out, actually the day we're recording it, I would give a heads up to anyone who might have missed it, but we did publish on Hodinkee the second kind of volume, the second part of the Long Return, which of course was this story about two Vietnam veterans that during an active conflict in Da Nang exchanged a watch.  It went to a medic and the medic had it for 50 years and then they reconnected and he got the watch back. The soldier got the watch back. I highly recommend you check this out because it turns out that the story was kind of heartwarming and people kind of attached to it. And it turns out that Lieutenant Barry Jones, the gentleman who was injured in Vietnam and lost the watch, gave it to Laurie, the medic.  wrote Tudor and Rolex and asked if they'd be interested in, you know, refurbishing the watch essentially. And of course, if you've seen that original video, the watch was in terrible condition. It had been shot by a bullet. It was all kind of twisted and mangled. It was missing, you know, a bezel and crystal and at least one hand. And it was in kind of rough shape, like really rough shape as far as watches go. And it turns out that Rolex, we can now talk about this as we publish the video, but Rolex was happy enough to take on that task and actually had a couple of their, you know, most senior, most capable restoration guys, um, tackle this task of rebuilding the movement and reshaping basically the entire watch, uh, you know, removing the hands, which had fused to the dial, uh, and, and essentially rebuilding it to be as original as possible with all the scars and the general damage and that sort of thing intact, but straightened out so it could have a log bar reinstalled and Barry could actually put it on his wrist or, you know, his son could wear it as well. And the video came out and people have been very nice on the internet, you know, attaching my name to it. I really just did the voiceover and helped write the piece, the words that went up on Hodinkee. It really is a win from Will's team. He's, you know, one of our most senior guys at Hodinkee, but he manages the video projects and between him and Shahed and David and Gray and Sam and all these other folks that worked on it. We were able to put this, what I think is a pretty great video together. |
|Jason Heaton|Yeah, it was incredible. I mean, this is, this is like one of those Holy Grail stories. You know, it has every element that, that people like. I mean, it's a, it's a brand people love and it's, um, people like these, uh, you know, lost and found kinds of stories. It kind of tugs at the heartstrings. And then of course the, uh, the fact that, you know, Rolex came through and did this, which, seems like something that uh you know other brands do but you don't often hear of of a Rolex or a Tudor kind of taking on something like this and I um I think it just goes to show that you know uh especially our buddy Christophe at Tudor I mean he has a really um soft spot for kind of military use of watches anyway I think he's really into that and I think absolutely it was neat to see him in the video I kind of saw the uh, like a clip from it. I think it was one of the lead images or something on the, on the story. And I thought, is that Gary Sinise sitting there talking to these guys? And it was, it was Christoph. And, uh, so it was fun to see him in the video and, um, yeah, just tremendous work. I, I, I watched it a couple of times and it's, it's just, I don't know, it's, it's such a warm video. Uh, I just, I just loved it. So. |
|James| Yeah, I would I would say, please, please go in and check that out if you happen to miss it. I would say there's probably a good chance most people listening to this also caught that video. It was probably one of the bigger things to come out of Hodinkee recently as far as editorial projects. And and yeah, it's something that I'm like, I'm proud to have played a small role, but I'm really proud of what the team was able to put together in kind of closing the loop on that story and those characters and that watch and all really nice stuff. So that was a win this week to see that finally go live. You know, some of that was recorded.  uh, like a year ago. So it's, uh, it's nice to see it come together. |
|Jason Heaton|I don't know about you, but when you, when I watch movies or TV shows now, or even a video like this, and I see people interacting like that, I always, I always get this like weird sense of like, Oh, they're not social distancing. They're not following. And then like, Oh, wait a minute. This is something that was recorded a long time ago. It's a movie. It's a show. It's something. |
