
# The Grey NATO - Ep 119 - Gold And Broncos With James Lamdin
Published on Thu, 23 Jul 2020 06:00:19 -0400



## Synopsis
Jason Heaton describes a recent camping and scuba diving trip he took with his wife in Michigan's Upper Peninsula. James Stacey discusses snorkeling and attempting some DIY electronics repair. They are then joined by guest James Lambden of Analog/Shift to discuss his start in the watch world, his fascination with vintage Doxa watches, the changing watch market landscape, and his other interests like cars and films. Lambden also provides his take on why he participated in Sam Friedlander's charity Rolex auction for the Equal Justice Initiative.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-119-gold-and-broncos)
- [episode MP3](https://www.buzzsprout.com/2049759/11311001-the-grey-nato-ep-119-gold-and-broncos-with-james-lamdin.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 119 and we thank you for listening. Well James, I think this week we might be able to actually cover travel, diving, driving, gear, and watches this time. |
|James Stacey| I think we probably do all of it. Yeah, you've had you've had a pretty fun trip that you just got back from. You know, normally we record this these episodes, you know, a couple of days in advance of of when they go up. But we're actually recording this about 12 hours before it's going to publish this segment. You know, obviously the main chunk of the show is an interview with our buddy James Lambden. But the this kind of front and then the bumper at the back, the the final notes was recorded very freshly as you've been, uh, you've been on the road. |
|Jason Heaton|Yeah. And, um, you know, thanks for being patient here. I got home fairly late last night from kind of a long road trip that Kashani and I took up to, uh, the upper peninsula of Michigan. I had hinted about this trip last week when we recorded and, uh, funny, you know, even within the week between shows, uh, we've done this, uh, really, really fun adventure. We drove, gosh, it's about an eight hour drive from Minneapolis up to Munising, near Munising, Michigan, to what's called the Pictured Rocks National Lakeshore. And we got a National Park Service campground or campsite on an area called 12 Mile Beach, which is this beautiful, just very long, I don't know if it's 12 miles or if it's 12 miles from something, but this wonderful campsite. And so we car camped, we set up our big four-person REI dome tent, and then thankfully, We brought along a, this screen house, you know, so it's one of these kind of screen tents that you can set up. And we put that over our picnic table and, um, which was nice to be able to kind of cook and eat and stuff without the bugs getting us. And, uh, yeah, so we did three nights up there and it was, it was kind of a perfect trip. I think, you know, given what strange times we live in with not being able to do much in the way of travel or socializing or anything like that, it was about as good of a, an option as we could find, uh, you know, camping is, is a very socially distant sort of activity. So we felt comfortable about that. And other than three gas station stops in the whole trip, uh, we were kind of on our own and yeah, the, the weather was great. We did have one night that was a kind of a torrential thunderstorm that dropped a huge tree limb, very close to our car, which, uh, goodness, you know, I hope my mom who's listening as usual, doesn't get too freaked out by that, but, uh, It was a little disconcerting to wake up and find this very big limb sitting a few feet from our tent and a few feet from our car.  We survived and we did some kind of short hikes along the shoreline there and got into a couple of books. One of the nice things about car camping, I used to be a bit snobby about it, I used to always think backpacking is the only kind of camping I'll ever do, but as I'm getting older I think car camping is very appealing because you can just take stuff that you wouldn't normally take when you're backpacking. Like, you know, we have this Primus stove that has kind of a grill on one side, a small burner on the other, and it just hooks up to a canister. And it's pretty compact, but it allowed us to, you know, cook some decent meals. The first night we were there, Ghoshani had pre-made like a, you know, like a roti. It's like an Indian or Sri Lankan flatbread. She had kind of made these balls of dough to take along. We flattened those out and put those on a griddle.  And made those. And then she actually whipped up a little tuna curry. She brought all the seasonings and a couple packs of tuna and mixed that up. So we had those two together. And then we had brought some salmon along and we built a fire in the fire pit and used the grate to cook some salmon fillets. And did like a little beach picnic one day and brought, you know, gin and tonics. And so it was a proper civilized getaway. But, you know, to spend four days Living outside was, was really nice. So we hadn't done that in a long time and to sort of lie in the tent, listen to the wind and the trees and the birds and the waves pounding on the beach down below was, uh, was really, really nice. And, uh, sounds fantastic. Yeah. And then Monday, I guess we, we, uh, as I mentioned before, we had booked a spot on a dive boat. So Munising is about a 40 minute drive from where we were camping. It's back along the shore.  And it's this little town that sits in a bay, a very sheltered bay with a big island called Grand Island just offshore. And there's a lot of shipwrecks. There's about a dozen good shallow shipwrecks in the area. And this company does shipwreck tours via Glass Bottom Boat, but they also run a little dive charter as well. And so I had called ahead a few weeks ago and said, hey, can we kind of do something that's not, you know, we're not going to be in proximity with other people and whatever. And he said, well, I'll, I'll drive the boat. If you guys want to sit at the back and, and dive, uh, we should be able to be pretty safe, um, pandemic, you know, pandemic safe. And for sure, that's what we did. And we, we went out on Monday and it was a pretty gusty day outside of the bay. So we were, uh, had fewer options for, for, for diving. But, um, the rec we did was a, 130 foot wooden schooner called the Bermuda that sank in I think the late 1800s and it was pretty well intact. It's sitting upright. The masts are long gone, but it even had like a barrel sitting on the foredeck that was like upright and intact and clearly like still had stuff in it. I don't know what would go in that barrel. Wow, whiskey. Yeah, that's what I want to believe.  So we dove this wreck. I mean, it's 27 feet to the bottom. So very shallow. You're basically doing, you don't even have to do a safety stop after a dive like that. And the water was 63 degrees Fahrenheit. So not horribly cold. I wore a seven mil wetsuit. Gishani wore a dry suit. And you know, the wreck is 130 feet long. So we were able to spend close to an hour just doing slow laps around it. You could penetrate down inside and there was this cargo of leftover iron ore.  that was left in the bottom that you could check out. And just a really neat picturesque wreck that was in very good shape for something that's that old. So to do this dive camping kind of weird mix was really novel and really added a fun element to it. And then we went back to the campground and all of our dive gear was strewn all over the campsite, layered on top of the car and heaped on the picnic table and everything.  We got some strange looks from people, but, uh, it was, it was fantastic. And then we drove home. Just like I said, we got home late last night after the scenic drive, which took about nine hours. And, uh, here I am smelling like, uh, a little bit like a campfire still. |
|James Stacey|Yeah. I like where it gets stuck in your hair. |
|General agreement/affirmation|Yeah. It's good. Yeah. |
|Jason Heaton|And I actually have hair now because I haven't cut it since March or something. |
|James Stacey|Mine is so long. I have to shoot some video in a couple of days and it's kind of like, do I, do I, do I, you know, put the dice in the air by trying to cut it? |
|General agreement/affirmation| Yeah. |
|James Stacey|Even just tidied up a bit. And then I was like, nah, no chance. It's just going to be long. Man bun. |
|Jason Heaton|Yeah. |
|James Stacey|Yeah. Yeah. It's, it's getting there for sure. |
|Jason Heaton|Yeah. So, so that was my travel, diving, driving gear. And, and well, we didn't talk about watches, but you, you also drove, drove somewhere and got in the water and. |
|James Stacey|Yeah, I went, I got a, I had a spare night. So I went up to the cottage for some, you know, distanced camping. |
|General agreement/affirmation|Yeah. |
