
# The Grey Nato - Episode 12 - "One Watch???"
Published on Tue, 05 Jul 2016 09:02:13 -0400



## Synopsis
Jason Heaton and James Stacey discuss the idea of having to choose just one watch to wear forever if they could only keep a single timepiece. They each provide their top choices and rationale, considering factors like durability, interesting design, versatility, and sentimental value. Jason also interviews Hamilton Powell, CEO of the pre-owned watch seller Crown & Caliber, who shares insights into the vintage and pre-owned watch markets, authenticating and servicing timepieces, and his own collecting journey. The hosts wrap up by recommending media related to the extreme sport of cave diving.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-12-one-watch)
- [episode MP3](https://www.buzzsprout.com/2049759/11311112-the-grey-nato-episode-12-one-watch.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton (host)| Welcome to episode 12 of The Graynado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm Jason Heaton. |
|James Stacey (host)|And I'm James Stacy. Today we're going to do something a bit different. We received a thought-provoking question from a listener, and this one simple query is actually going to be our main topic for this episode.  So Scott kindly wrote in and asked, if both of you could pick one watch to be your only watch forever, which would get the nod and why? So this is kind of like a perennial question. I've heard this many times. I've been asked it on Instagram and in emails before. And, uh, I think it's fun to do as a conversation, I think as a one-sided thing, it's a little bit dry. And then as an added mix, um, while Jason and I generally can see kind of a mass idea, like a notes.  for the show, we've separated our notes. So I actually don't know what watch Jason selected or why. And he doesn't know what I've selected. And we haven't chatted about it beforehand. So, you know, Scott, this is a great question. And I'm really excited to, to dig in on it. So I think it's fair to limit this hypothetical exercise to answers that are realistically within the realm of what Jason and I would actually spend on a watch. So it's not really like one lottery watch. It's more of the, you know, one watch that we would actually buy and then wear forever. Sound about right, Jason? |
|Jason Heaton (host)|Yeah, that's kind of my take on it as well. I mean, I think, you know, funny thing is I think the types of watches you and I gravitate towards are generally not the $50,000, you know, Patek Chronograph or something like that. Anyway, so I think we're probably going to be pretty aligned on budget and kind of type of watch, but it'll be interesting to see how this plays out. |
|James Stacey (host)| Yeah, I would expect so. And the idea that it's going to be the one watch that you wear really presents like a number of factors that you have to consider. And this would be a ludicrous question for somebody who maybe doesn't care so much about watches, like where it's an appliance or, you know, something they have because their peers all wear watches. With a watch nerd, I mean, like a huge part of this hobby is actually enjoying and getting and moving around and experiencing new watches.  Um, so I mean, I think if I had to pick one, I mean, I have, I have a watch that already kind of fits the parameter, but it would be too boring to select it. And that would be my, my Explorer 2 from Rolex. Uh, I picked that watch because I really liked it. I took a long time to kind of pick it out from other various options, but I think it, it works roughly as a framework for what I would be looking for in the, the one watch discussion, because I like a GMT. I like decent water resistance. I like something that's not too big.  like something that theoretically you could wear all the time in any situation. And I like a wide and you know, if you're going to have that one watch, you also have to consider like, what watch isn't isn't likely going to give me a lot of trouble as far as maintenance. And you can get a Rolex serviced quite reliably, wherever and and they're known and have a long standing history for being very robust, tough wearing, you know, ready to roll watches. And I think that's probably something that would apply importantly to this sort of a decision. So ignoring a watch that I already have because it would be boring, it is a little tempting to go with something like really expensive because it's, you know, you're only going to have one. And I'm fairly tempted by something like the Patek Philippe, the travel time. Oh, wow. Yeah. So the Aquanaut, not the chronograph, just the, you know, it has a separate hand for another time zone.  to another 12 hour time zone. And then it has the pointer date. So it's the 5164A-001 on the rubber strap. That watch is never going to be out of place. And it's 120 meters water resistant, beautifully made. You're not going to run into a lot of issues as far as service goes or the quality of the movement. It's 40.8 millimeters. So the sizing is really nice. And the functionality is there. It's not a dive watch. It's not really like your traditional GMT watch, it's not giving you a 24 hour display. But but I think it has, it has like an x factor that I've always kind of loved it is, it's largely disqualified, because I don't think I would actually go and spend that much on a watch. It's just, you know, it's a, you know, given my my background, my middle class background and everything, I see a watch like that and think like, well, maybe someday, like in a lottery scenario, or if, if things went really well, sure, you could talk your way into that. But I think It would belie the purpose of this discussion, but I would be remiss not to mention that watch. |
|Jason Heaton (host)|That's a really interesting sort of first stake in the ground for me to hear from you. That wasn't even on my radar. I'm surprised you mentioned it, but I think it brings up an interesting point, and it's one of my factors or criteria if I think about a one-watch candidate. And that is, you know, there are things like the ruggedness to be able to kind of take on almost anything you can do with it, because you'd be wearing it for pretty much everything.  Um, but also, I mean, there's this intangible, uh, sense of a watch that, that I was thinking about that's, that's actually quite important on my list of criteria. And that is a watch that is interesting enough that would keep me engaged for a really long time. Because if it's the only watch you're wearing, you know, as somebody that collects watches, I don't have a huge collection, but you know, like you, James, I, I'm kind of in this because I enjoy getting new stuff and kind of checking it out and wearing it for different things. But if I just had one.  that that aspect of watch collecting goes away. Yeah. If you know, assuming this is a self imposed sort of life sentence of one watch. So I want something that that every time I look at it, I see something new or there's something that keeps me interested. So I you know, I can kind of see where you're coming from on that that travel time Aquanaut because it has that it has the great finishing it has the the cool dial and the interesting complication. You know, plus it's a sports watch. So yeah, I could I could get on board with that. It wouldn't be on my list, but that's an interesting first sort of foray. |
|James Stacey (host)|And as far as still being in the watch community, you could do worse than being the guy that's just always wearing an Aquanaut. Oh, you'd be the cool guy. I mean, yeah. I think they're an immensely cool watch. I personally find them to be aesthetically beautiful, and very much it's the sort of watch where it would change its personality with the strap.  a look despite seeing new things that I guess you couldn't get because of this one watch sentence, I think you would still look at it and be like, gosh, I'm doing okay. I'm not hard done by here. Right. You know, it's one of the legendary names within watchmaking. I love that it's from a brand that's typically seen as a dress watch manufacturer. I think that's fair to say. It's neither a chronograph, you know, like a perpetual chronograph or something like that, nor a dress watch. But it has those, qualities to it, that sort of timelessness in the design and its agenda design. And I think there's a lot to like there. And if the budget was was not so much of an issue, I think this would have been like a serious contender for me and not something that I simply mentioned because I think it's such a really, really cool watch. Yeah. You know, do you have anything in your list that would kind of match up with that? |
|Jason Heaton (host)|Not really. And I think the reason is, is because one of another one of the factors on my list, along with something just really interesting to look at all the time is, um, I, one of my really strong factors is unobtrusiveness, uh, a watch that I don't want to necessarily say it blends in because I don't want to bland watch, but something that doesn't necessarily draw attention to itself, no matter where I find myself, I, I tend to, you know, travel a lot. And if I hate the thought, you know, I always, I remember used to read forum posts from people that would say, I'm going on vacation to Mexico, which watch should I take? Oh, leave your Rolex at home, leave your, you know, whatever it is at home and, you know, get a G Shock. And I'm like, that always defied my just my sense of who I am, you know, I want I want my one watch to be one that accompanies me anywhere I go and on all my adventures. And I think the paddock might, you know, just might, you could force some uncomfortable situations if you're sitting at a dive bar in some little town and you know, Tijuana or something like that, and you're wearing that on your wrist. So that might That might negate that one for me. I guess when you talk about something, or it doesn't line up at all with the Aquanaut, but something that kind of fits that mold of something that's interesting enough to keep me engaged, and I think it's a watch you love as well, is a Doxa. And it's the 750, the sub-750T, the GMT. |
|[pause/background noise]|Oh, yeah. |
|Jason Heaton (host)|Yeah, we've talked about it, I think, on past shows. I think it was on my Ones That Got Away show. |
|James Stacey (host)|Yeah, and it's on my list for tonight.  Oh, okay. We can scratch it off my list too. I think it's just like if you, if you were going to stick in the realm of an ETA based watch, that's an absolute fave. |
|Jason Heaton (host)|Yeah. And, and you know what, you know, I had one for six months or maybe a year, I can't remember. But the thing about that watch and, and Doxa is one of those companies, the watches, they're kind of polarizing in their design. Some people look at them and just think they're ugly. It's got this weird bezel that sticks up off the case, this funky handset.  If you get into them, they're the coolest watches, you know. And I think it's a watch that, especially that one with the inner rotating, you know, 24-hour scale, the no deco limit bezel, that skeletonized, oversized second hour hand, you know, it's just, it's a watch that every time you look at it from every different angle, it keeps you engaged and it's just fun, you know, especially if I had the Diving Star version, which I think is kind of the cool one. I know I think you like the Caribbean, the blue one as well, but I do. |
|James Stacey (host)|Those are the two good ones, though. The blue, orange and yellow. |
|Jason Heaton (host)|I mean, just I mean, OK, they might not be the most versatile. So, you know, if you talk about one watch, gee, can you wear it with a suit or a tuxedo? Well, no chance. I don't find myself in those situations often. So, yeah, I might not be able to wear it in those situations. But then again, maybe I would. But, you know, it's it is a watch that if you had for 10 years down the road and it's all scratched up and beat up, it's going to look better.  And chances are, assuming it's rugged enough to kind of survive that long, which I think it would be, I think it's one of those watches that could sustain me for a very long time. |
|James Stacey (host)|Yeah, I would agree. I think they're a really excellent design and they have just enough additional functionality without changing the overall appeal of the Doxa Sub. Yeah. Like you still get the relative appeal of the three-hander.  And it doesn't go as far into kind of a whole different thing as the chronograph. Right. I love that, like with most Doxa watches, you have all of the color options. And that blue-orange, I think I've mentioned before, that I got a chance to see it at Baselworld a couple years ago, you know, in person. And it had like an... I had an instant reaction to how, like, to having it on wrist. It's really... The appeal is really strong. Yeah. And it was an easy contender for this list. You know, it has a functionality, the GMT functionality that I love.  And yeah, sure, maybe it wouldn't work with a suit, but again, I guess I would just not wear the watch or I'd put it in my pocket if I was really that worried about it. |
|[agreement/acknowledgment noise]|Yeah. |
|James Stacey (host)|And just be, you know, adopt some, you know, kind of presumptuous line about how when I go out to some nice party, I don't wear a watch because I'm not worried about time. And then make everybody else feel bad for wearing their JLCs and Pateks and such, so. |
