
# The Grey NATO - 122 - A Summary Of Summery Dive Watches
Published on Thu, 27 Aug 2020 06:00:27 -0400



## Synopsis
This episode of The Graynado podcast discusses various dive watches released during the summer. The hosts, Jason Heaton and James Stacey, review and share their thoughts on several watches, including models from Mido, Blancpain, Scurfa, Doxa, Yema, Breitling, Oris, Baltic, and Seiko. They cover details like size, design, price, and unique features of each watch. The discussion ranges from affordable micro-brand offerings to high-end limited editions.

The hosts also touch on personal updates, including Jason's new newsletter platform and James' recent photography equipment purchases. They conclude with "final notes" segments, where Jason recommends the Audubon bird watching app and James shares an interesting article about the potential revival of the SR-71 Blackbird aircraft for the war on terror.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-122-a-summary-of-summery)
- [episode MP3](https://www.buzzsprout.com/2049759/11310998-the-grey-nato-122-a-summary-of-summery-dive-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a Hodinkee podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 122, and we thank you for listening. James, it feels like it's been a while since we talked. I don't know why that is. I guess we're kind of looping into this new bi-monthly format now, and it just seems like it's been ages. |
|James Stacey| Yeah, it does kind of, and I think especially because the last episode didn't really have, you know, it was, it was amazing episode with, with Fabian and, and, and, you know, thank big thanks again to Fabian for being on the show, but it didn't have our normal, we didn't have our normal hour, hour and a half of true of chatting and kind of catching up. We, we, you know, we kind of compress that into a, into a little piece before the show. Yeah. Yeah.  But yeah, I think the new format's going fine. I'm excited to get a, you know, when people are listening to this, that we'll be pushing in towards the end of August, certainly. And then right around the end of the month, maybe in the first couple of days of September, we'll also have our next Q&A episode, which will get us to the three episodes a month, which we had talked about in the past. But beyond that, you know, beyond the format change, how have things been the last couple of weeks for you? |
|Jason Heaton| Oh, pretty good. It's all sort of blurring together. It's hard to believe it's the, it's the end of the summer. I mean, it's like here in the States, we've got Labor Day coming up next in like two weeks. And then that's kind of the kickoff of fall. It's, it's the August has flown. |
|James Stacey|Sure has. |
|Jason Heaton|Yeah. But you know, it's, it's, it's been good. We, Ghoshani and I got up north for kind of our annual visit to this shipwreck we dive up on the North Shore of Lake Superior, which was a really great day. That was last Sunday, I guess it was, and got some great photos and just enjoyed some really perfect shore diving weather. It was pretty flat, flat water conditions and a little too warm topside for suiting up into a dry suit, but hauling gear from the car down to the beach. |
|James Stacey| You know, man, I remember a couple of times you, you, you just kind of just barely get everything on. It's, you know, maybe 90, 95 degrees as hot as it would get in, in Vancouver. Certainly not much hotter than that ever. So I remember diving Kelvin Grove with my cousin, Brendan, and several times it was one of our favorite sites. And Jason, that's where I took you as well. It's a big wall dive that you kind of start with a very shallow kind of aquarium like entry. But if you go at low tides, you've also got to get over a lot of like logs and stuff.  Yeah, there's not really a beach, there's some rocks, it's a very steep. So you go down a couple of pretty steep hills and usually almost entirely fully suited because it's a real pain to do it at the shore. But I remember a couple of times I went down and you've got the dry suits really got a good hold on your neck and I would not put my hood on until I got off. So I had that kind of my arm through the hood and then my mask in there as well. You get down to the bottom, and get into, you know, enough water to put your fins on and just kind of lean forward with all this weight on you. Uh, you're not quite deep enough to, to have the BC take any weight off you. And I swear, like you just be just on the edge of tunnel vision. |
|Jason Heaton|Yeah. Yeah. Yeah. I love that sensation though, of, of being so hot from being suited up and then you get in the water and you know, Lake Superior last weekend was 45 degrees Fahrenheit. That's nine centigrade or something. It's like immediately it just cools you right down. It was, it's nice of course. And then when you come back from the dive, you're, chilled to the bone and then you get out into that 90 degree air temp and it feels good for like another hour. |
|James Stacey|But it really does. Yeah, it's a it's fun. It's fun also because you get the you can you can you can choose how quickly you get the chill. Yeah. If you're in a dry or if you're in a wetsuit, you can't make that decision so easily. But in a dry suit, you can just kind of you want to bring your heart rate back down so you don't breathe through a tenth of your tank on the descent. Yeah.  Uh, you know, uh, so you just kind of chill at the top and let the water kind of do its thing, uh, before, before you start relying on the air and the tank and stuff. And that's, uh, what a great dive. That's one that I certainly, certainly miss. And now, now thinking of it, feel quite nostalgic for, uh, uh, a few times that, that we had some, some really, really nice deep dives. There's a great octopus in there as well. |
|Jason Heaton|And I was thinking we, we did a couple of shore dives this summer at a couple of places where we had to hump all of our gear for a fair distance. And it made me think back to, one of your product recommendations, gosh, it might've even been last holiday season, those collapsible wagons with the big tires that you can pull around. Yeah. Mack wagons. That really would have been nice to have in the back of the Volvo to load our tanks. Although there was a set of stairs, but at least we could have gotten it close. |
|James Stacey|They have a, like an exposed sort of framework. Yeah. So when, when you get to a set of stairs, someone takes each end. Yeah. |
|Unknown|Yeah. |
|James Stacey| And you could kind of hoist your way down. With that one, I would recommend spending a little bit more than I did and get the one that has locking wheels. Oh. Just so that if you have, because that's a lot of weight if you're talking about tanks and scuba weight and the gear and stuff. Yeah. And I know a couple of times I, you know, you've got a kid or maybe two kids in said wagon and you got to keep your hand on the handle because it'll take off. |
|Jason Heaton|Oh, I'm sure. Yeah. |
|James Stacey|Runaway tanks would not be good. Oh, yeah, for sure.  But yeah, those Mack wagons, someone, a reader just wrote me not that long ago asking to clarify what those wagons were. And they're still on Amazon and still super useful for kids or tanks or groceries or whatever it is. Nice not to use the car sometimes, right? Yeah, exactly. And certainly when it comes to this scenario you're describing, it's not an option. Right, right. |
|Jason Heaton|Yeah, so it was a good weekend. It kind of felt good to get out and have a little bit of an adventure a few hours up the road.  Yeah, so I wrote that up. I started a kind of newsletter platform that you had very kindly wrote about it for the weekend update on Hodinkee this past Saturday, and I appreciated that because it's nice to get the word out. But I started this newsletter platform on a site called Substack, and I learned of this through Michael Williams. I don't know if you know him. He's from A Continuous Lean. I used to meet him occasionally on press trips for watches, and he's a He's in the PR business and he's done some work with Red Wing Shoes and dabbles in watches a little bit. But he used to have a kind of a menswear and style blog that I used to follow casually. And he stopped doing that a couple of years ago. And he recently relaunched on Substack. And I was like, what is this all about? Well, it's really kind of an old school newsletter. You get it however often the person agrees to publish. And then some of the content is free and some people pay for if they want to. And so I started doing that.  about two weeks ago and published three or four articles. One of one of them was on this dive that we did and a couple of watch related things. And it's been fun. It's it's kind of neat to it to me. It feels like kind of a writing version of TGN. You know, I just sort of talk about things that I want to talk about or write about things I want to write about. So it's been fun and it's it's fun to watch the audience grow. And I've gotten a lot of feedback. It's kind of a little community with people leaving comments. And so, yeah, it's been it's been some fun so far. So thanks to everybody who who has signed up for that. I know that we've got a lot of listeners that have done that, so it's going great so far. |
|James Stacey|Yeah, everyone, I've really been enjoying it. You know, in full transparency, Jason gifted me a subscription so I didn't have to pay the money, but I paid it forward and got a subscription for a mutual friend of ours who's a big fan of Jason's writing and Ghoshani's photography and all that kind of stuff. And yeah, I'm really impressed so far. I like it. I like that it is a little bit more TGN. You know, it's a good spot for the stuff isn't going somewhere else, but is in your brain. Yeah, right. And, uh, yeah, I was, I was tempted to, uh, I've so far not copied you by, by going down the same path, but it's, uh, I certainly don't have a single moment these days to write more than I am, but, uh, I think it's great. And if you're listening, definitely go in and at least hit the free stuff, give it a try, subscribe, see what you get for free. But the, uh, it's definitely worth, uh, the, the small amount of money that you're asking for it. So, yeah, well, thanks. |
|Jason Heaton|Yeah. So we'll see where it goes. It's been a lot of fun.  And that's great. What what's new on your end besides just tons of writing? |
