
# The Grey NATO - 123 - Diving Deeper With Ocean Explorer Extraordinaire Laurent Ballesta
Published on Thu, 10 Sep 2020 06:00:13 -0400



## Synopsis
Jason and James discuss an upcoming camping trip in Jason's Land Rover, and some new outdoor clothing from the brand Norrøna that they received to test. They talk about the work Jason has been doing renovating an old property, including installing a new floor. They then have an in-depth interview with renowned French underwater photographer and explorer Laurent Ballesta about his ambitious diving expeditions, use of technology, partnership with Blancpain watches, and a recent groundbreaking expedition living in a pressurized habitat for a month while diving in the Mediterranean. James also discusses his new leather bag from the Observer Collection as a celebration of the podcast reaching 100 episodes.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-123-diving-deeper-with)
- [episode MP3](https://www.buzzsprout.com/2049759/11310997-the-grey-nato-123-diving-deeper-with-ocean-explorer-extraordinaire-laurent-ballesta.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Hello and welcome to another episode of The Grey Nado, a Hodinkee podcast. |
|Jason Heaton|It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 123 and it's proudly brought to you by G-Shock and their Master of G line of tough, toolish, and tech-forward watches. We thank you for listening. James, getting chilly. It turned into fall overnight here. How about up by you? |
|James Stacey| Absolutely. Yeah. The, uh, the days of me complaining about it suddenly being too hot to run or whatever, uh, is, is, uh, I think behind us now we're, we're firmly in the mid teens Celsius here in Toronto, even colder at the project property, which I have some updates on, uh, for a little bit later in the show, but yeah, it's, uh, it's, uh, it's nice. It's nice to be kind of seeing the start of fall. I mean, the, we, we both live somewhere that has three solid seasons. |
|Unknown|Yeah. |
|James Stacey| And I think that the three months or so that you get of any one season is kind of enough. |
|Unknown|Yeah. |
|James Stacey|Uh, maybe not with fall and I could do with about 25 minutes of winter unless I'm skiing. Um, but certainly the, the, you know, 90 plus Fahrenheit summer scenario is, uh, is something that I won't miss at a high level. It's been, um, it's been a great summer. It's been like, we've, we've said this before, but you know, with the, with the current, you know, social scenario being one that has very much limited travel, it's been pretty special to spend this kind of time at home base or near home base. And, uh, and, and yeah, so that's been good. It's been good for projects and other kinds of stuff like that. And then what do you know? Uh, episode one, two, three, baby. |
|Jason Heaton|Right. Exactly. Yeah. And speaking of this, speaking of this weather, I just checked it's 10 degrees centigrade here right now. And it's like mid day. And that's actually cold. It's like forties or low fifties or something Fahrenheit. So, and it went from eighties Fahrenheit on Sunday, like overnight. So, um, So, you know, uh, coincidentally or conveniently, um, yeah, we got lucky with the timing on this one. Yeah. One of our listeners is, uh, he's, uh, in the marketing department over at a Norwegian clothing company called Neurona. Uh, I hope I'm pronouncing that. Okay. Uh, Neurona is a brand that I wasn't really on my radar. I think I knew vaguely of them, but, uh, not, uh, not intimately. And he wrote to us and asked if we'd be interested in trying out some of their clothes and maybe talk about it a little bit on, on TGN and so we gave him a little bit of a wish list and he sent over some samples from their fall and winter collection of, I don't know what you'd call it, sort of outdoor, not quite full technical clothing, but some of it certainly could fall in that category, but it's just really, really nice stuff. I compare it to like a Fjallraven, Arcteryx kind of blend in terms of design and functionality. And so far I'm loving it, but you know, we're just at the start of this season. |
|James Stacey| And I think a lot of the stuff that we kind of selected them to send, or like we had offered, is a little bit more on the casual side. The brand has some more intense Arterix-y sort of stuff, and then they have some more casual stuff that is kind of like... I think that kind of nexus between a Fjallraven and an Arterix seems to make sense to me. The stuff that they sent, I was almost immediately blown away by. You don't have to experience too much outerwear, to understand that it comes in varying degrees, and certainly the price reflects that these are not cheap pieces of clothing. |
|Jason Heaton|Yeah, and on my end, the only thing I've really been wearing extensively is they sent this kind of pair of technical hiking shorts that are slightly longer than knee length, so it's kind of a strange length. They're a bit like knickers, but really functional with a lot of pockets and venting, and a blend of kind of stretchy and a tough abrasion-resistant material.  I've been wearing that quite a bit and then I'm really looking forward to getting into some of the the pullovers and they sent a puffy jacket and And like a wind vest that I was planning on using for fall cycling. So, you know, we don't want to Go in too deep here yet because we really haven't had a chance to try all this stuff out yet but in Subsequent episodes as we've had a chance to wear these clothes as the weather gets getting cooler We'll definitely give a full full update on this stuff. So thanks to neurona and stay tuned for more info and kind of our reviews of this stuff. |
|James Stacey|Their website is neurona.com. This is not a sponsorship. They sent some clothes. We're talking about them. It's not uncommon for the show. But if you want to check it out, neurona.com, that's N-O-R-R-O-N-A. And we'll report back as we get a chance to use it more as the weather cools off around us. |
|Jason Heaton|Yeah. So speaking of your time at the cottage, it sounds like you put in some pretty intense weeks of work. You put in a floor, you sent me a few update photos. That was a big lift it looked like. |
|James Stacey| Yeah, so it's a pretty old property that needs a bunch of work, but we're trying to be pretty thoughtful about only ever doing any of these upgrades once. So the kitchen space needed a brand new floor, like a real floor. It needed a lot of work beneath the floor, and then it needed a proper floor that can't really go anywhere and might also be strong enough to keep other parts of the structure standing.  We did it in two days, the whole thing. We did it really in a day, but we had other stuff to do on the property as well. So we've been working through those projects, but yeah, we ended up installing an entire new floor, anchored into the old foundation and properly tied off. And due to, I'm sure anyone here that's trying to do DIY projects, unless it's vastly different in the States, but for anyone in Canada, I think you probably know that pressure treated wood is pretty hard to come by these days. There's been a shortage, especially in areas where people might be building decks.  So we got lucky in that a local source to where this property is had two by tens. So it's just an even stronger floor at this point, we would have used probably two by eights. But yeah, so it's been fun and it's also has involved like me being able to learn a bunch of new things. And when it came to the floor, one of my younger brothers has much more experience in construction and framing and all those sorts of things. So he was basically in charge and just kind of do this, do that sort of scenario. But I got to, you know, uh, get a little bit more practice pulling a trailer with the Jeep and, uh, and certainly a lot more practice with a variety of hand tools and, and, uh, you know, impact hammers and nail guns and all sorts of fun stuff. |
|Jason Heaton|Nice. Yeah. Yeah. Yeah. I mean, in any other year you would have been, you know, uh, mincing around Basel world or at some sort of ritzy press trip. And instead you're, you're, you're learning some new skills. That's a, that's an upside. That's really good. |
|James Stacey| Yeah, the goal being to get the property up to kind of cabin spec. And then I have a lot of siblings, extended family, there's lots of people who would be able to use it. It's nicely isolated, which is cool, but also not that far from the greater Toronto area. So pretty good that way. And yeah, like you said, if things had carried on as we thought they might have back in February, I never would have had the time.  to devote to this. It's been not a big lift. I appreciate my brothers at a pretty high level and their ability to kind of dig deep and show up on their weekends off and that sort of thing and put work in, and it's coming together. So we have a couple more weekends of work, definitely, just to get it ready for next summer even. But I'm working my way down a few different lines for wood stoves.  So we'll see about possibly putting a wood stove in there and getting the original kind of log cabin part of the structure, the central part of the structure, kind of winterish ready or fall and spring ready and maybe extend the time we have up there. But for the most part, these are like little car camping trips, you know, sleeping in a field near the house. I love being in a tent, so that's been a treat, especially with, you know, the kind of general camping scenario not being all that appealing these days.  Uh, so yeah, that's been, that's been a plus, uh, getting a chance to use a bunch of gear and, and, and that sort of thing. And certainly enjoying an excuse to research and buy the occasional power tool. So it's, it's been a plus for this summer. Absolutely. Yeah. And I see, uh, on, on our notes here, you've got to, uh, a camping trip of your own coming up this week. |
|Jason Heaton|Yeah. So we're recording this on a Tuesday and, um, when this episode goes live, uh, Gashani and I will be on the road, um, in one fashion or another, um, headed South. We're usually go North for, for camping, but, uh, Gashani went to college down just across the border in northeastern Iowa in this charming little town called Decorah where it's kind of in a river valley with some beautiful cliffs and forest and things down there. And she has some friends that still live down there and they've got a fair bit of property in the country outside of town. And we're going to go and do some socially distant kind of visiting with them by camping on their property. And, you know, we used to go down there fairly often and it's usually from door to door about two and a half hours if we just take the highway down. But we're going to take the Land Rover and this will be by far the longest excursion I've done or we've done since I, since I bought the truck almost exactly three years ago. And, uh, so it'll be about 400 miles round trip and we're going to break it into, make it kind of a three day total trip. So on the way down, we're going to go about, I'd say three hours of driving. We'll see how that goes. Um, and then camp in a state forest campground on the way.  Uh, kind of one of those first come first serve sites, uh, minimal, uh, accommodations just to, you know, fire ring and maybe a picnic table and that's it. And, uh, and then do the rest of the trip the next day. And so we're, you know, it's, it's the short wheelbase Land Rover, not much space in the back, but it'll be about half tools and spare oil and parts and the other half camping, camping gear. And, uh, but I think the weather will hold this, this cooler weather is good for a trip like that because you don't want to be you know, scorching on a really hot day, driving in a truck that doesn't have great cooling capabilities or ventilation. So, um, yeah, yeah, I've kind of been kind of been getting ready slowly for the past couple of weeks. You know, I had a summer of upgrades and repairs on this thing, including that broken axle from a few weeks back. And so knock on wood, everything's in good shape. I I've checked and changed all the, the fluids, the differentials, the gearbox, the transfer case, and I'm going to do the engine oil probably today or tomorrow.  Um, you know, I've got a spare drive belt and distributor and points and some spark plugs and, and, you know, some jugs of oil cause this thing leaks pretty badly. And, uh, and I think we'll be in decent shape. I, uh, I even managed to mount, you know, a while back I got this dashboard stopwatch from a Harrier jump jet, um, from CWC. My, my buddies over there at CWC in England sent me this, uh, it's one of these dash mounted stopwatches. And, uh, I mounted that to the dash, which, you know, Seems a little humorous given how slow a Land Rover moves, but I think it's going to be perfect because it has a 12-hour jumping hour counter. So we'll be able to time the trip using this cool dash-mounted stopwatch out of a fighter jet. So I think that'll be a fun little element of it. That might be the only part of the Land Rover that actually survives the whole trip. We'll see what falls off. |
|James Stacey| I think that sounds like a fantastic way to spend a weekend. And yeah, as long as you've got some, especially fluids, you should be good. I've even gotten to the point with the Jeep where I'm traveling with some oil, although to say that it's inconsistent in how thirsty it is for oil would be nowhere near the correct statement. I'm a few thousand kilometers into this oil change and it's not using any from what I can tell compared to At this point in the last one, it had used almost 40% of the reserve. So either there was a problem with the original oil change and it's bad data, but I'm not really sure. So now every time I put gas in it, I check the oil. I've become my father. That's how you always check an oil and air pressure. Now all of his sons have somewhat derelict vehicles, myself nowhere near as my brothers, but we're back to checking the oil and the air pressure. |
|Unknown|Yeah, yeah. |
|James Stacey| Good things to know, though. You don't really come back from a full-on failure of oil. Right. Whether it be generally too much is pretty bad, or too little is pretty bad, but too much isn't a lot better. |
