
# The Grey NATO - 124 - August 2020 Q and A
Published on Mon, 14 Sep 2020 13:48:07 -0400



## Synopsis
This is a Q&A episode of The Gray Nado podcast where the hosts Jason Heaton and James Stacey answer questions from listeners about various topics related to watches, travel, and adventure. They discuss things like what watches to take while traveling, watchmaker recommendations, vintage watch trends, and thoughts on dress watches among other topics.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-124-august-2020-q-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11310996-the-grey-nato-124-august-2020-q-and-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, a Houdinki podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 124, and we thank you for listening. Well, James, we're finally getting around to our crop of August Q&A, and we've got a bit of a new format. |
|James Stacey| Yeah, so kind of this is the first time that we're doing the Q&A kind of in this format. It's not going to be like a normal show where we squeeze a Q&A inside of some chitchat at the top and then some final notes at the end. We're getting a lot of these questions. We actually probably have too many to get to despite the change in format. But the the Q&A moving forward will be just an episode for people who are subscribed and kind of dialed into the show. I think that's who calls in and leaves us messages.  Uh, so I, I think that's the easiest way to kind of do these. Like we said, we, we wanted to separate this from the bi-weekly ones so that we still did two normal shows and then a kind of bonus Q and a, so that's what you're listening to now. So yeah, we're not going to talk about our Land Rovers and our Jeeps and, and you know, new bags and hats and.  stuff like that, unless it comes up in the questions. So for anyone who, for whatever reason, if this is the first episode that you're getting us at, thank you so much for checking it out. We do kind of a different format for most other episodes, but there is a monthly Q&A, which we drop kind of at the start of the following month. So this is the August Q&A and you'll be getting it early September.  And otherwise, we do a show every two weeks on Thursday mornings that it will come out. And yeah, check that out for kind of the normal three-part format. But with that in mind, if you're listening to this and it spurs a question in your soul, record it into the voice memo app on your phone and then email that question to thegraynadoatgmail.com. That's how you get on the show. Keep the message under a minute, preferably. And we would love to chat about whatever topics kind of on your mind.  With that in mind, how about we start with this first one from Paul? Yeah, good idea. |
|Paul|Let's do it. Hi there, James and Jason. My name is Paul. I'm a new listener from Chicago. My question is about your travel habits with your watches when you're traveling for personal reasons, not for work. Just wondering, do you take your real nice pieces? Are you pretty streamlined?  with your watches when you do travel personally. I just want to kind of get a whole playbook of what you guys do and what's been working for you. Obviously, many of us in the watch community are concerned about magnetizing our watches through security, whether we'd become targets to thieves out there, unfortunately.  if we bring our most recognizable expensive timepieces out there. Do you guys consider that when you do travel? Thanks. I'm really enjoying your podcast. Thanks again. Bye. |
|Jason Heaton|Well, thanks for that question, Paul. It's one that comes up somewhat often. I'm not sure we've actually talked about it on a Q&A episode, but I know we've talked about traveling with watches and Personally, I've never been particularly concerned about traveling with nicer watches. I don't know if it's overconfidence or just the places I'm going. I seldom think about magnetism or damage since most of the watches I have are pretty burly, rugged pieces and can stand up to some abuse. And I think most of them are anti-magnetic enough to survive a trip through the x-ray machine. I think the bigger concern, obviously, is depending on what you're wearing, it can be a recognizable symbol of wealth and that's not always appropriate everywhere. Um, and so, you know, I do take that into consideration and I almost always take a backup watch in the form of like a courts, uh, you know, now the safari will be a good, good backup piece or one of my CWC courts divers just kind of keep that in my dop kit or my backpack and, you know, pull that out if, if circumstances merit.  or if anything happens to the primary watch I'm wearing, or if I just don't want to wear it to a certain place during a trip. It seems a little odd to actually be talking about traveling with watches during a time when very few of us are traveling, but I think it's a good question, and I would just say the rule of thumb is to just kind of be aware of your surroundings and kind of be sensitive to, I don't want to say audience, but the people you'll run into and what that watch that you're wearing projects about you, and how secure you feel. James, how do you feel about this? |
|James Stacey|Yeah, I would agree. You know, when I travel, I definitely don't like taking more than two watches, especially if that means I have to leave anything in the hotel room. Yeah. Because I think that's a bigger issue for me than the possibility of street crime. You know, it's just having them somewhere in your room or even just not having it on your wrist. So when I used to do a lot of traveling and Paul, I know that you had said, you know, travel for personal travel, but I didn't do a lot of personal travel for years because I traveled a lot for work and a lot of it was pretty luxurious. So there's a middle ground there at least. And I think when I would land in cities, cities I hadn't been to or places I hadn't been to, I found a lot of comfort in just having one watch. Typically that would be my Rolex. And I think that's fine for the areas of where I was traveling. The other thing is you can always kind of I would say consider the cities, if you're going to cities, if you're traveling for tourism reason to cities at some point in the future, just try and maybe do a couple of quick Google searches and make sure that there's not like a rash of crime surrounding watches or something like that. Pre-COVID, last fall, there was some stuff like that going on in Paris, which would definitely make me think about just bringing my Garmin or a watch that wasn't a Rolex, basically.  But I don't have a really flashy collection where you have to worry about that. And typically when I travel for myself, I'm going somewhere where I'm either going to be diving or hiking or climbing or that sort of thing. And so I'd want to watch that kind of aligns with those scenarios. But the way that I that I travel or did travel kind of at a personal level was more isolated than it was to large, you know, populous areas. I think, you know, you did a lot. I did a lot of work travel to cities.  and major hubs throughout the world. And I never gave it a lot of thought, especially when it comes to things like magnetizing the watch. I don't take the watch off when I go through security. I think maybe in the last hundred flights, not counting COVID, the last year and a bit, maybe in 14 months of travel, I got asked once to take the watch off my wrist. They just typically don't ask. They can see that it's a watch. So that hasn't been my issue.  I haven't had anything be magnetized in a really long time. Certainly, I don't believe from travel. And then as far as security, I would say that it's a two-part thing. Don't bring watches to places where if you feel it's uncomfortable, that it would be conspicuous to have it on your wrist. And the other thing is don't bring so many watches on what's going to be your personal vacation that you spend time being anxious about your watches. |
|Unknown|Yeah. |
|James Stacey| bring a great watch like a Sepharni and treat it like a great vacation watch and then your other watches will be there when you get home. |
|Jason Heaton|Yeah. And one thing I would add too is, um, you know, certain watches draw attention to themselves more than others. And that can come down to something like the strap, you know, a Rolex on a bracelet is a very iconic look. A lot of people know that. I've also, uh, you know, heard it said that, you know, from a distance that date magnifier Cyclops on a Rolex is easily recognizable and something as simple as, putting, if you're going to wear something like a Rolex or an Omega or something a little flashier on a bracelet, maybe it's time to switch it out to a NATO strap and worst case, flip it around so it's on the inside of your wrist. So all that shows is the band. It's these small things, you know, that, that can make a difference. |
|James Stacey|Yeah. And situational awareness as always with, with whatever you have on you, that could be a value, whether that's, uh, if you're in a, especially in cities with, um, pick where pickpocketing is, is an issue.  You know, make sure that you're not only worried about your watch as they make off with your wallet and your passport and your camera or whatever else. Just, you know, try and keep things in closed pockets, you know, keep things under sleeves, keep cameras under jackets. That's, you know, all kind of simple things that have worked for me for a long time. Thanks very much for that question, Paul. And when traveling resumes, I hope that you're able to go some places and enjoy some vacations with some of your watches.  Next up, we have a question about, basically about lugs from a fellow named Neil. So let's get to it. |
