
# The Grey NATO - 125 - How We Fall
Published on Thu, 24 Sep 2020 06:00:24 -0400



## Synopsis
The podcast discusses plans and activities for the fall season, including enjoying cooler weather, wearing cozy layers, enjoying whiskey and campfires, doing outdoor activities like hiking and camping, and gearing up for winter. They also recommend some YouTube channels focused on solo adventures in nature and minimalist outdoor living.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-125-how-we-fall)
- [episode MP3](https://www.buzzsprout.com/2049759/11310995-the-grey-nato-125-how-we-fall.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of the GrayNado, a Houdinki podcast. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 125 and it's proudly brought to you by G-Shock and their Master of G line of tough, toolish, and tech forward watches. We thank you for listening. Jason, how are you doing? |
|James Stacey| I'm doing pretty well. It's, uh, the days are getting shorter. I don't have to, uh, run the air conditioner or the fan here to keep cool while we're recording. So, um, you know, times, times are changing. |
|Jason Heaton|Yeah. As far as our bi-weekly weather update goes, uh, uh, yeah, it's, uh, it is a little bit, uh, cooler these days, which is awfully nice. |
|James Stacey|We're having a bit of a second summer, but it's, uh, you know, it's weird to have kind of summery temperatures during the day, but then like the sun goes down by 630 or you know, before seven o'clock. So it has that weird feeling of like, yeah, you know, in the summer we were outside until like nine 30 cause it was warm and bright and now it's, it's warm and bright. And then at six 30 and now we're back inside kind of in getting into that fall winter mode. |
|Jason Heaton|Yeah. I mean, absolutely. And, and to be honest, in some ways I really am not ready for summer to be over. I feel like I didn't really get a summer. Um, I think I worked maybe more than, more than I had planned to. Yeah.  But the other side of it is, is I kind of like it. I'm back into sweaters and long jackets and really okay with, with the cooler temps for the most part. Although if I'm honest, I just, I just kind of flatly despise winter and it's not so like, I like snow and I liked skiing and I like going out and walking around in the snow, but I hate shoveling it. I hate what it does to a vehicle. I hate, I hate the fact that like, if you're, if you're cold, you're just cold, like you've got to make some change to get warm, which I'm not, I'm not a huge fan of. And again, compared to Vancouver, the winter in Toronto is a lot more aggressive. |
|James Stacey|Yeah. And winter, I've long been a fan of winter if it's a good winter, but a lot of times we get these sort of gray, hard ice on the roads and not much snow to have fun in. And then it's, then it's really no fun. Then you're kind of stuck inside and you know, putting in the kilometers on the, on the rowing machine in the basement, kind of gritting my teeth, waiting for, waiting for spring to come. But, uh, we'll see. I think this year has been very different, uh, for obvious reasons that everybody's dealing with, um, just being around more. I think I mentioned a few episodes back that, uh, it's been one of those years where I've been able to kind of soak up the, the changes of seasons that the plants, the birds, the, just kind of the, the different light during the day and doing things more around here.  And I'm wondering if fall and winter are going to feel different than in the past where it's broken up by, you know, a week of travel somewhere and then you come home and then you have three weeks home and then you're traveling somewhere else. I'm wondering if this year it'll feel a little different. |
|Jason Heaton|Yeah, it may just. And it, you know, it might, it might mean that a lot of this feels a bit longer. I'm not sure. Yeah. So what have you been up to the last couple of weeks since we chatted last? |
|James Stacey|Yeah. So last episode I was just about to embark on that.  bit of a road trip, first longer road trip in the Land Rover. And, um, it was a resounding success. We didn't have any mechanical issues. We had just a blast. We, we just to recap, we loaded up the old Land Rover and headed South. Um, Ghoshani went to college down in Decorah, Iowa, and it's about two and a half hours. If you just take the straight state highway down, um, just a straight shot across the border. Um, But given that the Land Rover doesn't go fast enough and it doesn't feel confident on 65 mile per hour highways, we took back roads and broke the trip, the first leg of the trip into two by camping at a state park about two, two and a half hours south of here. And you know, it was great. It was, it was our kind of second big camping trip of the, of the summer. And we, we loaded everything up. I had about half of the back of the truck filled with, you know, oils and fluids and tools and all that sort of thing. And most of which I didn't need.  Um, we got to sneak in a hike, uh, check out some fall colors. Um, but I think what the most rewarding thing about the trip was driving an old vehicle, an old truck like that, going through small towns and having to gas up or stop and stretch the legs or, or, you know, go to the bathroom. It just brought people out of the woodwork. Whereas if I was driving our Volvo, uh, that, that stuff just doesn't happen. Uh, you know, we'd get people of all shapes and sizes, colors, and stripes of you know, politics and everything else, I presume would just walk over and start talking and ask a question. Or I remember seeing one of those on TV or, um, you know, what, is that a Jeep or what is the, you know, um, where are you going and, and that sort of thing. And, um, that connection with people, you know, while discouraged to these days, um, for, for health reasons and public health reasons, You know, standing at a distance talking to somebody about this truck led to other discussions about where we were and what we were doing and just all sorts of topics. And I've really enjoyed that. Despite being an introvert, I do enjoy those social interactions with people that just kind of want to, you know, share and talk about what's going on. And I feel like we need more of that. And I feel like the Land Rover became a vehicle not just for forward movement, but for this social interaction. And Ghoshani felt the same.  We, you know, it was, it was certainly tiring and loud, you know, this, this thing has almost no soundproofing. So it's, it's a very loud drive. Um, but it was a real pleasure and we took it on some back roads. And, uh, by the time we got home, rather than being beaten up and exhausted, like I thought we might be, we both kind of looked at each other and thought we need to do that again, but do we need something a little bit bigger and maybe slightly more capable at higher speeds? And that led to, mulling and looking around at, uh, boy, I hate to even, I hate to even start talking about this, but, uh, something bigger, like a, like a more modern defender. Um, you know, there's a company locally here, actually very close to our house, a Bishop and Rook that sells imported right-hand drive, mainly diesel defenders from, you know, the eighties and nineties. And, um, he has a one 10 hard top two door, uh, which is a kind of a rare, configuration on this side of the pond and it's more of kind of a work truck and it would be such a great vehicle to put, uh, you know, a kind of a false floor or like a plywood, uh, piece of plywood in the back and a sleeping pad and, and use it as sort of a camper. Um, so we're, you know, we're, we're mulling that. I think we need to sleep on it and kind of consider our options. But, uh, that type of trip is definitely, we're going to do more of those. I really enjoyed it. |
|Jason Heaton|Lots of, uh, lots, lots of Jeeps out there for you.  Yeah. Yeah. And by somebody's project Jeep with the top already on it. |
