
# The Grey NATO - 127 - September Q and A
Published on Fri, 16 Oct 2020 12:41:52 -0400



## Synopsis
This is a Q&A podcast episode from The Grey NATO podcast. Jason Heaton and James answer questions submitted by listeners on various topics related to watches, travel, gear, and more. They provide their thoughts and advice on issues like getting vintage watches serviced, the appeal of certain watch models like the Seiko Baby Turtle, dealing with Canadian pricing for watches, creative strap and watch pairings, and other enthusiast topics.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-127-september-q-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11310993-the-grey-nato-127-september-q-and-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of the Graynado, a Hoodingke podcast. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 127, and it's proudly brought to you by Well, you. It's the September Q&A. So thank you so much for everyone who sent in their questions. With these sort of Q&A format shows, we don't do the normal chitchat. We don't give you an update on what the weather is, where we are. We're not doing any of that. But of course, I am joined by my illustrious co-host, Jason Heaton. Jason, how are you doing? |
|Jason Heaton|Good, good. Ready to dive in. These are a good crop of questions this time, as usual. |
|James| Yeah, always. And we're going to do our best to get through, as always, as many as possible. This will be a little bit longer episode than maybe we normally shoot for because we are trying to work through a bit of a backlog. All of you have been so kind in sending in great questions. So, Jason, what do you say we start off with this first one from Dan about getting his Seiko 5 serviced? Great. Let's do it. |
|Dan|Hey, guys. It's Dan from London.  Huge thank you for all the work you do. I absolutely love listening to TGN, have done from the beginning. I have a question regarding Seiko 5s. I have a Seiko 5 which I absolutely love, but the cost of having these serviced is significantly more than buying a new watch, and in a world which is becoming a lot more sustainable and trying to produce a lot less waste, my question is whether or not these watches even have a place in the market anymore, when it doesn't incentivise you to have them fixed if they do go wrong.  Would love to hear your thoughts. Thanks so much. |
|Jason Heaton|Thanks for that question, Dan. I tend to think kind of the opposite as you when it comes to the Seiko 5. I don't necessarily think that their low price indicates that they are intended to be an obsolete or a disposable product. And I think the fact that you don't pay much for them, but then you keep them alive for a long time by servicing them is kind of a nice incentive to buy a Seiko 5.  Unless you place significant importance on refinement, finishing, accuracy, whatever. If you like the Seiko 5 and you paid $150 for it or less, I think that's kind of the ultimate. It's almost like buying a pair of shoes for $50 and then re-souling them every year and wearing them for the next 20 years. I think that's a really neat spin on the usual scenario. That said, if you spend five times as much and you get a nice Omega or a Rolex or something like that and you keep that serviced, chances are it might keep better time, hold its value better, etc. But if your intention is to wear this thing and to minimize your impact on on the planet and that disposable product cycle, I think you could do a lot worse than a Seiko 5. |
|James|Yeah, I would agree. I think that it's only disposable if you believe it to be disposable, if the price point is such that you believe it to be insignificant. But I've had my Seiko, it's not a 5, but it costs about as much. I paid back in the day maybe $125, $130 Canadian for my 007. It's been serviced twice, a total cost of maybe $450? Doesn't bother me one bit. I think it's part of keeping the watch in your circle. I think if you're at a position where the value of the watch detracts from the likelihood of having it serviced, like if the watch feels not nice enough for you to continue servicing it, I think maybe that watch shouldn't be with you anymore. Maybe that's a good time to say, give it to a friend and tell them, hey, here's a watch. It's good. It just needs a little tune up.  and they can spend what might be the price of what they would have spent on the next watch, but to pick up something with a bit of a history, something from a friend, that sort of thing. Maybe this is a great watch to pass on to a younger member in your extended family. But between... Like for me, I like the idea of regardless of what the watch costs, making sure that it runs correctly and have it serviced.  And it would also depend on kind of what's wrong with it. If there's a lot wrong with it, maybe just have the watchmaker put a brand new movement in it and don't sweat teardowns and the rest of it and go from there. If it's something relatively simple, just keep it up to spec is how I see it. I don't think that the idea that something... What it costs, I don't know that that... I guess with a very expensive watch, I could see the argument that Not only are you getting into very expensive servicing, but you feel almost indebted to keep this expensive thing up and running. But I think with any watch, it's just kind of a personal metric of where you see the sustainability for you. Not so much at a grand scale, because I think that Seiko makes probably more watches than people need on a yearly basis. And I think that's probably a bigger issue than whether or not a watch is worn for several years and then it's decided to be serviced or not.  And in many ways, I would say that if you're simply not ready to service it, it's not so much that maybe it's not... Maybe that it is or isn't something that you wanna keep, maybe just throw it in a drawer and see if it comes back into your life in some way or if it has some value in the future. Again, it could be a gift, it could be something that sparks somebody else's fascination in watches, and you could pass along that via the watch. I don't think that it necessarily has to be a question of if a watch is too cheap at a purchase level to be worth servicing. I think that's a bit of a personal option. I think they're all worth servicing, especially if you have somebody who would wear them, whether that's you or a friend or a loved one. |
|Jason Heaton|Well, thanks a lot for that question, Dan. We'll move on to our next question from Jack, who has a question about the riding life. |
|Jack|Hi, James. Hi, Jason. Jack here from just outside Leeds in England. My question for Q&A, is with relation to getting out and getting an understanding of basically writing about what you guys write about, whether it's watches, whether it's cars, whether it's gear. I've got an interest in all of the above and wanting to maybe write a couple of pieces of my own and see where that can take me and where that goes. Also getting an understanding for you guys of how you gave up what you guys were doing beforehand to make a career in the industries that you guys are in. We love what you do.  And it would be nice to get a couple of tips and tricks from you guys as well. As I say, based in England, if you guys are ever in England in the near future or in the future, give us a shout and we'll catch up for a pint and talk watches and gear and cars. That would be great. And we'll keep listening to the pod. We love what you do. Thanks very much, guys. Bye bye. |
|Jason Heaton|Thanks for that one, Jack. And thanks for the offer of a pint if we ever make it over there, one of these more normal years. James, you want to take a first stab at his question? |
