
# The Grey NATO - 128 - Aquastar, Doxa, And Hayabusa Swaps With Rick Marei
Published on Thu, 22 Oct 2020 06:00:16 -0400



## Synopsis
This is a transcript of a podcast episode discussing various topics related to watches, cars, and diving. The hosts Jason and James interview Rick Mirai, the man behind reviving watch brands like Doxa and Aquastar. Rick shares insights into his passion for vintage dive watches, the challenges of bringing back iconic models, and his philosophy on design. They also discuss Rick's love for unique and rare cars like the Mazda 323 GTX rally car. The episode covers the newly released Aquastar Deepstar chronograph, Rick's encounter with Jacques Cousteau's personal Doxa watch, and his future plans for Aquastar.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-128-aquastar-doxa-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11310992-the-grey-nato-128-aquastar-doxa-and-hayabusa-swaps-with-rick-marei.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a Houdinki podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 128, and it's proudly brought to you by G-Shock and their Master of G line of tough, toolish, and tech-forward watches. We thank you for listening.  James, you know, we sneaked in a Q&A between this official episode and our last one, but it just feels like it's been a long time since we talked. |
|James|Yeah, especially because with the Q&As, we don't do any kind of chitchat. Yeah. And I don't really know what it is. I think like we still talk a lot, you and I, on Slack, but there's something about quarantine that's kind of like slowed down.  I feel like we keep more things to talk about for these two calls a month. Right. Right. I'm not really sure why, but yeah, it's it's a treat to be here. I thought that Q&A went really well. People seem to be digging it. I like this format of being able to drop one in a bare week somewhere. Right. So that timing worked out well. And then this episode, this is one that's a pretty long, long time coming. Yeah. You know, it's featuring an interview with Rick Mirai, who helped create the relaunch of Doxa and I should just start recording this and dropping it in as a canned almost like an ad. Here's an ad for the construction company that's working above me. They're very loud, and I'm doing my best to try and work around it, but my apologies to anyone who can hear the sanding and impact hammers and the rest of it happening just above my head. We're doing our best, but sometimes schedules are what they are, and I can't always work when these guys have finally gone home for the day.  my apologies there. But yeah, like I said, I'm excited about this episode and, and just kind of those sorts of stuff in general. And kind of like what you said, where it kind of feels like it's been a while since we did this, despite the fact that it hasn't been, I don't really have that much going on. You know, just kind of a lot of work that the time of the time of the year when you're kind of doing 20 things a day is sort of subsiding. I'm slowing down a little bit playing a little bit more video games. I don't really have like a I don't know, I don't have a ton to share. What have you been up to? |
|Jason Heaton|Well, I mean, we're just out of the most recent weekend here and, you know, they're predicting like several inches of snow here tomorrow, which is just insane. Goodness sakes. For mid-October. So I was kind of scrambling around getting some of the herb pots off the patio and in the house and cleaning up the garage and doing some raking and check the fluids on the Land Rover one last time and that sort of stuff. But, you know, I was looking at kind of a recap of what I've been up to. And I hadn't even talked about this cabin trip that Ghoshani and I took way back. This was over 10 days ago that we got home. And, you know, it just feels like ancient history now, but it was basically, you know, I'm not going to go into too much detail about it. It sort of was like, um, remember our, uh, how we fall episode, uh, about, uh, you know, autumn, uh, it was kind of that episode come to life. Cause it was just a lot of hiking and, fires and whiskey and I managed to read a couple of books while we were up there. It was a well needed getaway up to an area called the Gunflint Trail in the Boundary Waters Canoe Area. About as close to Canada as we can get these days without breaking the law and crossing the border. It was all good fun and now we're back and hunkering down here for some new cold weather. Other than that, it's just been you know, staying warm. I mean, we're, we're into that season now. So wearing a lot of that, uh, great that we've switched into the proper Nerona, uh, clothing weather. Getting a lot of use of it. Yeah. Yeah. That big puffy jackets come out a couple of times. |
|James|I, uh, yeah, it's speaking, speaking to keeping warm. That's probably my only update is we were able to finish. Essentially we had two big check boxes for the project property as I've come to call it. Um, and we were able to finish both kind of just in time. The place is winterized now, so I'll, I'll probably keep going up. Yeah.  Um, uh, and you know, in just, uh, just kind of working around some of the winterization until it starts being absolutely too cold. But the next week, two weeks, even the next little while that the outlook looks, looks okay. Uh, but it, it will become, uh, uh, you know, the, the, there will require some specific strategies to keep warm, uh, in this spot, you know, we've got a couple, a couple of small heaters and we're working on, you know, kind of finding a line for, uh, a, uh, wood burning stove, I think would be perfect.  for this space, and we keep everyone pretty roasty toasty. But I think until it's probably just flat out too cold to be in a tent, I'll at least keep that going. It's a nice way to get out of the city, because Toronto has a lot of cases right now, and you really can't do that much. I've been doing some geocaching with my kids, which is nice, because I haven't seen anyone else. You don't really deal with other people when you're out doing that. And they get a kick out of it, and there's tons of it in Toronto.  Uh, so that's, that's a plus, but other than that, I mean, I think it's just kind of nice to have somewhere to go. Yeah. You know, it's, it's not something that you and I have talked about a lot, but I think like the lack of adventures on the horizon is starting to weigh on me, especially with winter right here. And you know, a lot of times the things that you like about winter are the socialization aspects. There's more.  sitting inside, catching up with people over a nice cup of coffee. There's more, you know, maybe you get to go skiing a couple of times, maybe you get to enjoy building a snowman or something like that. And while sure, some of that will still be able to happen, I think this is going to be a pretty weird winter. Yeah, I see winter as being, you know, largely the packaging around Christmas. And and in many ways, Christmas is when you get these great moments with your with my kind of extended family. And I'm sure this is the same for A lot of people, even those that do and don't celebrate Christmas specifically, it is still a time where the world kind of accepts a different pace and you can kind of make kind of special moves. And then as I've gotten more in tune with an American flow of life, you also have, you know, Thanksgiving, which is kind of like a nice pre-Christmas and all of that. And, you know, this is all complicated this year. And I don't think there'll be nearly as much sitting or sitting around, you know, cups of hot chocolate or whatever and catching up with people. It'll be little bit more on Zoom, it'll be a little bit more in text message. And I don't know if I'm, I don't know how I feel about it. |
|Jason Heaton|Yeah, I've been feeling the same way. In fact, what really changed was it's getting dark so early in the evening here and it's just colder. I mean, we went from, you know, 70s and 80s just a little over a week ago to, you know, there's literally snow flurries falling out the window that I can see right now.  Um, so the biking season is kind of abruptly come to a bit of a halt. Um, hiking, all the leaves have fallen. I mean, you can still go hiking certainly, but there's this weird, um, no man's land between, between summer activities and hanging out on the patio and hiking and biking. And you know, when there's enough snow to get out and kind of have some fun in that. And so we go from the desk to the fireplace to bed, you know, and it's a little bit more of a, I don't want to say sedentary, but I hate, I mean, I hate to use that word, but it's kind of feeling that way. And I don't, I don't like it. I, I'll have to, you know, fire up the rowing machine here pretty soon if I want to get some decent exercise or, or get out and brave the, brave the colder weather. But, uh, yeah, it's, it's a real change very abruptly. |
|James|Yeah. I feel like I used to, especially with this time of year, I used to just envision kind of how many projects.  or how many trips and chances I got to see people that I love between now and Christmas. It was just kind of that that's kind of the pace of the fall for me, fall and winter. Yeah. And now, you know, there's there's no trips on the horizon, really. Like there's some there's some day trips and that sort of stuff. And I'm always moving and shaking. But there's no there's no like whatever the big kind of fall trips might have been. None of those are happening.  Yeah. Right. Certainly not for me. And yeah, it's been it's been kind of weird to just kind of see it as like, oh, so now I just kind of mark the flow of my week from my work. |
|Jason Heaton|Right. Right. Just a few years ago, I mean, when we first started TGN, our first episode was a post SIHH episode, which traditionally used to happen in January all the time. So I remember years ago it was always Thanksgiving, then Christmas, then, you know, New Year's, I guess. But then SIHH was like mid to late January.  And then you were into February. And even in the past few years, when SAHH kind of became a different sort of show, you had, you know, we did that Aura ski trip in a couple of winters. That won't happen this year. And so, yeah, all of those milestones of winter have disappeared. And you're just sort of looking at this long, dark period. Not to get too morose about it. I think we can find ways to have fun. But it's going to be very different. |
|James| Yeah, I think it is going to be a weird winner, probably a little bit more insular than maybe most people want, even the average introvert among our probably extensively introverted audience. Yeah, I don't know, it feels like maybe quarantine or even just these new protocols kind of better align with summer when you're kind of out and about and filling your days anyways. And now when you hit this time of year where, like I said, it's kind of a I don't know, I see it as more of like a fellowship time of year, whether it's this or otherwise. |
|Jason Heaton|Yeah, we'll see. I guess we'll keep the home fires burning here on TGN and try to keep people company as best we can. I think it's great for us, for me, to chat with you every week, every couple of weeks and get updates. It feels like some semblance of normalcy, so we'll keep on keeping on, I guess. |
