
# The Grey NATO - 129 - So Many New Watches
Published on Thu, 05 Nov 2020 06:00:24 -0500



## Synopsis
The hosts discuss several new watch releases, including the Oris Aquis Date 400 with a new in-house movement, bronze Bremont Broadsword models, smaller Breitling Chronomat watches, the new Doxa Sub 300 lineup, Farer pilot watches, and the Astor & Banks Fortitude dive watch. They give their thoughts on the designs, specs, and significance of each model. They also touch on topics like limited editions, vintage gold watches, and Rolex's latest releases. For final notes, they recommend the documentary "Alone Across the Arctic" and a longform article "Searching for Superman" about climber Fritz Stomberger.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-129-so-many-new-watches)
- [episode MP3](https://www.buzzsprout.com/2049759/11310991-the-grey-nato-129-so-many-new-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|J.E. Stacey| Hello and welcome to another episode of the GrayNado, a Houdinki podcast. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 129, and it's proudly brought to you by G-Shock and their master of G line of tool-ish, tough, and tech-forward watches. We thank you so much for listening. Jason, how are you doing? |
|Jason Heaton| Oh, hanging in there. It's, uh, obviously a big week here in the U S with, uh, it's election day actually that we're recording on. And, um, aside from that, I've got a lot of, uh, construction work going on here, just like you have had all summer. So we're, I think we should start just having Dewalt and, uh, Makita and companies like that sponsor the podcast here. |
|J.E. Stacey|I got no love for Makita. I'm just kidding. I haven't, I haven't used any other stuff, but I adore my Dewalt stuff, which I've used quite extensively throughout the summer.  And, uh, and I really, really like it. So yeah, I actually know a guy that, uh, that manages, uh, the DeWalt contact, but I don't, yeah, I don't know if, uh, I don't know if that's just going to come together naturally, but yeah, this is a roundabout way of saying, uh, thank you very much for listening. And we're sorry if there's a bunch of like drilling and concrete cutting and everything else in the background, they're doing work on about every single flat surface and around me.  And it sounds like they're doing similar at Jason's. Now, I can't hear Jason's side, so maybe we'll get lucky and nobody will be able to hear any of this. Yeah, right. But as always, we take the audio quality pretty seriously. It's something that we pride ourselves on. And I mean, they started these rentals at my place in April, early April. Yeah, that's crazy. I just live with it now. It's the worst. |
|Jason Heaton|Yeah. And for you, it's beyond your control. And here we're having some brickwork done on a new patio addition. And so they're out there with concrete saws and those compactors for pushing the sand down and that sort of thing. And we were chatting before we started recording here that, you know, I feel like the summer was, um, you know, given how strange a year it's been, I think we've, we've really jumped in with both feet with, uh, gardening and kind of home improvements here. And it must be some sort of latent or subconscious desire to sort of line the nest, so to speak, and kind of stay protected here during, during this sort of tumultuous, uh,|
|J.E. Stacey| state that the world's in, but yeah, it's probably a bit of that. And it's, and it's probably also a bit of like when you spend enough time looking at the same painting, you'd start to see all the brushstrokes and it stops, it stops being an image as much as it is part of. And I think it's kind of the same thing where like you spend enough time in the four rooms that are available to you and you start seeing all the things that like you weren't maybe so wild about, but didn't have the time to even think about previously.  Yeah. Um, so that's that quarter, but, but yeah, I feel you for sure. Uh, I, uh, construction noise. Yeah. It's a, it's definitely enough to derail a, a fine mental state, noise canceling headphones. If, uh, if they decide to take several months to do, uh, to do your, your patio, well, knock on wood, they said there'll be done today. |
|Jason Heaton|And I'm quite happy about it. Actually, in addition to the patio, they're putting in a little parking pad next to our tiny garage so I can finally get the, The Land Rover off the street for the winter, which I'm really thrilled about. So that'll be, that's one upside of all this. So yeah. That's fantastic. Good call. Yeah. We just, we just fell back for, uh, I don't know. Did you guys, uh, was your daylight savings time ending on Saturday night? Like it was here. |
|J.E. Stacey|I don't know if all of it is the same, uh, same in, in Ontario where I live. Uh, it's the same as, as much of the States. |
|Jason Heaton|Okay. Yeah. So it's dark by geez, five o'clock here now. So it's, uh, we're, we're officially into, into, you know, deep autumn.  But it's supposed to be like 70 degrees here this later this week, and maybe even today. So it's, it's kind of weird. We had a cold and snowy October and now it's, it's warming up. So we're going to try to get out and sneak in a couple of last bike rides of the season here. |
|J.E. Stacey|Yeah, we had our, we had our first snow yesterday. Oh, okay. And then it's warm today. It's going to be quite a bit warmer for the rest of the week, which is nice. I'm not, I'm not at all against this as a, you know, I'll take it warm in November versus freezing cold. |
