
# The Grey Nato - Ep 13 - "Cars And Watches"
Published on Tue, 19 Jul 2016 09:02:29 -0400



## Synopsis
Jason Heaton and James Stacey discuss automotive-inspired watches, covering topics such as the history of racing and driving watches, key brands like Tag Heuer, Omega, Rolex, Tudor, Chopard, Autodromo, and partnerships between watch brands and car manufacturers like Ferrari and Aston Martin. They also provide recommendations for affordable automotive watches under $2,500.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-13-cars-and-watches)
- [episode MP3](https://www.buzzsprout.com/2049759/11311111-the-grey-nato-ep-13-cars-and-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to episode 13 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. |
|Jason Heaton|I'm Jason Heaton and I'm James Stacy. Today we're talking about automotive inspired watches. From Omega to the Tag Heuer's that we all know, Halda, Chopard, Autodromo, Blancpain, Tudor, Breitling, Parmigiani, and so, so many more. Much like the idea of a pilot's watch, an automotive watch can be almost anything. I suppose where we start is somewhere near the beginning. Jason, what do you figure the starting point is for what we view as the automotive racing watch archetype? We're not necessarily looking for the first watch designed with a car in mind. I don't think that would necessarily be interesting.  I think where it gets interesting is where this now very popular idea kind of put down its roots. Where do you think that we land for that? |
|James Stacey|Yeah, I think neither of us would proclaim to be any sort of an expert on the history necessarily of driving watches going all the way back to the 30s or 40s or something like that, where you get those angled watches like Vacheron sells, you know, with the crown on the corner that sort of faces the driver as you're holding the steering wheel.  that type of watch. I think where it starts to get interesting is probably late 50s, early 60s. You know, I was about to kind of launch into kind of talking about the, the early days of the Rolex Daytona or the, uh, the Hoyer Carrera, but I think we might have to go back to 1957, which was when Omega introduced the first Speedmaster, which everybody knows the Speedmaster as the Moonwatch and as an astronaut's watch. But in reality, it was brought to market to capitalize on sort of this burgeoning interest in motor racing. And 57 was the year that Omega released the Speedmaster, the Railmaster, and the Seamaster, all using the same case, or similar cases. And that was 57. But then you get into the 60s, and I think that's where the tie-in becomes much more close between racing, which I think had kind of come into its own by the early 60s, and watches. You started to see watch partnerships. You started to see drivers wearing more watches. You know, 1963, I think, is where you kind of put the stake in the ground as sort of the dawn of what we would consider kind of the golden age of motor racing and racing watches. That was the year that the Daytona debuted, as well as the Heuer Carrera. And, you know, it kind of set the archetype for the style of watch that we all still consider to be kind of a racing, a racing watch. And I think it's important to kind of note here that, that there are sort of, you know, when you think about an automotive inspired watch, you can sort of get a design influence, uh, in a watch. But I think at least in these early days that we're looking at in the sixties, it really meant chronograph, you know, it meant a watch that, that would be used to, to time races and time lapse. Don't you think? |
|Jason Heaton| Yeah, definitely. I also think that there's a bit of a shift in style that allows for some of these watches that we now consider to be kind of the hallmarks of the genre, the Octavias, the Daytonas. And I think that at the time, the kind of popular look kind of moved from being Cary Grant and Don Draper to Newman and you know, these other kind of hallmark guys that are still icons of style today, with that kind of meteoric rise, they also brought a bunch of watches with them. And I think, you know, we still refer to a certain early Daytona as the Newman, and we know that Steve McQueen wore this watch, or maybe he wore that watch, or when he did Le Mans, he had this watch. And we know these things kind of in the same way that you know the cars that they had, And I think that helped cement the kind of cultural background for what happened with watches at the time, and how it tied very closely into racing, but also the popular, even celebrity culture around racing. |
|James Stacey|Yeah, I think, you know, the 60s, you could kind of devote a whole separate episode to kind of the 1960s and watches and how, you're right, it did make a shift from You know, 40s, 50s, I think the Cary Grant analogy is a good one because, you know... Seamasters, Spadell bracelets. Yeah. I mean, in the days before the 60s, men were wearing slim, smaller watches. And I think once this idea of kind of a more rugged man stepping away from the racetrack and still wearing his same leather jacket or boots or chronograph or diving watch, It does. It becomes a style piece. It becomes almost an emblem of, you know, that you carry from the racetrack to the rest of your life. And I think we still see that today. I think that's why that style of watch is still so popular. |
|Jason Heaton|Yeah, certainly. And why you see crazy valuations in some of these cars that McQueen had, you know, early Jag race cars. And then also with you know, things like personal sunglasses and it's, it's really not just watches. It's, you know, we're obviously going to focus on watches, but I think there was an entire culture that needs to be kind of in the holistic view weighted against the kind of explosion of this concept within watches as how closely they were able to tie in with another, uh, engineering project, we'll call it for racing and automotive design.  this kind of rapid expansion of technology. In just a few years, we went from manually wound automotive-inspired chronographs all the way to the kind of launch and marketability of automatic chronographs. And I think that's all wrapped up in the same sort of cloud of what was happening culturally with racing and cars and the celebrities surrounding that. That's something that didn't happen in later generations. |
|James Stacey| Yeah, I think you're right. And it's probably not a coincidence that a lot of the early chronographs or the first automatic chronographs were kind of targeted as, a lot of them were sort of racing watches. I mean, the Monaco is the obvious example, you know, being Hoyer's sort of avant-garde foray in a driving watch that was one of the first automatic chronographs. But I think It's also representative of the fact that simply most of the chronographs that were used in those days, I mean, what, what would you use a chronograph for in the 1960s that, you know, why would you use a chronograph instead of just a time, all day watch, for instance? I mean, I can only think of a few reasons even today why, you know, a chronograph, you can say, Oh, you can time your pasta cooking or boiling an egg or a parking meter, pizza delivery, but I would say that in the fifties and sixties, you know, before, you know, quartz digital watches were used for, for timing things. Uh, you know, people were still using these mechanical watches for, if you weren't a pilot or an astronaut, which most people weren't, you could still use it on the weekend at the track, or, or you want it to look like you used it on the weekend at the track. And so most of these watches were styled as, as racing watches. I mean, look at the ads, look at the, the Viceroy, the Hoyer Octavia partnership that they had with Viceroy cigarettes, you know, these, these, full-page magazine ads with a guy leaning on his race car wearing a Heuer watch. |
|Jason Heaton|Yeah, and you may not have had the ability to, say, have a race team like Paul Newman did, or have the ability to hit the track on the weekends with a weekend car, a track car of some sort. Maybe you didn't live in, you know, the perfect location, you know, Southern California, you weren't around a racetrack, all these things.  If you could go to the store, you could get the same watch. And there's that aesthetic connection. And it's like when you talk about Jackie Stewart, a champion of this era, I think of his sunglasses. Oh, yeah. I think you know the exact ones I'm thinking of. Oh, yeah. They kind of look like the hands on a BRM watch. Yes. And I think of that, I think of his hat. There's an aesthetic that goes with this time.  and largely the part that has survived not so much survived in that we're still making watches that look the same way although we are and you can go back to our what's old is new again but more so that they've survived in that they're still very desirable in the 60s motorsports was very accessible to a mainstream audience as far as an aesthetic and a lifestyle yeah even more so than maybe Cousteau was able to establish for diving So there was a real time for these watches. And I think largely that the weight of that time is what's allowed them to survive, the idea of an automotive watch to survive for so long. And in many ways, and I don't necessarily mean this negatively, but in many ways, the idea has been so heavily bastardized by the watch industry's marketing departments. We started kind of a Google Doc with all the different watches we could think of. And what I thought would be you know, we'd have enough watches to talk about in this segment is like we could do three or four shows. Yeah, it's, it's incredible. If you wanted to just touch on every brand that in some way has established that this is their driving watch or their racing watch or their automotive inspired watch. I mean, it's rampant. It's just like the pilot watch. I would say it's, it's more watered down in some ways than the dive watch has become. I mean, a lot of these watches that we have on the list aren't necessarily even chronographs. |
|James Stacey| Right. And I think that's an important distinction. I think you have, whereas in the fifties and sixties, I think a driving watch meant or a motorsports watch or an automotive watch meant a chronograph because, you know, things that were necessary were legible sub dials and a tachymeter scale because you were using it to measure average speed over a set distance. And I think this notion of using the chronograph in that way has, it's largely been kind of lost. I mean, I think people still know how to do it, I suppose. And you can certainly use a chronograph for many things, but I think it's kind of changed. And like you said, a lot of these automotive watches nowadays that we get are not chronographs at all. I mean, you look at a brand like Autodromo, which is a brand that I think we both love a lot or admire. You know, they made the Prototipo, which was a chronograph. But by and large, most of their watches are They're very automotive-inspired. It's a very design-centric watch that is meant to conjure the romance and the notion of classic sports cars and racing cars. |
