
# The Grey NATO - 131 - Film Club Vol 5
Published on Thu, 19 Nov 2020 06:00:11 -0500



## Synopsis
Jason and James discuss a variety of topics in this episode, including Jason's recent acquisition of a 1993 Land Rover Defender, watch discomfort experiments with dress watches and chronographs, James' new "Submechanophilia" merchandise line, and Jason's removal of the subwoofer from his Jeep to improve cargo space. They then present Film Club Volume 5, each recommending 5 movies for listeners to watch, ranging from classics like Deliverance to more recent films like The Grand Budapest Hotel and Good Time. The episode concludes with final notes about an engaging vintage watch blog and Jason's new indoor grow light setup.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-131-film-club-vol-5)
- [episode MP3](https://www.buzzsprout.com/2049759/11310989-the-grey-nato-131-film-club-vol-5.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 131 and it's proudly brought to you by Seiko. We thank you for listening. James, how's it going up there? We're inching closer to holiday time here, as it were. |
|James|Same, you know, we should start adding this into, you know, what we talk about in the intro, you know.  weather and construction noise. We have both in Toronto, both have persisted. They were cutting a piece of trim maybe six feet from my window just before we started recording, so let's hope that doesn't continue. To say that I'm over it would be just one of the understatements of my year. |
|Jason|Wow, it's going to be weird when it's quiet there. You're not going to know what to do. You're going to be like, turning to static on the stereo or something. |
|James|Yeah. I mean, my guess is that I will trade construction noise that goes from eight until five every day for a family that lives above me and stomps around all day. |
|Unknown|Oh, right. |
|James|Yeah. Right. I don't know. Yeah. You know, it may be time to relocate our Canadian headquarters. I'm not sure.  But yeah, so that's about where I'm at. Admittedly, maybe I woke up on the wrong side of the bed today. Might be a little zesty for this episode, but how have you been? How are things in your neck of the woods? |
|Jason|Oh, pretty exciting. Actually, this past week, we acquired a new vehicle. Against better judgment, we bought a 1993 Defender 110. So, yeah, pretty whirlwind week. We test drove it, I think, last Friday. It had been kind of on our radar for a few weeks, and then we picked it up last week. And I mean, it's been amazing. It's been fun. It's been, yeah. |
|James|Well, I know this hasn't been like a whim for you and Ghoshani. Like, you guys have been thinking about buying something a little bit more modern, but still very capable for kind of a while now. |
|Jason| Yeah, we went back and forth about, you know, if you'll recall, we did that Land Rover sort of road trip during the summer down to Iowa and it kind of planted the seed for doing more of that sort of thing in a Land Rover just because of how fun it was to take back roads and kind of the conversations that were spurred by driving this kind of quirky old vehicle and camping out of it. But it certainly drove home the point that something a little bigger and faster and more modern might be a better route to go and then We headed down a bit of a detour looking at those scamp trailer campers as an option to pull behind our Volvo and kind of go that route, but but then this one came up for for sale locally and At Bishop and Rook, which is a local it's a little too close to home Literally just down the road here. They import defenders mainly right-hand drive diesel defenders and they had this one for sale and I've been chatting with Mike off and on for a few years even before I bought the Blue Series 3 and so we test drove it and we were just smitten. I mean it's a 93, it's got 77,000 miles on it and you know it feels, even though it's you know an old car, it's compared to driving the Series 3, I mean it's got power steering, it's got heat that blows, you know actually you can get heat. 90s headlights.  90s headlights, comfortable seats, enough leg room. |
|James|And to be clear, 90s headlights are not good. Headlights kind of got good around 2008, maybe 2010. But there's a huge jump between what's the Series 3. |
|Jason|It's a 76, so it's like candles. |
|James|Yeah, for sure. It's definitely an understanding. It's never been a surprise for me once I got into my Jeep or you know, got to know some people with defenders. Jason Gallop has a lovely diesel 90 defender and and that that people, you know, modify these things with more lights. Not only does it kind of look cool, I have a really hit or miss relationship with things like light bars and stuff like that. Yeah, but I understand why people strap more lights on these jeeps. They were terrible. |
