
# The Grey NATO - 132 - Holiday Gift Guide 2020
Published on Thu, 03 Dec 2020 06:00:15 -0500



## Synopsis
This episode of The Grey Nado podcast features a discussion about holiday gift ideas, with a focus on products from smaller, independent brands. Jason and James each share five gift recommendations, with four under $100 and one "break the bank" option. They talk about items like coasters, a camping lantern, underwear, a kerchief, and an instant photo printer. For the higher-end picks, Jason suggests a wall clock from Bremont, while James recommends a leather bag from Observer Collection. The episode also touches on the importance of supporting local restaurants and businesses during the holiday season.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-132-holiday-gift-guide)
- [episode MP3](https://www.buzzsprout.com/2049759/11310988-the-grey-nato-132-holiday-gift-guide-2020.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Grey Nado. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 132 and it's proudly brought to you by Seiko. We thank you so much for listening. |
|Jason Heaton|Jason, how are you doing? Doing pretty well. We just had a long weekend here and it was an enjoyable one. |
|James| Yeah, things are looking up. Would you get up to Thanksgiving long weekend? What did you do for your Thanksgiving? |
|Jason Heaton|Well, we did something we have never done before on Thanksgiving. I mean, well, I guess we used to. We used to get out of town a few years. We'd go to a cabin or something, but we went camping last week just for Thanksgiving night. Normally we spend it with my parents, but given current circumstances, that's not wise these days here. So we decided to kind of socially isolate and it was also a good chance to try out our new Defender camping scenario and it was a big success. The week before we had worked with a carpenter friend to build out the back into kind of a sleeping platform with storage underneath.  strung some bungees or along the top for lanterns and clipping things up there. And, uh, and then we got an electric site at a state park nearby and just went and spent the night. And we, you know, grilled on the, on the fire and we read books inside the Defender, which stayed reasonably warm with a little space heater and, uh, went for a hike. And so all in all it was, it was pretty serene. It was, it was really a pleasant experience. It was, it was nice. And we're having this weird, fall, you know, we had all that snow back in October and early November, and then it's been kind of warm and dry and sunny here for a few weeks. And so, you know, we're just going to keep getting outside as long as we can until it gets sort of icy and dark. And so, yeah. |
|James|That makes sense to me. That sounds really nice. I woke up to maybe three inches of snow. |
|Unknown|Oh, wow. |
|James| Uh, overnight. So it's a pretty snowy here, uh, at, at the moment. Uh, but yeah, that sounds, man, some, uh, some camping still sounds really, really, uh, like something I would, I would enjoy. That'd be, uh, that'd be great. And I'm glad to hear the defender, you know, on its first kind of shakedown, uh, seemed, seemed to be a good platform for the adventure. |
|Jason Heaton|Yeah. We, we thought we might, you know, come away with some ideas of, of different setups or things we missed or would like to add. And we left kind of thinking this is a, This is about perfect because, you know, we intentionally wanted to start fairly minimally with the way we build it out and, you know, resist adding all sorts of interior cabinets and, you know, gadgets and buying very specific stuff. And so we thought we'd add on as we needed to. And I'm sure we still will, but it's pretty good the way it is. It's nice to be able to just sort of climb in the back and and sleep comfortably. We just, you know, put down a foam, foam folding mattress on top of that sleeping platform and bundled in with our sleeping bags and some pillows. And it was, it was super cozy. It was like a little, little hard sided tent or something in there. So very cool. |
|James|Yeah. I think that's great. And the other thing I think that illustrates is, you know, we, we talk about the overlanding thing and jeeps and defenders and all that kind of stuff quite a bit. And some of it, we've even highlighted some pretty high dollar projects.  I think the interesting thing is, in your case, what you did could also be done in a van. It doesn't need to be an expensive off-roader. It doesn't need to be expensive, period. I knew lots of guys that lived up around Whistler and Pemberton and Squamish who lived in Subaru Legacies and anything where they could stretch out at night, right? And these are guys that, you know, this was in the winter. It wasn't in the winter in BC. I mean, it's not Alaska, but it's not like a chill winter either.  So I think it's an interesting thing to kind of highlight just how much you can do just with a little bit of intent. It doesn't have to be a new Defender. It doesn't have to be even an old Defender or a Jeep or anything. It could be the vehicle you've already got and a little bit of planning. |
|Jason Heaton|Yeah, I think it was either on TGN or it was on one of the weekend Hodinkee posts you had put up a story about the There was a woman who had done a job with her Subaru, like a Forester, I think, and she built out the back. And there's a guy down the alley from us here in the city that has lived or not lived, but yeah, well, I guess he's lived out of his Subaru Outback wagon on many trips for the past 15 years, he said, and he, he did something similar. So, you know, I mean, I think we're all told we were in for about $180 in plywood, um, you know, good three quarter inch plywood and just, uh, works really well. So. |
|James| No, it looks great. And I like that. It's a, it's something that again, it can grow with you as you get kind of maybe more audacious or, or confident, uh, then you can start to step into things that cost a little bit more money. Um, it, you know, I've, I've spent a lot of time now on, on YouTube sort of overlanding corner. Um, and, and a lot of it focuses on spending money on the gear.  Yeah. And maybe not always, you know, that's one of the things I love about, you know, we've talked about Chris Johnson Venture four wheel drive, uh, in the past and I just got caught up. I'm now watching them once a week when they come out. Oh, nice. I've watched everything that he's published so far, but the thing I like about his is it's not that focus on the gear. He has some gear that he likes and it's expensive and it's important because he lives in that vehicle year round and has for several years. |
|Unknown|Yeah. |
|James|Um, but it's not this endless focus on just on the gear. There's, there's the focus is on where it takes you, how it takes you, you know, and, and, and, and, you know, obviously if your goal is to live in your vehicle and, and be supported by a YouTube channel and a Patreon, you're not going to spend a ton of money on gear likely. I mean, there's certainly, there's certainly channels that are so focused on, I just got a new vehicle. We're going to do, you know, $15,000 worth of upgrades to it. They drive it for a few months to a few great adventures, and then they seem to get another vehicle or they There's a couple of channels I follow where the people have six or seven Jeeps at one time. And a lot of that, I think like, I understand that at a certain point you become a slave to making content. I've definitely been down that road for years of my life now, where at some point, maybe you're buying a piece of gear or trying things out just so that you have something to talk about. And that serves a purpose to the community for sure. But it definitely is a community that at least from the content standpoint, is obsessed with gear rather than just action. Right. I know. And I think it's good. I think it's good that, you know, you were able to take a vehicle that really wasn't designed to be slept in necessarily. It has enough room, which I think is the main, obviously the main goal. Yeah. And for not a lot of money and a lot of gear you already own, you were able to go out and have an adventure in a time of year where, I mean, it's less and less likely. It's less and less comfortable. It's less and less enjoyable. |
|Unknown| Yeah. |
|James|Uh, so I, I think that's good. I think it's a decent lesson for folks who might have a second vehicle or, you know, maybe you go out and spend a thousand dollars on a van. Um, cause it doesn't have to be a big sprinter van that you plan on putting a bathroom and a kitchen and an Instagram photo studio. And it could just be a Dodge caravan that you cover the windows and sleep in. You'll be comfortable and warm. You'll be fine. |
|Unknown|Yeah. |
|James|Uh, same for a, I don't know, GMC Safari or something like that. Like there's a lot out there.  Right. And, and, and I like that it doesn't, it doesn't always have to be this like, you know, Instagram crushing $100,000 bill to, you know, go make tacos in a field. That's not that far from your house or something like that. |
|Jason Heaton|So I think it's a good lesson for, for those of us that are also into, you know, the other stuff we talk about on TGN, like watches for one thing, I think people get really hung up on things like, you know, uh, can I take this a hundred meter, you know, water resistant diver 65 sailing or diving or which watch is better for this. And I, I, I've just gotten to the point where I just tell people like, look, most of these watches are really well built. Stop sort of obsessing about the watch and obsess about the stuff you can do with it and the memories you make with it. And I think the same goes for, for a vehicle, if it kind of fits the bill and you know, you're, Your examples are good ones. I think that the advantage of the Defender, obviously I have an affinity for old British trucks and so there's a certain heartstrings that get tugged with owning it. But I think the thing that makes it good for this camping is that it's very vertical. It's very square and it has a high ceiling. And so even with a platform inside, we can sit up, whereas something like in our neighbor with his Outback, it's a little more cramped because it's curved around the top and things like that. But you're right. I mean, you can do this with You know, I had a friend that lived out of his Honda Civic when he was driving, you know, around the Great Lakes doing photography and, uh, worked just fine for him. So yeah, just go do stuff, make it up as you go. |
|James|And especially if you're talking about, you start with one night, even if the weather's not great or it's snowy or it's colder than you might've expected, just do one, do one night. Yeah. Do one, see where you land, you know, go watch the channels, like learn what a couple other people have done, you know, follow along and then, and then just kind of adapt that to your scenario and, uh, and, and keep enjoying it. Certainly. I think that's a, that's a good one. And, and, you know, maybe I'm attaching to it because I really haven't done much of anything since we recorded our last episode. Uh, just a lot of work and, uh, and you know, with it, we're still spending time outside, but less and less as it, you know, you blink and it's pitch black and the rest of it.  And you just, you know, by the time you actually close the lid on the laptop, it kind of feels like it's bedtime. Yeah. Whereas that, that used to be my sign for like, well, now I go for a run or now I'll, you know, I'll run some errands, I'll go outside, I'll try and go take some pictures, whatever it is. Right. And it's less so, you know, especially with my general distaste for snow and the cold. Yeah. Um, but I'll get over that over time as I do live in Toronto. |
|Jason Heaton|Well, it's kind of, it's kind of the time of year. I think you have to change expectations and I think it's a good time of year for for catching up on the movies you don't watch in the summer because you're, you know, doing stuff till nine 30 or, you know, reading books and, and that sort of thing. So, yeah. |
|James|Speaking of books, I didn't get up to much these, uh, the last, uh, you know, 10 days or whatever, but, uh, I did finish, I started and finished, uh, a collection of short stories by a guy named Ted Chiang. Oh. Um, and the, the book is called Exhalation. |
|Unknown|Huh. |
|James|And I would describe it as, um, did you ever watch any like, uh, Black Mirror? |
|Jason Heaton| Yeah, okay. Yeah, right sort of a little bit absurd sort of that was a British Yeah, yeah, exactly. |
|James|So black mirror is kind of like a Modern version of the Twilight Zone. Okay, right and and in exhalation That's the closest thing that I could probably pull on would be black mirror except a lot of black mirrors kind of dystopian Yeah in its scope. Yeah, and this isn't dystopian as much as it's um, I It's a way of, it's a lot of like perspective shifting and kind of, you know, imagine if you take something like social media now and just extrapolate its effect over the next hundred years. It's a letter from somebody a hundred years in the future. Sometimes it's a letter to you or me, the person reading the story, that's a warning or a tale of the problematic elements of time travel or trying to change your past or I don't really like sci-fi, and definitely this isn't the world of sci-fi. This is from the same guy that wrote Arrival. Oh, okay. Just a really incredible brain and a really fantastic writing. I enjoyed, I think all but one of the stories, a lot. A couple of them I finished. There's one, this is the best I can give you, the one that the titular story, Exhalation, is a story about a sentient being in the future, a robotic being of some, uh, a synthetic being of some sort that's trying to understand that's trying to divine its own creation. And it builds this series of prisms and other things that allow it to actually dismantle its own brain while it's alive. Wow. And, uh, and the things that learns then proposes the things that learns about its own internal structure defines all of its external environment.  and some things that are changing that they can't control. So a lot of it is allegory, a lot of it is metaphor. I thought it was absolutely fantastic. My brother Tim recommended it to me and actually gave me the book and he was dead on. Huge fan of Arrival and if you enjoy that sort of, the conceit of the third act of Arrival, or really the conceit of the film itself, I think you'd love this book. I really, really enjoyed it and I also, I don't read any fiction. So this is my first dip into fiction in probably a decade or more. And to be able to do it in little pieces, you know, some of the stories are 10 pages, some are 50 or 60, really made it a little bit more approachable because it's almost like, you know, like playing a mission in a video game. I can read one story and put it down or I can kind of get into it and keep going.  Um, so that's exhalation by Ted Chiang. And it was absolutely incredible, but it's a fantastic book. Oh, that's great. And I think really approachable. Like I don't, I don't love, I'm not like a, we've talked about this before. I don't really love sci-fi. I like some of it. I like the tone in sci-fi often. And his tone is so quiet and thoughtful. And if, yeah, like I said, if you enjoyed arrival, I think you'd dig these stories a lot. |
|Unknown|Hmm. |
|James|Oh, I'll have to check it out.  Yeah, so that's pretty much my news. I should, maybe I should aspire to a more active lifestyle. As it would seem, I'm not really getting up to that much. |
|Jason Heaton|Yeah, well, it's the time of year. I mean, books and movies get caught up. |
|James|Working our way through Schitt's Creek, which is awfully funny if you haven't seen any of that. I didn't really get into it in the first few episodes and then Uh, it's just, it's eminently watchable and the, the character work, uh, you know, I'm a, I'm a forever fan, a lifetime fan of 30 rock, uh, Tina phase, uh, sitcom from a little while back. Uh, and, and this, I think their character work is very similar. Uh, so it's, it's a lot about just putting characters you already understand into various scenarios. Yeah. Um, and which is, uh, which is nice. It's been, it's been fun to watch that and a nice way to kind of unwind, you know, instead of something that's full of, uh, I don't know, special forces raiding bases and somewhere else in the world or whatever. So, you know, a little bit lower stakes than some of the movies we spoke about in the previous episode. Speaking of what we have been up to for the last little while, what have you got on risk? What's our risk check for today? |
|Jason Heaton|I put on the unordained model one that I talked about probably in our last proper episode, not the Q&A, but when we were discussing the dress watch discomfort zone. Um, and I've kind of settled into a rotation with this watch. It's, uh, as I sort of expected, it's, it's not a daily wear piece that, you know, I put on, you know, for going camping or, um, you know, going for a hike or something, even though I could. Um, but, uh, I'm just, I'm just really enjoying it. It's got this, the beautiful cream dial. It's, it's a dressy watch, but it doesn't, when you look at it, it has this, that sort of instrument, aesthetic to it that I like about some of the like the Ricard Lange, Lange's or you know some IWC's it's just a sort of needle hands and the really beautiful long markers on the dial and and so I'm just just enjoying it you know it's the time of year when I'm wearing a lot of sweaters and turtlenecks and that sort of thing with long sleeves and it just seems like a good like a good fit and I think it's gonna be my sort of official TGN watch you know it kind of sort of puts me in a mood to kind of sit down and and kind of talk. |
|James|I love it. That's great. I'm glad to hear you're enjoying it. I've taken delivery of my chronograph, which I've shared with you. I haven't spoken publicly about what it is. I think we'll do that for a whole episode. Sure. We'll come back and talk about our discomfort zones and maybe where we landed. I wanted to have some sort of resolution.  before I share it, but I might also get bored and just put it on Instagram. I'm pretty excited about it, but at this moment, I'll talk about a different watch I've been wearing. With the bad weather, the watch I actually got in is very old, the oldest watch I've owned in, I think, ever, the Chronograph. And so I haven't been wearing it outside. I worry that the negative 4, negative 5 Celsius to come back inside to 20, 25 degree space, uh, you know, would just cause the encouraged condensation. It's the same way I kind of treat cameras. I'm only going to take them out if I really plan on using them in the cold and giving them a chance to acclimate and the rest of it. Right. But for a 10 minute trip outside or, or going to clean snow off the Jeep or whatever, I've been wearing my, the sea Rambler quite a bit. And, uh, it's just a lovely thing. Yeah. Um, You know, it's a, it's basically in my mind, like it's, it's borderline a perfect dress, a dive watch, a perfect dive watch. Yeah. It's just the right size. It feels really special. It doesn't look like a Rolex. It's got some color, but not too much or too little. And it's also the thing that really wins about these the 50th anniversary cases and conceivably then the new 300 it just works on any strap. Yeah.  you wanna put on rubber, works on rubber. You wanna put on a mesh, works on a mesh. You wanna put on leather, I haven't found any leather, it doesn't work on either. I would say that in the world, there's that whole subset of people who hate the idea of a dive watch on a leather strap. I've never ever understood that at all, but I think in the world... This probably is one of the most difficult watches to understand on a leather strap, it just doesn't even look that right in photos. Yeah. Yeah. But on wrist, it's just perfect. It feels like you put a watch like that on a vintage or on a leather strap. It feels vintage. It feels kind of special, almost kind of off duty. Right. Because you wouldn't go in the water with some suede strap or something. Right. So, yeah, I've been just loving and enjoying. It's a great watch. I've talked about it before. Don't have to put a lot more time into it. But if you don't know the watch I'm talking about, we'll put it in the show notes along with Jason's lovely Ann or Dane model one. |
|Jason Heaton| Yeah, well, I think, you know, you're dead on with that. I think these sub 300s, there's just so much steel to the case that, and then with that silver dial, especially the one you're wearing, it does definitely have a bit of a vintage appeal to it. You know, we can probably move into our main topic here shortly. Maybe we do an ad break first, but I'm pretty excited about this episode. It's one that we, it's become a bit of a tradition for us on TGN, our holiday gift guide. |
|James| Yep. Yeah. I'm also excited about this. It's usually one of my favorite ones of the year. I like a gift guide that, you know, it's, it's something I like. I really, obviously I enjoy giving gifts quite a bit and it's a, it's a kind of a fun way to, to look at it. And we'll explain the format and we changed it up a little bit this year. But if you're listening to this and you want, if you get to the end and you want more gift options or different gift options, maybe ones from bigger name brands, we've made an attempt to go with smaller brands.  of one of them in New York with you. Yeah, it was in my little Airbnb. It must have been at the end of 2018. Right, right. Something like that. So yeah, we've been doing this for a little while. I always really enjoy it. But yeah, I definitely think it's time for an ad break. And as we've said on the past few episodes, we are just thrilled to be able to say again that Seiko sponsored this episode of the show. And much like with episode 131, This episode is kind of brought to you by Seiko and their new prospect series of dive watches. In the past, we spoke about the kind of 62 mass reissues with the SPB 143 and so on. And this time we're going to be talking about their new SPB 151 and 153, which are the kind of reissues of the Captain Willard 6105. |
|Jason Heaton| Yeah, and this is a watch that even though Seiko hasn't formally embraced the Captain Willard moniker, everybody seems to know it by that because it was nicknamed for the inspiration that they draw from, the Seiko dive watch worn by Martin Sheen when he played Captain Willard in 1979's Apocalypse Now. The SPB 151 and 153 are heavily based on the now vintage Seiko 6105 dive watch from the late 60s, which actually was the watch that replaced the 62 mass. |
|James| Yeah. And, and oddly enough, not only did it replace the 62 mass, the 62 mass, like I mentioned, was the inspiration for the prospects models we chatted about on the previous episode. So this is kind of, there's, there's a flow to the plan here with the Seiko ad breaks. And you know, we've chatted about my much loved SPB 143, but for the 151 and the 153, we find a steel case with Seiko super hard coating. It measures 42.7 millimeters It measures 42.7 millimeters wide and offers 200 meters of water resistance, protecting Seiko's latest spec 6R35 movement with 70 hours of power reserve. |
|Jason Heaton|And on the outside, the two models are separated by color and the available mount, with the SPB151 rocking a black dial and bezel, along with a full steel bracelet, and the SPB153 opting for a lovely shade of olive green matched with a black silicone strap. |
|James| And pricing starts at $1,100 for that green with the rubber strap, the SPB 153 and the SPB 151, which has the full bracelet and the black on black coloring will retail for $1,300. |
|Jason Heaton|For more information about these excellent vintage inspired divers, please visit bit.ly slash 151 153 TGN. That's bit.ly slash 151 153 TGN. And of course a huge TGN thank you to Seiko for supporting this episode and for making the Grenado possible.  Sponsors like Seiko allow us to keep the show free for all who listen and we greatly appreciate their support. Let's get back to the show. |
|James|So Holiday Gift Guide, this is actually really similar to Film Club, which we did with the previous episode. But basically, Jason and I each pick five or so gifts. The goal is that four of them would be under $100 and one is kind of the break the bank, go spend a little bit more money for something more special. And this year we tried to focus on non big box options. So it's not exclusive to to what we're talking about. Some of these kind of bleed into the the Amazons and the Best Buys and the rest of it. But we wanted to have some focus on on smaller brands that are operated by, you know, mom and pop entities that make products that we really enjoy. And this is like I said, just a couple of minutes ago, this is only a small cross section. You can go back and I think I can't think of anything in the previous gift guides that I wouldn't still recommend. And there are probably things I should put on this year's list as well, but we try and have a new list every year. So we can't just keep saying by, uh, Patagonia nano puffs or, or, uh, Blundstones or something like that. Yeah. And I feel like we say that kind of stuff a lot throughout the year. Uh, so this was kind of a, uh, an option to go not only with smaller brands, but maybe with a slightly left of center, uh, left or right of center sort of options that aren't the normal things we always talk about.  And with that in mind, absolutely everything is in the show notes. So if you're driving or whatever, don't worry about making notes. It's a, it's in the feed. It's in the post on Hodinkee. Uh, you can click through the links. Uh, they're not affiliate links. We're not getting paid. If you buy or don't buy something, uh, people ask about that. Occasionally, these are just raw links that we put into Bitly. If you buy them, that's great. If you don't, that's okay too. Uh, but these are all things that we're pretty excited about and, uh, and that we think we'd make great gifts for people. Um, who kind of share the general TGN vibe. So, again, with that in mind, Jason, why don't you offer up your first one? |
|Jason Heaton|Yeah, my first one, I think, is very TGN. It's very, you know, for the watch nerd in your life. Could be you, could be a friend. Great, quote unquote, stocking stuffer. This is from the strap brand out of the UK, Haviston. And I'm a big fan of Haviston straps in general and their kind of overall aesthetic. And they've got this set of rubber coasters called the Service Dial Coaster. And, you know, I mean, I've never been a huge coaster user, but I got a set of these. They're $22 for a set of four. And as the name describes, they look like, you know, the service dials that, you know, if you were to send in a vintage watch, let's say it's a Dirty Dozen watch or, you know, like a Mark 11 watch. And, you know, to the horror of collectors everywhere, you would request a service dial be used.  because the loom is shot on the existing one. This looks like a set of replacement dials, except enlarged, obviously, to hold a whiskey tumbler, a coffee mug, or whatever it is. They're this nice pliable rubber. They've got a little bit of a three-dimensional quality to them. The markers are almost raised, but everything's made of rubber.  And they're just cool. And $22 for a set of four, they come really nicely packaged. And I just think it's one of those kind of cool gifts for a watch lover in your life. They have sets that are applicable to a number of different types of watches. So if you're someone who likes Pilot's watches, they've got one that looks like a Flieger.  You know, World War II Flieger, they've got a Mark 11 style one. They've got the dirty dozen ones. They've got a California dial. So, um, you can just, you can just order one of the two sets that they have and, um, you know, really affordable and, and just fun to have around. I've got them kind of kicking around on, on a few tables around the house. And I always use them when I'm sitting by the fire with, uh, with a cup of coffee or something. |
|James|That's great. I think these are super fun.  And I like that they're, you know, also offered by the wind-up watch shop. Oh, yeah. We love the worn and wound guys and the wind-up is kind of their shop entity, which is super fun. Yeah, I think these are a great gift. Yeah, they're kind of in stocking stuffer territory, which I really like, especially, you know, I don't know how often, people probably still do stocking stuffers. It couldn't just be me and my fam, but it's kind of a fun thing, an option for some socks and maybe some service-style coasters. Yeah, right.  My first would absolutely be a great stocking stuffer, just a great thing in general. You know, this is a year where I haven't had a haircut in nine months, ten months, something like that, maybe longer than that even. So I've been wearing a hat way more than I used to, and I've gone through a few hats. You know, I tried one from Best Made that didn't fit super well, and then I lost that one. I kind of lose them pretty frequently, but the ones I've been using recently, I now have them in three colors, is this Pedro and Taylor hat.  And I know I spoke about it back when, when it kind of first launched and I first got a chance with it. Um, but it's just a really simple, super wearable hat. I mean, there's not that much, it's a, it's baseball cap, right? It comes in a few different versions. Um, I really liked the green or the tan they've it's, I think it's called corded Velveteen desert is the tan color. Um, but Pedro and Taylor, we had one of their founders on Josh Perez.  on the show. You should definitely go back and listen to that if you happen to have missed that interview. He's a fascinating photographer and creative and kind of art director that manages both a gallery or, sorry, that manages both a whole studio called Set and then also launched Pedro and Taylor with a business partner. And I really like it. They do some clothing, they do some sort of like things to kind of adorn an office with. And then they do these hats and the hats are great. They have a great, what I would call a toque, what most of you would probably call like a watch cap or, you know, like a knitted wool cap. They have that sort of thing as well. Both are really nice, but their standard hat is absolutely worth the 40 bucks. I highly recommend it. And if you don't wear hats, buy one for a friend as a gift. |
|Jason Heaton|Yeah, that's a good one. You can never have too many hats. And I think this one's Especially this corded velveteen one. I like that color. Me too. It's a little dressier, a little different than kind of a trucker hat or something like that. It's pretty cool. |
