
# The Grey NATO – 133 – November Q And A
Published on Thu, 10 Dec 2020 06:00:10 -0500



## Synopsis
This is a Q&A episode of The Gray Nado podcast where the hosts, Jason Heaton and James Stacey, answer questions submitted by listeners on various topics related to watches, travel, and gear. They discuss recommendations for watches suitable for different activities like mountaineering, travel destinations around Vancouver, dress watch trends, setting watch times, favorite handset and caseback designs, dealing with magnetism and watch repairs, and more. The questions allow for fun, insightful discussions filled with personal anecdotes and opinions from the hosts' extensive experience in the watch collecting world.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-133-november-q-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11310987-the-grey-nato-133-november-q-and-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 133, our monthly Q&A episode, and we thank you for listening. James, here we are again. Another month. This is actually our last Q&A technically that we'll record in 2020. |
|James Stacey| It sure is. Yeah. And it's been a really good year for the Q&A. This has kind of been the big development for the show this year. You know, we went weekly when quarantine and everything kind of kicked off. And I really liked weekly. And as soon as I think we can find a way to do that again, I'd like to go back to just making it weekly. But we have been able to keep up three episodes a month, which I'm pretty happy about. And that includes, you know, the two normal ones and then this Q&A. And we've got some really fun questions. Folks who sent questions in, thank you so, so much.  And before we jump into the questions, this is that one time of the year where I make a specific point of bothering people about leaving an iTunes review. So I know that at the end of every show, for those of you who actually listen to the end, all the way to the end for a quote, you'll hear me, you'll hear Jason or I say, please subscribe and review wherever you find your podcast. But to be a little bit more specific, reviews are the kind of the general algorithm currency of podcasts.  So not unlike liking or commenting on a post that you like or comment on on Instagram. This is the like and comment of of the podcast world. And in many ways, you know, we try to only ask in earnest maybe once a year, but it makes a huge difference to the way the show is ranked. Specifically, five star reviews do it. You know, it's definitely weighted, much like those customer service surveys. You know, it's kind of like everything that isn't a one or a five doesn't really count in the metric as much.  We want a five star review. If you feel it's a five star show, if you've been enjoying the show, please take a couple minutes to leave a review. Uh, if we can grow the show, that means we can do kind of bigger projects. We can get bigger guests. We can return to things like weekly episodes or more special episodes or, or shows that require more production, that sort of thing. But, but regardless, you know, I would say that you're stuck with Heaton and I for now, certainly. Uh, but if you'd like to add some variety, pop into your iTunes, uh, and, and you'll click on all five stars and leave us a little review. We'd really appreciate it.  I don't need to go into it at any more depth than that. Uh, thanks to everyone who has left a review in the past and you know, we'll probably ask again in about a year's time. |
|Jason Heaton|Yeah, we really appreciate those. |
|James Stacey|Oh, absolutely. Yeah. Uh, how do you feel about, uh, you know, popping right into the first question? |
|Jason Heaton|Yeah, let's dive in. We've got one from Evan who's asking about a good watch for mountaineering. |
|Evan|Hey James and Jason, this is Evan calling from San Diego, California. A huge fan of the podcast and everything you guys do. Uh, my question is about, What watch I should wear on an upcoming trip. I'm going to be taking an alpinism course in Washington in the Cascades in late April. There's going to be ice climbing, rock climbing, camping on the side of a mountain, in the snow. Kind of just an amazing trip and opportunity that I'm very excited for. It's going to be about 12 days long and I'm trying to figure out what watch I want to bring on this trip.  I recently just got a Garmin Instinct watch on Amazon Prime Day and I'm absolutely in love with it. The battery life is absolutely insane. It tells you so much information. It's so comfortable and I feel like it's going to be so helpful on this trip. However, I also have a Yima Bipole Duopoly. Sorry if I butchered that name. That's on the original like red Velcro strap. That is super cool. And this watch has so much history when it comes to alpinism and mountaineering. I think it's a really good watch to bring on this trip.  and associate so many memories, you know, being on this mountain, looking at this watch with so much history. I think it's very romantic. So help me decide. You know, on the one hand, you have this digital watch that tells you so much information, useful information, that maybe, you know, I want to associate these memories with or like look down at it and be reminded of being on the mountain. Or on the other hand, I can bring this watch that was designed to be worn during exploration that doesn't really do much except tell the time And acts as a compass if you know how to use it, which I don't, if I'm being honest. So which one would you guys choose? I'm really excited to hear about your answer. And last thing, Jason, I know you have one of these. Where do you get the battery replaced? I know it's a very weird process and I don't think any watchmaker can do it. So I'm really curious to see where you send yours to get the battery replaced. Thanks. |
|Jason Heaton|Well, Evan, thanks for the great question. That sounds like an amazing experience for you and a good, good way to come out of some sort of COVID lockdown here to get out in the mountains. You know, in terms of watch watches, James and I are obviously big fans of the instinct. We've talked about it here on TGN. But you know, for me, it would come down to, you know, what are you, what features are you looking for when you're out doing this course? Are you in it more for, or, or in terms of your watch, Uh, do you prefer something that will kind of carry memories forward for a very long time that you'll pass down to a child perhaps, or, you know, look at in 10 or 20 years, or is it more important to you to have, uh, you know, altitude barometer, uh, heart rate, um, things like this that you can then look at on your phone later. Um, if it's both of those, then, then the answer would be to double wrist it where both watches, I would not be ashamed to do that myself. Um, and, and did that when I climbed Vernier, I wore a Rolex on one wrist and a Sunto on the other. Um, But, uh, you know, I'm, I'm, I'm a sentimentalist. I, if I were to pick one or the other, I'd probably go with the Yima. I think, um, you know, there are other ways to tell altitude, um, and weather and things like this without, uh, wearing the Garmin. Um, so also I guess battery life would be a concern if you're there for 12 days. I'm not sure if you're going to be camping the whole time or have an opportunity to, you know, charge the watch, uh, and depending on how much you use it, if the GPS is running, if you'll, run into any battery charging issues up on the side of a mountain. Uh, something to think about. Uh, I'll just close with, with my thoughts on changing the battery. I did it myself, uh, on my Yima. Uh, it was pretty simple. I, you know, popped off the case back and then there's a little disc in the middle, um, that sort of suspended, um, between the two crystals and it's just three or four tiny screws. So I have a little set of jeweler screwdrivers and a loop and I just very carefully removed those screws, lifted off the, the plate and then just popped out the battery and put a new one in, sealed it up and kind of reversed the course there. I would think any watchmaker would be able to do it because they're actually more adept than someone like me with tiny things, tiny screws and screwdrivers and tweezers. So you might just want to take it to a watchmaker and just have them take a peek at it. But it really wasn't a problem for me to do. So I hope that helps. James, any thoughts? You've had your share of time in the mountains with watches as well. |
|James Stacey|Yeah. I mean, my feeling is The same as I did when I went on Baker, I took my Explorer 2 and I took a Phoenix 3. I wore them both. I think that there'll be times when you're at camp or operating in a zone where you don't want to either watch on your wrist, you know, ice climbing, things like that. You may want to tuck one into a pocket or around a loop on a harness or something like that. But I think if you're out, you know, doing some mountaineering, it's nice to have both. That way you can have the memories, you know, kind of stored in the Yima and you can have the data and everything that the instinct offers.  you know, charging, it's not too bad. Bring, bring yourself a little external battery pack and charge it overnight if you want. But it's, it's nice to have a watch with a loom and maybe an alarm if you've got to wake up at 1am or something like that for an Alpine start. It also depends on, on kind of how, how dependent you want to be on other people in the group or the team or your leaders for various bits of data. Whether that's, you know, route finding or yeah, biometrics or altitude or heading or all those other things. So in my mind, you take both for sure. And then you can kind of at times I would wear both when I was on Baker and sometimes I would just have the Rolex because I wasn't doing something that I felt needed to be tracked or kind of recorded in some way. That's how I would see it. |
|Jason Heaton|Yeah. Good answers. I think a great question to Evan. And that sounds like a great trip and have a great time. Stay safe. |
|James Stacey|Yeah. Enjoy it for sure. All right. Next up, we've got one from Mark.  which is a question about watch sales sites. |
|Mark|Hey guys, Mark from Philadelphia here. We all probably have sites that we check for watches, maybe daily, but certainly with some frequency. I'm obsessed with RetroWatchGuy and those watch guys, particularly for their selection of affordable, fun watches. What sites do you find yourselves turning to or recommend? Both sites for fun and affordable watches, and some for watches you may not be able to afford but love seeing the selection condition and price of. Thanks guys for producing TGN and all of your other work. |
|James Stacey|All right, Mark, that's a great question. And certainly, um, you know, from my standpoint, it's, it's a variety. I love retro watch guy. I've had a couple of watches come my way through, through Jordan and his business. And, you know, it's fantastic. And, and yeah, he, he really nails the charming, but not too expensive zone, you know, analog shift. Hodinke does a weekly drop now on Wednesdays.  which includes up to 20, uh, vintage pieces. And lately they've really been just, just offering some really, really cool stuff. Uh, and then, uh, you know, at a more hunting level, I, you know, I remain a huge fan of watch recon where you can kind of see everything and set up your own little kind of reminders. And, and that's kind of the same way I would use eBay. So that's probably the, the list for me, if you want, yeah, big retailers be like, you know, podinky or analog shift and such. And then some of the smaller guys, like you mentioned, And then, yeah, if you want to find it yourself, I'm a huge fan of everything from eBay to WatchRecon. And depending on your comfort level, right now mine's fairly low, but in other times I've also used Craigslist and there's another kind of buy and sell throughout parts of Canada called Kijiji that sometimes you get lucky or sometimes you just see some interesting stuff if you just want to, if it's more about seeing what's out there than it is actually buying something. What do you think, Jason? |
|Jason Heaton| Yeah. I would agree on all of those except for Kijiji. Um, but I, you know, I think that's a pretty regional, um, I'm, I'm a massive fan of retro watch guy. I just, I enjoy his feed on Instagram. Um, I bought, uh, I think I've bought one from him a long time ago, but, um, I'm just a big fan of Jordan and what he's doing. Uh, another one that I like is hub city vintage. And I've talked about them on the show before. Um, he's based out East. I can't remember where I think North Carolina or something. And he's, He specializes in vintage Seikos and he's actually a watchmaker. So, um, you know, he, he gets all these really amazing old ones and then he does these, I wouldn't call it weekly drops. I think it's like a monthly drop where he kind of announces what's coming. Um, and if you sign up for his newsletter, he gives you a little behind the scenes heads up beforehand and you know, it's everything from cool old pogues to, you know, old Seiko divers and chronographs and, and everything in between. And it's, uh, it's a fun follow, uh, if you like old Seikos and most of it's pretty affordable.  And then, um, you know, Hodinke's vintage stuff. When I see that come through, I just like browsing it. I, uh, most of it's outside my price range or, or, you know, actually I'm not really in the market for vintage watches these days, but it's a fun read. And then another one I'll throw out there is one called the finest hour and they have a nice little Instagram feed, but it's a really cool website. It's based in the UK and it is specializing in, uh, vintage, mainly British military watches. So dirty dozen stuff, Mark 11s, uh, old, um, you know, Omega and Rolex divers. Uh, and then they have this kind of interesting memorabilia section of the site where they sell old RAF flags and union jacks and RAF, you know, uh, radar room wall clocks, you know, really authentic stuff, um, from kind of mainly the, the world war two and cold war era. And, uh, for, if you're into that sort of thing, it's, it's a really cool follow. It's, it's a really niche and unique set of products that they carry. So, um, those are kind of my typical browsers, retro, Hub City, Finest Hour, Hodinkee, Analog Shift. Yeah, all good fun. A little dangerous, but it's great to check it out. |
|James Stacey|The other one that I would suggest before I lose my opportunity here are some guys who really helped me with my piece about the early Audemars Piguet Royal Oak Perpetual Calendars, and that's A Collected Man.  Oh, sure. Um, and they carry, it's a lot of like dream stuff. They had lots of lovely images of these perpetual calendar Royal Oaks. So it's not the typical, you know, maybe sub five or sub $10,000 space that, uh, TGN exists. But, uh, if, yeah, if you want to be able to scroll through some really lovely photography and, and the team behind them are all really great people. Uh, a collected man is another one I would add to, uh, to your watch list or that, you know, collection of tabs in your browser or what have you.  I think collectability too. Yeah. That's it. That's great too. A lot of oddities, which I like. |
|Jason Heaton|Yeah. And he's got a good little video series where he's, he talks about, uh, you know, really cool old paddocks and, um, and he's a knowledgeable guy and really friendly. So, um, a good one. |
|James Stacey|Yeah. John's done a great job with that. All right. Let's grab another one, uh, from Charles, who's a question, uh, a very common one now about, uh, water resistance meanings. |
|Charles|Hi guys. It's Charles from Michigan. Really appreciate all you've done with this podcast, especially during the, uh, lockdown periods where any kind of entertainment is certainly appreciated. After listening to older podcasts, I ran across what not to do with your watch, and then I bought a moderately priced quartz watch so I didn't have to worry about my mechanical watches during my activities that have a lot of vibration. Then the other week you commented that you wouldn't buy a watch only rated for 30 meters of water resistance. So to celebrate, I immediately went swing with my new watch, but it's only 6 millimeters and it's only rated to about 100 foot depth or 30 meters. I'm thinking if I'm not going deep enough where I have to equalize my sinuses, then the watch should be okay. Can you elaborate on watch water ratings, what they really mean, and why a watch that's rated for 100 feet should never go for a swim in a 10 foot swimming pool? And along those lines, can watch caskets really not take the hot tub water or shower water that's maybe 10 degrees hotter than my body temperature? Thanks guys. |
|Jason Heaton| Thanks for the question, Charles. Um, water resistance, boy, that's a question that comes up fairly often, both in Q and A's and just, uh, you know, we talk about water resistance with watches all the time. Um, you know, cause we're, we're big diver fans and that sort of thing. But, uh, I would suggest that you have a listen to our last month's Q and A in which a question from Cedric, um, came through about, um, kind of a similar topic about how much to trust water resistance and kind of the whole confusion around those ratings. Um, You know, personally, I think 30 to 50 meters is usually okay for swimming. I would say if it's your primary water watch. And if you spend a lot of time in the water, maybe go something a little, a little higher than that. Look for something with a screw down crown and case back. Um, but otherwise just get the pressure checked regularly and you know, don't worry about it too much. It's a, it's a confusing topic. And I guess I'm not sure James and I ever will have the full answer for this. |
