
# The Grey NATO - 135 - Gishani!
Published on Thu, 14 Jan 2021 06:00:09 -0500



## Synopsis
This episode features a conversation with Ghoshani, the wife of co-host Jason Heaton. They discuss how Jason and Ghoshani met, her early experiences with watches and photography, and their shared passion for diving and underwater photography of watches. Ghoshani shares stories about diving in various locations like the Maldives, Bonaire, and Sri Lanka. They also talk about new camera gear, a roti recipe, and other interests like badminton.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-135-gishani)
- [episode MP3](https://www.buzzsprout.com/2049759/11310985-the-grey-nato-135-gishani.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Gray Nado, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 135 and we thank you for listening. It's the first show of 2021 and I am joined as ever by my esteemed co-host Jason Heaton and a very special guest. |
|Jason Heaton|Yeah, this is a pretty cool episode.  You know, our last episode in 2020 was our most popular episode of all time. Uh, so thanks to everybody for listening. Um, was a really great way to end the year. And, um, we're kicking off 2020 with, uh, our best foot forward. And, you know, we've had a lot of requests for our guest cohost today. Um, and I'm really pleased that, that we're actually able to do it, uh, even in the same house, uh, Gashani, my wife and, uh, partner in all, all things, uh, is sitting next to me here and she's going to kind of be our, our special guest host today. |
|Ghoshani|Thanks guys. Very, very excited to be here. |
|James|We'll go easy on you. Well, normally we would give a guest, um, kind of the main, the main topic of the show. Uh, we didn't really see Ghoshani as, as a normal guest. Uh, Ghoshani, I think Jason and I both kind of feel like, uh, you're closer to a de facto host, uh, at this point than you would be, uh, would be kind of a standard, uh, a guest. So we figured it'd be fun to have you kind of just sit in throughout the whole show, kind of the chit chat, the risk checks, the main topic, the final notes. It'll be a, it'll be a great show. One that I'm, I've been really excited about and thinking about for a lot of the, uh, kind of the holiday break and the push into, uh, into the new year. |
|Jason Heaton|Yeah. I mean, Gashani's name comes up so often in the show. It, uh, it's probably about time we had her on. |
|Ghoshani|So sweet. I'll do my best. Thanks for having me, having me guys. This is really cool. |
|James| Yeah, this will be super fun. So what have you guys, so it's been almost a month, I guess, since we recorded an episode, which is such a luxury to take a bit of a break. But man, things do kind of just back up, especially through the holidays where you're kind of looking for, you're looking for kind of things to do and fill your time and you end up having these activities that you might want to talk about on the show. And what have you guys been up to? How was the last month? |
|Jason Heaton| Uh, it's been great. Um, you know, it, it does feel like a really long time. I can't remember the last time we took this long of a break. I think we did it a couple of years ago, maybe late summer into the fall that that one year we took a bit of an extended break. But, um, yeah, you know, winter has been pretty mild. We've been getting out and doing a lot of hiking. And I think since we recorded last, we did another one of our kind of Land Rover camping trips, um, which was kind of, I guess you'd call it an early winter camping trip. I hadn't been winter camping since the Boy Scouts when I was a kid. And Ghoshani's first time sleeping out. So, well, out is in the back of a truck. |
|Ghoshani|As in really cold weather. Oh yeah. As in freezing. Yikes. When the temps dip below 20. Okay. Maybe that's not really extreme for some people, but that was my first. |
|James|The cold, camping in the cold is a whole different monster.  Uh, you know, I've, I've only ever done it a couple of times and, and only really maybe just down to zero, maybe negative one Celsius, like right around freezing. Uh, but yeah, I do, I do remember getting to a point, you know, after the sun went down where I decided I would wear every piece of clothing I had with me. Well, were you guys able to do a fire where you were? |
|Jason Heaton|Oh yeah, we were. Um, and speaking of clothing, we, we both have, uh, had gotten some new bits of gear that, uh, really made it a little more tolerable and, and to, to be perfectly transparent here. Um, when we're talking about winter camping, we, we do use one of the electric sites at the, the campgrounds that we're going to. So what we do is we, we pull the Land Rover in and then we snake a, an extension cord out the crack in the front window and put like a small space heater in the front, uh, to kind of keep things tolerable. But, uh, you should tell them about your, your incredible mountaineering suit that you're wearing. |
