
# The Grey NATO - 137 - If We Were Watch Brand CEOs
Published on Thu, 11 Feb 2021 06:00:22 -0500



## Synopsis
This podcast episode covers a wide-ranging discussion between two hosts, Jason and James, on various topics related to watches, travel, and gear. They discuss their current wristwatches, the challenges of winter weather, James' upcoming novel, and their picks for the week. The main topic revolves around a hypothetical scenario where they act as co-CEOs of different watch brands and discuss potential changes or improvements they would implement for each brand.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-137-if-we-were-watch)
- [episode MP3](https://www.buzzsprout.com/2049759/11310983-the-grey-nato-137-if-we-were-watch-brand-ceos.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nato. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 137. We thank you for listening. Jason, how are you doing? Oh, it's cold here. |
|James Stacey|It's cold. I mean, we haven't had a proper winter in a few years and we're feeling it. It hasn't been above minus, I guess it would be about minus 20 or so centigrade for most of the week now. So. |
|Jason Heaton|Oh, that's certainly cooler, cooler than here. So that you're, uh, you're getting extra winter, but it's snowing cold here and I'm not really going outside very much. |
|James Stacey|Oh yeah. You guys got dumped on, didn't you? Snow. |
|Jason Heaton|Yeah. |
|James Stacey|Yeah. Yeah. Yeah. Other than that, it's, uh, it's funny when the weather's, uh, nice. So when we get good winter weather, Deshani and I do a lot more hiking and, and go to the, the downhill ski area and do some skiing. But, but when it gets this cold, despite her, fancy suit. She, uh, opts to stay in like a smart person. And so that, that leaves time for me to go cross country skiing. So I've been really bundling up and going to some of the local trails and getting back on my cross country skis, which I'm encountering such an annoying problem because when it's this cold, I want to cover my face, but then my glasses fog up. I mean, it's, there's no, there's no good solution to it. I can't, you know, using products like cat crap or, you know, whatever to anti fog stuff. Um, just doesn't, doesn't do the trick. So I'm either going without glasses and a balaclava to cover my nose or I'm going with glasses and keeping my face bare. |
|Jason Heaton|I mean, would it work to use like a, like downhill ski goggles? |
|James Stacey|That might be my next, uh, my next thing, if it stays this cold, because that would isolate my eyes from my breath. |
|Jason Heaton|So yeah, we'll see. And, and I'm just, you know, as if, if it's one of those like nice sunny days, it's just blinding. Yeah, yeah, exactly. You definitely want something on there. Otherwise you get home and all you, all you see is kind of like pink stars for|
|James Stacey| Right. Yeah. Yeah. Yeah. So that's, uh, that's kind of, kind of what's going on here. I've, I've been working hard on the novel. I'm, I'm aiming for an April release for, for depth charge. And, uh, so I, you know, writing the book was, was difficult enough, but this end game of, of figuring out, you know, marketing, shipping, printing options has become, um, it's not unpleasant. It's just a lot of work. And so I've been working with a local printer to get quotes and ideas and choose paper and then trying to figure out the whole shipping side of things. I've been frustrated with, with us postal. So I'm exploring some other options and then I'm working with a really fun designer over in, in London who's been helping me out with the book cover and also some cool animations and some, some stickers and some fun freebie stuff that I'm going to put together here. Um, so keep, keep an eye on the depth charge novel Instagram feed for, uh, for more, more info about that. But, uh, yeah, fingers crossed, uh, late April release for, for the book. And, um, I, I've promised my, my paying subscribers on my sub stack, uh, newsletter that there'll be getting an excerpt of the book in a few weeks and then, uh, early order access to it. So, um, yeah, so it's, it's pretty exciting. It's coming down to it by, By this time in, you know, two months or so, I should have a physical book on my desk, which I'm pretty excited about. |
|Jason Heaton|Oh boy. That's super exciting. Yeah. I can't, I can't wait to read it and to see, you know, what you've got planned for the rollout. You've, you've, you know, shared some of the little details with me. It sounds like a lot of fun. Yeah. Yeah. Uh, it, yeah, that's going to be, that's going to be a nice way to kick off a spring summer. |
|James Stacey|Yeah, I think so. Yeah. Good timing. |
|Jason Heaton|Read a few pages, jump off the dock. |
|James Stacey|Exactly.  That should make a waterproof version. Have it come in its own little dive bag. |
|Unknown|Oh yeah. |
|Jason Heaton|Okay. Don't, don't tempt me. With the, with the, with the hard zipper or the, or the little roll top that they clip over. |
|James Stacey|Yeah. Yeah. Totally. |
|Jason Heaton|Would be really cool. Just, just sized for the work. Yeah. Yeah. Which I guess then would work for your phone and other stuff. |
|Unknown|Yeah. Yeah. |
|Jason Heaton|Right. Maybe not a bad, a bad idea for some swag. Yeah. Yeah. Um, I, yeah, I, I have like, uh, I was on borderline depressed filling out, filling out the show, the show notes today. Uh, cause I just, I have like nothing to report. I I've been working a lot and, um, let's see, I got our new router. It's pretty exciting. |
|James Stacey|Okay. Was this to mitigate the, uh, the strange buzzing sound in the house or just better speed or what? |
|Jason Heaton|Uh, just having some connectivity issues. Oh, um, with, uh, with, uh, having maybe too many clients on at once. |
|James Stacey|And then, well, it's funny you, you mentioned that, that that's not exciting, but I would just say that I wouldn't mind on a future show doing some discussion about, um, tech or gadgets or something at some point, because I have a feeling. And in fact, I know you're savvier than me. And I think we have probably a lot of listeners that would be keen on talking about, you know, uh, home-based tech, whether it's, you know, cameras or, um, you know, security systems or, or music or that sort of thing. So let's, let's file that away for a future topic. I think that'd be pretty good actually. |
|Jason Heaton|Yeah, can do. I definitely don't think we need to talk too much about routers. Just, just go on, just go on wire cutter and buy the one that they recommend. That's, that's the easiest thing to do for something like a router. Yeah. Has always worked for me and it worked just fine this week. So that was a, that was good, but hopefully that means I stay online during this recording, which would be a plus.  But no, the buzzing I've not solved. So I can see my desk from where I'm sitting right now, but I can't put a microphone there to record. I think this might just be the way things are until I maybe don't live here anymore. But yeah, so that's fine. I have to, when we do these recordings, I have to sit somewhere else that doesn't have a really annoying buzzing sound. |
|James Stacey|Have you swept for listening devices? |
|Jason Heaton|No, I haven't swept for it.  They can listen. I mean, I'm recording. I have a lot of listening devices on my phone, microphones and the rest, but yeah, I haven't done a ton lately. Certainly since we recorded last, just working, working a ton on, on some bigger stories with Hodinkee and, and a few other, you know, projects in the go, but nothing, nothing really just, you know, like, like I think I've said in previous episodes, just kind of pining, pining for the warmer weather. |
|James Stacey|Yeah. I'm feeling it too. |
|Jason Heaton| for sure. Uh, yeah, I'm, I'm, I'm done with winter. I think, I think that's where I'm at. I probably started done with winter, but I'm definitely done with it at this point. |
|James Stacey|Yeah. The days are getting longer and that makes it more tolerable. But this, this cold snap is, uh, starting to make me pull my hair out, which, uh, you know, makes me think of, uh, in just a couple of months we'll be, we'll be out, uh, gardening and on our bikes and whatever. So that gives, that gives me hope. |
|Jason Heaton|Oh, for sure. Yeah. And, and you know, now's that time where you can, uh learn a new skill or or plan your garden yeah more extensively or or or whatnot and and we're certainly doing some of that with uh with plans for the cottage property and and that kind of thing so it should be uh should be a good season and certainly one that i'm looking forward to but uh what do you say we uh maybe move towards a watch-based topic of some sort what if uh let's do the uh the wrist check what have you got on this week|
