
# The Grey NATO - 138 - February Q And A
Published on Thu, 18 Feb 2021 06:00:25 -0500



## Synopsis
This is a Q&A episode of The Grey Nato podcast where Jason Heaton and James Stacey answer questions from listeners on various topics related to watches, travel, gear, and their interests. They discuss things like watch preferences (dive watches, date complications, modular chronographs), gift ideas (for a newborn child or a niece/nephew), favorite hiking trails, and potential limited edition watch collaborations.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-138-february-q-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11310982-the-grey-nato-138-february-q-and-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 138 and we thank you for listening. Well, after a long delay, we're back to Q&A. |
|James Stacey|We sure are. How are you doing, Jason? |
|Jason Heaton| Oh, pretty good. Yeah. I'm eager to get to some of these. We've, we've been piling them up and uh, yeah, yeah, me too. |
|James Stacey|And the, for those of you who are made, this is maybe your first Q and a obviously welcome. We don't do our normal chit chat. Uh, we don't have a show main topic and we don't have final notes or a quote or, or, or the rest of it. It's pretty much just questions. Um, and if you have a question for us, you can record it into the voice memo app on your phone and then send it to the gray NATO at gmail.com. We collect all of them and we try to do these every month. We skipped January just cause it was kind of a flux month for downtime and the rest of it. But we're back with February Q&A. And Jason, what do you say we jump into these? |
|Unknown|Yeah. |
|Jason Heaton|Our first question comes from Kara. |
|Kara|Hi, James and Jason. This is Kara coming to you from Albuquerque, New Mexico. I am a physician here. So I would like to thank you for keeping me company on my ride to and from work.  My wife and I are expecting our first baby in May of 2021. And to celebrate, I would like to buy a new watch that I will eventually pass down to him. I'm thinking about the Omega Speedy Pro that is due to be released early next year with the upgraded 3861 movement. My question for you is, should I go for the Hesalite or for the Sapphire Sandwich? I am not particularly hard on my watches.  But I am a firm believer that if I own it, I should use it. So it will inevitably get scratched and banged up. So I was just wondering what your thoughts are on the subject. Thanks a lot. Take care. |
|Jason Heaton|Well, lucky kid, Kara. And apologies for mispronouncing your name as Kara. But thanks for the question. James, what do you think? What would you go for here? Hesalite or Sapphire? |
|James Stacey|Yeah, I mean, you know, we spoke about this a little bit on the 3861 episode we did, Straight to the Moon.  watch, I believe is what I call the dumb name I gave that episode. But first, congrats on expecting. This is fantastic. That's great for you and your family. And thanks so much for listening and for everything you've done, kind of promoting public health and keeping people as safe as possible. As far as the watch goes, I think it's Hesalite. I mean, you can polish out a scratch. And if you shatter the plexi, it was probably in a scenario that was going to do some damage to a sapphire anyways, and you're just going to get it replaced, they can service them. I would go Hesalite. I like the slightly thinner case. I like the fully brushed finish with the Hesalite. And I kind of like the way light hits the Hesalite. You know, this is something that's kind of new in my world is comparing the glow of the Hesalite to the glow of the sapphire. It's kind of a different look.  And I like the way the Hesalites look. And I think, Jason, this is what you had said in our speedy one, is you would lean that way too. |
