
# The Grey NATO – 139 – Challenge: Sinn
Published on Thu, 25 Feb 2021 06:00:38 -0500



## Synopsis
The podcast episode is a discussion between two hosts about various topics, including watches they recently acquired, outdoor adventure movies and shows they enjoyed, and a thought experiment where they had to choose watches from the brand Sinn within a budget of $7,500. They share their picks, explain their reasoning, and engage in a fun conversation around the topic.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-139-challenge-sinn)
- [episode MP3](https://www.buzzsprout.com/2049759/11310981-the-grey-nato-139-challenge-sinn.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 139 and we thank you for listening. Jason, how are you doing? |
|Jason Heaton|Oh, doing pretty great here. Yeah, the sun's out, it's warm. Yeah, so, you know, things are looking up. We're almost to March. |
|James|Yeah, yeah. Aren't we just? Isn't that a good thing?  I'm not upset about that one bit. And yeah, it's actually, we're above zero here. The snow is melting. I'm looking out and there's probably like four or five feet of snow in some spots, but it'll take a little while to melt. But I am happy to see it melting and to be recording another episode. You know, we did the Q&A last week. If you're not subscribed, you might've missed that. So obviously do that. And if you've got a question for us, watches or otherwise, be sure to send that in. How have you been since that recording? You've been up too much? |
|Jason Heaton| Well, we had a, we had a bit of a cold snap. I don't remember if it was before we recorded that or after, but we went, you know, four or five days with, didn't get above zero Fahrenheit. So it just felt like the right time to crack open a son of a polar exploration book. I like to lean into the cold a little bit. And so, uh, Gashani and I have kind of gotten hooked on audio books in the past year, I'd say. And, and we, we get them from this library app that we use and, and we, we got, a book called alone on the ice, which is written by a really good author named David Roberts, who's written mainly about mountaineers and mountaineering exploits. But this one was about Douglas Mawson, who was a famous Australian polar explorer who I believe if the book is correct and this still applies, he's on their a hundred dollar bill in Australia. Oh, cool. And back in 19, I believe it was 1911, 1912, he led the, Australasian Antarctic expedition. And, um, it's an amazing story. It's one, you know, you hear about Scott and Amundsen and Shackleton and their exploits and their heroics, but you seldom hear about moss. And then, and his story is even, I think almost more fantastic than, than Shackleton's because, uh, they weren't going for the pole. So I think maybe that's why it's not as famous that expedition, but what they were doing in Antarctica was very ambitious and the tribulations he had to go through or just just harrowing and just, just horrific. But, uh, it's, it's a good book. I recommend it. Um, I don't, I'm not sure who the narrator was of the version we were listening to, but, uh, Ghoshani and I, we, we built a fire and kind of hunkered down for, I guess it was the three day weekend because here in the U S we had president's day and Ghoshani had the day off. So we, we just built fires, like sat by the fire, like all day for three days and listen to this book. And then every once in a while, we just for some exercise, we'd bundle up and go out and we'd live pretty close to a lake that, that freezes over, you know, a couple of feet thick of ice every winter. And we went down there and kind of trudged around on the, on the frozen lake and tried to relive Mawson's expedition a little bit. And then we'd come back and listen to some more. So, uh, it was, it was kind of, it was kind of a good way to kind of embrace the cold and now we've turned the corner. So now it's time to think about, about spring. I don't want to get too optimistic or jump the gun here, but, uh, it's the days are long now. |
|James| Yeah, they're getting longer, which is certainly nice. And that sounds like a great story, certainly. Yeah, yeah. Definitely one to check out. What about you? I'm not sure. Not like a ton. I'm just looking at the list of things I wrote down, trying to decide how much of it's boring. I added a second monitor to my desk. That's probably my biggest news. I've been using the same kind of 27-inch 4K for a few years. And I just bought basically the modern version of that, just I think, I think, you know, for years and years, and Jason, maybe you can, you can attest to this, but for years and years, I've, I've been kind of based on, for the most part, I mean, with some exceptions, I would sit at my desk and use the monitor when I needed to, you know, do some very careful photo editing or when I felt like I really needed the extra space. But in many ways you, you, you learn in this line of work, cause you're, you're constantly moving that you can do a lot on a, on just one laptop screen. Yeah.  But then when I get into a really big story or deep into a Photoshop, you just end up with so many desktops and windows and tabs and the rest of it. So I finally broke down. It was one of these things that I was spending my evenings just kind of like reading about different types of monitors and different types of layouts and arranging them for maximum productivity and the rest of it.  And finally, I bit the bullet and got it. And so far, I'm absolutely thrilled. It's so nice to just kind of have a lot there in front of you. And it's 227 inches, so it's not the biggest monitor in the world, but it's a lot of monitor, certainly. So that's been nice. It's a nice place to work. My computer tells me how often I'm on my computer. And I figured at a certain point, when you're deep into the double digits most days, maybe it's worth making sure that the overall format's better.  Uh, that that's, that's been a plus. |
|Jason Heaton|You're someone who from the past, uh, some from past episodes, you've said that you've, uh, often worked from bed or whatever on the laptop. I'm such a old school kind of diehard office worker type, even though I've worked from home for many, many years, 15, 20 years. Um, but I, I come into my office every day and I click on my little desk lamp and I, I've got a big old Dell monitor that I connect to my Mac book and Um, so I sit at this desk and a nice chair and I work here with a mouse and a, and a Bluetooth keyboard. And I like that I've got a window that I look out of, but every once in a while I unplug it all and I go and take my laptop and I go sit on the sofa. You know, if I build a fire or whatever, and I sit there and I edit or something and it's a nice change of pace. Um, but for the most part, I'm a, I'm a desk worker, but I need to kind of go the opposite direction and get away from the desk every now and then, because I can, I mean, that's the beauty of, of this work situation. |
|James|Yeah. I find that, um, it all just kind of comes down to, you know, in, in a, in a very honest sense, just what my, my, my, my kind of like mental health mindset is for the day. Yeah. Uh, there's some where I get up and, and I want to be at my desk and I want to feel like maximum productivity. I want all these monitors and windows and, and everything organized and, you know, a pad of paper with a pen and a list of things to do. And there's other days where I kind of go like, I know what I got to do and I'll get it done, but I'm not going to get, I'm not getting fancy about it. We're not getting out of bed today. Uh, so it just kind of comes and goes. I mean, I think normally the, I think, I think that this is, this is the, and I don't say this callously, but I also don't say it with like any concern, but like, I think this is the, the sort of effect that the, the, the, you know, now several waves of, of a pandemic and, and lockdowns and, and the rest is kind of had on me is like, Yeah. Some days I just, uh, you know, obviously you're going to get worked on. You always got to be working. But, uh, some days I've, I've from a physical standpoint, I've largely quit, uh, just, I'll just like whatever's comfortable wherever, wherever I can kind of like exist in a way that feels like I'm limiting the amount of stress. Yeah. Uh, that's kind of entering my body. Um, but I, to your point, I do really like the ability to move around. I'll, I'll, I'll do my morning emails and, and feedly and, And that sort of thing in bed. And then maybe for lunch, that sort of thing, I'll transition to my desk and try and get through kind of the bigger tasks of the day. And then I kind of, I tend to finish my day in the living room in front of the speakers with some music going. And that way, if it's just like, I like to put my reading at the end of the day. So you can kind of sit anywhere and just read a screen, which is nice. I don't like if I'm reading one article, I don't need the ability to cascade eight tabs.  over the past course of the past few years, I've, I've kind of backed away from having like a traditional workspace and now I'm, and, and it's probably a little late in the pandemic, all things considered, but now I've kind of grown into actually sitting at my, I was there, you know, I can now sit there for like a whole day and get a lot done and not feeling comfortable. |
|Jason Heaton|Yeah. I mean, I, you know, it's probably a good segue, but I've been, uh, I finally got back my edits from, from Chris, right. Oh, nice. Okay. Depth charge. He gave them back to me. He spent about, four or five weeks, uh, editing the whole novel. And he just gave those back to me in Google docs last Friday. And so I embarked on doing my rewrites this week. And, um, that has become a bit of a migratory work situation. So I, I, I've been doing a little bit here. Um, I don't have quite as, as much emails to answer or things to research these days. So being at my desk isn't quite as important, but it's, Um, so I've been kind of migrating around with my laptop a little bit, um, because these edits, I've got a bit of a system going now where I'm just going through and accepting or rejecting his, his feedback and his comments in Google docs before I actually go and do some heavy duty rewriting, which I'll probably do at my desk. So, you know, I think it's all a very fluid situation. I think, you know, work ergonomics are, obviously important. And, and, but, you know, so as mental health and the way you, you know, that, that variety that you need. And I think that's the beauty of working from home. So. |
|James|Yeah. And I, you know, it all, it's also nice to kind of, um, hedge my level of procrastination with things I don't want to do. Um, you know, I, I love, I love the job and, and like when it comes to something like editing a TGN, I'm excited. This isn't going to be my afternoon. Yeah. We'll make the show. It's going to be great. But there's other stories where you're just, it's a story, like it's an assignment. Yeah.  And like, if you're not that keen on it, man, I'm at, I'm definitely at a point, which isn't common to me. This isn't usually how I work. We're all just wait and wait and wait until it's due. Oh yeah. And I have to, I have no choice but to write it. Yeah. And I don't know, like, yeah, a lot, a lot of it starting to just change the way that I've been working. And I'm not sure all of it is towards, you know, better, better hobby, better practices versus worse ones. |
|Jason Heaton|Right. Right. Yeah. It'll be interesting to see how we all come out of this. Everybody's kind of been adapting to, to working from home. And, you know, just this past weekend, I helped Kashani get her office sorted. She sits upstairs in our bedroom. We've got kind of half of it set aside for her office and she moved her big monitor to the side and she works, you know, on her laptop in the middle and she's got sort of a bigger desk area. And we moved a chair up there. So if she's on a phone call, she can go sit in the chair. And, um, you know, her, her company has gone to the point where they're like, you know, we're, we're not going to renew the lease on our office space. Everybody's going to start working from home. So, um, you know, she's loving that, that notion, but, uh, required a little bit of reconfiguring for the long haul here. So, um, yeah. |
