
# The Grey Nato - EP 14 - "TGN Summit"
Published on Tue, 02 Aug 2016 09:03:02 -0400



## Synopsis
Jason Heaton visits James Stacey in Vancouver for a weekend of hiking, scuba diving, good food, and watch talk. They recount their adventures, including a foggy hike up St. Mark's Summit, a wall dive at Kelvin Grove, and issues with diving equipment that required a trip to a local dive shop. They discuss the watches they wore, like the Oris ProPilot Altimeter, Doxa Mission 31, and vintage Doxa T-Graph, as well as new strap discoveries like the Watch Gecko Rubbernado straps. They also answer questions from listeners about recommendations for mechanical GMT watches around $2,500 and watches under $1,500 to commemorate a graduation.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-14-tgn-summit)
- [episode MP3](https://www.buzzsprout.com/2049759/11311110-the-grey-nato-ep-14-tgn-summit.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to my living room. For episode 14, Jason actually came to Vancouver. He's here in my house. |
|Jason Heaton|Yep, here I am. |
|James Stacey|We're in the same room, staring into each other's eyes. And for two obsessive introverts, it's nearly unbearable. This is The Graynado, and I'm James Stacy. |
|Jason Heaton|And of course, I'm Jason Heaton.  Just to set the scene here, there's some dive gear drying out on the balcony next to our muddy hiking boots. We've got our trusty glasses of Oban 14-year-old scotch here at our sides. And I actually hardly wore my rain jacket this weekend, and I might have even gotten a little sunburn. Yeah, we had the full spread, the full Vancouver spread. |
|James Stacey|Beautiful day, a less-than-beautiful day. We didn't get any heavy rain, so that was kind of a plus, but... Yeah, well, maybe tomorrow. There's always hope, right? Yeah, we still got tomorrow morning. |
|Jason Heaton| Yeah, so I fly home tomorrow at noon. We're recording this on a Sunday evening. And just so you know, it stays light here in Vancouver until about 1030 at night, which was a bit of a surprise. I mean, I'm from a northern climate, but it's pretty crazy out here. You get nice long days. |
|James Stacey|No doubt. Yeah, we really do. Especially this time of year. I mean, they get really short in the winter. But this time of year, you've got lots of time for adventures and shenanigans and such. |
|Jason Heaton|Yeah. No, it's really made it...  Allowed for a really luxurious pace for all of our fun stuff. So there's a saying, divers always say, plan your dive and dive your plan. And we certainly didn't want to over plan our weekend. But we kind of had this rough plan that we would hike on Saturday. I arrived on Friday. We would hike on Saturday and then dive on Sunday. That was kind of just the basic skeleton of our weekend. And then everything else was kind of roughly optional. And it was a blast. We did that. I mean, we pulled that off. And then in between that, we had some great Some great Thai food, some great Indian food, some great sushi. I got to see quite a bit of Vancouver, driving here and there and going out for food and drink. |
|James Stacey|Yeah, we made it up to Squamish. Check out the Chief. |
|Jason Heaton|Yeah, I went to Squamish, which is a place I've always heard about for its climbing scene in the mountains, and that was really fun to see. I even got to meet Jason from Helios Watch Company, who's based just up the block here. So it was really a great time.  Yeah, we've done really well. Yeah. Um, so I arrived on Friday at about midday after a delayed flight from Minneapolis and kind of settled in here, unpacked, sorted gear, got my dive gear all squared away for Sunday. And then we, we just walked down to, uh, you know, I'm staying at James's place and we were, we're not far from a place called, uh, what's it Granville Island, right? |
|James Stacey|Yep. Yeah. Yeah. So Granville Island's like, uh, it's, Essentially an island under the Granville Street Bridge, and it's all kind of touristy spots and shops and and spots to sit and have a drink or you know a great public market and you got some Snacks there, so I figure that's the my favorite kind of welcome pattern when people come to town is just stroll down Such a beautiful day, and there's a lot of people out, but we you know you wouldn't have to drive from where I live So it was a 10-minute walk. |
|Jason Heaton|I think and you know there was a distillery there And, uh, we got some, I, you know, I, I was, I wanted to stock up with some food for our hike on Saturday. So I, I wanted kind of Pacific Northwest staples or what I would consider staples or I guess, emblematic foods of the region. So I, I had this quest for salmon jerky and, uh, Rainier cherries, which are two things I really love from, from kind of this part of the world. |
|James Stacey|I had not had a, had a, uh, Rainier cherry before and they're delicious. Yeah. Much, uh, in my opinion, much more palatable than.  a standard cherry, especially if you're going to eat a bunch of them. A standard cherry is just very sweet. |
|Jason Heaton|Yeah. So that was fun. And then we kind of ambled back and got squared away for the evening, got ready for our early morning for the hike, got some Indian food from a place just up the block. And that was it. That was Friday. And then Saturday morning, You know, it gets light at 5 o'clock. I was up at 5.20 and then you came out. |
|James Stacey|I didn't get up quite that early. We got up early and we got out of the house at a good time. We're going to go hiking and it was kind of, we were basing it roughly on the weather. The original plan was Joffrey Lakes, if anybody knows the area, it's up above Pemberton. And we just couldn't really make it sit with our timeframe to also be able to get the scuba tanks that afternoon. So we pivoted and went with St. Mark's Summit, kind of a signature North Vancouver hike.  which is from the Cypress ski area and takes you kind of into the woods and then along kind of a pretty mellow climb up to a big lookout and it's a fantastic lookout it really is and I'll be telling Jason how fantastic it is for a long time because it was full-on fogged out we were just in the full-on cloud you could see about 30 feet yeah so the forecast I think the forecast for the weekend was like|
|Jason Heaton| Partly cloudy. Partly cloudy, you know, decent day, good temperature. And admittedly, it was great for hiking. It was kind of cool and misty. Very X-Files in the woods. Yeah, yeah. A little bit of fog. I mean, we were literally hiking through pea soup fog for a while there. And it made for, you know, I don't know when it had rained last or if it's just always like that, but it was muddy. |
|James Stacey|It was real muddy. Yeah, that trail's definitely not always like that. I think it just A mix of maybe some cooler temperatures and a couple days of a cloud sitting in that area right on that mountain. |
|Jason Heaton|It was really muddy. Just for the listeners here, when James says it's a mellow hike, here's a guy who's at least 15 years younger than me and he's been training to climb Mount Baker for about the past three or four months. For me, it was a good, I would call it, intermediate hike. I wouldn't necessarily Say it was easy, but it was wonderful. Yeah, I wouldn't call it easy either. It was a great hike. There was kind of some all fours climbing and slipping around on the slippery roots. About the first half, maybe the first third of the hike was sort of a crushed limestone or gravel-y sort of trail that sort of zigzagged up the side of the hill, the mountain there through the woods. And then it kind of turned into some washed out sort of muddy, you know, root strewn rocky trail.  But it was very doable. It was fine. It was safe. And I enjoyed that hiking. I mean, we don't – where I'm from out in Minnesota, we get certainly great hiking. But the hiking here is just – it just felt like classic Pacific Northwest. You know, the big old-growth trees. You know, you get what – like firs and sequoias and things. It was great. And I think we set off because we got a nice early start. You know, we drove to Squamish first to see if maybe the clouds would lift.  and then came back down to St. |
|James Stacey|Mark's. It might have been worse by the time we got back to North Dam. Yeah, it didn't improve. |
|Jason Heaton|But I think we still got an early enough start that, you know, we beat the big crowds, because on the way back down, apparently it's a fairly popular weekend hike. |
|James Stacey|Yeah, we passed a lot of people. |
|Jason Heaton|Yeah, there were a lot of people headed up when we were headed down, which was nice to kind of beat the crowd to the top. |
