
# TGN Chats - Chase Fancher :: Oak & Oscar
Published on Tue, 09 Aug 2016 09:02:08 -0400



## Synopsis
This podcast segment features an interview with Chase Fancher, the founder of the watch brand OkanOskar. Chase talks about the inspiration behind the brand name, the positive reception of their latest watch release the Sandford, his design process and influences, sourcing components like movements, and his aspirations for potentially creating an American-made movement in the future. He also discusses the challenges of starting a watch company and provides insights into the day-to-day operations of running the business.

## Links
- [episode page](https://thegreynato.substack.com/subscribe)
- [episode MP3](https://www.buzzsprout.com/2049759/11311109-tgn-chats-chase-fancher-oak-oscar.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Unknown| Okay, okay. I know what you're thinking. It's the wrong Tuesday and the wrong music, but be cool. We're trying something new. This is TGN Chats, a place for us to separate our interview segments from the main show. Jason and I want to give these chats their due, so listen up. And if there's someone you want us to chat with in the future, let us know at thegraynadoatgmail.com.  For the first TGN chat, Jason caught up with OkanOskar founder Chase Fancher while he was on tour for OkanOskar's latest watch, the Sandford. It's a great chat with a legit watch nerd at the helm of a very promising young brand. We hope you like it. |
|Jason Heaton|Here's Jason. Starting a watch brand is a dream of many watch enthusiasts, but few take that leap of faith and actually do it. One who did is Chicago-based Chase Fancher, whose company is called OkanOskar, and who just released his second creation, the Sandford.  Chase is wrapping up a tour of some U.S. cities to introduce the Sanford, and I'm sitting down with him here in Minneapolis before he heads home later today. Chase, welcome to the Graynado. |
|Chase Fancher|Thank you. It's my pleasure to be here in your home city as well. |
|Jason Heaton|Yeah, it's great. Great to see you in Minneapolis. I got to ask, tell me about the name Okanosker. I actually don't know the backstory. |
|Chase Fancher|The name is actually really personal to me, and it's kind of the whole point of this company is the fact that I was looking to get out of corporate world. I wanted to do something where I loved it, I was passionate about it, and I could spend more time with my family, my dog, and doing something that was just absolutely something I loved. And so it really came down to what are the things that I love? As simple as that is I love whiskey and bourbon, aged in oak barrels, and I've always loved dogs. I've always had a thing for dogs, and Oscar's actually my dog's name, which is great because part of my profits actually go to a local dog shelter.  And it's the idea of combining watches, dogs, business, and being able to get my own freedom and take control of all that. So it's a very personal thing to me. |
|Jason Heaton|Yeah. |
|Chase Fancher|Cool. |
|Jason Heaton|And how's the Sanford being received on your tour this past week? |
|Chase Fancher|Good feedback?  Remarkable feedback, actually. It's been an absolute honor the way people have received it. The Burnham was received very well. The Burnham was received with super positive comments, notes, people wanting it, people buying it. The Sanford has been received with the exact same excitement, but people see it's a bit more refined. People see that it's now another step in the direction of Oak and Oscar. 40 millimeter, that size, people just absolutely love.  It's got the GMT, darker dial, extra details, and people have really, really connected with it, which is an amazing thing because it's such a personal piece that it's always amazing to see somebody else wearing it and enjoying it. |
