
# The Grey NATO – 140 – Under-Appreciated Watch Brands We Love
Published on Thu, 11 Mar 2021 06:00:38 -0500



## Synopsis
Jason and James discussed a variety of lesser-known watch brands that they enjoy like Marathon, Damasco, Stoa, Archimede, Newmark, Aster & Banks, CWC, and Skirfa. They praised the quality, unique designs, and backstories of these microbrands while also touching on topics like brand loyalty versus appreciating individual products, the minor controversies between some brands, and the challenges in bracelet sizing. For the final notes, Jason recommended an intriguing mountaineering article about a secretive Cold War operation, while James highlighted an entertaining off-road car video.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-140-under-appreciated)
- [episode MP3](https://www.buzzsprout.com/2049759/11310980-the-grey-nato-140-under-appreciated-watch-brands-we-love.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 140, and we thank you for listening. Hey James, how's it going? |
|James Stacey|Oh, not too bad. Yourself? |
|Jason Heaton|Pretty good. Yeah, it's a rainy day here. It feels like spring, finally. |
|James Stacey|Oh man, it's bright, it's sunny, it's starting to warm up here. Yeah. I'm a little low on coffee, so I'm going to be sipping espressos while we do this. |
|Jason Heaton|But, uh, yeah, I'm excited for it to be warm again. Speaking of coffee, I, uh, I took a right turn yesterday morning and I was like, you know what, today I'm just going to drink green tea all day. And, uh, you know, I thought every once in a while, it's not a bad idea to kind of try to wean yourself. I don't know why, but I did. So, um, I did like three cups of green tea over the course of the day and I woke up with just a raging headache today. I can't, I can't do it. Um, no, So bad idea, bad experiment gone wrong. |
|James Stacey|So, yeah, I've been, um, you know, a while, it was a while ago. I don't think I've talked to him on the show, but several, several months ago last year, um, I picked up an espresso machine. I had some points that were expiring and that seemed like a fine way of going about it. And now I drink a fair amount of espresso as you do probably three, three to four espressos a day, something like that. Um, which is great. I like it a lot. It's really quick and you can make all sorts of different coffee with it. I'm very happy with it.  And the other, what I've done now is when I transition to being done coffee, I have adopted like a nice afternoon coffee, two, three o'clock is that last one. It really gets me through the rest of the day. But then I've switched to this, it's a mint tea. It's called, I think it's super mint, which is why I like it. I like the name. That's fun. From a company called Stash, which I think is a huge tea company. But this is like, it really is kind of like sipping a piece of spearmint gum.  And I absolutely love it. It's great. It's one of those things where like, if I could, if they made a little machine that just consistently filled, filled the cup, I put it down. It kind of put more of this stuff in it. I would just drink it all day. It's lovely. |
|Jason Heaton|Yeah. |
|James Stacey|It doesn't have to be that hot. It's fine. Cold. |
|Jason Heaton|We, um, in our garden last summer, we planted some mint and mint as people who are into gardening will tell you is basically a weed. And if you don't contain it in like a pot or something, it'll go all over. So, We did that. We dug it up, we put it in a pot and we brought it in for the winter. And it just grows like crazy even inside during the winter near a window. And so I started making mint tea fresh from the cuttings. Um, I'd cut off a bunch of leaves, put them in a press pot and put boiling water over and let it steep for like five minutes and plunge it down. And man, it was the best mint, best mint tea. It was so good. That sounds great. Um, but now I've, you know, I've trimmed it well beyond, so there's no, no leaves left, but, uh,|
|James Stacey| Yeah. |
|Jason Heaton|Yeah. Yeah. Mint tea's good stuff. |
|James Stacey|Yeah. Big fan for sure. |
|Jason Heaton|What else? You're having some computer woes. |
|James Stacey|I have to, I have to think before I start going down this road about how long it will take me to explain it. Um, but I, I have had a spot of bad luck. Uh, so on the previous episode, I spoke about how we, I had invested in a second monitor. Um, and then in that process, I was also learning about how to get the best monitor performance out of my laptop. Right.  Because I want 4K, but I want 4K with all of Apple's scaling ability because I don't typically run the monitors all the way at 4K. I run them slightly lower because it makes text bigger. And when you've got two panels that you sit that close to, I like the text being kind of the right size. If I'm just going to be sitting and editing images, I'll drop the scaling to natural 4K, but this is closer to 3,100 pixels versus 3,800.  Anyways, not super important. That's where I find it most comfortable for my eyes and the sharpness and the rest of it. There's a refresh rate. And on some of the cheaper adapters I've been using, you only get 30 hertz versus 60. And there's a pretty noticeable difference when you're scrolling windows. And the things that are moving that should move smoothly just don't look that smooth in 30 hertz. So there's some eye strain and some discomfort there. So I'd been hoping to move the whole thing to 4K at 60 hertz.  uh, for both panels. Uh, and, and I run the laptop closed in what's typically called like clamshell mode. So it's just the two screens. I did a ridiculous amount of research into these hubs that basically give you one USB plug into your laptop and they do the rest. So they've got USB, they've got multiple screen outputs, they've got ethernet, they've got, uh, uh, you know, some of them even do power delivery. So you literally only have the one cable.  Oh, sure. Which is great. I like all of that stuff. They're not cheap. You know, the, the ones that do two 4k panels start around 150 bucks. Um, that do it with the display link to be clear. Um, and then they, they can get quite a bit more expensive. If you want to go to a Thunderbolt three, you know, hub or dock as people sometimes call them, they're not really docs. They do the same thing as a laptop doc, but they're not formatted to actually dock your laptop. They're just kind of like a big USB hub.  Anyways, I knew this was going to get boring. Uh, I bought one. It didn't work. It wouldn't, it wouldn't function and land in a, in clamshell mode. It, uh, so basically you had to have the laptop screen open, which is taking up resources that I would like to use to run things like Photoshop and Lightroom and the rest of it. I returned that I got another one in, it was basically the same. The problem appears to be me. Uh, so it has gone, it has gone back as well. Uh, and I'm, I'm actually just going to use the, you know, the laptop only has four ports.  It's a modern 2019 MacBook Pro. And so I'm going to have to use two for the monitors. You can do like USB-C to DisplayPort cables. There's nothing between. It's just signal and the computer and the monitor do all the work. So I'm going to try those out. Those are in the mail. That's a relatively small problem. It's kind of a fun thing to research and to learn about. And it's a very opaque part of the internet world is what does work with various monitors and various specifications and various laptops and these computers, but not those ones, these brands, not those ones, these OS is not those ones. It's all very complicated. I don't think I'm going to try for more hubs. It's been frustrating. The, uh, the real bummer came a couple of days ago when my space bar fell off, which, uh, It's a real kick in the pants, Jason. It's a real kick in the pants. |
|Jason Heaton|You do use the space bar a lot. I mean, I can use the space bar a lot. |
|James Stacey|Uh, I, I've used this, I've the, the, the number of miles on this keyboard is very high. Yeah. Um, but I take very good care of my stuff and, uh, and this, the, the, you know, the, the space bar had been kind of a problem, especially kind of since COVID kicked off.  where it just, the laptop's not even two years old. It's a little over a year old. And these laptops are kind of known for being a problem with the keyboard. It's better in the 2019s than the 2018s or the previous ones, but this one's failed. It's going to be a week, maybe more in repair is what I've been told. And obviously there's not a lot of flexibility to you know, get upset at the counter during COVID and that kind of thing to try and get to the front of some sort of a lineup or pay more or whatever. So I'm going, I have to get that replaced. And then that means I have to time it very carefully because I can't produce TGN without this laptop. So I either need to just blanket replace the laptop, which I don't really want to do over a space bar. That seems very wasteful and expensive.  Or I have to kind of time it where we record this show. I edit it. I put it up for tomorrow. We try and do these on Wednesday. Now it makes them as timely as possible. |
|Unknown|Yeah. |
