
# The Grey NATO - 141 - Bremont's Got A Wing And Some New Watches
Published on Thu, 25 Mar 2021 06:00:39 -0400



## Synopsis
Jason and James discuss several new watch releases from Bremont, including the opening of Bremont's new manufacturing facility called "The Wing." They cover details and share their thoughts on the Jaguar 60th Anniversary E-Type chronograph set, the new S300 GMT diver, the Supermarine chrono, and the Argonaut Azure. They also talk about Jason's recent acquisition of a film development tank called the LabBox that allows daylight film processing, and James discusses a quirky online baseball simulator game called Blazeball.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-141-bremonts-got-a)
- [episode MP3](https://www.buzzsprout.com/2049759/11310979-the-grey-nato-141-bremont-s-got-a-wing-and-some-new-watches.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 141 and we thank you for listening. James, what's new? |
|James|How's it going? Oh man, things are pretty good. You know, feeling kind of, I'm in a springy sort of mood. I've had a fair amount of coffee. Slept okay last night. No real complaints.  You know, a few episodes back and kind of once a year, we ask everyone to, if they have a minute and if they have an opinion, preferably a positive one, but an opinion about the show, we ask people to, you know, leave us a review. We put it in the footer of every episode, but I don't really like to bang on about reviews or likes or anything else. But we ask, we try and ask about once a year because it makes a huge difference in the way that especially iTunes kind of looks at the show and treats the show and how it weights it in various algorithms.  And we don't love playing that game, but we do appreciate all of this. And I wanted to start today's episode with like a super sincere thank you. I was putting together some marketing material for the show, which will take effect kind of later on down the road. But part of that job was I went through to kind of collect some positive mentions. As one of the creative forces behind the show, I don't love seeing some of the reviews always because a bad review can really stick in my mind for a while. Thanks to all of you, that's not really an issue. We have a really excellent rating and Jason, I could really not be more grateful for the audience that TGN has built up over the years. We're going to continue to try and make each and every episode something that you can enjoy and we have some special announcements on the horizon that we're pretty excited about.  But I really did want to take this opportunity to just say like a huge and really, from Jason and I, a huge and really sincere thank you for the reviews, the listens, the emails, the DMs, all of it. We can't do it without you. This is, you know, just my most favorite thing I get to do is creating this show and chatting with Jason and then getting all the feedback and designing new shows and Q&As and the rest of it to try and fill in.  gaps and stuff. So I did want to start with a big thank you as it was kind of a humbling and uplifting moment to an otherwise kind of very busy and stressful week, um, to, uh, to kind of see, to kind of see some of the feedback about the show. So if you left a review, thank you so much. If you plan to one day leave a review also, thank you very much. |
|Jason|Yeah, I'll, I'll echo the same. And, uh, you know, it, it makes me think of, you know, if you go to get your oil changed at a big, you know, chain, a car service place or you, I don't do anything with, with any sort of customer service experience. And you get this little notice at the end that says, if you liked our service, please give us a five star rating. If, if it's less than five stars, you know, don't leave a review. We'll call you and try to figure it out. We don't do that. And, and, and so I think, um, that carries so much more weight when we do read the reviews and see the really high marks that we get on, on the podcast, uh, apps. Um, I was looking at the Apple one, even the week before you were James, and I saw the same thing and it's like, wow, you know, I need to go in there and really go through and read those, um, in more detail because I think, uh, for people to go ahead and take the time to do that, um, is really amazing. And we both thank you so much for that. |
|James|Yeah, for sure. And, and, and, and to Jason's point, if you have criticism, put that in your review, if you want, or if you want to get it directly to us, the great NATO at gmail.com, uh, we always want to make the show better.  We want to make sure we're not leaving people out or speaking in a way that isn't accessible and brings people into the appreciation of the things we list at the top of every show. But yeah, I'm trying to practice extra gratitude these days and a lot of it goes out to you guys. So thank you. In other good news, I have a functional MacBook keyboard.  super quick too they turned that yeah yeah so uh a big shout out i i paid for it there was no freebies or anything but a huge shout out for the incredible service at ron c mac in toronto by high park and i normally i like to interface directly with apple with for these things but this was so simple and they took it in and they were super straightforward about the expectations and then they ended up having it fixed in less than 24 hours which for me um, is, is worth its weight in gold. And I was really impressed by the level of service and, and the communication and the rest of it. So if you're in Toronto and you have to get your max service during what's a difficult time to be going in and out of stores, certainly, uh, Ron C Mac made it super easy and, uh, they were very quick and very clear with, uh, with how things were going to go. So, uh, that's great. It feels like a brand new computer and, uh, it was covered, which is a super fun. I didn't have to spend several hundred dollars, uh, fixing said keyboard.  And then to follow up, I had complained or lamented or shared frustrations, whatever term you prefer, about some monitor connections. And I can report back that running each monitor separately via its own DisplayLink cable, for anyone who might want to do this in the future, works really well. It does, of course, take up two USB-C ports on my MacBook. So it's kind of a weird collection of cables that are now plugged into both sides when I'm in kind of desktop mode.  Uh, but that's working well. So, uh, from a tech standpoint, uh, we're doing relatively okay here in Toronto. How have you been? |
|Jason|Oh, great. Yeah, it is. Uh, it's truly spring here. Uh, it's a little rainy day here, which is, uh, kind of welcome actually kind of like a good, good spring rain. Um, but, uh, we've been, we've been hiking a lot. We go out, uh, we try to walk, you know, just around the neighborhood every day, but on the weekends we try to get a little further afield and, and get into the woods. And I just realized that ever since this all this sort of pandemic lockdown started a little over a year ago. We, we've just done so much hiking. And I think in that respect, it's been a real silver, silver lining to the, this big cloud that we've all been living under. It's it's been good to, you know, get out and get a little muddy. This is the time of year when all the snow is kind of melted in the, in the woods and you get those big mud patches and been able to, you know, Trump through and test out my waterproof boots. And, um, you know, I've been, uh, taking along my old Nikon F3 and shooting some film, which has kind of been a fun, fun thing lately. And, uh, yeah, it's just, uh, you know, spring is, is what it is. I mean, I, every year for my entire life, uh, come out of winter and, and underestimate spring and the power of, of longer days and, and getting sunshine. So it's been, it's been great. And then speaking of mud, I, Ghoshani signed me up, uh, for, An off-road driving course. I've got a birthday coming up and she thought that would be a really cool birthday gift. And it is. And, uh, so we're going to go up North, uh, in mid May to what's called the iron range, the region way up North and the border country of Minnesota, where they did a lot of the iron mining. And there's a lot of kind of backwoods, muddy patches and old open pit iron mines and whatever, um, that are suitable for, for getting off road. And, and so we're doing a, an off-road course in the Defender. So I'm super excited about that. You know, we, we've wanted to take some longer road trips and camp and that sort of thing. And I think if you get out to places like Colorado or even the Dakotas, you know, within a day or two's drive from here, you can get off road a little bit and do some, some, you know, what I would call light off-roading. I'm certainly not planning on doing rock crawling or mudding or anything like that, but it's good to have those skills. And, and, you know, look, if I'm going to, if I'm going to drive this Defender, I've got to at least be able to, kind of walk the walk to a certain degree. So I'm, I'm really excited about that. |
|James|Yeah, I have, I have so many feelings about this. I love driving courses. I've done several, um, you know, before my time in the automotive journalist community, I've used to pay for them. Uh, and they're, they're, they were super, I've, you know, I've done, uh, I've done a couple levels of the BMW performance driver training. Um, I've done, I haven't done any off road. I think this is a great idea, man, that the, you know, the big, I know that the big kind of thing, if you're going to get it dabble with off-roading, especially in, in your prime, the vehicle that you plan to live out of in that scenario, you know, that we learned from venture four-wheel drive and Chris shots, his YouTube channel, that like the winch is really the deciding factor. If you don't have a winch, you kind of drive one way and, and, and you drive with a completely different level of caution. And then if you have a winch and preferably even maybe even another person in the car with you, you can be a little bit more daring. Um, and, and you don't, you don't have a winch on the, on the defender currently, I|
|Jason| No, it felt a little poser. I mean, we'll see after this course, if we want to take it to another level, I would definitely consider that. Um, and they, they look the business and I think they'd be very handy even for just pulling cars out of ditches in the winter here. But, uh, you know, we'll see maybe one day. |
|James|Yeah. I like the idea of them. I really liked the ones that are hidden in the bumpers. |
|Response|Yeah. |
|James|Yeah. Um, so then you just kind of have an access. Sometimes it's behind the license plate, which is kind of clever. Yeah.  Um, but I know that kind of stuff, that means you're then probably going to like an ARB bumper or, or whoever makes like kind of high end specialized bumpers for the defenders that could hide something like a Warren or whatever. And I, I would love to learn how to do the winching before ever considering buying my own. Yeah. So that's, that's where these, that's where these courses come in. So nicely, right. Is, is you can, you can get out there and I'm assuming you're in their vehicles, not yours. |
|Jason|No, we're taking ours. Um, so we, Oh, that's great.  We go in ours, uh, according to the syllabus, the, you know, there's some, it's a two day course and there are two instructors, one who drives at the front of the group and one who drives at the, at the rear, bringing up the rear. And then I think there it's a maximum of 10 vehicles. And so you, you do the kind of the beginner loop in this off-road park and. You know, they stop various places and kind of teach you how to get out of trouble and how to pick your lines and how to, you know, use the throttle and the brake and steer and all of that sort of stuff to get through.  rocks and mud and wade through water and that sort of thing. So, um, I wasn't sure if instructor rides with you or if it's, you know, what scenario it is, but, but Gashani will be sitting next to me, potentially driving some of the parts. And yeah, so, you know, what's great about both of us being able to do this too, is that we should get some really cool photos and video out of this. So that'll be fun to share. Uh, it's, it's been so inspiring to watch like that, um, that Hagerty's video that you put up a couple of shots ago. |
|James|Yeah. |
|Jason| with Ryan doing the, the defender, you know, going through the mud and, and then with the Range Rover and then the defender and, uh, and then watching, um, venture four wheel drive or venture forward, you know, watching what he's doing solo in his Wrangler. Um, you know, that's kind of, I don't want to say it's our goal to get off road all the time, but I think that notion that we could go out to, you know, the desert Southwest or, or big bend national park down in Texas or in, know, somewhere out West here where you get a lot of public land and you might encounter kind of a bit of off-roading or a slight, you know, wading through some water or something, just having those skills. It's, it's a very different type of driving than, than on the road. |
|James|So, you know, it should be great. And the cool thing about with Chris shots and you learn this, if you watch enough of them is his driving style is very specific and it's, it's, it's not flashy at all, but everything he's doing is protecting the vehicle from damage. |
|Response|Yeah. |
