
# The Grey NATO – 142 – Rolex, Tudor, And Many More Wonders
Published on Thu, 08 Apr 2021 06:00:31 -0400



## Synopsis
This episode of The Grey Nado podcast covers the new watch releases from Watches and Wonders 2022. The hosts discuss and provide their thoughts on the new models from brands like Rolex (the new 36mm Explorer I and updated Explorer II), Tudor (Black Bay models including a new chronograph), Oris, IWC, TAG Heuer, and others. They also touch on some non-Watches and Wonders topics like Zinn's new releases and more general watch discussion.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-142-rolex-tudor-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11310978-the-grey-nato-142-rolex-tudor-and-many-more-wonders.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches, especially this week. This is episode 142 and we thank you for listening. James, big week, you're not getting much sleep. |
|James|Oh yeah, just kind of kicked off with watches and wonders. And to say I'm not getting much sleep isn't that bad. You know, I was assigned the Patek releases along with Jack, so we got up at one.  Oh man. Because Patek kind of sent that email at like 1 10 and I think the official embargo was 2 o'clock and we had this, I think we had both stories up by about 2 20. Wow. Uh, so that worked out okay. Obviously it's a new, there's not, not a TGN really caliber of watch, so we don't have to go into this in, in our main topic, but it's a 57 11 now in a green dial kind of makes the discontinuation of the 57 11 uh, like one 10th of the new story that they said it was, uh, you know, it's, they've really what they've done is just ended the blue one and started a green one and then and very much to my liking, where I a much richer version of myself. The new fifty nine ninety one are is you know a solid rose gold flyback chronograph with a travel function just insane insanely cool. I mean that watch is insanely cool and almost impossible to buy in steel. So this is purely academic. My love of this watch, but it is cool.  Uh, I get it. Uh, but yeah, so that, that's kind of just started, uh, you know, we don't commonly, um, try and cover shows, but because it's a Rolex and Tudor aligned event, uh, we wanted to, we wanted to record this after all of the Rolex and Tudor news came out. And then we kind of realized, or, uh, you know, thankfully Jason, you made the list and now I'm realizing that the last few weeks have had quite a few things worth talking about. |
|Jason Heaton|Yeah. Some fun stuff. |
|James|Right.  Yeah, exactly. And that's going to be the main topic of the show, and we'll get to that in a few minutes. But, you know, as we always do, we like to go over the local weather concerns and other little chitchats. So, Jason, how have you been? What are you doing to kind of ease your way into more and more spring? You know, we can keep the weather to a relatively light, you know, time count, but it's really been nice and warm in Toronto. I've been up to the cottage a couple of times getting some stuff ready.  Oh, yeah. How about you? How are things? How are things in your neck of the woods? |
|Jason Heaton|Yeah, I mean, Ghoshani and I got our bikes out last week for the first time. Yeah, this is my second year with tubeless tires on the bike. So tubeless tires mount to the rim differently. You have to use an adhesive that you actually squirt into the valve for those who aren't aware. And so that was my My bit of spring maintenance, I had to take off the valve and squirt in some adhesive and then pump them up and they're good to go. |
|James|Is it a complicated thing or it's the kind of thing you can figure out from a YouTube video? |
|Jason Heaton|Very much a YouTube video level of expertise, but I did manage to screw it up. It comes in these individual two ounce bottles of adhesive and thankfully it was a three pack because you use one for each wheel. I managed to spill one of the one of the bottles all over the place of this messy adhesive. And so, um, fortunately I had a backup bottle. So anything, anyway, it went fine and, and pumped them up and yeah, we had a nice ride the other day, went out for about 20 miles around town and, uh, it felt really good. It was warm, you know, shorts weather, which is crazy for early April. But, uh, you know, that first ride, the, the, the, the butt, the sit bones are just bruised and sore and whatever else. So now, now we're back to cold and rain. So I get a little bit of a reprieve before we getting the saddle again. But, uh, the other thing I did, um, I think I mentioned a few weeks ago that I got a little care package from Australia from a guy named Luke Taylor, who's one of our listeners. And he had heard me saying or lamenting that I couldn't get Nim's purges book beyond possible yet in the U S. And so he sent me his copy after he was done reading it. And I finally got around to reading it. I read that entire book cover to cover in, in a 24 hour period.  So not straight through, but like, just, I can't wait to read it this summer. It was kind of an easy read, but like gripping and, you know, very nims like, I know it was, it was, um, does the book capture his, like his kind of energy? |
|James|Totally. It does. Cause the guy is just a pot of like positivity. That's just constantly bubbling over. |
|Jason Heaton|And I can't put my finger on it. But when I, when I read it and I hear his voice, I know the book was largely, you know, either ghostwritten or co-written or whatever it was, but it was, Um, it really captured his voice. And when you hear NIMS as, as you might, if you heard our interview with him last year, or if you read this book, he's, he is incredibly positive, but you could almost be forgiven for thinking that he's, he's arrogant. I mean, his, his tone is very like, I did it the NIMS way, you know? I mean, it's very like, he talks about himself in the third person a lot and he's very like, um, kind of, kind of like puffs out his chest to a certain degree. But I think he, he's taken a lot of flack from, the mountaineering community. And, you know, he kind of worked his way up from living in a village to joining the Gurkhas to, you know, special forces. And then this, this fairly recent mountaineering career, which has been just stratospheric. And, uh, I don't, I mean, having kind of followed him for the past couple of years, I like that confidence. I'm going to call it, I'm not even going to call it arrogance. There's something about it that I, I'm willing to overlook the tone because it feels very genuine and just very like focused. |
