
# The Grey NATO – 144 – A Rolex For 1 Million Subscribers With Jakub From The Straight Pipes
Published on Thu, 06 May 2021 06:00:31 -0400



## Synopsis
This episode of The Grey Nado podcast features a discussion with Jacob Roble, one half of the popular YouTube automotive channel The Straight Pipes. They discuss Jacob's path to becoming a full-time YouTube creator, the origin of The Straight Pipes channel, his interest in watches including his Rolex GMT-Master II, and advice for aspiring YouTubers. The hosts also share some final notes and product recommendations.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-144-a-rolex-for-1-million)
- [episode MP3](https://www.buzzsprout.com/2049759/11310975-the-grey-nato-144-a-rolex-for-1-million-subscribers-with-jakub-from-the-straight-pipes.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 144 and we thank you for listening. James, uh, we seem to be have a weird pattern going here where we're sort of doing rehearsal episodes and then recording the real thing finally, huh? |
|James| Yeah, we recorded this. So this episode, the fun one, it has a big chat in the middle with this awesome, one half of this awesome YouTube duo called The Straight Pipes. So when we do that, I recorded that chat even a couple of weeks ago. And then you and I today are recording the first half, the kind of chit chat and watch, risk check, and then the final notes. And we recorded it and I went to edit it.  And for those of you listening, you know, Jason's file has a wave form. So the, the little thing that shows you the activity within the, within the kind of scope of the, the audio of the file, but there's, there's no sound there. So I don't know. I genuinely couldn't tell you, tell you what happened. Some sort of crushed weird glitch. I mean, it's the like, like to, to what, to your point in, in about the previous episode, at least we only did, you know, 30, 35 minutes for this one. You know, the, the one that I ruined, Two weeks ago was, you know, we had to do another hour plus, and I had also done several hours of editing to that file, so it could be worse. Yeah, we are professionals, just to remind people. Professionals that like to complain about all their mistakes. Yes, this is true. Getting back to, you know, usual programming, how's the weather out your way? |
|Jason Heaton| Well, it's a breezy with a chance of, uh, I don't know. No, it's, uh, it's nice. It's spring weather. We're back to cool. We had some, some warmth over the weekend and I got out for a nice bike ride with Kashani and whatnot, but now we're, we're back to kind of more April temps, which is, which is okay. It's fine. |
|James|Yeah. I like spring. Yeah. I've got to kind of the same thing here. We're seeing more of that, like true April, may it's a little cooler, like, like you guys, we had it a bit warmer. So, uh, kind of rain on and off today. And then as luck would have it, when we started the the recording an hour and a half ago or two hours ago or whatever, there was a large crane truck, of course, showed up five minutes after I clicked record. And then they brought a big wood chipper and chewed up a piece of a tree while we were recording. So now you guys don't have to deal with that either. So maybe that's the silver lining to this rerecord. To kick off the show, I want to get into an update about depth charge, but we have some kind of show news.  that we'd like to get out of the way, and then let's hear about how things are going with DepCharge. So the show news is a fun one. We've had this ongoing kind of ad deal with Hodinkee for the last couple of years. And we've kind of decided that we didn't really love selling ads in that metric. And those who listen to the ads on the show, we didn't even have that many shows that had ads. So that deal has expired. And it means that moving forward, you won't see the show notes post on Hodinkee anymore. You're going to have to go to thegranado.com and click on the episode and then click show more to see all the notes and the links and everything that are there. So that's only going to be the big noticeable changes. Those of you who've been kind of tracking the show based on the post on Hodinkee, that's not going to be there anymore. But the other side of this where there's kind of an upside is that the show schedule doesn't have to align with any greater uh, sort of scheduling concerns. Uh, so Heaton and I are pretty, pretty happy to announce that we're going to go back to doing a weekly episode. Uh, so we've been on two weeks for some time and that's how we'd started the show. And then in the early days of the pandemic, we went to weekly and, and, and loved it. Right, Jason? |
|Jason Heaton|Yeah. Yeah. And I think other people did too. I think we got a good response to that. |
|James|And, and then it just became kind of a conflict with other things in the general schedule. So we went back down to two a month plus a Q and a, Now, we're going to go to four. Maybe that includes the Q&A. Maybe it doesn't. It's a surprise. You know how I like to do the Q&A, keep everyone guessing and wondering why I haven't done one in a while. We have a lot of questions we just have to get to. It's just been a busy season with Watches and Wonders and the rest of it, which I've talked about on a previous episode. But we're going to get that going. We're going to get a website going that'll help with the show notes. It might be a sub stack. It might be something else. In the meantime, the show's not going anywhere. You're going to get more episodes. The show will remain free, of course.  If you need information, notes, that sort of thing, thegraynado.com. And if you want to get in touch with Jason and I, thegraynadoatgmail.com. So none of that has changed, but I think starting in June, we're going to go to weekly episodes. I'm really excited about it, and it means that we're going to be able to do a few other kind of exciting things that should kick off June or sometime this summer. So just stay tuned if it's in your wheelhouse. Otherwise, the feed's not going to change. No change to run of show. It's still just Jason and I.  And, uh, and yeah, thanks very much for listening through, uh, some not necessarily super interesting news, but, uh, I'm excited to go back to weekly episodes. |
|Jason Heaton|Yeah. I think, uh, also, you know, as, as today's episode is kind of a little preview of what's to come, um, going to weekly, not only makes the episodes a little more timely in terms of what we're doing ourselves, but it also allows us to introduce some different voices with, with more of these chats. I think weaving those in, um, you know, when we have weekly episodes that they just kind of, create a little bit of variety. We get to introduce some new voices to the show and, uh, uh, I'm, I'm excited. I think it'll be great. And it's a, it's kind of a good, good time to do it. Kicking off the summer, kind of ramping up activity. |
|James|Hopefully all of you have, um, you know, summer drives ahead and some time outside and maybe even cutting the lawn, all of that stuff. I think an extra show here, there, and we'll try and keep them nice and long. Nobody's been complaining about the hour 20 plus sort of shows. So I think we'll kind of keep them going. If you hit something you don't like, Uh, fast forward, I guess. Uh, so let's, uh, let's talk, uh, depth charge. What's, uh, what's the scene. Uh, the last episode was hugely popular. It seems like everybody's really stepped up and, and, and been super keyed in on, on getting a copy. Uh, how's that been going? Kind of a new job for you. Oh, it's amazing. Shipping and fulfilling Jason's a special action. |
|Jason Heaton|Seriously. Yeah. I mean, as if, as if writing a book wasn't, uh, it wasn't its own challenge. Now I'm, I run a little shipping department here.  Uh, it's, it's fun, you know, I mean, I think it's, you get into a rhythm in terms of kind of the mechanics of, of signing and packaging and then shipping the books off, uh, which, which is its own reward. But, uh, I'm just so pleased with the response and I just thank everybody out there for the interest and the encouraging notes that I've gotten and the feedback on the book. And of course, all the orders, I think it's just been, um, beyond my wildest imagination, the kind of response I've gotten. And, uh, you know, our episode two weeks ago was just, was so fun to do and a great way to sort of kick off the launch of the book. And then, um, last week I did the worn and wound podcast and the OT podcast. And, uh, and then Mike Pearson and I did a little launch event last Thursday that was well attended. And so it's, it's been a whirlwind. I mean, it's been, it's been a different sort of a different, uh, mode of operation here for me, you know, compared to, I don't know, the past, you know, 50 years of my life. I mean, it's just been, it's been, it's been kind of crazy, a bit of a whirlwind, but I'm having fun and, uh, it's been great. That's awesome. Yeah. Um, and, and the book is out there on, on Amazon, Barnes and Noble, Kindle, Apple books. So however you want to read your book, I'm not gonna, I'm not gonna shill for it too hard here. We did enough of that a couple of weeks ago, but I think, uh, you know, if people are still out looking for it, it's, uh, it's out there. |
|James|You just, uh, download the format you like. Yeah. And a friendly reminder to everyone who bought one that allows you to review it somewhere.  And reviews are absolutely make or break when it comes to putting these books higher on lists of newly discovered stuff. So if you have a moment, if you want to feel like you'd like to pay it forward, you're enjoying the book and the rest of it, throw it out there with a review, let other people know about it. That'll make a big difference. |
|Jason Heaton|Yeah, I agree. And I've gotten a few nice reviews on Amazon and I want people to be honest, certainly, but any reviews help. I think it just heightens the visibility of the book.  Appreciate anybody that makes the effort to go ahead and do that. Yeah, absolutely. And you're about halfway through the book now, right? I think you said you're plowing through it. |
|James|I'm a little embarrassed whenever this comes up, but I'm a slow reader when it comes to books. I can buzz through nonfiction pretty quickly. But as soon as you're talking about characters and people's names and what their face looks like, I slow down for some reason. I'm just out of practice, I guess.  Yeah. So I'm taking my time with it. I'm enjoying every page every now and then I get to stop and Google something so I can better understand the background that's kind of being painted through some of this and through the World War II stuff as well. Yeah. Yeah. The easy one is I'm just absolutely loving it. I'm looking forward to having some time to myself this weekend so I can kind of finish it off. And so far it's been great. And I've enjoyed every page. So well done on on that front. |
|Jason Heaton|Well, thanks. You know, when you when you actually say that you're a slow reader, my initial reaction is jealousy because I would love to be a slow reader and I bet a lot of people would too. Books last me a while. Yeah. I mean, I would love that. I would love to be able to savor a book. I kind of blow through them pretty fast. |
|James|I think it's like I'm now, you know, well into my third decade here. So it's gotta be 15 plus years of using Feedly or before Feedly it was Google Reader, if anyone remembers Google Reader, but like I'm an RSS junkie, so I don't read anything.  Yeah. In the purest sense. Yeah. I scan. Yeah. So, you know, my, my current RSS feed is about three or 400 posts a day that I scan to try and just try and see. And then the stuff I really like, I put it into pocket and I read it usually on the weekend or that evening. Sure. And, and, but very seldomly do I, I really sit down and pour over an article, you know, those rock and ice archive pulls, I'll spend a lot of time reading those. I like all the detail in the background, but those are, nonfiction. So it's a little bit easier to move quickly. Yeah. Um, and, and I want, I want to enjoy this. I want to make sure I give the book the right, the right attention. So yeah, I'm moving away kind of slowly through it, but, uh, I like it and I'm impressed by all the folks that kind of get it. And you see the Instagram posts three, four, five hours later and they're, they're through it. That's how a couple of my siblings read books and, uh, you can get through a pile awfully quickly. That's for sure. |
|Jason Heaton|Yeah. Yeah. So enough about me. What, uh, what's happening on your side of the border, so to speak. |
