
# The Grey NATO - 145 - Catch Up Q And A!
Published on Thu, 20 May 2021 06:00:40 -0400



## Synopsis
This episode is a Q&A session where Jason Heaton and James Stacey answer questions from listeners about various topics related to watches, gear, and hypothetical scenarios. They discuss vintage Doxa chronographs, the concept of patina on watches, dive watches with Arabic numerals, their thoughts on the Panerai brand, recommendations for a pilot's watch and a watch as a military graduation gift, backpack recommendations, and how the watch industry might respond if the world switched to metric time.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-145-catch-up-q-and)
- [episode MP3](https://www.buzzsprout.com/2049759/11310974-the-grey-nato-145-catch-up-q-and-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 145 and I'm joined as ever by my illustrious co-host and celebrated author, Jason Heaton. How are you doing, Jason? |
|Jason Heaton|Oh, I'm doing great. Yeah, it feels like summer here. I'm wearing shorts and sandals sitting at my desk, so things are feeling real here. It feels like we're looking up, we're looking to warmer days.  How are you? |
|James Stacey|Oh, yeah. I too am in shorts. I'm well hydrated. Yeah. Yeah. I'm feeling summery. Let's get into some questions. This is a full Q&A episode, so none of the chitchat, none of the risk checks, none of the final notes. You'll have to get that on the next episode, which is where we will also be starting our weekly episodes. |
|Unknown|Yeah. |
|James Stacey|That's very early June. The second or the third, I think, is our next publish date. And then from there, You'll get us pretty much every Thursday unless something goes horribly awry. Jason, what do you say we jump into this first one from Justin? |
|Justin|Yeah, let's do that. Hi, Jason and James. Justin here from Park City, Utah. My question is, after listening to Washed Discomforts, I've become very intrigued in regards to purchasing a chronograph. As huge Doxa lovers, I was curious to see what your thoughts are on their vintage chronographs from the late 40s and early 50s, particularly the ones with the Valjoux movements.  I'm curious to see what your thoughts are and feedback. Thank you very much. Cheers. |
|Jason Heaton|Oh, that's a good question, Justin. Um, you know, Doxa as, as, as we know, um, is, is much better known these days, especially for its dive watches. Um, but back in the day, I mean, they made automotive watches and some really beautiful chronographs. Um, I haven't handled any personally, James, I don't know if you have any experience, but they sure look nice. |
|James Stacey|Yeah. I, you know, I've, I've come across a couple of the kind of art deco thirties They kind of have a universal Geneve feel to them. I don't know that they're necessarily made at the same level of a UG. Some of UG stuff is really impressive. I haven't come across any of the chronographs in person. I do own a relatively inexpensive 40s chronograph in that chronograph Swiss, which I bought off Mr. Lambden.  And yeah, I would say it's going to be really hard to go wrong with a watch made at that point. Like your expectations will be that it's an 80-year-old watch, so it's probably not going to let you down in any considerable way. And they have such a defined look. And some of those docks that have the really beautiful numerals and the long, thin hands, that's such a nice, like even kind of pre-mid-century vibe that's so different than what is typically seen as the core of kind of the watch enthusiast aesthetic these days. |
|Unknown|Yeah. |
|James Stacey|Uh, so you definitely have my vote. I, I, you know, like Jason, like he said, the, there is this kind of two DOCSIS. Right. There's the DOCSIS that make the sub and there's the DOCSIS that made everything else. Yeah. And, and one is much more generic, but that doesn't make it less special. Chronograph Swiss, generic to a fault almost to the, that's the point. Right. Right. And, and, and with DOCSIS, you know, I, I think that what makes, while, while you're not getting say a sub 300, you are getting a beautiful watch made in a certain era. And I think that the rest will be largely well-known. Make sure you do the understanding of what movements might be available. You know, if it's a Landron versus an Excelsior Park versus a Valjoux 72 or whatever, like make sure you know what you're getting into from a movement standpoint, because that's really where I think you'd probably be the only spot where you could run into some real sort of servicing trouble.  If you bought one with, with maybe the least popular movement, it could just end up being quite a bit more expensive on the, on the long tail. Uh, but other than that, no, I, I think, uh, I think those old DOCSIS are, are rad. And, and I think they're undervalued because people kind of expect a certain thing from DOCSIS and don't realize that, you know, pre-1967, the company was, was very much making a more general impression of a watch. |
|Jason Heaton|And how cool would it be to have, you know, like a, a DOCSIS sub, you know, whether vintage or one of the new ones, Dear James and Jason, I'd like to ask you to imagine yourself in the distant but hopefully near future when you're back on the road traveling again. |
|Unknown| Imagine that you find yourself in a nice little spot in Europe, maybe the British Isles, or even somewhere in Asia, in a narrow section of Tokyo. And on your walk of discovery, you come across an independent shop that's called Watches with Charm. When you go in, what are the watches that you see that have charm? And what does charm mean for you? And then perhaps there's a watch that catches your eye.  It's a secondhand shop with pre-owned watches, vintage maybe, maybe not so vintage, but what would be the conditions in which you would consider buying one of them from this new shop and owner that you've not known before? Love to hear your answers. Thanks so much. It's Jonathan from Germany. |
|Jason Heaton|Well, that's a, that's definitely a unique question. Um, and I like it. I like these hypothetical hypothetical questions. Um, To me, the first thing that comes to mind is, is this would be the storefront, the physical storefront of what Jordan's doing at RetroWatchGuy. Oh yeah. I think for, for me, you know, when you talk about charm as it, as it pertains to watches, I always think my mind immediately goes to something quirky, less known, maybe, you know, a lot of the big brands tend to be so, you know, we, we know them, their archetypes, their, their black dials, white hands, the markers on a Rolex, um, whatever. Um, and I, I, I'm really drawn to watches that use color in an interesting way or have a unique complication. You know, James, your, uh, men stop, uh, parking, parking meter timer thing. Um, interesting case shapes like you'd get from some of the old, you know, aqua dives or some of the old SACOs with those UFO cases, regatta timers, asymmetric layout, chronographs, big eye chronographs, things that, um, are just left of center a little bit when it comes to design or function. Um, that that's to me what I see a shop like that full of. And I think, you know, as I mentioned, retro watch guys, a good kind of online manifestation of that. But it'd be really cool to stumble upon a shop that just specialized in that stuff. |
|James Stacey|Yeah. Jason, I don't disagree with that assessment of, of charm. I would add that it's, it's kind of like when you take general appeal, but it somehow has that little twist where it feels personal to you. |
|Unknown|Mm. |
|James Stacey| If you imagine a charming person, maybe they're normally affable and they have this nice kind of strong, characterful personality, but they very quickly make a connection with whom they're speaking with. And that's, I think, where the charm is. It's that bond. It's that kind of connection where you pick a watch up or maybe turn the key on the car that you love or whatever it is, and you feel that connection. I think in my mind, that's what charm is.  And then as far as like, would I buy? Of course. Yeah. If I found it charming, I can afford it. Yeah. That's, that's largely the, that's largely the general scope of this obsession. Yeah. Yeah. Right. So, yeah. But it sounds like a good, a good store for sure. |
