
# The Grey NATO - 147 - Designing The Garmin Descent With Patrick Danko
Published on Thu, 10 Jun 2021 06:00:33 -0400



## Synopsis
This podcast episode features a discussion with Patrick Danko, head of dive products at Garmin, about the development of Garmin's Descent dive computer series. They talk about Patrick's background, the challenges of designing a dive computer, and the unique features of the Descent line like air integration using sonar technology. The hosts also discuss ocean-themed content recommendations like a VEAR short film on urchin diving and a Rolex documentary on ocean conservation efforts.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-147-designing-the-garmin)
- [episode MP3](https://www.buzzsprout.com/2049759/11310972-the-grey-nato-147-designing-the-garmin-descent-with-patrick-danko.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello, and welcome to another episode of The Great NATO. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 147, and I'm joined, as always, by my co-host, Jason Heaton. We both thank you so much for listening. Jason, how you doing, man? |
|Jason Heaton|Good, good. Back-to-back weeks. Here we are on our weekly episodes. Yeah, we did a call like a few minutes ago. Yeah, that's true. And we talked more than once today, yeah.  But here we go on the weekly episodes starting in June, which is exciting stuff. Got some good feedback from folks that are also excited about it. |
|James Stacey|And yeah, before we get too deep into the show, we have a really exciting show. I hope you ascertained a little bit of that from the title, but there's some fun stuff. I have a really dumb story to tell you in a moment. Me being dumb, the story I think is kind of funny, but I do want to say a big thank you to listener Andrew, who is the fellow who was kind enough to point out that literally none of the show notes, the links were working.  Basically, everything that I had copy and pasted from SoundCloud was broken. I just wanted to apologize first for not being smart enough to think of that being an issue in the first place. And on top of that, just thank everyone for their patience. Every link should be working now. If you come across a link that's really important that you can't find otherwise, that is for whatever reason dead, whether you get this SC gate error or something else, just drop me a line, leave a comment on that episode and I'll fix it. And of course, for those of you who missed last week's episode, This is all kind of a downstream issue from us launching notes.thegrenado.com or thegrenado.substack.com, whichever you prefer, which is our brand new notes and commenting and subscription newsletter platform. So please, I'm sure we'll bring it up every episode, but the notes are now live. The system's ready to go. All the links are there. And oh, one more thing, Jason, that occurred to me is if you subscribe, That makes all of the notes after you subscribe, so kind of moving forward from now or maybe last week. But if you subscribe and let's say you use Gmail, that means that all of the notes are now searchable in your Gmail. So you could just search for the topic that we're talking about and Gmail will find it. So that's another decent reason to subscribe, even if you don't intend on reading the notes every time. If you want to go back a year later and search for it by topic, Gmail search is Google based, so it'll pick up on all the words and everything. So small pro tip there. We were able to figure it out. We would love it if you would sign up. We got more than I expected so far. We got a decent group of people subscribing and lots of comments saying people would like to support the show through that system. So we'll work our way towards that. But right now, enjoy the notes and leave a comment. Drop your questions in there if you got them. And of course, if you want a question on our upcoming Q&A, uh, record into your voice memo on your phone and then just send us the file. That would be perfect. Now that, now that I've already rambled a bunch, uh, what, what else is on the list, Jason? |
|Jason Heaton|Well, I mean, we can't, uh, we can't overlook a second week in a row, uh, our cool new logo that got refreshed. So we forgot to mention that and all the excitement about our sub stack launch last week that, um, we have finally after, you know, what, 145 episodes, I guess, updated the, the TGN logo.  We had the same one forever and, you know, served us well. We had some stickers made and some patches years ago. And, um, it was time, you know, uh, it had some, some slightly outdated, uh, GPS coordinates on it. And, uh, it was just, I was getting a little tired. So we asked a designer friend, Matt Ludvigson, who is local here, and I've worked with him before on some of the sub mechanophilia, uh, stickers and products that, that we sold. He's a real talented designer and he, he helped us refresh the TGN logo. So I, I mean, I think it looks, it looks incredible and you'll see that populating the Instagram feed and, uh, on Substack as well, as well as, uh, you know, spoiler alert, uh, some, hopefully some, some fun merchandise, uh, or products coming up in the not so distant future. |
|James Stacey|Like we kind of said, Hey, just kind of tune this up a little bit. Yeah. And he came back and I think he went further than tuning it up. He really made it his own, but kept the spirit of it all. And, uh, I'm really happy with it. I can't wait to see it on, um, on some other items. So stay tuned to that. It should be, uh, it should be pretty fun. |
|Jason Heaton|Yeah. Yeah. Um, it's in other news, I mean, it's hot here, you know, our, our, our weekly weather, it's, it's been like a blast furnace for the, for like a week straight. So I'm, I'm alternating, you know, hovering by the air conditioner to kind of lower my body temp and like going outside at dawn and dusk to keep the garden from shriveling up and trying to get a little exercise in the meantime. But, uh, Yeah. It's, it's well over 90 degrees every day. And today it's a little more humid, so it's fairly miserable, but you know, Hey, it's summer and that's not a bad thing. |
|James Stacey|Yeah. We're into that sort of like hyper humid range. And I got a chuckle. I sent you a photo this morning. Uh, it's, it's something like the neighborhood knows when you and I would normally be recording a podcast because, uh, the city of Toronto decided to replace a fire hydrant across the street for me today.  And I like to even all the times I talk to you about how loud it can be around here. The house is vibrating for the last two days as they dug out a fire hydrant. My, you know, my kids thought it was fantastic watching them do all this. |
|Unknown|Yeah. |
|James Stacey|Um, and then, uh, luckily they left just before we recorded the main sequence. And then now we're doing a really rare evening recording. It's about 6 PM and, uh, and yeah, it's also a world ocean day, which is awesome.  So we're excited to have a very dive-focused topic for the main topic and the show and everything. Yeah, very exciting. But speaking of it being hot, I would like to start a new segment. Something tells me, knowing myself well enough, there'll be plenty of options for more of this in the future, but something I'd like to call, you know, there's no reason to be dumb when you're this clever with James Stacy. Today, I went to pick up, do like, you know, the curbside pickup for an IKEA order. |
