
# The Grey NATO – 148 – Perfect Product 4
Published on Thu, 17 Jun 2021 06:00:35 -0400



## Synopsis
Jason and James discuss a variety of topics in this episode, including Jason's recent book signing event for his novel Depth Charge, James sharing stories about his father's vintage Gruen watch and Jason's experience with his Nikon F3 film camera. They also explore James' experience with the Leica Q digital camera as part of a "Perfect Product" segment. Additionally, they touch on other subjects like recommended shows, articles, and James's experience testing out the Garmin Descent Mark II S dive computer.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-148-perfect-product)
- [episode MP3](https://www.buzzsprout.com/2049759/11310971-the-grey-nato-148-perfect-product-4.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello, and welcome to another episode of the Graynado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 148, and we thank you for listening. Hey, James, how's it going? Hey, pretty good, man. Yourself? Great. Doing well here. It's finally cooled off a bit. Get our weather reporting out of the way so you can actually go outside without just collapsing from heat exhaustion. But no, it's We're in the thick of summer. I went for a bike ride early this morning. And, uh, yeah, here we are. |
|James Stacey|Very nice. Yeah. I just, just got back from the cottage, uh, last night. Uh, so came, came back for the recording and to shoot some, um, some photos of those Serica divers I mentioned on the last, uh, last episode. Yeah. Um, yeah, but, uh, it was a really just a fantastic weekend in terms of whether the, the weather app kept saying, you know, rain in a few hours or lots of rain on Sunday. And it just kind of kept pushing back and pushing back.  It ended up mostly doing it on Monday, which was a work day anyway. So I was kind of sitting inside for most of it to, uh, to get some deadlines done. |
|Jason Heaton|I saw a nano puff sleeve on your Instagram. Is it that cool up there? |
|James Stacey|It was. Yeah. I mean, it warmed up pretty considerably Saturday and parts of Sunday, but when we showed up on Thursday, it was, uh, you know, it was in the, in the, in the teens. Yeah. Uh, so, uh, by the time it started actually cool off at night, uh, I put it on and there was also a, like a, it's mayfly season.  somehow still. So there was just about a billion mayflies and I got tired of them landing on kind of my bare arms and just opted for a sweater or a nano puff for much of the weekend, unless we were out in the sun. But yeah, went up and put in a vinyl flooring in the kitchen, which is not something I've, I've, I've installed kind of engineered click in floors before, but nothing kind of this easy. Yeah. You know, just being vinyl, like, pretty simple to cut, pretty simple to smash it into place. We'll see how it holds up, you know, coming from me, it's a floating floor. So we'll put the trim in, uh, probably in a couple of weekends time. Yeah. Uh, other than that, you know, ample dock jumping, snorkeling opportunities, water was nice and clear. Uh, there's a bit of a pollen bloom that we had to dive under, but, uh, lots of fish and that kind of stuff. It was a, it was a great weekend. How deep is it right off the dock? Uh, maybe eight feet. Oh,|
|Jason Heaton| So jumpable. |
|James Stacey|I mean, not going to, Oh, Oh, for sure. Yeah. And it's a, no, no, it's a, and it's a flat sort of semi muddy bottom. So even if you overcooked it, your hands would just go eight inches into the bottom and you'd be fine. There's not, it's not like a rocky thing. Um, but no, it plenty of room for dive in and jump in. And then you go a little bit further out and that area of the Lake really maxes out around 15 or 17 feet.  Oh, it's not, not a deep, not a deep overall thing. So lots of sunlight, lots of, um, lots of, uh, seaweed and small fish, that sort of thing. |
|Jason Heaton|Yeah. Yeah. Oh, that's great. Well, I, we had some change of plans. I don't know if a few weeks back, I think I had talked about this road trip we might be taking, uh, over to Michigan and the Land Rover and, and we've had some, uh, sort of things come up here with Gashani's work. And then, uh, our elderly cat just isn't quite up to being left for, too long without supervision. So we've, we've been hanging around here, which is, which is fine because the weather's been good and we've been, you know, hanging out on our patio and doing some gardening. And I managed to, uh, to get under the, under the hood of the Land Rover recently. It had a few outstanding issues. I was getting this faint diesel fuel smell in the cabin regularly, which was a little disconcerting. Um, and I thought I'd tackle that. |
|James Stacey|More than they recommend in the manual, I guess. |
|Jason Heaton|Yeah.  there are these fuel return lines that come off the injectors that with a sort of just gravity fed return lines that take excess diesel that isn't injected into the motor and kind of bleed it back down into the injection pump. And they, they're, you know, a little small diameter kind of rubber tubing, which, you know, sitting next to a hot engine for what, 35 years, they just wear out. So, It was an easy fix. And then while I was kind of tinkering there, I put in some new glow plug leads. It's been, it's been interesting going from the old Land Rover, which is a petrol powered vehicle to, to the Defender, which is a turbo diesel. And you know, the, the different, you know, fueling mechanisms that are, that are in this one have been fun to learn and kind of compare and, um, You know, my, my one concern not to go into this too long, but you know, over the winter here, when it gets very cold is, you know, the, the horror stories about diesels not starting and between the, the winter blend diesel that they use here. And then, and then these glow plugs, which basically just heat up to like 850 degrees Fahrenheit inside the, inside the cylinder head there to kind of preheat the engine. Um, I I've replaced all the components to that now. So I've got new leads, new glow plugs and a new relay, which I put in. So now we should be.  we should be good to go in what, five months when winter returns. So that was, it's satisfying. I like doing these little things, you know, as you know, it's just, it's fun to tinker. I think that's part of the fun of, of having an old vehicle and it's what you sign up for. |
