
# The Grey NATO – 149 – Summer Essentials
Published on Thu, 24 Jun 2021 06:00:39 -0400



## Synopsis
Jason and Jason discuss their summer essentials, including clothing recommendations like bush shirts, swim trunks, and hiking boots. They cover gear like swim fins, hammocks, cookware, tents, Bluetooth speakers, and roadside assistance. Jason shares a remarkable story about a woman who survived falling nearly two miles from a plane crash in the Amazon. Jason plugs his brother Tim's new podcast "Single Serving Cinema" that analyzes specific scenes from movies.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-149-summer-essentials)
- [episode MP3](https://www.buzzsprout.com/2049759/11310970-the-grey-nato-149-summer-essentials.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Nado. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 149 and we thank you so much for listening. Hey Jason, how you doing? |
|Jason Stacey|Oh, I'm doing all right. |
|Jason Heaton|Yeah, it's uh... Yeah, good to hear. |
|Jason Stacey|Yeah, it's uh... Oh, what's the weather like out there?  Still summer. It's still summer, which thankfully, because that's the topic of today's episode is, is summer. And, uh, it's we've had a cool two days here, but now they're promising back to, uh, back to the eighties and nineties. So I think our, some of our recommendations here revolving around water are going to be welcome here in the next couple of days. |
|Jason Heaton|Yeah. Yeah. It's, um, it's kind of in the mid sixties here today, uh, which is fine. I don't, I don't mind it being a bit cooler, but I'm, recording this and we'll do the whole edit and get it online. And then I'm leaving for the cottage for the next few days. I'll work from up there. And I am, I am hoping that it gets nice and hot. Uh, as I have some swimming and some snorkeling, that's definitely on my mind. So. |
|Jason Stacey|Can you believe it's a, I mean, we're the end of the sixth month of the year. I mean, we're halfway through 2021 and I, I'm struck by how, you know, 2020 everybody was feeling like this is the year everybody just kind of hunkers down and, you know, rides it out. And I'm starting to feel like this year is, like holding pattern as well. I, you know, we're halfway through the year and I haven't stepped on a plane. I haven't done a road trip. I haven't, you know, and kind of ready to, you know, dip a toe at least outside, outside our garden here at some point. |
|Jason Heaton|So, yeah, I, I don't disagree. You know, the, I don't know how keen I am to get back on a plane right this minute or cross a border, which is a current, you know, currently an issue between Canada and the States, but A road trip sounds awfully nice. Yeah. And the East coast is Colin for sure. I think once it's like socially responsible to visit small communities. Yeah. I think that would be probably the move for me. And then if the borders open, maybe we can do a little, a little convoy. Yeah. Yeah. Right. And have you, I think I've asked you this before, but have you been out to the East coast Canada? |
|Jason Stacey|No, but I'd love to go. My parents actually took a bus trip out there a couple of summers ago and the photos they took looked amazing. The Maritimes and, Yeah. Uh, you know, Prince Edward Island and kind of that area just looks stunning. So I'd love to. |
|Jason Heaton|Yeah. That might be a nice, uh, end of summer, fall, early fall sort of move. Um, you know, I, I'm, it's, it's definitely, uh, further, uh, it's, it's a, it's a further drive than it is in my mind. You know, it's a long drive. I think that could be a good kind of, kickoff adventure. Uh, and, and certainly it would be fun to kind of record shows on the road and that sort of thing. |
