
# The Grey Nato - Ep 15 - "Peak Bag"
Published on Tue, 16 Aug 2016 09:02:51 -0400



## Synopsis
This episode of The Grey Nado discusses various types of bags for different activities like travel, photography, and outdoor adventures. James and Jason share their experiences with different backpacks, camera bags, and totes they've used for events like Baselworld and SIHH, as well as for activities like hiking Mount Baker and scuba diving. They also mention upcoming adventures like Jason's flight with the Breitling jet team and review a new watch from Oak & Oscar.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-15-peak-bag)
- [episode MP3](https://www.buzzsprout.com/2049759/11311108-the-grey-nato-ep-15-peak-bag.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to episode 15 of The Grey Nado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. I'm James Stacy. |
|Jason Heaton|And I'm Jason Heaton. So James and I haven't talked much since I left Vancouver after our TGN summit, which we talked about in our last episode. And that really doesn't have anything to do with a preponderance of proximity during my visit to Vancouver.  We've just both been kind of busy in the past couple of weeks. I need a full download from you, James, on your successful ascent of Mount Baker, which we'll get to. Yep. But first, today's topic, we're going to talk about bags. Backpacks, totes, camera bags, basically the way we haul our stuff around. It's something that's a bit of an obsession for you and I, James. Not a week goes by that we don't really lament the existence of a perfect bag. I think we discuss it all the time. You know, James, I think for me there are some distinctive categories and some that certainly overlap of bags that I find myself using. And that is, you know, bags that are kind of specific to carrying camera gear, day packs that you use for, you know, a short hike or, or some travel, uh, or, or even like a more of a dedicated travel pack that maybe you want to use when a backpack isn't maybe as suitable, like when you're wearing a sport coat or something like that.  But it's really tough, as we've discussed, to really find a bag that overlaps all of these categories. And frankly, it's been kind of frustrating. It's almost like a unicorn that I think we've both been hunting. And I think the best example or the best sort of fit that we've been trying to find is the elusive, what I call a Basel bag, which is the bag that you take to a trade show. And you and I and the other hundreds of watch writers and bloggers and journalists that show up at SIHH in Basel every year. You know, we've got a lot of us that carry our laptops with us. We've got, you know, a camera body and maybe a lens, a notebook and pen, business cards. Um, but then, you know, you get stuff from brands, you get catalogs and you get USB drives and you get some schwag and you got to carry the stuff around. And, and like I said, a backpack doesn't work very well with a sport coat and I just, I've really had a hard time finding a shoulder bag that, that, that works. What are you using? Uh, you know, what do you use at these shows? |
|James Stacey|Well, I've done, um, I've done Basel four times. I've done SIHH once and actually my first year at Basel, I was using, um, a Kata 465, what they call a digital rucksack. It's a backpack that has like a separated lower container for camera gear and then an upper element for just kind of random bits.  Mm-hmm. And the first year I didn't take as much gear as I take now. We, uh, with the blog to watch, we carry a litany of gear. Typically we have our own bags and then a bag in each hand and you know, you have a lot to manage. And, and actually the, the first year we were there, the, the Hublot sort of promotional gift was a, um, a tote that came in its own little bag. And then you took it out of that and it kind of unfold into this, uh, nearly two foot long, uh, 18 inch deep tote with a zippered top and no pockets. I think, well, sorry, I think there's one tiny pocket on the inside and one on the outside. Like you could put a wallet or a phone in them, but otherwise there's not much structure to it. It had like a fold out card that sat in the bottom for a little bit of rigidity. Oh yeah. And it would stand upright. And I found that if I took the, um, kind of camera insert out of my kata, and drop that in the bag, I could get most of my camera gear in that bag. And you know, this bag is probably something that Hublot bought like 10,000 of for $3 a piece or something like that. Like it's not fancy, but it has survived quite a few Basels. Yeah. And it's big enough that when you get some of the promotional items or all the USB keys, and you know, they all come in those boutique bags.  You know, like when you buy nice shoes or something. So you always want to kind of collapse as much of that as possible. Sometimes you get this giant bag that has like three sheets of paper with a USB key kind of taped to it. And then like a little box that'll be like a money clip or a loop or something like that as their like press gift. And you look at it and you think like, well, I could use this bag to hold a bunch of stuff. And that's usually where you start.  But eventually that bag's full and you've got more and then I can, so there's enough room left over in that, in that bag. And then if you go back to our Baselworld episode from this year, I spoke about a Lowepro viewpoint case that was designed to carry like a series of GoPro cameras. Oh yeah. But it's just a case with all of these little accessory dividers. And I bought one of those. It was very cheap. It was like $30 or something. It's kind of like a small lunch pail.  If you imagine what basically the space that three GoPros with their various attachments would take. Yeah. And that's what I was using. So I would put the camera insert with my camera, a lens, flash, a ton of batteries. And then this one, which would hold all the little bits, all the little cables, all of the card readers, all of the spare memory cards, a gray card for white balance, all those sorts of things. And that's been my kit pretty much as far as we go to today through five of these shows or so. And then, uh, I know that you, you, when I saw you in SIHH, you had like a topo briefcase. |
|Jason Heaton|Yeah, that, that, that, that was my latest. So last year at SIHH, I guess it would be SIHH 2015 in January. Um, I had a different bag. I had, I had gotten a gift from, from Tudor watch company and it was a Jack Spade They called it a dipped canvas tote is how Jack Spade had branded it. And it was a big, really heavy duty cotton canvas with a zipper on the top. It was a tote with the two sort of looped handles at the top. And then the bottom half of the bag looked like it had been dipped in a bucket of red paint. So it was a black bag dipped in like red on the bottom, like a rubberized or heavy sort of rubber red sort of paint or something that protected the bottom of the bag. And I'm just not a tote guy. I just, I've never really liked the way you carry them. You know, it's either kind of awkward over the shoulder. The opening isn't quite big enough to get your arm through and then your arm gets tired from sort of hanging at low. Um, so I don't know. I've just never warmed up to totes and I always felt like they were a little feminine, so I just never warmed up to them. But I had that, I had that bag at SIHH and It was an excellent bag. It was perfect for a show because it was just like a black hole. You open it up, you could drop all of that gifty stuff in there. USB drives could just kind of disappear in the bottom. |
|James Stacey|It just sounds like a better version of that Hublot bag. Yeah. One giant bag with big handles. |
|Jason Heaton|Yeah. And the cotton canvas was heavy enough that I think it provided a bit of protection, so I was able to put a camera in the bottom.  miss out with a bag like that is any sense of organization. I mean, it literally is just a black hole. There might've been a small zipper pocket inside, but I don't remember. So I got rid of that bag, but you're right at this past Basel. Um, I'm a big fan of Topo designs. They're a Colorado based company that makes a sort of retro style backpacks, um, and bags and clothing. And they've got a bag that's called the mountain briefcase and it's, you know, roughly briefcase shaped. It's rectangular and sort of slightly expands as you kind of add stuff to it. There's two separate zipper compartments and there's some internal storage. There's a laptop sleeve that's padded and then there's smaller pockets inside that you can put cables or business cards or, you know. |
|James Stacey|It's kind of like a, like an, like a modern, a somewhat more modern or maybe less like willfully rustic expression of like the Filson, the 257, the thicker one. Yeah, right. I like it better than the Filson. You know, I have a Filson, a 256 and I, you know, the bag itself is quite heavy and they're quite stiff. Yeah. And once they're broken in, so you don't get a lot of flexibility as far as like for laptops and things like that. So the Topo looked really good. Yeah. |
|Jason Heaton|And the Topo is light because it's, it's, it's Cordura. So it's a cotton, well not cotton, but it's, you know, it's Cordura. So it's, it's heavy duty enough to avoid you know, abrasions or fend off abrasions and things like that. But what's really cool about it is, so it has a shoulder strap. It has two, you know, shorter grab handles that you can just carry and then tucked into a sleeve on one side are hidden padded backpack straps. So you can slide those out of the sleeve and clip them and turn the bag, you know, 90 degrees. So it's sitting vertically and then you can carry it that way as well. So, you know, so far that's kind of my, my best solution.  And certainly I just want to make clear to people out there that when we're talking about Basel bags and SIHH, this isn't necessarily a really specific use case. I mean, it is in our case, but this is a bag that could just be a work bag for anybody that's going to an office or traveling or a journalist or anything like that. It's a great way to carry something that doesn't look so techie like a day pack does. So yeah, I'd say that the tote from Tudor was It was good. I think the Topo Mountain briefcase is probably my, kind of my go-to now, but I still feel like there's, there's a market out there for something. |
|James Stacey|Yeah, I would totally agree. I've been, I've been hunting for a couple of years for something a touch smaller than the, that Hublot bag, but also something that wouldn't require, like that Hublot bag is basically like, I pack it in its little zippered case. It goes in my luggage. I get to Basel and I set up a very specific, I never touch that bag for the rest of the year. Oh yeah.  It's, it's not a very good bag. Like it's a, um, it's just a big pocket of like very thin nylon. And, uh, it's not good for much else, but because of its few strengths as a big zipper, a huge opening, nice long straps, and it holds a bunch of stuff. |
