
# The Grey NATO - 150 - June Q And A
Published on Thu, 01 Jul 2021 06:00:20 -0400



## Synopsis
Jason and James answer a variety of questions from listeners on topics including favorite aquatic creatures while diving, old Land Rovers and Jeeps, the idea of a "one watch" collection, dealing with watch disappointments, treatment for leather watch bands, depth gauges for free diving, hiking gear and watch recommendations, getting a book published, driving on the Formula 1 Monaco track, and servicing vintage watches. They share personal experiences, opinions, and advice related to each question.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-150-june-q-and-a)
- [episode MP3](https://www.buzzsprout.com/2049759/11310969-the-grey-nato-150-june-q-and-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason| Hello and welcome to another episode of The Great NATO, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 150, our Q&A episode, and we thank you for listening. James, how's it going? Hey, not too bad. Yourself? Oh, it's been an eventful week. We lost our beloved cat last week, which I posted about on Instagram and I got a lot of nice Nice thoughts and feedback from a lot of people. So thanks. Uh, thanks to everybody who sent their condolences. Uh, it was, uh, you know, he was 19, so it was expected, but, uh, it was, it's never easy to lose a beloved pet. So, uh, but, uh, you know, as the days pass, the, the sadness kind of lifts and we're left with, with a lot of good memories. So we have our other cat who has always seemed a lot younger, even though he's 15 and he's, he's doing a good job of keeping us company. So good. |
|James|I'm glad. Yeah, that's, that's, uh, It's kind of heartbreaking. I feel that at some level, you know, I think it's also one of those losses that a lot of people can identify with. And I think you saw that in the comments. So there was definitely some very sweet sentiments in there. |
|Jason|Yeah. But, uh, other than that, I mean, it's, uh, today's, uh, Thursday, July 1st, as this episode goes live. And if anybody's out there listening, um, and you happen to be in the twin cities area, tonight's a kind of a busy night for me. We've got a book signing or actually, yeah, I guess a book signing is what I'm calling it, but it's more just a, launch celebrations. It's more of just a launch celebration for depth charge kind of overdue. Um, but with the COVID restrictions lifting locally and nationally here, I thought it was a good time to invite some folks to Lake monster brewing in St. Paul to kind of just do a meet and greet, sell a few books. I've got a load of a depth charge and deep blue t-shirts and some posters and stickers and uh, I don't know. I think it's going to be a lot of fun. I think I've gotten, you know, anecdotally from, from people, uh, it should be a pretty good turnout. It should be a lot of fun. So if you're listening, you know, before 5.00 PM, um, you know, pop by it's from five to eight tonight at, at Lake monster. I'd love to see some TGN listeners out there. |
|James|Yeah, that would be, that'd be great. I really, really wish I could make it obviously, uh, not going to happen this time around. And it is kind of interesting, you know, the last time we had an option of a get together, was for the celebration for episode 100, and now we're at 150. And it works out that at least we'll have, some people will get to see some people at Lake Monster Brewing. So yeah, if you're, please go there in my stead. Please attend if you can. I think this is going to be a pretty fun thing. I'm looking forward to seeing how it looks on Instagram. And yeah, we'll do a little download about that on the next episode. It should be good. |
|Jason|Yeah, definitely. Well, today's Q&A, we've got a Crop of questions as usual. Yeah, we should, uh, we should jump in as, as typical with these episodes. You know, we kind of cut short the chit chat and skip the final notes and just sort of leap, leap right in so we can get through as many as possible. And, uh, thanks to everybody for sending in voice memos and definitely we probably won't get to all of them. So we'll roll over a few to the next one and keep sending them in. |
|James|Yeah, we're going to do as many as possible, but, uh, try not to keep it so long that you'd have to find two or three activities to finish the show. |
|Jason|Yeah, right, right. Let's jump in. The first one is from Giancarlo who has a question about aquatic critters. |
|Giancarlo|Hi James and Jason. This is Giancarlo from Boston. Longtime listener, first time caller. My question concerns diving. I'm curious, what are your favorite aquatic creatures? I know you've talked a lot about diving over the years, but to the best of my recollection, you haven't talked about what you love to see most when under the sea.  Personally, love me some hawksbill turtles. Big fan of angelfish. Love the regal angelfish. And I really hate squirrelfish. They're just an ugly creature. Feel the same way about lionfish, but in Cayman, you can get a mean lionfish taco. So I'll let it slide. Look forward to hearing your thoughts, guys. Stay safe. |
|James|It was such a fun question. Yeah. He hates squirrelfish. I love it. Yeah, my hate would be Mexican hawkfish.  I've had a couple come after me in Socorro. I don't know if you came across those when you were there. |
|Jason|I don't remember. |
|James|You know, they have the sort of protruding fangs. They're about a foot long and very territorial. Yeah. And you're trying to get in close. I was trying to see some, some kind of sleeping white tips. Yeah. And this guy was just, he was, he, you know, it's one of those, they dart at you and they get about a foot away and then they back up. Yeah. I've also had a couple of eels give me a good chase around Clipperton and in, in, um, in and around a little reef dive we did in Hawaii several years ago. |
|Jason|Yeah. Those morays get aggressive. They're so alien looking. |
|James|Yeah. It's very intimidating. I'm not generally afraid of a lot. Like I have a pause when it's a large animal, but even a small eel, you know, they just move in a weird way. Yeah. Yeah. How about you? Anything that you don't like we can start with? Cause there's so many that are, that are amazing. |
|Jason|Don't like, I mean, I think, uh, Yeah, I think the mores kind of creep me out, although I have a weird fascination for them. You know, I don't really dislike any critters. I would say, um, I don't hate the squirrel fish, but I think they're, they're, they're so common in the Caribbean that, uh, you know, you, they're, they're always just sort of in the way when you want to look at something smaller, but, uh, no, I don't, I don't, I don't dislike many. I mean, you see a lot of sea cucumbers and they're kind of like, yeah.  you know, whatever, sort of, sort of boring, but I wouldn't say there's any, any legitimate hate for any creatures. I think, uh, you know, in terms of the other side of the coin, you know, my favorites, I, you know, of course the big stuff. I mean, I've had the pleasure of seeing, you know, dolphins, whale sharks and mantas and all that sort of stuff. But there's, there's one, uh, creature that is a bit unsung that I've only seen after dark. Actually you can see it during the daytime, but it's, uh, it's all coiled up during the day. It's called a basket star and they cling to the branches of corals and kind of coil up like a, like a little tiny coiled spring. But if you go for a night dive, they unfurl into this, they have these long frilly arms that sort of wave in the, in the sea and they kind of pulsate and move. And I think, wow, they're, they're snagging stuff that floats by in the water and they're, they're just the most, alien and spectacular creatures. And they get kind of big when they unfurl themselves. And it's, it's always a thrill to see those at night. You know, I, I've always liked predators. I think that, I think they just seem so purpose-built and kind of all business. And, and before, you know, in early days of diving, I didn't see many sharks or, or big stuff. And the Barracuda were always the exciting ones to see because they just, they're so sleek. But, uh, in Bonaire, you see a lot of tarpon, which, you know, a lot of people just like the feed off a dock, they throw stuff too, but, If you see them underwater, they're kind of eerie. They have this like metallic, you know, their, their scales are metallic and they have these big eyes and they get legitimately huge and they're, they're just kind of, kind of fun to see. But yeah, I mean, I don't know, the list can go on and on. Octopi, cuttlefish and whatever, but how about you? |
|James|Yeah, I have a big list of animals that I love that I haven't had the chance to dive with. A cuttlefish is probably my favorite animal in existence. |
|Unknown|Yeah. |
|James| But anytime I've had a chance to be in the water with an invertebrate, you know, giant Pacific octopus, it would be the most common around where I was diving in Vancouver. Yeah. And I've only ever seen one kind of half out of a crag. Yeah. And it's just the most special thing. And even if you're, even if, you know, when we did that wall dive on Kelvin Grove, we weren't able to find one that day, but typically with a decent flashlight, you can keep shining and keep finding.  And there's a couple big ones that live in that area. Maybe they just saw us coming or maybe they were out hunting or something. Beyond that, my experience with mantas is almost like a weirdly religious experience. They seem so ancient and intelligent.  Yeah. You know, when, when we were in Socorro, I was going through tanks so quickly cause I was having so much fun. Yeah. Uh, that I was, you know, I would break off from people that were there. Then we're going to get an hour, which was the limit they were putting on tanks at the time for this dive, just for safety is super remote diving. Yeah. But in, in that scenario, maybe I was getting 42 to 45 minutes. So I was one of the first out of the water and that's fine. You know, I've got big legs, big lungs. I just burned through tanks. I was too. So, and I was like laughing and hyperventilating half the time I was so excited. And a big part of that is these huge pelagic mantas were so personable. Yeah. Yeah. They do, they do flips past you. They'd make eye contact. And then when I would break off from the team to go to the, to notify the rib, you know, and run a, run a sausage, a flag. Yeah. This big, I have a picture of him, but this, and I'll try and put it in the show notes if I can find it, but this big jet black guy, he's maybe a, nine, 10, 12 feet across the wingspan. Yeah. He would just follow me. And then he would come right up to the surface and just circle me until the boat got close. |
|Unknown|Yeah. Yeah. |
|James|And like, I know I'm, I know I'm projecting, I'm anthropomorphizing this animal, but it felt like he was kind of wanting to care for me. Oh yeah. |
|Unknown|Yeah. |
