
# The Grey NATO - 151 - Challenge // Oris
Published on Thu, 08 Jul 2021 06:00:22 -0400



## Synopsis
In this episode, Jason and James discuss their upcoming travel plans and share their "risk check" watches. The main topic is an Oris brand challenge, where they each pick 2-3 Oris watches they would buy within a $7,500 budget, drafting picks back and forth without seeing each other's choices. They analyze the brand's value proposition compared to other Swiss brands and highlight some of their favorite Oris models like the Big Crown Pointer Date, Aquis GMT, and vintage-inspired divers. They also mention upcoming website upgrades to facilitate community interaction.

## Links
- [episode page](https://thegreynato.substack.com/p/152-colepennington2)
- [episode MP3](https://www.buzzsprout.com/2049759/11310968-the-grey-nato-151-challenge-oris.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Gray Native, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 151 and we thank you for listening. Jason, how are you doing? Pretty good. |
|James Stacey|Pretty good. Yeah. I'm getting ready for a bit of a getaway. Gushani and I have a bit of a bit of a trip planned. That's great. We're going to try to get somewhere near the ocean and not really have any plans, you know, nothing too ambitious, but, uh, you know, it's been a while. It's been a while. I mean, it feels kind of strange to actually even to go into the airport and getting on a plane. I'm not sure what to expect, but, uh, you know, once we're on the other end of it, it doesn't matter. |
|Jason Heaton|So, yeah. Yeah. My guess is a lot of people will have forgotten how to travel. Yeah. But otherwise my guess is that like the, the flight crews are probably old hat at all of this by now. Right. It's just going to be, yeah. Do these three things.  it's, you know, hopefully it's not a super long flight, so you don't have to sit for forever with a mask on, but I'm sure it's worth wherever you're headed. So that'll be great. Yeah. Yeah. Yeah. And any, anything else new? How did the, how did the book signing go? |
|James Stacey|Oh, the book event went really well. Uh, it was last Thursday. So we had our show last week and had so many TGN listeners, so many people, you know, I asked everybody, you know, how did you hear about this? And they're like, Oh, Instagram and TGN. And, uh, you know, I had guys that were, A guy Matt flew up from Houston and a guy Riley drove eight hours from an Air Force base in Missouri for the event. And it was really nice to meet them and lots of local crews, you know, the watch enthusiast crowd from the Twin Cities. And I had an old high school buddy and his wife show up. And, you know, it's just it was fun. It felt like kind of busting out of a lot of things, you know, for for all of us. I think people kind of needed that.  And, uh, the brewery where we met was a perfect venue for it. And the beer was good and, uh, sold a lot of t-shirts and, uh, you know, it was fun because I had mentioned in our, um, summer essentials episode that I was looking for the perfect boonie hat. And when Riley came from Missouri, he brought me a boonie hat from, from his air force base. He said the air force is moving to ball cap style. And so I guess when they D issue, old gear they typically just shred it or get rid of it because they don't want it falling into hands of people that could use them to disguise themselves or something strange like that. But I hope I don't get Riley in trouble by saying that but he said it was okay. So he brought me a boonie hat that he hauled all the way from Missouri and I love that and that was really kind of him and I don't know it was just um it was just so much fun and I'd love to do I'd love to do more of this thing uh you know whether it's it's for depth charge or for you know, TGN at some point, I think Toronto would be a really fun place to, you know, road trip up there or, or something, or, you know, for a TGN get together or whatever, but yeah, great time. |
|Jason Heaton|Yeah, for sure. I mean, no, no promises just yet. I think we might, it's definitely a little bit early for Canada. Um, if, if, especially if we were hoping to have you in Gashoni, uh, great grace, our fine shores with your presence.  Yeah, I would absolutely agree. It'd be great. It'd be great to know that we could do at least a couple of those a year at some point and, um, and kind of pinpoint where would, where would make sense for people to kind of rock up and, and do that kind of thing. So, um, more of that in the future as the world, uh, kind of gets to the point where we can, we can spend a lot of time face to face and move from one place to another without too much of a headache. So that's, uh, that's great. I'm, I'm so, so thrilled by the turnout. I was following along on Instagram.  With just about the strongest case of FOMO I've had in the better part of two years. So yeah, that's awesome. I'm really happy for you. |
|James Stacey|Yeah. Just, you know, thanks to everybody that came out for that. And for those of you that have been asking if those t-shirts are going to be for sale, they will be. I've been kind of building out the depth charge website to include those and probably sell a limited number of the remaining t-shirts through the website in the next couple of weeks.  Look out for that. And, uh, yeah, it was fun. What about, uh, what about on your side of the border there? Uh, more, more cottage work, more, more demolition and construction. |
|Jason Heaton|We didn't do any construction this weekend. It was actually just more of a relaxing weekend. Uh, you know, working, you know, having Hodinkee as kind of my main client means that the fourth weekend is a little bit longer than it would be in terms of time off. So I ended up with Friday and Monday, uh, with not a lot on my plate.  Nice. Uh, so I, yeah, went up to the cottage for a couple of days and, and swam a bunch in the lake and, and did that kind of thing. We've got a few more Renos on the, on the plan, but you know, that, that requires a weekend where you don't, you don't really intend to do a whole lot else. And it's kind of more in the space of needing, needing a bit of a, an unwind rather than the transition from one type of tasks to a different. So just kind of, just kind of laid low and, uh, you know, hung out at the cottage and yeah.  came back and now, yeah, it's just, it's, it's that kind of July. Sometimes it's really sunny and beautiful. Went on a nice bike ride the other day, um, on, on Monday around Toronto, uh, just to breaking in a bike that I picked up or my dad helped me find a little while ago. Yeah. In some ways just, it was four days of avoiding work and a lot of responsibility. So that was nice. Uh, but yeah, it's funny. It's funny, you know, especially now moving to weekly episodes, it does kind of highlight how little, at least I actually do in terms of things to report. Like, Hey, I work and I watch TV. Sometimes I go for walks. Like it's still, it's still a pretty, um, pretty inactive, uh, I guess in terms of interest, it's, it's not a very diverse lifestyle these days. |
|James Stacey|Yeah. I mean, for, for a show that talks about adventure and travel and diving and driving, I mean, it's, it's been a tough, uh, 18 months for us to kind of stay fresh with.  with stuff to do. And, you know, um, I think your cottage getaways have been a little bit of a mental escape for, for me, kind of just hearing about your, your jumping off the dock and, you know, working on the, on the place and even sleeping in a tent, uh, sounds great. And, you know, I'm looking forward to this trip, but, uh, at some point, at some point we'll be back to normal. So we just have to hang in there. I, I do feel that, you know, here we are, you know, well into July now, and I hate to be pessimistic, but it almost feels like we're going to be talking about fall adventures and gear and Yeah. Ski season before long. I mean, it's kind of crazy to think we're over halfway through the year, but let's not, let's not dwell on that. |
|Jason Heaton|Yeah. I think, you know, and this is typically that time of year where people do start taking more and more vacation and that kind of thing. So I think, I think there's still tons to do and, and I'm, you know, still planning to dig into that pretty, pretty resolutely around Ontario, kind of find new adventures. I'd love to get back up to Tobermory in the next couple of months. Yeah. Yeah. Even if it was kind of like a working, thing. Like if I just decided to work out October morning for a week or whatever. Yeah. I think that could be pretty fun, especially if you thread the needle for weather and that sort of thing. So yeah. Yeah. Summer, summer's officially on at this point. And I think there's definitely some adventures on the horizon. I'm planning to dig out all of my dusty dive gear and get it serviced and ready to go for some, some fun dives in Lake Ontario later in the season. So yeah, very cool. I think we're still, still moving in a good direction, but you gotta, you gotta learn to play, or at least in my case, I get to play in my own yard for the rest of the summer, probably. |
