
# The Grey NATO - 152 - Cole Pennington II
Published on Thu, 15 Jul 2021 06:00:36 -0400



## Synopsis
This episode features Cole Pennington as a guest host, discussing his recent travel experiences including diving, fishing, and exploring different parts of Thailand. He shares stories about encountering the Burmese military on the Thailand-Myanmar border, catching a sailfish in the Andaman Sea, blackwater night diving in Hawaii, and discovering unique dive spots in Utah. Cole also talks about his passion project creating custom watch rolls with themed patches, and previews an upcoming story he wrote for Hodinkee about limited edition Seiko watches in Thailand. The hosts also chat about cars, Goodwood Festival of Speed highlights, and recommend the "Outdoor Chef Life" YouTube channel.

## Links
- [episode page](https://thegreynato.substack.com/p/152-colepennington2)
- [episode MP3](https://www.buzzsprout.com/2049759/11310967-the-grey-nato-152-cole-pennington-ii.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Blake Stacey| Hello and welcome to another episode of the GrayNado, a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 152 and we thank you for listening. This week, our intrepid Jason is on vacation, so we have our good pal Cole Pennington reprising his guest role from episode 107, but he's been promoted to guest host. How you doing Cole? |
|Cole Pennington| I'm just relishing the opportunity to have been promoted to guest host, to be honest. Our first guest host. Yeah, this is great. It's awesome. So because of that, I'm doing quite well. |
|Blake Stacey|There you go. Yeah, this is great. No, we're pumped. You know, now that we're on weekly episodes, obviously I'd like Jason to be able to take vacation. And with the workload that's pretty common now between Hodinkee and TGN and the rest, it's hard to try and do more than one episode a week. Like going to one episode a week really takes a whole day.  of my four to seven day work week, trying to stack them up to put them out later on makes it more difficult. Uh, so this way, uh, Jason was able to take his vacation and he's down there. I checked in with him. Today's having a great time. We're absolutely thrilled to have you on, you know, one Oh seven is a really popular episode. People really, really kind of dig what you, what you brought to the, to the show. And I think it's going to be a fun one. Cause you've had, um, unlike me, you know, I've, I've been Largely in my living room my bedroom or my office for the last nearly two years. |
|Cole Pennington|You've been moving around Yeah, I mean, I definitely been trying to and I will say Jason deserves a vacation Oh, absolutely honor to be able to do that. |
|Blake Stacey|Do you do too? Yeah, exactly. I haven't done anything I don't need a vacation Mentally, I might need one. I definitely have done nothing to deserve one So for many of you Cole won't need an intro But he's a fellow watch writer and editor at Hodinke a diver a driver a fisherman and a very well-seasoned traveler You can find him online on Instagram at Cole underscore Pennington. It's an absolute treat to have Cole as a friend, and I'm really pumped for what will almost certainly be, you know, a rambling, tangent-filled sort of episode. If you're new to the show or you haven't been listening to the last few episodes, we've transitioned the entire Show Notes platform to Substack.  at, uh, notes.thegraynado.com. So now you can subscribe to the sub stack, which means every Thursday morning, you get an email that has all the show notes, the photos. We talk about an embedded player for the show and access to all the comments, which is, uh, something that's really taken off that there's more people commenting than I think Jason and I expected. And the comments have been great. People are on there sharing everything from interesting sea animals to their favorite hats, to, uh, pens, flashlights, watches, cars, this or that it's been fantastic. I really enjoy it.  So if you want to get in on that chit chat, or if you really just want the easiest way to get the, the big picture of the show, the notes, the images, the rest of it, uh, notes out the great native.com, uh, subscribe, you know, sign up for a sub stack account. So you can leave a comment. It doesn't cost anything, uh, to do that. And, uh, but we, we would love to see your name and your thoughts in there. If you have, uh, if you have, uh, the kind of inclination to do so, uh, next up, uh, our, our buddies at tactile turn, they make these really high end pens.  Uh, that Jason and I got each got a kind of a sample of a couple of months ago, they reached out and just said they saw a lot of kind of engagement on the link that we had put in the show notes and they offered up a promo code for TGN listeners. Those who've been listening to TGN for a while know that we don't really do promo codes. I'm not super sure how I feel about them, but, um, it's not an affiliate link. I don't make any money if you use it or you don't use it. He doesn't make any money for like, we don't, we don't get any money back, but it's 10% off. So you can use the code TGN.  at a tactile turn. The pen is incredible. I'm writing more handwritten notes than I have in a long, long time. Uh, I really, really like using it. I was able to actually just take the, uh, the cartridge from like a Muji gel pen, which is my favorite kind of cheap pen and trim it down and fit it into the body. And it's, it's perfect. So I really like that. Uh, so yeah, check out more from them at a tactile turn.com. The code is TGN for 10% off. It's a good deal to get a few bucks off any of their kind of a non-limited edition pens.  And yeah, also, you know, let us know at thenotes.graynoto.com. If you like discount codes, if it's something I should be asking brands for, if you're keen, we can try and do more. If it's something you think is annoying, I'd like to know that too, but my guess is nobody's really going to be too upset about, you know, 10 to $15 off of a great pen. If you're, if you're in the, still in the mode of writing things by hand. Yeah, I think, I think that's everything for kind of the show, top of the show news. Whereabouts are you calling in from? |
|Cole Pennington| I'm, uh, I'm calling in from Salt Lake City, Utah, just Southwest. |
|Blake Stacey|SLC. Yeah. |
|Cole Pennington|SLC baby. |
|Blake Stacey|How long you been out there? A little while? |
|Cole Pennington|Yeah. A little while. Um, I love it. Yeah. It's great. I mean, who knows how it's going to go in the winter? I'm not a winter guy, but, um, but yeah, I love it so far. Summer out in the desert is great. Uh, it's kind of an outdoor paradise. I mean, you, you, you know that intuitively that this is like the land of outdoor sports, but you come out here and it's actually true. Everything they say is true.  Everyone's got an overland rig. Everyone's got multiple bicycles. Uh, it's, it's, it's awesome. |
|Blake Stacey|Yeah. So are you in the, you're feeling the deep need for a dirt bike or a clapped out rally car or something like that? |
|Cole Pennington|So yeah, kind of like a, and I had been thinking about this, like a desert build. So the overlanding and the way I've done the Pajero, which you talked about last episode, it's more mud oriented, but now I'm thinking, all right, so what about the desert? And I'm even thinking about something new. So like, so you went one route, you went the Jeep route, right? |
|Blake Stacey|I did. Yeah. |
|Cole Pennington|The other route to go would be the Tacoma forerunner route. These are kind of that's the fork in the road. And I'm thinking I'm thinking to come on doing the research phase, which is usually the most fun phase of the whole thing, right? |
|Blake Stacey|Yeah, for sure. I mean, it's the lowest stakes phase. Eventually, you have to actually buy something. And, and you know, it is something that comes up with some frequency, both on this show and with other with other kinds of discussions like The Jeep isn't, it's a pretty flawed vehicle in many ways. And this is why I love it, but I also wouldn't stand here and recommend that other people necessarily go buy a 10-year-old JK. I wanted an SUV with a stick, so that immediately drops your options way down. And I didn't really want a right-hand drive as my daily, so then there's a few more options gone, like the Pajero. And I kind of didn't really want to get into the world of a really well-used German, like an X5, Oh, no, which like a clean X five with a stick is a lovely thing, as is the X three, the three liter X three. But the amount of money I want to spend, I want to buy cash for, I want to spend cash for a car. I don't want to owe on it or anything like that. And, uh, and, and I also don't drive very much, so I don't really have the need to go spend a big wad of cash. I just want to spend the right amount and get a vehicle and it had to be a stick. So that kind of backed me into the, into the Wrangler territory pretty quickly. And the other side of it is I kind of wanted it to be like a bit, like a bit of a joke for my kids. Like I wanted them to, to like, I feel something for a car rather than just have another appliance. Like I looked at Toyota Highlanders. I think that probably would have been the smarter decision, all things considered. Right. A much more, you know, kind of agreeable vehicle on the road, on the highway, that sort of thing. But like, I'm really happy with the Jeep, but not so much for all of its jeepness, more that it it's a manual and my kids think it's kind of funny. |
|Cole Pennington|I'll tell you a quick story about the, uh, the right-hand drive situation. So|
|Blake Stacey| Sure. |
|Cole Pennington|Sure. I was doing this, this road trip driving out here and I'm also driving another right hand drive car. Right. Um, and I didn't know this, but a lot of the middle of the country, like Ohio, Illinois, this kind of area, there's just crazy tolls, a ton of tolls. Yeah. You need the little grabber. Well, so I didn't have the grabber and I kind of lean over. So obviously you pop it into neutral, lean over to take the ticket, press the button and take the ticket. But my left thigh, moved the, and keep in mind my foot's off the clutch, obviously, but I'm leaning across the car, left thigh knocks it into first, which if you think about like leaning over and grabbing something, you're, you're moving in that direction. Yeah. Pops it into first, which you can do. I mean, with enough force, you can pop a car into gear. Absolutely. Yeah. Muscle it. But exactly. But I lurched forward and almost crashed through the, uh, the little gate that goes up and down before stalling out. |
|Blake Stacey|I think, I think they would have been, they would not have been thrilled about that. I'm glad it wasn't almost. |
|Cole Pennington|Yeah, it wasn't almost. It literally just like if, if these things didn't have like stall mechanisms built in, like if it did just go into first and stay there, I would have been clean through the gate and that would have been damaged to public property, which that'd be a hard one to get out of, you know? |
|Blake Stacey|Yeah. I think maybe they would have given you some leeway when you're like, I was literally reaching for the toll and put it into gear.  They're still going to want you to pay for that little Bullard arm or whatever, but maybe they, maybe they wouldn't drag you away to, uh, you know, uh, Illinois state prison of some sort. |
|Cole Pennington|But yeah, that's so talking about the right-hand drive thing. Yeah. I'm with you that you don't want to do that on a daily. |
|Blake Stacey|I see the appeal of, uh, of having it as the, as your B or your C option as the fun option. And so you took the R 33 out there. |
|Cole Pennington|That's right. Yeah. R 33 GTS 25 T.  So kind of your mid range skyline. And, uh, and yeah, that's the car that would have gone through the toll booth. So good thing it didn't for the car's sake too. |
|Blake Stacey|Yeah, yeah, yeah, exactly. Yeah. Well, especially cause things like windshields and stuff for those cars aren't exactly, uh, easy to garden variety. Right. The, with the seals, especially, I know on, on our 34s, our 32s and 33s and stuff can be pretty tough. Um, did you catch all of the R33s at, uh, at, uh, festival of speech? |
|Cole Pennington| I saw some. So I, I, I've been seeing it through social, like parsed bits. I didn't sit down and watch it yet, but I know that there was definitely some, some action that I got to check out. |
