
# The Grey NATO - 154 - July Q & A
Published on Thu, 29 Jul 2021 06:00:41 -0400



## Synopsis
This podcast episode features Jason Heaton and James Stacey answering questions from listeners about a wide range of watch-related topics. They discuss everything from their favorite dive watches and travel watches, to movie casting ideas for Jason's book "Depth Charge", to the differences between Swiss and Japanese watchmaking philosophies. They also share advice on servicing watches yourself, storing digital files, and choosing watches for special occasions like weddings and honeymoons.

## Links
- [episode page](https://thegreynato.substack.com/p/154-julyqanda)
- [episode MP3](https://www.buzzsprout.com/2049759/11310965-the-grey-nato-154-july-q-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Gray Nado. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 154 and we thank you for listening. I'm joined as ever by my intrepid co-host Jason Heaton. Jason, how you doing? |
|Jason Heaton|I'm doing great. Yeah, it's a classic kind of midsummer, hot, sweaty, sitting here in shorts and t-shirt and bare feet. And it feels good. I like it. |
|James Stacey| Oh, yeah. Well, a few things go with summer like a good Q&A. So as it is, as is our normal methodology for these, we're going to skip on the chit chat and the final notes and the rest and just get to the questions. Yeah. So what do you say we start with one from Samir about your becoming a civilian story? Yeah, let's do it. |
|Samir|Hey, guys. Thanks for the great podcast. My question is around an article that was written by Jason on his substack called Becoming a Civilian.  I thought this was a brilliant piece and really speaks to the pervasive nature of marketing in today's watch world. I was just wondering if the two of you could opine a bit more on that subject. And in addition, if you have any suggestions on ways of finding more thoughtful, unfiltered perspectives, we'd love to hear how you go about doing so. Thanks again. |
|Jason Heaton|Thanks for that question, Samir, and I appreciate your reading my substack. For those who aren't familiar with what Samir is talking about. I had written an article on this Substack newsletter that I write weekly, um, called becoming a civilian and just a bit of an overview. I kind of use that term. I, it's actually not my own phrase. I got that from years ago. I think I was in a conversation with, with Ben Clymer actually. And he was talking about how when he started getting into cars, uh, kind of vintage cars, he really enjoyed being able to step away from this sense of being an expert in a specific field, uh, in his case watches and, and become kind of new at something again, you know, be a novice in, in cars and learning about them and joining forums and chatting with, with people who were, uh, more expert than him and just kind of starting from the bottom. And I have found the same with, with various things over the years. And it's, it's always nice, you know, as you get older, you can, you can continually kind of refresh and learn new things.  and kind of step away from the stuff that you're really ingrained in. And, and in my case, it's been watches and dive watches and that sort of thing. But, um, to, to kind of pull back from that from time to time and switch gears has been really quite rewarding. I've, I've found that personally with, with my, you know, Land Rover obsession of the past, you know, four or five years now, um, you know, learning what goes wrong, how to fix them, different configurations of them, kind of the history. Uh, it's, it's just been, Uh, it's just been refreshing. Same thing with over the past year, you know, Ghoshani and I really got into gardening, uh, you know, being kind of homebound, uh, during COVID. And, and that was another thing that we has been really rewarding to, to learn about and kind of become, become a civilian about and not, not focus on only the stuff that, um, you know, keeps my head down and, you know, hammering out, you know, words and talking about and writing about watches all the time. It's nice to kind of lift your head above the, the trench you're in and look around a little bit. So that's, that's kind of where I'm at. I think James, you've, you've had similar experiences. I mean, I think with the Jeep or renovating the cottage and some stuff like that. Right. |
|James Stacey|Yeah. I think the big thing I would say, you know, in, in, in becoming a civilian, I think the idea here is maybe just don't deny your curiosity. Um, I think it's easy, it's easy to kind of stay at the same restaurant or even the same dish at the same restaurant every time. Cause you know what it is and there's a comfort there.  And, and Hey, comfort is great. Absolutely. But especially when it comes to, to hobbies and just general interests, uh, follow your curiosity. And, and sometimes that means an investment, you know, uh, for me, sometimes the, it could be, you could be becoming a civilian within the same space that you might be an expert. So you might pivot away from dive watches and go to forties, cornographs or a dress watch, or, you know, just try, try something new, step out of that comfort zone. |
|Unknown|Yeah. |
|James Stacey| And I think in many things, change is evidence in growth. And I think that there's a lot of... It's easier to not change or to try not to change and not to follow your curiosity. But read a book you'd never think you'd read before. Try a movie from a different genre. Check out a watch that maybe a few years ago you wouldn't have had any interest in, but now you have kind of like a weird sort of unexplained interest in.  try some new stuff and grow. And I think that's kind of the background behind becoming a civilian is not only just being able to enjoy learning a new thing, but finding the new thing that you're going to enjoy. And I think you have to be a little bit thoughtful about it. Sometimes it's lucky. You buy a car and it ends up being something you really like, like the Defender or whatever. And other times you have to be more intentional about it. And I would say that if you're at the point where something you used to love feels like a chore, even if it's work, even if there's a part of your job that you used to love, and now it feels like a chore, try and find a new way to approach it, to try and bring it back to where you started. For me, if I'm getting really tired of watches and reading press releases and downloading WeTransfers and formatting images for introducing posts and stuff like that, kind of the faster, less interesting side of this, I'll spend some time taking pictures of a watch or or I'll make some efforts to make sure that I have some new stuff coming in to keep that kind of a refreshing sort of a thing, rather than just, I'm going to do the same thing I did yesterday, but for a different green dial or whatever. But yeah, that's a good question. |
|Jason Heaton|Yeah. And Samir, you mentioned that you were kind of looking for blogs or publications that kind of capture that same spirit of becoming a civilian. And I think for me, it's a little bit tough to kind of identify a few, One that sticks out is the Ristorian by a guy named Justin who. Absolutely. He kind of focuses on capturing the history of particularly tool watches. And he's had a chance to interview some, you know, old C-Lab Rolex owners and you know, the use of Aquastar and some Navy projects and Antarctica expeditions and things like this. And you, you really get a sense of this enthusiasm and it's that kind of enthusiasm that I kind of feel like I used to have.  Um, and, and Justin's, you know, I think he's got a day job, but he, he does this on the side and he really goes at it with a passion. And I really. I really liked that about him. I think, you know, James, you might also know of a lot of people that do this kind of thing on, on YouTube, for instance, or, or a blog or a podcast, right. That, that might not just be about watches, but about, you know, cars or overlanding or audio equipment or something. |
