
# The Grey NATO - 155 - MKII, Tornek-Rayville, And Early Microbrands With Bill Yao
Published on Thu, 05 Aug 2021 06:00:24 -0400



## Synopsis
The podcast episode features a discussion with Bill Yao, founder of the watch brands Mark II and Tornek Rayville. Bill shares the history of how he started modifying Seiko watches and eventually creating his own watch designs inspired by vintage military watches. They discuss Bill's design philosophy, his attention to detail and quality control standards, and the recent launch of the Tornek Rayville TR-900 dive watch. Bill also talks about his new magazine project called "The Guinea Pig Zine" which celebrates creativity and interesting pursuits.

## Links
- [episode page](https://thegreynato.substack.com/p/155billyao)
- [episode MP3](https://www.buzzsprout.com/2049759/11310964-the-grey-nato-155-mkii-tornek-rayville-and-early-microbrands-with-bill-yao.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Great NATO, a loose discussion of travel, diving, driving, gear, and most certainly watches. We're up to episode 155, and we thank you for listening. |
|Jason Heaton|Hey James, how's it going? Yeah, pretty good, man. It's an episode I'm pretty pumped about. It's the start of a good week in my side of the world, or my part of our side of the world, I suppose. |
|James|Yeah, how are you?  Yeah, doing pretty well. Your Canadian forest fires are blowing a lot of smoke around here. |
|Jason Heaton|Oh, I'm sure. |
|James|So it's kind of hazy days, but other than that, it's, yeah, it's going well. |
|Jason Heaton|We've mostly avoided August. We haven't had the, yeah, isn't it crazy how quickly the summer's going by? Yeah. But yeah, we mostly haven't had any of the smoke out this way just yet. So it seems to be trending more Southern and still somewhat to the West. But, you know, I've got family out on the West Coast and it's an issue for sure.  Uh, so anyone listening who's dealing with that, um, either, you know, kind of directly like in, in your backyard or just from a smoke standpoint, uh, we, you know, we're thinking of you and, uh, we hope that it, uh, literally blows over as soon as possible. You know, I remember the first time I woke up, I guess it would have been the fires of 2016 just North of Vancouver or kind of all around Vancouver. But I remember I woke up and I thought, I thought I actually thought something was wrong with my vision because it was so orange.  all the light in my room, my bedroom was so orange. And I thought, no, I'm having a stroke or something's not right. And I ended up going outside to try and figure out what it was, taking the dog for a walk, had a dog at the time, and then realizing like, oh, this is smoke. I shouldn't have the dog outside. So we went back inside and then started to Google, can my kids go outside in this? What's going on? And It was, it was gnarly. Um, and that was at a pretty, it was at a good distance. I can't imagine what it's like to have it, have it right in your backyard. Really scary stuff. Yeah. And it's been in a disturbing trend this summer. |
|James|Yeah. And it's been, it's been kind of that sort of summer too. We've had really hot weather here and then like almost no rain. And then with the smoke, it has this almost apocalyptic feel, you know, the sort of orange sunsets and the smoky smell and, and uh, no rain. It's, it's a, it's a little disconcerting. I mean, we usually, there's a pretty good Creek that flows through the twin cities here that you can paddle down. Uh, and we usually do that a couple of times this summer, but the water's so low, I think it could just, some of the sections of the Creek are just completely dried up. And, and so it hasn't been a good summer for that. And then, you know, I really kind of gotten into, to, uh, biking a lot more this summer again. And it's just tough these past couple of weeks with the air quality alerts. I mean, you're almost doing more, more harm than good to go out and exert when it's, uh, when it's that crazy. So I've been, I went to the indoor pool and did some laps on Saturday using the rowing machine in the basement, which I hate. I hate doing indoor exercise when it's summer, but, uh, you know, these days it's probably safer to do that. |
|Jason Heaton| Yeah, I've gotten out on the bike a bunch in the last couple of weeks, uh, which has been really nice. Uh, you know, I, I, I broke one of my kids broke my exercise bike and, uh, I was, I was going through, uh, a subsequent series of JB weld applications to repair it. Um, and I think, I think it's working now maybe even better than when I was given it, but I, yeah, I had this, the, my road bike out, um, a couple of times or a few times a week. And it was, uh, it was getting, I was starting to feel a little bit stronger and then We went up to the cottage this weekend to do yet another floor. Uh, this would be the final layer of flooring for the bathroom. And, uh, and it was like cold and rainy. Oh, wow. Like you would have sworn it was a October, like a Canadian October. |
|James|I'd kind of welcome that actually, but I shouldn't, I shouldn't press things. I should enjoy summer while it's here. |
