
# The Grey NATO - 156 – All The New Watches We're Watching
Published on Thu, 12 Aug 2021 06:00:36 -0400



## Synopsis
This episode discusses several newly released or upcoming watches from smaller brands like Brew, Clements, Arkin, Toceno, Raven, Dietrich, and Scurfa. The hosts review the design, specs, and pricing of affordable watch models ranging from $400 to around $1000, highlighting their unique aesthetics, quality, and value proposition for enthusiasts. They also share recommendations for interesting articles and media related to horology and travel.

## Links
- [episode page](https://thegreynato.substack.com/p/156newwatch)
- [episode MP3](https://www.buzzsprout.com/2049759/11310963-the-grey-nato-156-all-the-new-watches-we-re-watching.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacy| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. My name is James Stacy. I'm joined as ever by my illustrious co-host Jason Heaton. This is episode 156 and we thank you so much for listening. Jason, how's it going? |
|Jason Heaton|Very illustriously. I'm feeling, uh, I'm not sure if that's a, if that's a word, but, uh, no, doing great. Yeah. Just got back from, uh, bike ride. Ghoshani and I have been, we get up with the sun these days and we, if it's a decent weather day, we zip out for an hour, kind of do a lap up and down. There's sort of a loop we do and come home, take a shower and here, here I'm sitting back at my desk. So it's, it's good. |
|James Stacy|Oh, super. Yeah. I'm, I'm actually on vacation this week. This is the one, the one kind of exception I'm making to my, well I shouldn't say that I've done some other work, but this is the one kind of like exception I'm letting my kids see me do. As I told them, I would, I would make a real effort to actually be on vacation rather than just not taking new work. Yeah, right. So yeah, we wanted to get the show in, but admittedly, this is probably gonna be a somewhat compressed episode. And if you're upset about that, you can blame me. This is the equivalent of me taking a break, but we didn't wanna take a week off. We only went to weekly recently. Maybe next summer we'll actually take a chunk of time and do a little actual holiday schedule. But for now, we've just figured a kinda short show. And the nice thing is, There's been a bunch of really interesting watches that have been kind of announced or have actually fully come out that aren't that expensive, that are from kind of smaller brands that we just haven't talked about because the pace of the last few shows was kind of, you know, wrapped around having a guest on. And so this gives us a chance to kind of clean that slate and make sure that we get a chance to talk about some of these watches that we find kind of interesting. But before we get to that, what else is new beyond your bike ride? |
|Jason Heaton| Um, well, so, you know, I remember on, uh, gosh, I don't know if we talked about it on episode or if it was just in via email, but, uh, we, we've got a couple of recommendations for sailcloth straps and sailcloth is that genre of strap that you and I don't really talk about a lot, but I've had a long love for them. Um, you know, some brands do a really nice job with sailcloth for the OEM straps, but it's, it's really hard to find.  good quality aftermarket sailcloth straps. And my Blancpain, which I was wearing quite a bit for the past few weeks, comes with a really nice, very supple, you know, beautifully stitched sailcloth strap, but it's just too short for my wrist. I'm on like the last hole and I can't use the second keeper and that always bugs me. So I was kind of on a quest for a longer sailcloth strap for it. And coincidentally we had a couple of emails come through the TGN inbox from a couple of listeners, one named Jeremy and the other Daniel, who both actually wrote in suggesting a company called Artem, A-R-T-E-M, Artem Straps. And they make a really nice sailcloth strap. And I went ahead and ordered one. They're based in Australia, in Brisbane. And so it came, I think, last week. And I ordered the long size. So a couple of the variations they have come in regular and long. And I ordered the long.  And it actually is a dead ringer for the Blancpain one. It's really, really nice. It's got like a rubberized backing and then it's that textured sort of fabric look for the front and then it's fully stitched. I ordered the gray stitch to match the OEM one from Blancpain. And then actually I moved the buckle over from the Blancpain to this strap and it fits perfectly and I'm really pleased with it.  know, if anyone out there is looking for a good sailcloth strap, and I think they work really well on a number of watches. I haven't moved this one to anything else, but I think it would look great on, you know, pilots watch or some other dive watches, uh, and they come in 20 or 22. So I'm really pleased with that. So thanks to Jeremy and Daniel for kind of giving us the heads up on that brand. And then I looked and I immediately ordered and took a week to 10 days to get here from Australia. And I'm, I'm really pleased with it. Nice. Yeah. |
|James Stacy| All right. Yeah. You know, my thing with sailcloth is it's almost always black and I don't really wear black like textile straps like at all. I don't wear black NATOs. In the past, I've kind of seen that look and I remember trying them back in the day when you could get some that were, you know, cheap from cheaper brands or sometimes they came with a watch like you mentioned.  And I, you know, a lot of times I just ended up going for a gray or a navy blue, like Cordura or nylon, something like that. And then, of course, eventually it was just NATO's all the time. Right. But these look really good. And who knows, maybe it may be able to do more colors in the future. But if you're if you're keen on the black ones, these do seem to have an incredible reputation for making a really solid strap. And actually, it leads nicely into mine, which is also a strap recommendation, which came from sort of So a few episodes ago, I had said that I was looking for a sort of semi fine link black mesh bracelet. So a steel mesh. And, uh, you know, for my, uh, Halio C4 Roldorf LE, which is a, uh, a black finished watch and, uh, a listener named Avram Rago, A-V-R-A-M-R-A-G-O on Instagram.  There's a post on my Instagram. I've already thanked him, but Avram, thanks very much for this. He recommended one from Holben's, who I've bought other bracelets from in the past, called the ULIT, so E-U-L-I-T, Stalix Milanese Mesh Black PVD Watch Bracelet. It's $48. It's kind of that Casio style sliding. So you kind of adjust where the foot is going to be. |
|Unknown|Oh, yeah. |
|James Stacy|And then the other side just hooks in and then locks down.  Yeah. So you get a really fine level of kind of comfort with the sizing, and you can very quickly size it up for the summer afternoons. Apparently German made, it's got straight ends, 1.1 millimeters kind of thick as far as the mesh, and then the actual end pieces are more like three millimeters thick. I'm really impressed by it. It's nicely made, it's nicely priced. I mean, it's not gonna blow you out of the water with the quality, but for $48, I think you'll be impressed. Yeah. I certainly am.  And on the Seaforth, which is what I have it on currently on my wrist or on the Synchron Military, it does a great sort of thing where it adds this sort of physical weight to the watch that feels just a lot different than a strap. So I've been super, super happy with it. Obviously, both the Ardham strap and this Eulet Stalix Milanese Mesh Bracelet, we'll put both in the show notes. Jason and I didn't get any deals on these, Holbins and Ardham and the rest.  These are just things that we bought and we like. It's not an ad in any way. I paid the full $48 plus the shipping and all that. It showed up in maybe a couple of weeks, and so far I've been pretty impressed. It's a nice little change of pace. I'll say on the Synchron, it's almost too heavy for my wrist. It's a lot of metal. Oh, yeah, yeah. But it could just be that I have to get used to... I've been wearing kind of a few smaller watches lately that kind of shrink some of that physical weight. |
|Jason Heaton|But yeah, a good strap both ways. Yeah.  Yeah, cool. We both got new straps and I, you know, moving right into wrist check, you mentioned your C4 on your wrist. I've got something really cool on my wrist. So if you remember back. Yeah, I'm excited about this. Yeah. If you remember back, was it Q&A? I don't know. We were talking about Seiko's and like going with three watches from one brand or something. And I mentioned that I was always curious about the Seiko 6139 Pogue with the yellow dial and how much I liked them.  And you said, Oh, that's such a you watch and whatever. A friend who lives locally here, John, um, he, he wrote me and he said, you know, I've got two of these. Uh, I'd be happy to do like a longterm loan to you of one of my pogues, uh, if you want to try it and if you like it after a while, you know, I'll make you a good, good deal on it if you want to, I want to buy it in the end. If not, no, no harm done. So we met the other morning and he passed it on to me on the bracelet, which fit right out of the box. I didn't even have to adjust it.  And I'm in love. I mean, you know, early days here. Uh, so it's still in the honeymoon period, but you know, what a fantastic watch. What a, just a beautiful watch. It's so different looking. It's just such a unique watch. This one's from, I dated it, you know, using one of the websites that you can look up the serial numbers. And this one's from June of 1975. And he told me that the guy he got it from was actually the original owner. So the guy's like in his sixties and he bought it new in 75.  So it's got some good provenance. And so far, it's fantastic. It's been fun to kind of go down the rabbit hole of kind of researching and reading up on Pogues and just wearing it around. Every time I look at my wrist, it's like it's just such a wild looking watch with that really shimmery yellow dial. |
|James Stacy|Yeah, that's killer. As soon as I saw you post that photo and then you posted one with that little Seiko Marathon clock behind it. Oh, yeah. Certainly made me laugh. I think that's a really cool one. Oh, the other thing that came through about that clock Yeah. And I'll put it in the show notes, my buddy Paul Hubbard, one of my oldest friends in watches, he found the little USB connector that plugs into the back of it. Oh, yeah. So you can actually have the backlight on all the time. |
