
# The Grey NATO - 157 - Military Watches, Practical Fitness, And How To Be Bond With Sean Lerwill
Published on Thu, 19 Aug 2021 06:00:45 -0400



## Synopsis
This episode features an interview with Sean Lerwill, a former Royal Marines commando and fitness expert. Sean discusses his military background, his approach to fitness and nutrition emphasizing bodyweight exercises and a plant-based diet, and his interest in James Bond which led him to write a fitness ebook called "Be More Bond." He also talks about his watch collection, which includes military and Bond-inspired limited edition pieces. Overall, the discussion covers practical fitness advice, the importance of understanding your body's needs, and Sean's unique perspective blending fitness with his interests in coffee, James Bond, and watches.

## Links
- [episode page](https://thegreynato.substack.com/p/157seanlerwill)
- [episode MP3](https://www.buzzsprout.com/2049759/11310962-the-grey-nato-157-military-watches-practical-fitness-and-how-to-be-bond-with-sean-lerwill.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 157 and we thank you for listening. Hey James, how's it going? |
|James Stacey|Oh, you know, not too bad. Another week here in Toronto has gone by. They're starting to feel very similar most weeks. Had a nice little time up at the cottage, but other than that, just The tail end of the vacation went well, you know, since the last episode went out, just kind of kicked back and hung out with a little bit of the fam and jumped off a few docks, that sort of thing. How about you? Perfect. |
|Jason Heaton|Perfect. Yeah. Yeah. I mean, the, I think I mentioned to you earlier, we, we, Ghoshani and I have been going for these morning bike rides and it's, uh, man, it's, it's starting to feel like that tail end of summer. It's a little darker in the morning and a little cooler, which I, which I like, but, uh, yeah, we're, we're kind of moving into that shoulder season here pretty quick. And, uh, Yeah, we've got a, we've got a trip coming up next week. If all goes well with our COVID screening here at the end of this week, we'll be headed off to Bonaire for a week of diving. So it'll be the first time outside the country and gosh, it's probably been almost two years. |
|James Stacey|How long since you dove last? |
|Jason Heaton|Well, we did some kind of regional stuff last summer. We did, we were up in Lake Superior a couple of times, but nothing, nothing just kind of swim trunks and, and a single tank and warm water. So it'll be, uh, it'll be fun. It'll be good to kind of reacquaint, but, uh, that's great. |
|James Stacey|I hope that you don't get any, any sort of headaches. I have some friends that, that are, as we're recording this, I have traveled to Italy, um, after delaying that trip for, yeah, like you said, the better, better part of two years. And they had, they certainly had to jump through some hoops. And the biggest thing just seems to be that the, whether or not your flight will actually happen.  seems to be a real dice roll these days. So I hope that's not the scenario with you being able to get down to Bonaire. |
|Jason Heaton|Yeah. Yeah. We'll see. I mean, I think the travel headache this Saturday will be a big one, but you know, hopefully it'll be worth it for five, six days on the ground there. |
|James Stacey|Yeah. So episode 158 live from the tropical paradise of Bonaire. |
|Jason Heaton|Yes. Fingers crossed. I mean, unless we never make it there, but yeah, we'll We'll do it. I'm going to pack the microphone along, so it should be fun. |
|James Stacey|And what, uh, what watches are you taking? |
|Jason Heaton|Gosh, you know, that that's kind of consumed a bit more of my mental space than I had kind of hoped it would. But, um, at this point I I'm thinking, you know, Ghoshani and I were talking, she wants to take a few watches too. I mean, I haven't dived with the Synchron Military yet, so we'll, we'll definitely pack that along.  Um, probably the deep star. I think I'm going to take the, my Hodinkee Blancpain. |
|James Stacey|Oh, nice. |
|Jason Heaton|And, uh, and I've been wearing my, uh, my Bremont Supermarine quite a bit and I actually put it on the bracelet. Um, I got this bracelet. It is, you know, I weighed the watch. I posted it. It's not a story of it. So in old money, it's eight ounces. I mean, this is a half pound of watch. Uh, I wear it, you know, I, usually I wear my bracelet watch is slightly loose, but you can't do it with this cause it just, clunks down against your, your metacarpals there on your, on your hand and just kind of bruises you a bit. So I, I, I tightened it up a bit. There's kind of two micro adjusts. This is their older clasp. And, uh, so it doesn't have any kind of fancy micro adjust like the newer one does. So this just has two little spots you can tweak and I put it on the tighter of the two and it seems to.  seems to hold firm on my wrist. And I kind of like it on the bracelet, just kind of, it looks good for one thing and it just, it feels good. |
|James Stacey|Oh, they definitely look good. I mean, those are, those are also really, really pretty watches to begin with. Like that overall format, especially the, you know, the first gen S500s, the S2000s and such. And those dive watches are great. I still can't get the 302 out of my head. Oh, I know. You know how it goes. |
|Jason Heaton|Yeah. Yeah. Other than that, I, I went, uh, I went sailing on Saturday. It was something I had wanted to do all summer. I haven't done it in a few years and, and this guy who came to my book launch event here back in July. Uh, and then Mark, he's, I think he's a TGN listener. Um, bit of a local watch guy. He's, he's an interesting fellow. He, he races a sailboats a couple of times a week. In fact, he told me they won their weekly series here on, on white bear Lake, which is really cool. And he also does some ski racing and instructing and he's a runner and just an all around kind of fun guy. And anyway, he, uh, he had extended an invitation to, to go sailing with him. And so we finally made it happen this past Saturday. And he's got, uh, a boat, gosh, must be about a 30 foot long boat called an E-Scow, which is just a super fast, uh, race boat, um, that he takes out and keeps on White Bear Lake, which is kind of a nearby big lake here. And, and boy, was that fun. There wasn't much wind, but it just felt so good to get out on the water and just kind of hear the wind in the, in the sails and the waves lapping on the hull. So it was, it was a lot of fun. Yeah. |
|James Stacey| Yeah, I had had high hopes of that being part of my summer, possibly, you know, finding a laser. Yeah. That that, you know, maybe needed some slight repairs. There's maybe ready to go. I'm not sure. One of my cousins married a fellow that's quite a talented sailor, and he said he would teach me. He's got a couple of sailboats around, but the summer just kind of ran away so far this year. Yeah, right. It might be might be a late August, September thing or it might have to push into next year. But I would love how to pilot a small a small, uh, you know, sail a small boat for sure. |
|Jason Heaton|Yeah. Yeah. And you could tow it with the Jeep and keep it at the cottage. And is there sailing on that Lake? |
|James Stacey|Oh, for sure. |
|Jason Heaton|Yeah. |
