
# The Grey NATO - 158 - Jason's Bonaire Field Report
Published on Wed, 25 Aug 2021 15:29:52 -0400



## Synopsis
The podcast episode is a conversation between the two hosts, James and Jason, where Jason reports from his trip to Bonaire. They discuss various topics, including watches Jason brought for diving, the experience of traveling during COVID times, a typical day's activities in Bonaire focused on diving and relaxation, the diving experience and marine life in Bonaire, and potential future plans for a listener trip to Bonaire. Jason also shares some insights from interacting with a free diving expert and seeing other divers' watch collections during the trip.

## Links
- [episode page](https://thegreynato.substack.com/158bonaire)
- [episode MP3](https://www.buzzsprout.com/2049759/11310961-the-grey-nato-158-jason-s-bonaire-field-report.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of The Gray NATO. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 158. My name is James Stacy and I'm joined as ever by my illustrious co-host Jason Heaton, who's actually calling in from a tropical locale. How's things? |
|Jason Heaton|Good, good. Yeah, I'm down here in Bonaire and we'll be lucky if we get this episode actually recorded. We've had some snafus on both ends here today.  Yeah, I think we are. |
|James Stacey|Yeah. So if I sound angry, it's my own fault. My mic has decided to not cooperate and the computer has been restarted and for a little while the power grid in Bonaire also decided to not cooperate. But that's the fun of a field report and it is pretty exciting because we haven't had a field report in a long time because of course travel has become quite complicated.  Jason, we can save most of this for the main thing, but how is it to be out and about and back somewhere that you love? |
|Jason Heaton|On one hand, it feels terrific. On the other hand, it feels a bit surreal. It's a very familiar place for me and for Ghoshani, and we came with a friend, Tim, who's been here before with us. So much familiar about it, but yet there are these weird differences.  COVID checks at the airport and, and just kind of the scene here is a little bit different, but, uh, all in all it's, it's great to be back and, and, you know, upfront, I'll just apologize for any background noise. There's a fan going and then there's a waves crashing outside the patio here, um, which I'm guessing most people won't complain about, but it is a, it is some background noise. |
|James Stacey|Yeah. Yeah. You know, I can be a stickler for these things, but I'll give you a pass on this one. I think that's pretty fun, uh, that we're able to do this at all and, uh, that I'm able to hear you and, So far, hey, what do you know? My mic is cooperating. |
|Unknown|Yeah. |
|James Stacey|On the last episode, I lamented, complained, espoused, you picked the term you prefer, about how I'd bought this Vostok dive watch that I'd forgotten about from Russia. And I think it must have been delivered like either while we were recording or like while the file was being uploaded. Because it was here, you know, speak of the devil. And so for those of you who are asking, it's a 420959.  Which was like, I think it was 78 bucks. Wow. It's a steel dive watch with kind of a dome crystal. It has a matte black dial with like a diver decal on it. Yeah. Um, and then it doesn't have numbers on the bezel. It has more of a, these kind of broken segments with dots that are either red or black. Sure. Yeah. Um, I'm going to write a piece for it for Hodinkee at some point, I'm sure I'll put up a wrist shot at some point, but I haven't done either of those things yet. I've just been drowning in other work currently.  But I did want to confirm that, you know, some people very kindly offered to send me theirs as a loan. So I would have one other people, you know, wrote just to just to say, Hey, this is rad. You know, you guys have mentioned Vostok before, but never like at a, I'm trying it. I bought it, that sort of level. Yeah. So all of that, it's pretty fun. And the watch is worse than I expected in many ways.  It I mean, like it's keeping time and running. And at some point, once I've got photos, I'll probably also take it at least swimming. Yeah. Maybe snorkeling, that sort of thing. Yeah. But man, there are elements of it that feel real rickety. Like there's no tensioner in the bezel. There's no click. There's no anything. Yeah. It's just kind of a ring that sits on the outside of the watch. And then the crown, the crown really leaves everything to be desired. If every time you touch it, it feels like it's going to come off in your hands.  It should make for a fun review, not an expensive watch. It is charming. I'll give it that. The loom is better than I was expecting. It's the right size. Um, you know, it's, I actually had to like try and find if I had any 18 millimeter NATO. So that's kind of the headspace I'm in. |
|Jason Heaton|Yeah. When you brought it up on that last episode, I remembered that a friend of mine who used to travel to Russia occasionally, he had gotten one as a gift. This was back in the nineties and he wasn't into watches at all and he passed it on to me and mine's been sitting in the Vostok box in a drawer for many, many years. I never wear it, but it's, it truly is a very flimsy feeling watch. Um, and I don't remember what it came on, some fake leather vinyl or something. So I put it on a NATO and I think the weird thing is, and I think you've experienced this and many people talk about it, is that weird crown on it, which feels like it has like a cap on it or you, yeah, you pull it out and it's kind of like just, it's just floppy. Uh, I mean it's truly, Truly a flimsy feeling watch, but I think on the other hand, I think it's great that you're going to review one kind of officially because it's such a well-known piece. I mean, from Steve Zissou film to just kind of, you know, the watches that affordable watch guys kind of seek out and know about. So I'll be interested to hear your kind of more in-depth feelings on that one. |
|James Stacey|Yeah. So that, that should be, at this point, I'm going to assume remote more like early September.  Yeah. But the one I got, again, for those who had asked, it's the 420959. It came on like a Russian version of like a Seamaster bracelet. |
|Unknown|Oh, OK. |
|James Stacey|Wow. With, you know, it's a three link design, but it has those polished channels. Yeah. Yeah. And a fold over clasp with a bunch of micro extensions. It's yeah, it's a it's here. I've got it. Yeah. Yeah. You know, other than that, I've been playing around with a handful of other watches. And then I did get in something really cool.  that I think is worth talking about just just for the pure charm of it. So I got in the Victorinox Swiss Army Champ XXL. |
|Unknown|Yeah. |
|James Stacey|And this is that this is that it's the opposite of the Vostok in many ways. It's so beautifully made. But it's that like extreme Swiss Army knife that has 70 plus features. Oh wow. Super thick. And it's like it's probably three inches wide. Oh my gosh.  So it's 73 functions to be fair. So we got everything from obviously your toothpick, a pressurized ballpoint pen, multiple screwdrivers. So like two different like head swapping screwdriver functions, a three millimeter and a six millimeter set, a universal wrench, a magnifying glass, an LED flashlight, a full bit torques and hex set. And why did you get this?  I got connected with with Victorinox. It's a brand that I kind of feel like we should talk about way more on. Yeah, true. The Grenado. And they have some stuff coming up that that was kind of through a third party kind of hit my radar and I wanted to write about it. So thankfully, my good buddy, John, who's listening to this, John had a great connect with them with one of their reps out of the States. And I chatted with them and they said, well, we've got this thing. We can we can send it your way. John's a big fan of it.  And so they sent this Champ, the Swiss Champ XXL. So cool. And to be fair, it's, it, it costs as much as a very good folding pocket knife. It's 315 bucks. Yeah. But it is, it's the last one that you would need. And you want to know the funny thing, and this is kind of the main reason I wanted to talk about it. I didn't pay 350 bucks for it. Keep that clear. It was sent to me by the great PR agency that covers for Victorinox. But when I first got it, it was a laugh. I literally laughed holding it in my hands.  And now I've had a chance to use it a couple of times, and I think it's going to be my go-to desk knife. Oh, sure. It's got everything on it. Everything short of a couple of watchmaking tools. I just wish I had a spring bar tool. Make it 74 functions. Yeah. Super handy. I had it up at the cottage this weekend, and you have a little task, and instead of going to the toolbox, I could just pop this out. Arguably, I know where all my tools are in my toolbox, and I don't know where all of the 73 things are in this knife.  I remember when I first saw this thing, because it is a really extreme looking thing, even if you like a Swiss army knife, and I'm a huge fan of Swiss army knives. I have two, maybe a dozen floating around my house. Some of them are Basel world ones where they used to give a different one every year with like a little bit of Basel's map on it. And, um, and then I've got the Hodinke branded ones. I really like, cause you don't commonly see them in black, the Swiss army classic. Right.  And then the Spartans really nice and they make amazing gifts and that sort of thing. So I'm, I'm a big fan of the, of the product, but to have this and over a couple of days, I really started to think like, this is kind of weirdly useful. |
|Jason Heaton|Cause there's enough in your pocket. I mean, is it too, just too big to be in a pocket and be better in like a drawer or something? |
|James Stacey|I think you could get away with carrying it in like that photojournalist vest. |
|Unknown|Oh, sure. Yeah. |
|James Stacey|I don't think this is the thing that you put in your like shorts pocket to kick around the cottage. Like it's going to pull your pants down. |
|Unknown|Yeah. |
|James Stacey| And I only joke it weighs 12.5 ounces. So, I mean, it's not light, but it's not that heavy. It's perfect for a desk. It makes a lot of sense in a bag. And all of the tools are so nicely made and everything's razor sharp if it's supposed to be sharp. And I was really impressed by it. And they have a watch coming out that I think a lot of people are going to be interested in in the next little while, which should be kind of cool. But yeah, so I had a chance to check out this This Swiss champ XXL, my kids think it's hilarious. Oh, that's awesome. Like I was, I was sitting at the table with them and just opening one tool at a time and trying to guess what it was like. Some of them are obvious. It's a knife, it's a saw, it's a ratchet set, it's a flashlight and other ones. I was kind of like, I think this is a spudger. I'm not really sure. I think this is, this is a reamer. If I remember my, my scout training correctly, I don't really know what this book is for.  I think some of it's for, you know, bending wire, like, yeah, so there's a big list. I'll put it in the show notes. I think it's cool. And it definitely makes me chuckle every time I see it. And it feels really special because it's so extreme. But yeah, so that was between the Victorinox and that it's a, it's, you know, I'm experiencing a very inexpensive, um, mechanical watch and then a very expensive and really nicely made and obviously feature packed sort of a Swiss army knife. It was, it was kind of a high low, but in a direction I might not have guessed for my week. Oh, that's great. They're definitely not going to let this one go through the plane. |
|Unknown|Yeah. |
|James Stacey|Yeah, really. Sometimes the Swiss army classics, they would turn, they would, they would either not notice it in your bag or they wouldn't, they wouldn't make a stink about it. Cause you know, it's an inch long or whatever the knife, an inch and a half. Yeah.  Uh, this is not going to be that. I mean, there's like nine or 10 knives in this thing. Like largely that that's been my week. It's been a busy week. You know, we're just starting, um, character watch week at, uh, at Hodinkee. So we're covering all sorts of character watches, which I'll admit is, um, is not a level. It's not anything I'm interested in or anything. I even have like a casual, like, like I could say, I'm not that, that interested in, in tour beyond. |
|Unknown|Yeah. |
|James Stacey| But just from being in the watch game, you learn a bunch about tourbillons, like enough to tell a great one from a cheaper one, an effective one from one that's just there for display. Character watches mean like next to nothing for me. I think it's fun and the comments are good. And I love lighthearted watches. I like watches that bring more people in and remove some of the kind of heavier aspects of watch collecting. So I'm, I'm all for it and I'm learning something from every post, but it's just, it's just so not my depth. It's like, it's a whole different playing field or a different swimming pool entirely, if you will. Yeah. Um, so I I'm working on a fun one for, uh, a Pac-Man version of a, of a new vintage reissue from Casio. Okay. Uh, and, and I'm just editing the photos for that. So it's been kind of a wacky week. I've got this weird boss talk, this insane Swiss Army knife and a Pac-Man a look.  one of the biggest games of all time. And it does look cool on the watch. I think people kind of get a kick out of it when they see the images. |
|Jason Heaton|Well, I mean, I got to hand it to you. I mean, I think you're someone who embraces variety and kind of willing to try new things when it comes to watches and covering watches. And I've always been probably a little too rigid for my own good when it comes to watches and kind of stick to one very narrow niche. And I'm starting to think that long for longevity sake and just kind of keeping the interest going, it would be kind of nice to branch out a little bit, you know, and I think, uh, you know, just having a bit of an open mind, I think, you know, even something like the Vostok, it, you know, here's a watch that people have talked about for many years that I've always heard about. And I've always just ignored. And it's like, I've got one in a drawer. I should, I should wear it for a day or two and just kind of experience it, you know, just for the fun of it. |
|James Stacey|I would love, I would love to read your thoughts on the whole concept in a sub stack. Like whether or not, whether or not you would find a line that wasn't to watch review, you know, you're not, necessarily going for these days, but I think there's a philosophical statement about this watch and its longevity and the brand even just the, there's so many different versions. Like nobody's, nobody's necessarily quoting reference numbers as crazy as they might forsake over Rolex or whatever. Right. But you know, there's a fandom that surrounds these watches, which I think is, is special. And, uh, and then in to your comment about variety, you know, it's just one of those things where like over time I learned that I was just wrong about a lot of things.  Yeah. And that things I didn't understand have this merit. Yeah. You know, three, four years ago you would have gotten not a lot of positive positivity out of me about gold watches and I love them because they're fun. Right. Right. Right. Um, you know, the price is an issue, but that's, it's gold. I mean, it's supposed to be. Yeah. And to, to, to what you said, I mean, a lot of it is because I, I would like to have some longevity in this industry and it's, It's pretty easy to get bored of, of, of just like, like how I said recently, I'm kind of like done talking about the SPB 143 for a bit. Yeah. I love it, but I've said my piece and I'm going to move on to other stuff. I'm going to find a new Seiko to love or to try and yeah. And that sort of thing. So yeah, I think the variety is, uh, is as crucial, you know, is probably more crucial now with, uh, with the pandemic and how that's kind of going and how that's kind of changed the lines for seeing watches. You know, I've been doing trade show in a long time. Yeah.  which means I kind of only see the things that I want to click on. The plus you used to get from a trade show is you'd get this big wave of press releases. Right. Right. And then somebody, you know, like a boss would say like, we'll go into this brand and see what's good. And you would go in and, and largely I think I would usually ignore such things. Right. And then the same thing happens when you'd go into a meeting, you, you wouldn't really know what to see. And if they put 10 watches on the table, you could pick the three that you were actually interested in. But to actually go through that process kind of keeps the, um, keeps the boundaries expanded as much as possible. And it's, it's weird to not have any of that now. Yeah, true. Even today, you know, Bvlgari, I don't know if you saw this because you're probably not spending a ton of time reading watch news when you could be scuba diving and enjoying the ocean. But you know, Bvlgari launched a GMT today in the aluminum collection. Oh, cool. Oh, wow. So the Bvlgari to Bvlgari. So it's this, it's aluminum case with a blue bezel.  uh, red and blue, very, uh, sort of patriotic sort of colors in the same general color space, really though, as like a black Bay GMT. So it's a, it's a matte blue and red, and it uses a Salida. So it's, it doesn't give you local jumping, which is kind of a bummer, but also it means that the price point isn't wild. I mean, it's, it's Bulgari. So you're going to pay some money for it. Sure.  But I think it's about 3,500 bucks. And that puts it into the same vein as something like the Bremont S302. And while at least at knee-jerk, I would absolutely rather have the S302, I really love that watch and can't stop thinking about it. Just to see Bulgari, just see another GMT is kind of fun. And as soon as I saw it, what I realized was I had this weird thing where I miss seeing stuff like that at a trade show where I didn't know it was coming.  And it's kind of in my wheelhouse, but from a strange direction. I'm not like necessarily a Bulgari guy. Yeah. Uh, I understand the brand better than I did a few years ago, but like not usually in my price point to be fair. Yeah. I think it's a cool thing. I'll throw that in the show notes as well. I'm not, not necessarily sure why, why that came to mind aside from, yeah, seeing, seeing the, the press release or seeing the coverage, you know, for Tello and monochrome and such wrote posts today. And I saw them come up in my newsfeeds. It, I do. It's weird. Cause I think, I don't think, I mean, you can go back and listen to past episodes of The Great NATO where we've talked about maybe not always loving the trade show beat, right? Yeah. And now I kind of miss it. Yeah. Yeah. So yeah. Yet again, if you need more evidence that I get most things wrong, turns out trade shows are kind of cool. And, uh, and I didn't necessarily give them their due, especially when I just took them for granted. |
|Unknown|So yeah. |
|James Stacey|Yeah. There's, there's some privilege to highlight there. Yeah. Yeah. What do you say? Some risk check then? Yeah. What, what have you got on? Are you wearing the Vostok or something different?  I'm not. No, I actually put it away because I was out of the house for a couple of days to go up to the cottage, and I haven't gone and retrieved my case. So I just have what I wore to the cottage, which is the Synchron Military. Oh, yeah. Perfect. I mean, we've talked about this watch a lot, so I don't have to go in depth. If you don't know the watch I'm talking about, it's in the show notes. I absolutely love this thing. I just adore it. Yeah.  Yeah, it's 42 millimeters. It's it's my now like ideal chunky dive watch. Yeah. Yeah. I love the way it looks. I love the loom. I love the I like the countdown bezel, which I know is like a increasingly divisive thing when people see it on dive watches. Yeah, because you know, I don't dive that often. And if I did, maybe I wouldn't pick this watch. But for a lot of other things, The countdown is really handy. Like you want to remember to do something in 20 minutes. Right. I don't even have to remember that it's 20. I can just run the countdown. |
|Unknown|Yeah. |
|James Stacey|Yeah. So I find it very useful. I've got it on a green Uta Naito, which I think is perfect with mine, of course, is the black coated version. So it has the kind of tuxedo-y dial and the orange hands. Yeah. Yeah. But yeah, the Synchron Military, you know, my apologies for raving about yet another watch that is sold out.  My guess is we'll see more stuff, certainly from the team behind this watch. And so far they've had a thousand. Yeah. Yeah. Uh, Rick and those folks do a great job and you can go back and listen. I'll put that in the show notes as well to, uh, Rick's, uh, episode of a TGN. Uh, Jason, what, what have you got on? Cause you, I assume you took a couple of watches down for some diving. I did. |
|Jason Heaton|And actually, uh, Gashani brought two watches of her own. Um, she brought for her a birthday recently. I got her the, I don't know, remember the reference number offhand, but it's, It's the smaller tuna. Um, I got from SEIA Japan, um, for her, it's, it's got a blue dial and then this sort of gold and, and black bezel. Um, and it's the smaller size, um, Seiko tuna automatic. So it's not the solar version. And, and so she brought that, but she also brought the, the Synchron military. Um, you have the black case one and I had gotten the steel one. It turns out she loves wearing it, even though it's a, it's a big watch, but, um, she's been wearing the, the Seiko for diving the past two or three days here. And she told me she's about to switch over to the other one, which should be fun to see underwater. |
|James Stacey|Is that the STBQ003? It's about 600 bucks. Yeah, that sounds about right. |
|Unknown|Yeah. |
|James Stacey|Yeah. Yeah. This is cool. I saw it. I saw it in one of the images you posted because it's so easy to pick up that tuna case with Instagram's compression and the rest of it. Right. Right. So, yeah, I think what we're looking at is the STBQ003.  This is a really good looking watch. Yeah. She likes the size. The solar movement makes a lot of sense. No, actually she got the automatic. |
|Jason Heaton|So it's an automatic. |
|James Stacey|And I'm not looking at the right one. Let's see. Oh, the SBDY073. Same colorway, but automatic. Yes. Yep. |
|Jason Heaton|Yep. Yeah. I knew there was a Y in there. |
|James Stacey|The solar one's pretty cool too, for anyone who's curious, but yeah, this is the one. Yeah. |
|Jason Heaton|And this looks really good. Yeah. Yeah. And she wanted an automatic. She wanted a tuna. |
|James Stacey|Yeah.  Does it, is it kind of like, um, is it kind of like a, uh, like an SRP 777 where the 43 wears a bit smaller or does it feel like 43? |
