
# The Grey NATO - 159 - August Q And A
Published on Thu, 02 Sep 2021 06:00:15 -0400



## Synopsis
This episode of The Grey Nato podcast features Jason and James answering questions submitted by listeners. Topics covered include recommendations for vehicle emergency kits, watch complications and designs listeners would like to see, unpopular watch opinions held by the hosts, Tudor's service model of swapping movements, gift ideas for getting a significant other into watch collecting, the ethics around re-homing an engraved vintage watch, tips for beginner snorkelers, and thoughts on specific watch models like the Certina DS Action Diver.

## Links
- [episode page](https://thegreynato.substack.com/p/159qanda)
- [episode MP3](https://www.buzzsprout.com/2049759/11310960-the-grey-nato-159-august-q-and-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 159, our August Q&A episode, and we thank you for listening. As is the case with these Q&A episodes, I think we're going to dive right into the questions, James, but I think you had a couple of quick things you wanted to mention before we do that. |
|James Stacey|Yeah, I had a couple of notes I wanted to get to before we get to the questions. We did get a great crop of questions, so thanks to everyone who sent those in.  Uh, the first thing is some of you might've seen on Hodinkee that I was tasked with, um, you know, kind of picking up, uh, hosting duties on Hodinkee radio. Uh, got a lot of nice messages. I appreciate all of that. This isn't necessarily the venue to chat, you know, extensively about a whole other podcast, but I did want to make something really clear to everyone who's listening. Uh, TGN does not compete with Hodinkee radio. We're not going to be changing anything about TGN. We're going to keep doing it. It's going to keep coming out on the same days we're going to continue to push to do weekly episodes and, and lots of great interviews and, and the same sorts of chats we had before, uh, you know, TGN is my, my vocation, my, my happy creative place. And, uh, Hoodinkee radio is an assignment that I'm, you know, thrilled to have and to undertake and to get a chance to, uh, you know, hone some skills, but, uh, to, to kind of distinctive things. And certainly me helping to run the ship for, uh, for Hoodinkee radio doesn't mean that we're going to change anything we're doing with TGN. So I just wanted to quell any concerns on that front. Second up, you know, we're certainly aware that the week we're putting this Q&A out is also Geneva Watch Days. It's a lot of new watch news. Thing is, we have to record these on Tuesdays to maintain our kind of schedule. So we didn't want to comment on all the watches when we haven't seen them all. There's actually some watches that are coming out later in the week that I think are definitely worth a look.  So with that in mind, I would just say we're going to do a Geneva Watch Days episode next week, and it should be a good one. So look forward to that one. Without further ado, let's jump into the questions, eh, Jason? |
|Jason Heaton|Yeah, let's do it. Our first one is from Wesley, who's got kind of an overlanding truck prep question. |
|Wesley|Hey, James and Jason, this is Wes from Birmingham, Alabama. I have a question for you guys about everyday carry, specifically within your vehicles.  I am the proud new owner of a 2017 Toyota Tacoma. And while I'm definitely not ready to go overlanding, I have spent the last month trying to piece together a few items that I like to keep in the truck regularly. Things like a flashlight, ratchet straps, a few things in case I break down. Are there any particular setups or kit that you guys have put together for the Jeep and the Land Rover? Whether it's an individual item or maybe a bag that you've put together with a few tools and other accessories. I'd love to hear what or if any suggestions that you guys might have.  If there are any other Tacoma and TGN fanatics like myself out there, feel free to hit me up with your suggestions as well. You can find me on Instagram at Wesley.Garnett. Thanks so much, guys. Really appreciate it and enjoyed the weekly episodes. Keep up the great work. Thanks. |
|James Stacey|Okay, Wesley. Thanks so much for that question. Jason, what do you kind of keep all the time or most of the time in either of the kind of Land Rovers to keep you kind of going and feeling safe? |
|Jason Heaton|It's actually a pretty extensive list and it depends on which of the two old Land Rovers I'm taking and how far I'm going. Um, and there are some, some great resources that I've tapped for this, this type of list. There's a, there are Land Rover specific forums and places that I go to, to kind of get those listings and then just sort of general overlanding tips. But, uh, in general, um, uh, toe straps, jumper cables, and then I always take, uh, Some fluids, the common fluids that, that tend to get low or leak out on this. So motor oil, gearbox oil, um, and clutch fluid, which can be used, uh, uh, for the clutch or the brake, uh, brake system. You know, I haven't really done any off-roading in this, but I had signed up for an off-roading course in the spring that I've now postponed until I guess the end of September. And that came with a pretty good list of items that they recommend and almost require that we take. And one is a.  uh, a tire patch kit, um, that you can kind of plug, uh, you know, holes that you get in your tires and then an air compressor. So you can air down your tires for going on, you know, soft sand or mud or whatever it might be. Uh, and then you'd need an air compressor to air back up when you're off the trail. So I bought a Dewalt, uh, battery powered air compressor that uses the same battery as my 20 volt Dewalt drill. And it's really compact. I've tried it. It works great for, for the car tires and it plugs right into the the 12 volt port in the truck. Um, so that's really great. Um, you know, I, I take kind of a, uh, a, a bare bones tool roll of, of kind of commonly used sizes of, uh, you know, sockets and open end wrenches and adjustable wrenches, zip ties, plenty of rags, a head torch that I keep for, you know, hands-free, uh, kind of tinkering in dark places. Um, plenty of rags and, and, um, one bit of good advice I got was to take kind of an old blanket or an old, you know, moving blanket or something that you can, you can lay on the ground. So if you're in muddy, dirty, you know, broken glass, strewn shoulder of a road or something, you have something you can lie on. Um, and then in addition, you know, there are a couple of things that, that maybe it's my own paranoia, but with, um, With either truck, if, if any of the, um, if the clutch master cylinder or slave cylinder goes out, uh, it's, you know, it's, it's kind of a no-go situation. So I've actually got, um, those two cylinders that I had ordered a long time ago. And I just kind of keep, and they're, they're small enough and compact enough that I can tuck them into a, the, the creative tools that I take along, um, which, you know, heaven forbid, I have to replace those on the side of the road. But if I do, I've got them.  Also a starter motor. So the, the old Land Rover actually can be hand cranked or bump started because it's a stick shift, but with the Defender, which is a diesel that they're harder to bump start. So I actually have a replacement starter motor that mine was starting to make some weird noises last winter. So I bought a starter motor and I'm, I'm just thinking, you know, if I'm doing a longer trip, which I plan to do later this summer, early fall, I'm going to tuck that into it's heavy and it's a little bit clunky to carry around, but I thought.  You know, um, might as well. So, you know, that, that's kind of a meandering haphazard list, but it is certainly, uh, um, kind of keep me covered or at least give me peace of mind. You know, we did that road trip to Iowa last summer in the old Land Rover, and I took kind of most of this sort of stuff and ended up doing a lot of kind of fluid checks along the way and, and, uh, ended up topping off fluids, but didn't need any of the other stuff, but it does give peace of mind. So for sure.  James, you know, your Jeep is certainly newer, so I don't think you probably need to be taking, you know, clutch cylinders and starter motors and that sort of thing. What about you? |
|James Stacey|Yeah, I'm not carrying around parts just yet. Maybe we get there at some point. Definitely oil. But the funny thing is I probably only keep the oil in the Jeep because I don't want to put it somewhere else. It's just easy to have it in there. I'm a big fan of having some bags or like a spare toolbox or something with all sorts of stuff. I typically have some tools in the Jeep, But in scenarios where I wouldn't, I try and keep an entire set of tools that would allow me to get access to most parts of the vehicle. So a lot of the Jeep is Torx. So I have a Torx set and I have a, um, I have the, the kind of Jeep toolkit, the one that would have come with that allows you to even remove the top and the rest. Those are all handy. I think it's for any vehicle, um, for almost any usage, I think it's smart to have a properly sized socket for your, uh, wheels and a big breaker bar.  Yeah. Even in a scenario where you don't necessarily know how to use a jack or put the wheel back on, it's important to have the tools in case somebody is willing to help you. Right. So it's one thing to not know how to do something because you haven't done it before. And I don't think that's something people should feel bad about if you don't know how to change a tire or install a spare or whatever. It's another thing to both not know how to do it and not have the tools.  Sure. Um, so watch the YouTube video, you know, go to your local, um, what's the one in the Harbor freight is, is the one in the States and Canada. Here we have a princess auto and grab yourself a big breaker bar that allows, you know, a person of, of, uh, adult weight to really crank on, uh, on a lug nut. Uh, that can be helpful. Obviously, if you know how to use a jack and you're comfortable doing so that's helpful to have.  I'm a big fan of having an air compressor. Uh, the Dewalt one that Jason has is the premium option. It's super handy. They're not that loud. They work really well. They use a known battery system. All of that is great. I have a wired one that I like a lot that I bought off Amazon. I don't remember the brand. It was just, you know, the one that had 8,000 reviews or whatever. And from bike tires to vehicle tires to whatever, it's super handy. It's not very loud and you can preset the, the, um, pressure. |
|Unknown|Yeah. |
|James Stacey| And then walk away if you're doing more than one thing at a time, which is super handy. I'll put that in the show notes. I think it was 30 or 40, maybe $50. Definitely worth having. And then, yeah, the easy stuff, always have a flashlight, have some way of signaling the fact that you're in trouble. Um, if you're in trouble, whether that's a road cone or a high visibility vest, you could tuck into your trunk, whatever, just something so that people know you're on the side of the road. Um, the other thing I'd recommend is if you have a breakdown on a busy lane and you use ways, Mark your position as car on the side of the road. Everybody driving on the road who also uses Waze gets a notification for that. I think people tend to overlook just how dangerous it is to stop on a shoulder. Yeah. On a highway, it's insanely dangerous to do so at night. So when you do, you need to make sure you're visible, keep your lights on, keep your flashers on.  And, um, and just assume that, that you need to do everything and then don't stand in a position where, when your vehicle gets hit by someone who's not paying attention, you'll also get hit. Stay 10 feet away from the vehicle unless you need to, like there's some things to consider. And I know this is maybe outside the scope of the question, but I'm blown away by the behavior that I see on the shoulders on roads in North America, especially. Legs sticking out from underneath. Yeah. People who don't get all the way on the gravel.  or you pass a car at night where they're clearly trying to work on the vehicle and they're on roadside and they don't have their flashers on. It's just a very strange, and I've digressed extensively, a battery for your phone. You don't want to have that time where you need some help and all you really need to do is call CAA or AAA or whatever and your phone's dead.  And keep in mind, if you're in rural areas, your phone will be off of standardized networks. It might be on older networks or longer range networks, and that can be harder on your battery. Again, that depends on the phone, but it's worth considering. And then what I mentioned there, again, is have a CA or AAA membership so that if you need a boost and you can't figure it out or you can't change your tire or you need fuel and you don't want to walk 10 miles and you don't have a jerry can, et cetera, you can figure this out. And that way you kind of prepay for a problem or two a year. I think it makes a lot of sense financially.  Yeah. Finally, I think, uh, one of those inexpensive roadside hazard kits, even though they're all cheap and some of the stuff that comes with them will only work once or twice still worth having. If you don't have a, um, uh, a siphon and you need one, the, the $1 one that comes in a $30 roadside kit is a, is a savior, right? |
