
# The Grey Nato - EP 16 - "Collection Inspection Volume 2"
Published on Tue, 30 Aug 2016 09:03:40 -0400



## Synopsis
This episode covers a discussion on Jason's Bremont Supermarine 2000 dive watch and James' Halios Tropic dive watch as part of their "collection inspection" series. They talk about the features, design, and personal experiences with these two watches from smaller, independent brands. They also share some new watch acquisitions - Jason has the new Doxa Sub 300 50th anniversary edition, while James got a vintage Silvana dive watch. For final notes, they recommend an article on minimalism, a podcast on marketing psychology, and the documentary "Blue Water White Death" about filmmakers attempting to film great white sharks in the 1970s.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-16-collection-inspection)
- [episode MP3](https://www.buzzsprout.com/2049759/11311107-the-grey-nato-ep-16-collection-inspection-volume-2.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Welcome to episode 16 of the Granado, a loose discussion of travel, adventure, diving, gear, and most certainly watches. |
|James Stacy|I'm Jason Heaton. And I'm James Stacy. Before hitting our main topic today, just a quick note that our logo design giveaway is now over. We received a ton of excellent submissions and we want to thank each and every one of you who sent in a design.  Jason and I will be taking some time to select our favorite and the designer in question will be announced on the next episode. So please stay tuned. For today's main topic, we're actually doing another installment of the collection inspection. So if you remember, our first installment was in episode 10. Jason spoke about his Rolex Submariner. I spoke about a Omega Seamaster. And today we've got, we've picked two new watches from our permanent slash semi-permanent collection to chat about.  And I think they're both really interesting watches. They're both fairly different watches, both dive watches, unsurprisingly. Jason, you think I kick it off with mine? |
|Jason Heaton|Yeah, let's dive in and I'm curious to hear which one you picked this week. |
|James Stacy|Yeah, so my choice is actually a watch that I wear, I would say probably between three and four days a week, sometimes more than that. It's been a pretty much constant presence on my wrist for a long time. It's the watch I'm always taking off to put something else on for an Instagram photo.  And that's the Halios Tropic. The Tropic is an absolutely fantastic watch. I reviewed it back in December, January 2014. And I absolutely love it. It's a great 41 millimeter dive watch. The version I have is in steel. They also came in bronze. Halios, if you don't know, is a small Vancouver-based brand. It's a one-man brand. And they've made a series of dive watches, generally in limited productions, so the Holotype and the Blue Ring, the Laguna, the Puck, and then we got up to the Tropic, and since then we've also had the Delphin. The Tropic was kind of their first really approachable, everyday design, not too toolish, not too chunky, not too big, not too divery. It's very much a middle-of-the-road overall archetype. It's very much kind of, if you were to ask the guy that runs Hallios, Jason, it's very much his spin on a Submariner's archetype, which is a watch you can wear essentially all the time. It's a very approachable design, but of course it's still very sport ready. And that's certainly been my experience with the watch for two and a half years, I guess. And it's just an absolutely fantastic watch. Jason, you saw it when you were here for the Summit. |
|Jason Heaton|Yeah. And I think, you know, one thing that you and I mentioned about the Tropic is that it sort of feels like it's the watch uh, at which Helios has sort of come into its own in terms of design. I feel like, you know, some of the earlier ones, uh, the blue ring and you mentioned that the holotype, um, were, you know, maybe a little bit more derivative, um, based on some other designs, um, a little rough, I guess. I feel like with the past couple of the Laguna and I think especially now the Tropic, I just, I kind of feel like Helios has hit its stride and, and this is kind of the design language that I can see.  Jason going forward with. And I'm a huge fan of this watch. I hadn't actually seen it in person until I came to Vancouver and then got my hands on it. And it's a really cool watch. And I love that it has the versatility that, like you mentioned, it can be had in a steel, you know, pure sort of dive watch style. But then there was that blank bezel bronze version of it with the different colored dials. And it was just, you know, it has this versatility to it that kind of straddles a few different categories. Really a neat watch. |
|James Stacy| Yeah, the design works works fairly well. And they've done a series of iterations, a few in steel, including a black dial, black bezel, the blue dial, blue bezel, which is what I have. And then my blue bezel was swapped out for a steel bezel because I kind of like the more vintage-y, 60s, early 70s sort of steel bezel diver. And they're not made in a huge supply. I mean, I think there's 100 blue ones in existence. So they are like, I guess you could call them rare or uncommon is probably the right way to put it. And they also went ahead and made a series of bronze versions. I think I want to say, and I could definitely be wrong in the bronze, that there's been six different dials in the baton and a few using an Arabic, a mixed Arabic dial, which is also really cool, almost has a field watch vibe to it. And all of those are really cool. We did a giveaway on a blog to watch where we gave one away and I got a chance to spend a little bit of time taking some photos for the giveaway post of the bronze watch and the way that material, the way that bronze, which is a very bright, um, alloy in the Hallios usage, uh, captures light is fantastic. And they have a series of different dials. There's also a white dial version of the steel, which is awesome. And I think might actually still be available on their website, but otherwise the tropics overall life cycle is kind of winding down at least for the time being. And, uh, and, And I would say, you know, I've, I think I've reviewed, reviewed, or at least spent a fair amount of time with all of the watches they've made so far. I didn't review a Delphine, but I did take one diving in Mexico and the Delphine simply sold out kind of too quickly for me to bother doing a review. I mean, they just all went really fast. The black Delphine is really cool. It's a beautiful design, but the Tropic for whatever reason, I just love wearing it. I wore it on the bracelet for a long time, about a year after the steel watch was released, they released a bracelet for it. And I wore it on the bracelet for a long time. And then recently I've switched it to a leather strap. And then in the summer I wear it on the Zulu Diver, the rubber, the 328 rubber that we talked about in the past couple episodes. It looks so good on that. On the rubber strap, I'm sure it's on my Instagram, but on that rubber strap, it's just the perfect everyday sport watch because it's an unassuming style, great bezel, really comfortable. You know, you're looking at 41 millimeters, the crystal has a bit of a dome in it. So you're 14 millimeters thick, and then 48 millimeters wide, and or 48 millimeters lug to lug, which makes it super wearable. I mean, like I have fairly bony wrists, and it works beautifully. And on that you get a Miyota 9015 movement. The date is nicely placed at 6pm.  which is awesome. And it's a 300 meter water resist with a screw down crown and a solid case back. It's a real, real sport watch. And one I took diving for the original review and have had diving a couple times since. I absolutely love it. Mine has this kind of nice saturated blue dial and then the steel bezel. And like I said, I just wear it. I just wear it all the time. You know, between that and since the Explorer came in, that's typically what I what I'll average swapping back and forward. |
|Jason Heaton|They kind of complement each other. I think those two watches sort of, uh, I don't know, to me, they sort of speak to the same sense of, um, minimalism or sort of purity of purpose. I, I feel like the, the Hallios, uh, what, what he's accomplished with, especially the Tropic and the Dolphin as well is, and it's hard to do, I think at that sort of boutique or micro brand level is to come up with a design that is fresh and not derivative of any other watch that came before it, which so many of the micro brands are trying to emulate, you know, an old Blancpain or an old Rolex or an Omega or something. And that's fine. They do a fine job with it, but you know, it's hard to come up with something brand new. And I feel like there's this minimalism and this really clean, modern feel to the Helios that doesn't fall into any one category. Like you said, it's not, it's not a pure sort of tool diver, Um, it could be just, you know, an everyday sort of slim sports watch that you can still, you know, wear to the office or something, which I really admire about it. |
|James Stacy|I think especially with the Tropic and the Delphin, there's a strange kind of timelessness where, I mean, if you, I'm sure that like, it's difficult to kind of pick what era its design is informed by. Yeah. Uh, you know, I think the, I think the Laguna, you know, a previous Hallios model was a little bit more, directly pointed towards the kind of popular Inacar, you know, dual crown internal bezel diver slash sport watches. And I think it was a very successful watch. And I have a Laguna or I should say I had a Laguna. My brother has that Laguna now and I'll probably never get it back. But yeah, the Tropic for me is just I think it's just the right size. The bezel is excellent. I really like the Hallios brand, I like that it's very much an understated kind of branding, even when you go on their website, the website really only functions to sell the watch. And you'll go on their Instagram and they'll repost watch photos from other Hallios owners. And then they'll repost just kind of random things that Jason likes. It's not even necessarily a Hallios thing in every post. It's fun. And I think Jason's I've known Jason long enough that he's into making these watches because he genuinely loves watches. And I think that shows in the design. They're very thoughtful. They're very informed by watch design in general. |
|Unknown|Yeah. |
|James Stacy|You're looking at a watch that says 650 US when it came out. I think maybe they're 680 if you were to get one now, give or take, but that's applied markers and it's loomed, it's BGW9 loom.  and you get a lovely bezel on all but the steel bezel. It's a ceramic insert. So it's not like they're cutting corners at any point. The 9015 has been super reliable for me. I mean, I've used this. I've used this watch in a number of situations where I would be scared to wear a more expensive watch, especially like biking. Yeah. And it shrugs off the vibration. It doesn't seem to matter. It certainly doesn't matter getting hit against the pole at the park, diving or whatever. Like it's just a really great everyday watch that you don't really worry about. And, uh, and then on top of that, it's, it's, it has such a pleasant aesthetic. If they were to ever make a GMT version, man, that would just be, that would just be the watch. |
|Jason Heaton|Yeah, it really would be. I think you're right. I think also when I came to Vancouver, I had that chance to meet Jason Lim from, from Helios and it meeting him sort of, um, put this sort of backstory to what I've seen in the watches. And he himself is a very, he's a well put together guy, but he's very humble and he's just sort of, he's just a very pleasant guy. And that those are almost words you could use to describe the watches. They're very clean and very, very humble watches. I almost think that you and I have talked about how are the smaller brands of today, The Halioses, the Okanoskers, the Steverals, these brands, they're almost like what we envision the small brands that many are gone or the little ones that we find that pop up, the little quirky ones that pop up from the 60s and 70s when you go out to find a vintage watch. And I think Halios is one of those brands that it's going to have this lasting quality to it that people are going to look at in 20, 25 years and say, wow, you know, those were some cool watches in the mid you know, the 2010s, I guess. It just has a real, it doesn't feel dated. It also has the quality that I think will last. And yeah, just really versatile. And that size is really perfect as well. You know, it didn't ride the big watch trend. I think 41 is just about the perfect diameter for a watch. |
|James Stacy|Yeah, I was chatting with Jason recently and he joked that 40 millimeters is essentially the new 44.  You know, we're seeing Raven watches has a new 40 millimeter watch, which looks, I think it looks really nice. It looks like a nice clean design. I can't wait to kind of see an actual version in the steel rather than the, uh, the drawings. And they make really nice watches. Uh, but I definitely think that these, these small brands are able to go in a direction faster than some of the big brands. Yeah. So they kind of clear away towards the, I mean, 41 isn't even necessarily a small watch.  in the world of watches. But for a sport diver, it was a while where like, even the micro brands were all huge, you know, the for, you know, early mores were 44 and 45 millimeters wide from Benares. Yeah. And the Laguna was 43 and a half millimeters, I think. And, you know, they were just watches were larger. And I think we're seeing we're seeing a little bit of a balancing of that equation and where we're falling back into this kind of proven size that To be honest is I think really well informed by watches like the sub, which have been around for so long that they've become this kind of archetype, even when other brands use it. I mean, like how many watches out there essentially use a sub case, like not Rolex's case, but I mean that design like hundreds. And I think there's a direct reason for that is because it has essentially just been slowly shaped by time.  And not unlike the Speedmaster case, you know, you, you look at the history of the Speedmaster and they made little tweaks to the case here, there to make it better and to change its aesthetics. But overall, like they nailed something in that design. That's where I think we're seeing some success with watches. Like Helsin makes a 40 millimeter shark diver. That's awesome. As is the 42, but the 40 feels special almost because it's smaller. And, uh, I had a, a Benares 40 millimeter Moray in for review.  And I have a 42 millimeter Moray and inexplicably the 40 seemed like a more upscale watch. |
|Unknown|Yeah. |
|James Stacy|And I can't specifically describe why, like there's some sort of an error in the programming in my brain. But I would hold the two of them and be like, well, I could tell that they're of a very similar quality, but for whatever reason, there's more appeal and kind of an upmarket feel to this smaller one. |
|Jason Heaton| Yeah. I mean, it was like the, I just, I just got done reviewing the Oken Oscar Sanford, the new GMT watch that, that Chase Fancher's come out with. And that too, he's downsized from 42, which was his first watch, the Burnham. And the new one is a, is 40. And when I put it on, I mean, I'm, I'm a bigger guy. I've got big wrists, but 40 is it's just, it's spot on. I mean, it's a pretty, it's pretty tough to beat a 40 or 41 millimeter watch. I mean, your, your Seamaster is also 41, correct? 41. Yep. |
|James Stacy| My 144 is 41. And then of course, yeah, like it's, you know, about 40 millimeters for the EXP-2 for your, your subs. There's something about that size. And I think the Halios, as much as it is any of its other elements, the Halios really nails the proportions. Yeah. If you check out my review or go to the site and take a look and you kind of dig the style, see if they have any left. I honestly don't know if they do, but You can also just jump on WatchRecon. There's usually a couple trading hands. The bronze seem a little bit more common to be moved around. They're selling for within $50 of what they sold for brand new. Yeah. Like Hallius really holds their value well, and it's because there's a kind of a proven respect for the brand and for what they're doing. And, you know, compared to their early watches, they've made a lot of tropics over the past few years. And even that didn't seem to fill the demand. You know, there was always, it always seemed like I would, I would write the review and then I would get a bunch of comments saying like, dude, this watch is sold out. Why'd you tell us how good it was? And, and, you know, I think that's kind of the tune is you, you pretty much have to with, with brands like Hallios and, and probably with, with like an Oak and Oscars, if you're not tuned into what the brand's kind of doing, you might miss your chance. I mean, like the Oak, that Sandford, the, the, the PVD gun metal one sold out.  Yeah, pretty quickly. So that means that there's definitely still people who wanted that watch, right. And there's definitely still people who wanted a black dolphin or wanted a blue tropic. And it makes sense just to kind of keep these brands on your radar. If you're a sport watch enthusiast. Yeah, I mean, I guess the shorthand is this is among a collection of you know, I'm very blessed to have some nice watches. But among that collection, I absolutely adore this Hallius.  I love wearing it. It feels way, like the on-wrist experience way outweighs the cost of the watch. |
|Jason Heaton|Yeah, it's a really satisfying watch. |
|James Stacy|And certainly follow Halleous Watches on Instagram and you'll see what they're working on. They have a new version of the Laguna and they have a new 40, likely 40 millimeter diver in the same vein as the Tropic, but with a much more kind of straight line case.  called the C4 should be a pretty interesting design. |
|Jason Heaton|I'm very excited to see that. The renderings that I've seen on Instagram are pretty cool. |
|James Stacy|Yeah, for sure. But I think that's probably enough on the Tropic. If you can get one, you should get one. I think you'd really like it. And I absolutely adore mine and it holds a really solid spot in my collection. So, Jason, you've got a diver for us, but in many ways quite different than the Tropic. What do you got? |
|Jason Heaton| It is different, but it's interesting that the first collection inspection episode we did, we both picked pretty iconic watches from big brands. And this week, we kind of took a left turn and picked some slightly different ones, smaller brands, certainly Helios being very small. But the watch that I picked for my collection is the Bremont Supermarine 2000. And it's a watch that I've had since early 2013.  And it was, I actually came by it because it was, uh, the one that I have is actually a prototype piece. It was, um, I think it was like the third or fourth one off the, off the production line at, at Braymont. And, uh, it was January of 2013. And I got an email from Braymont asking if, uh, I'd be willing to take the, the super, the new supermarine 2000 diving, uh, with them at their launch event in Grand Cayman. Um, but I had already made plans to, to, to go on a dive trip in the Bahamas at the same time. So I, I told them that and they said, well, why don't we send you the watch and you can take a diving in, in the Bahamas and can you shoot some video and some photos? So, uh, I got the watch, took it to the Bahamas for a week and I just loved the watch. I mean, I had tried the, the supermarine 500, which was the predecessor to this watch and really liked that watch a lot. Um, but the 2000 just, you know, sort of just blew things up.  you know, I guess fourfold, I guess if you consider the depth rating and then they added some size to it. And, uh, just, you know, I just love the watch and we've got some great photos, great video. And, you know, we, while we were still in the Bahamas and I was editing some video and finalizing some photos and we sent those over to from the Bahamas to Grand Cayman so that they could show this stuff at their launch event. And, uh, it was really, really a satisfying watch to wear and to kind of be the first to, to take it diving.  And then like a month later, I was back here in Minnesota and I, I put it on a different strap. They have, uh, they sent me a really long Velcro strap and I put it on that strap and wore it over my dry suit and took it, um, ice diving. So it got, it got a good workout, you know, right away after I, after I got the watch. And, and for me, that's, that's kind of important. I think other than a few of the vintage pieces that I've got, any watch that's going to stay in my collection, I really want to make my own by kind of doing some some interesting stuff with, and the Braemont has certainly been through a fair amount with me. I've taken it kayaking and skiing and a number of hikes with it, as well as the diving. |
|James Stacy|Yeah, my first experience with a Braemont was actually with the Super Mean, the S500. Yeah. And when I was kind of weighing out my decision to buy a Braemont, the one that eventually led me to the white Solo, I really, really loved the S500. It was easily my number two option. It wears beautifully despite being very thick.  It's a very tall, burly sort of watch. It has all these beautiful details. Yeah. I mean, a fantastic dial treatment, a really good bezel on the S500. I don't, I've seen your S2000. I played with it at Basel a couple of years ago when you had it on that cork strap, which was pretty rad. |
|Unknown|Yeah. |
|James Stacy|I don't specifically recall. I don't see why the bezel would be any different. I just don't remember, but it was amazing on the S500. Huge loom. I love the hand design.  on both watches. You know, a lot of just fine details. I think that that that case, the triptych case looks really cool on a diver. I would definitely lean towards an S500, but they're very similar watches at their core. Hugely over engineered, like legitimate luxury tool watches. |
|Jason Heaton|Yeah, I agree with you. I think the Supermarine 500 wears better. I mean, frankly, this watch is it's a big watch. I mean, it's it's 45 millimeter case.  So really talking the outer edge of size, you know, it's kind of, it was early 2013. So we were kind of still in that era when, you know, the big watch was the thing to do. It's 52 millimeters lug to lug. So it's, it's, you know, it's pretty tall that way. And then it's just monstrous. It's 17 millimeters tall. It's got this domed crystal, big thick case back, 22 millimeter lugs. It's, it's a monster. I think the S500 wears a little bit better. Frankly, the, the, um, The S2000, I don't wear it as much anymore because I'm, I find that I've been wearing a lot more vintage pieces lately. And when you switch from, you know, an old sub or, or an old bull of a dive watch or something, and you put this on, uh, if you feel it, you know, and it, it wears well on the, I think it probably wears best on the kind of this textured rubber strap that came with it, that fits nicely tight to the case. But right now I've got it on this thick leather Toshi strap that you gave me actually. |
|James Stacy|Oh yeah, sure. |
|Jason Heaton| And it works really well. I really wanted to find a good leather strap for this watch. And I think this one kind of does the job. It's a straight 22 all the way down, big holes, big buckle, big beefy keeper. And it's kind of a Panerai style strap. Yeah. And it fits the watch perfectly. So I think the rubber that came with it works. It doesn't work as well on a NATO. I've tried it, but it's just kind of a top heavy watch. So it kind of flops around when you put it on a nylon NATO strap. But you're right about the details. I think, you know, we talked about the Halios having some of these really subtle, sort of minimalist details. And I wouldn't necessarily call the S2000 minimalist, but there's an originality to it that is refreshing. And I think it's a fun watch. It's one of these, even though it's big and heavy, sometimes you just kind of want to put on a big chunky watch. And this one has this pop to it that I can't quite explain, but the way that the dial markers have these polished surrounds, they catch the light really nicely. And then there's this section of dial, you know, the kind of the inner circumference of the inner disc, has this sort of pinstripe pattern that was made to kind of mimic the metal cladding on the supermarine airplane that the watch is named for. And it just, the whole watch kind of catches the light in such a neat way. The bezel, you know, has this little pop of red at the zero marker and then the tip of the second hand. It's so well thought out. It's such a maturity of design that I'm always amazed by when I look at almost any Bremont watch that this company's only I don't know, they're less than 20 years old and that triptych case and some of these details, I just, I can't believe how right they get their design almost every single time. |
|James Stacy|Yeah, certainly that's my experience with my Solo, which I'm sure will be a watch in a future collection inspection, but they just nailed the design. And when I saw it in white, that was pretty much my decision. I just, you know, I like a nice crisp white watch, especially with something like a pilot's watch or the Explorer. |
|Unknown|Yeah. |
|James Stacy| But the Supermarine really is like a compelling design. I love the loomed bezel. I love that they give it all the technology from the MB2 because it was one of the early branches off of their core lineup. |
|Unknown|Yeah. |
|James Stacy|And so you get the anti-magnetic case, you get the shock absorbing movement mount. You know, it's just it's kind of classically Bremont and then with the 2000 on a bigger scale. Yeah. |
|Jason Heaton|I mean, it's probably the most rugged watch sort of on at least on a specification sheet that I own you know it's it's it's kind of the ultimate braymont when you really kind of step back and look at it whether or not you can pull off the size is a different matter and I'd be curious to know how the S2000 sells compared to the S500. I don't know yeah it's it's it's just a really fun watch and and then you get this this chronometer certified movement inside so it's you know it's been a really accurate watch for me. I did have some kind of weird quirks being that it was a prototype watch, the, it was interesting. I couldn't quite figure it out for a long time. Um, the, the strap was actually popping off, popping out of the lugs. And I realized that the, the lugs were drilled, uh, slightly too shallow, the, the spring bar holes, because it was the tooling must've been set for an S 500 case or for a 43 millimeter Bremont. Cause that's the size of most of their other watches. And so the, The lug holes were just drilled slightly too shallow so I couldn't get a 22mm spring bar to kind of hold in there properly. So the straps were always popping off and to this day I'm amazed that I didn't lose the watch when I was ice diving or diving in the Bahamas. But it just happened like randomly the week after I had gone ice diving with it. I was cross country skiing and all of a sudden I feel this flopping around and I had this empty strap on my underneath my jacket and I looked around and the watch had somehow dropped off into the deep snow and uh you know dug around and find it found it but uh that made me a little skittish and then also the stem it must have had a stem for an S500 as well which of course is a shorter diameter watch and so every time I would unscrew and pull out the crown the stem just being slightly too short was always kind of catching the date wheel and spinning the day and date around when I was trying to unscrew the crown and wind the watch So I, just earlier this year, I, right after Basel, I sent it back to, to Bremont and they, they fixed everything for me and now it works just great. But, uh, you know, it, to me, it's kind of what makes this particular one really special to me and one that will always stay in my collection is because, you know, it's sort of provenance as a, as a prototype piece and all the kinds of stories that I've got embedded in it. So, yeah, for sure. It's a different brand than Helios. I mean, certainly they've got.  They've got a lot more behind them. There's a lot more marketing. They've got some big stories. They've got, uh, you know, the Jaguar, uh, partnership, the Boeing partnership, but yet I still feel like they're kind of one of these small brands that is sort of still very energetic and kind of doing a really original stuff, which is kind of, kind of, if I'm not buying vintage, that's the kind of stuff that kind of interests me these days. |
|James Stacy|Yeah, I think both brands are, are fighting to establish their presence in the market.  you know, neither are operating as the kings of any one tier. |
|Unknown|Yeah. |
|James Stacy|I mean, I think Braymont's done some amazing work in their few years. And I think for Hallius to achieve what they have in terms of customer respect and general reputation and, you know, kind of the varying model designs and continued flow as the result of one man's efforts.  I find to be hugely respectable and impressive. I think both watches are very much great NATO sort of watches. You know, on one side you have the Hallios, it's very much from an entry level price point for an automatic, great dive watch, great everyday watch, great for adventures. And then you have something a little bit more aspirational like the S2000 or you could say the S500 too. I don't think they're vastly different watches.  But with the S2000, of course, you've moved up into the luxury space, but with a brand that's still very much focused on adventure. I mean, say what you will about any brand's marketing or even Bremont's marketing if you want, but they've put their watches in some really impressive places like the ejection seats, which should destroy a watch, let alone a person. And to the South Pole on foot. And, you know, they've done some really fantastic things with their watches.  And maybe that is a ploy for marketing. And honestly, I don't care if that chicken is the egg or the egg is that chicken. It just is what it is. And I think the watches are really cool. And from a product standpoint, I think that they offer something that other brands aren't offering in each of their space. |
|Jason Heaton|I'm glad you brought up the marketing, because I do think that, you know, a lot of brands do like to tell those stories about how tough their watches are. But when you do have a watch on the wrist of guy who's, you know, skiing to and from the South pole. Or currently there's a guy, Jake Meyer, who I'm not sure if he's done yet, but he was trying to, uh, to summit K2 and he's wearing a, an MB two, the white dial one, which I happen to love mountains in the world. |
|Unknown|Yeah. |
|Jason Heaton|Um, you know, they've, they've done any number of these things, the ejection seat stuff, but what comes down, you know, what it comes down to for me is you can tell all those stories, but those stories, behind your watches are what inspire guys like you and me to want to do our own adventures wearing watches, whether it's their watches or anybody's watches. And I think then when I strap on my S2000 and I go diving under the ice in a lake in Minnesota in winter, it enriches the experience for me. And I think it's that type of encouragement and that's the value of that storytelling. And for them, maybe it's to sell the watches and maybe it works, maybe it doesn't.  I think it happens to work quite well for Bremont. But I think for me, I'm someone who really kind of buys into the lore and the stories behind watches. And I think, of course, you talk about a brand like Rolex and you look at all those old National Geographic ads, you read about all these explorers that wore Rolexes doing some pretty incredible stuff. Bremont's a young brand. They don't have that backstory. They came around at a time after which you know, a watch was kind of an instrument that guys wore to navigate around the planet in a sailboat or, you know, you know, tell the time underground in a cave or something like that. So they kind of have to do things a little bit differently. So by aligning themselves with an ejection seat company or strapping it on a polar explorer, you know, it comes from a different place, but yet it still pulls from that same spirit that I think really resonates with me and is one reason why I really like a brand like Bremont is because they do that kind of stuff. |
|James Stacy|Yeah. And I don't think you can be, I don't think you can be any more honest than simply to say it's marketing. Sure. But it works. Yeah. I think it works on guys like you and I, whether it's Ed Veesters with an Explorer 2 or Ben Saunders with a Terra Nova. I love the story there. I love what it does to lend a certain legitimacy to a product.  And I like the idea that the product has this other meaning, even if that meaning is essentially not fabricated, but external to its physical qualities. Right. And maybe that's because that's just the extent to which we love adventure. Like I think you and I would both probably and maybe even have bought watches because we saw them in a Cousteau movie or in a random documentary about diving from the 60s or 70s. That's a big part of how watches speak to me. And I think that's what you're saying. |
