
# TGN Chats - Merlin Schwertner (Nomos Watches) And Jason Gallop (Roldorf & Co)
Published on Tue, 06 Sep 2016 09:01:40 -0400



## Synopsis
The podcast features a conversation with Jason Gallop, a watchmaker and the owner of Roldorf & Co., a watch retailer in Vancouver, and Merlin Svertner, the VP of USA for Nomos Watches. They discuss the introduction of the Nomos brand to Vancouver through Roldorf & Co., Jason's background in watchmaking and the criteria he uses to select brands for his store, and Merlin's family connection to Nomos and the brand's design philosophy rooted in the Bauhaus tradition. They also touch on the value proposition of Nomos watches, the brand's approach to watchmaking, and their personal experiences with wearing and appreciating different Nomos models.

## Links
- [episode page](https://thegreynato.substack.com/subscribe)
- [episode MP3](https://www.buzzsprout.com/2049759/11311106-tgn-chats-merlin-schwertner-nomos-watches-and-jason-gallop-roldorf-co.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Welcome to TGN Chats, I'm James Stacey. Allow me to set the scene. I have two guests on this episode which was recorded in the lobby of a business tower in downtown Vancouver. I've been in Vancouver for a few years and while people in this city love watches, their only opportunity to see really cool and less common brands is when they're on vacation or visiting other large cities. The main reason for this chat is to sit down with two guys who are responsible for bringing a great watch brand right into downtown Vancouver.  I have Jason Gallop, a watchmaker and the owner of Roldorf & Co., the retailer in question, and we're thrilled to have Merlin Svertner, VP of USA for Nomos Watches. So let's get to it. Guys, thanks so much for being on the show. Hey, James. Hey, thank you very much. So I think it's probably an interesting place to start with Jason. And Jason, you've been running Roldorf for how long now? |
|Jason Gallop|It's just about a year and a half.  The business itself is about 23 years old and used to belong to my father and I decided to take it over. |
|James Stacey|Very cool.  And Merlin, how long have you been working with Nomos? |
|Merlin Svertner|It depends how you look at it. I kind of went into it since I'm a little kid. And at the same time, I had always the freedom of choice. And so it was only until I was about 20 that I participated in the first fair in Baselworld, which was a great chance for me to participate in this world without right stepping into it. And it was also while I was in university. So I always Jumped into those fairs and and there I got an option to work at a retailer in Switzerland. So I got to see the other end Kind of because we consider like we are manufactured but then I could see and meet like final customers and and see how they take and Work with a lot of different brands which before I didn't have that much of a contact with and that's what kind of hooked me a little into this industry and then I changed my studies and everything so I just started with Nomads about six years ago. |
|James Stacey|For those of our listeners who may not recognize your last name, you have a family connection with the brand. |
|Merlin Svertner|Yeah. Yeah, I do. I usually don't tell unless I'm asked, because I would like people to have their own set of mind about how I am and how I work.  I have a high profile to look up to. My father started Nomos in 1989. Right. |
|James Stacey|And the brand launched kind of officially January 1990. |
|Merlin Svertner|Yeah. So the thing is, my father kind of started with that project before actually the wall fell. And then when the wall fell and all this political turmoil in Germany started, he was actually one of the few who went the opposite way because everybody left the East to go to the West.  And he actually drove to Glashütte very early after the wall fell, just a couple of days later. And in January 1990, NOMOS was founded. |
|James Stacey|Right now, you have a number of retailers throughout the U.S., and this will be the first AD in Canada. So that's a big change. And were you already kind of in the mode of looking for placement in Vancouver or Toronto, or did the relationship kind of move forward specifically with Roldor? |
|Merlin Svertner| It's always a mixture of both things. We specifically, since we opened the office in New York, we've been very busy like setting up all the infrastructure to support kind of the North American market. But we were not at the point where I was like actively looking for Canada, although I always like Canada as a country and I looked always I think those cities are have a maybe as a European you always think Canada is a little bit closer sometimes and I was very happy to have a lot of feedback at the Baselworld from Canadians but also like from the press and we also see it from from blogs and from like posts and like you see that following from Canada. It's a little bit like what you said before that there's a lot of watch enthusiasts in Canada but maybe there's not that much of maybe interest from the brands to move into this country because it is very big. It's huge, yeah. And it's very spread out. And it's very different from one city to another. It's a pain with customs, but I think it's definitely worth it. And when I met Jason at Baselworld, it was such a, you know, it's like when you say gut feeling, but also it can You can find many ways to work with someone. It can be an economical partnership. It can be because it's strategically important. But at the end of the day, especially for us, when we are a family business, it has to work on the human level. It has to be some connection because you're going to end up working a lot of time together. So it'd rather better be a good fit from that side. |
|James Stacey|Yeah, for sure. No doubt. And as far as it being kind of an interesting fit for Rohldorf with Nomos, Jason, you have a considerable background in watchmaking, and then that's reflected, I think, in a lot of the brands that you've selected, not just with Nomos, but with other brands that take a lot of pride, not only in design, but in their actual, you know, kind of watchmaking prowess. |
|Jason Gallop|Yeah, absolutely. I mean, that definitely is shown with me taking on a partnership with Spiek Marin.  I have a relationship with Peter anyway from school, which really helped. Right, and you were trained at Woestep, correct? Yeah, that was the second part of the training. The first part was through the British Horological Institute in Hackney College in London. So there were only two places in the UK actually where you could do the training at that time, starting in 1985.  Yeah, that's where I met Peter and Stephen, and yeah, we went through the process together. We cut our teeth there. |
|James Stacey|And since then to now, 85 to 2016, you've been working in watchmaking the whole time? |
|Jason Gallop|No, not the whole time. Up until, I think it was 97 or so.  And I had an opportunity to get out of watchmaking into an entirely different field in high-tech. It was a local company that was working with optics and lasers, and they wanted somebody that had a sort of a micro-mechanical engineering background, and I was looking for something a bit different. |
|James Stacey|Sure. Yeah. And then what brought you back into the watchmaking world? Was it for retail or for service? |
|Jason Gallop|No.  Even though I left it for a job, I was always there. It's one of those things that you can't just walk away from. It stays with you. So all the way through, even when I was working for that company, I was still dabbling. Even down to the point of taking photographs for a brand, a local brand here in Vancouver. I did a number of catalogues for them.  And that was just for me to keep my hand in. |
|James Stacey|Always the enthusiast. Always the enthusiast. I know that feeling. And so Jason, when you're picking a brand for the store, you have some pretty interesting brands like Autodromo, Peters Peak Marin, kind of esoteric, enthusiast. You kind of have to know what you know to really get those brands. How do you pick a brand? How do you pick Nomos over some other brand? |
|Jason Gallop| It's a gut feeling. I mean, I'm looking at brands from a number of different perspectives. Number one, a brand has to be marketable. It has to be something that I believe in myself that I can sell because I wouldn't consider myself a salesperson. I'm really a promoter. So I look at that and I look at something I can really get behind. The other thing is that I look at it from the eyes of a watchmaker.  I look for the quality, I look for the passion that has gone into making a particular watch which runs through to the brand. So there's that as well. And I also look at the organization, the business side of me that I'm very interested in. |
|James Stacey| Why watches? It had to have been more than the family connection because, like you said, you had all sorts of options after school. It's still difficult. |
