
# The Grey NATO - 160 - Travel, Survival, And Making Wild TV With Megan Hine
Published on Thu, 09 Sep 2021 06:00:27 -0400



## Synopsis
The hosts discuss new watch releases, interview wilderness survivalist Megan Hine about her work on shows like Man vs. Wild, and share final notes including a photo essay from Afghanistan, a nature identification app called Seek, and a new Lego ocean exploration set.

## Links
- [episode page](https://thegreynato.substack.com/160meganhine)
- [episode MP3](https://www.buzzsprout.com/2049759/11310959-the-grey-nato-160-travel-survival-and-making-wild-tv-with-megan-hine.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of the Graynado. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 160 and we thank you for listening. |
|Jason Heaton|Hey Jason, how you doing? Good, good. Coming into my favorite month of the year. I just love September. |
|James Stacey|It's great. We can do the weather chat at the top because I know all of you want as much weather chat as possible, but it's been wild just to see how quickly the temperature thing changed around here. Yeah, same here.  Yeah. And it's even more exaggerated. I was at the cottage this weekend, you know, kind of Labor Day weekend, jumping off docks, doing bonfires, just trying to get the last kind of long weekend before the kids go to school and the whole kind of schedule changes. Yeah. And it is just a reminder of like it is just the best time of year to be at the cottage because it's not too hot. I like the heat a lot. I thought August was lovely.  but I also don't mind the opportunity to put a sweater on or really actually enjoy a bonfire rather than just sit near one. Yeah, it's been really, really good. I've been happy to have September here already. It's crazy how quickly the summer went by. I think everyone says that every year forever, but I'll just keep saying it. It just blew by without even that much to do. Normally, you and I would have been traveling all summer and Right. And, you know, had been in three or four countries by now and none of that for me at least. Yeah. Yeah. |
|Jason Heaton|It was a hot summer. It was, uh, but yeah, it's short. I mean, it's always short here and I'm sure where you are, but it's, uh, it's been good. You know, we, we enjoyed, uh, the garden kind of kept us sane this year. And speaking of that, you know, now we're, we're kind of coming into heavy duty harvest time. And, and, uh, I just, uh, I just made a batch of gazpacho. I don't know if you like gazpacho, but it's like a cold tomato based soup. Yeah, for sure. I'm down.  Um, I, uh, we've just had this bumper crop of tomatoes and then a few cucumbers and then chili peppers and radishes and a few other things that we've been growing. But the tomatoes we've had, you know, it's funny. I remember we put them in back in April or may. And some we planted from seed and some we got like, you know, small plants from garden shops and put them in and, you know, they kind of start out slowly and now like they're all taller than me, you know, they're like seven feet tall and just, just.  laden with tomatoes and every day, uh, at least a couple of weeks ago, you know, we'd go outside and every day you'd go out and there'd be new five, six new tomatoes to pick. And it's where, you know, as usual, you know, like you always underestimate what the output and then you're just, I don't want to say burdened, that's a negative word, but you know, you find yourself giving them away and, and just, I, I just like to eat them right off the vine, just sit in the backyard and eat them. But I, I made this, uh, I made this lovely batch of gazpacho using as much from the garden as I could. And it just, it turned out so well. I just snagged a recipe off of, uh, I think it was like a Gordon Ramsay recipe or something. And it was just super easy. Just got my hands in there and just squeezed out all the juice and then blended it and added some apple cider vinegar and some olive oil. And it was just fantastic. |
|James Stacey|So. That sounds great. Yeah. I haven't met many soups that I didn't like, so I, you know, I'd be down. I like a tomato soup, uh, hot or cold, I suppose. |
|Jason Heaton| No. And then, uh, and then, uh, you know, to kind of keep this theme going of, of kind of homemade stuff, you know, Ghoshani's been on the sourdough train for the past two years. And, and, uh, for her birthday back in June, I got her a, uh, a flour mill that you can attach to a KitchenAid mixer. You know, we have the, we have the pasta maker for, for the KitchenAid, but then they make a, uh, a flour mill attachment. So I got her that, and we finally got a chance to try it out, uh, yesterday or the day before.  and bought some wheat berries from, you know, local co-op and, and milled some, some flour and she made a loaf of sourdough out of it. And so we had that with the gazpacho. It just, it felt like a proper kind of end of summer celebration of, of kind of our, our hard work in the garden and just kind of, uh, it was, uh, it was a fun meal. So. |
|James Stacey|Speaking of, um, of things that were maybe a little bit harder, more work than I might've expected. I did, um, I did a kind of refresh of the speakers in the Jeep.  Um, so it's, it's a little bit of a fool's errand to expect to get like good quality out of a vehicle like the Jeep, like in terms of sound quality. Yeah. Cause it is just a box with it, like a lot of, you know, fiberglass and plastics and, uh, it, you know, never been acoustically treated in any way, but I have the original or I had the original speakers in the Jeep and they were fine for podcasts. And that's typically what I listened to talk radio, that sort of thing. But if you wanted to listen to music, they were like really bad, like remarkably bad. |
|[NoResponse]|Yeah. |
|James Stacey| certain frequencies were fine. And then some just sounded like they were underwater. So I went through the process of, you know, it has four, kind of six and a half or six and three quarter inch speakers. And then two tweeters up on the dash that are I think are supposed to be point seven, five of an inch. So I did a retrofit and brought them back to a less uncommon size and went with six and a halves for the four mid-range woofers. And those of you who listen will remember I removed the subwoofer entirely, so I don't have to worry about that in the Jeep anymore. But I did the four mid-range and then the tweeters, and now I can actually listen to music in the car, which is kind of a big change. Nice. But it was more work than expected because in a car, the speakers are usually in the door. Right. And they're in a sort of mounted frame. So it's not that... Generally speaking, it's not like a ton of work to remove speakers and replace them.  Especially if you're handy with some simple wiring and soldering iron and that sort of thing. Yeah. With the Jeep, everything's in its own sort of enclosure that has to be removed. So I had to take most of the dash apart to kind of slide out these boxes that the speakers are mounted into. Yeah. And then for the rear speakers or the speakers that are kind of over the rear seats, they're in this plastic bar that is kind of screwed into the roll cage. Oh, right. Right. I can picture that.  So you can take that off. And so some of it wasn't too hard. I had a good time doing it. It's been a while since I had an opportunity to pull the soldering gun out and do some of that kind of stuff. But it is nice. I can now effectively listen to music in the Jeep and I can listen to Under the Influence or whatever at an even higher volume at this point. But that was kind of my most recent project. The rest of it's just been work. It just feels like work has found like an entirely new pace since COVID for me. |
