
# The Grey NATO – 161 - Film Club Vol 6 With Tim Stacey
Published on Thu, 23 Sep 2021 06:00:16 -0400



## Synopsis
This episode of The Grey Nado features a discussion on film recommendations for the show's "Film Club." The hosts Jason Heaton and James Stacy are joined by James' brother Tim as a guest co-host. They each pick three movies they recommend, including films like Sorcerer, The Taking of Pelham One Two Three, Amores Perros, The Revenant, Dunkirk, The Lighthouse, The Thing, Hell or High Water, and Parasite. They provide commentary on the movies, discussing elements like the storytelling, acting performances, direction, and cinematography.

## Links
- [episode page](https://thegreynato.substack.com/p/filmclub6)
- [episode MP3](https://www.buzzsprout.com/2049759/11310957-the-grey-nato-161-film-club-vol-6-with-tim-stacey.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 161 and we thank you for listening. James, good to chat with you again. How's it going? We're back. We're back, right? Yeah, yeah. I'm upright and reasonably healthy. Yeah.  Apologies to everyone out there for missing out on last week. I had a bit of impromptu abdominal surgery to remove a unwanted organ. Goodness sakes. I'm on the mend. I was a bit, I don't want to say touch and go that it's a little overdramatic, but no, I kind of felt like I was hit by a bus at first. And now I'm just kind of feel like a light sort of stabbing victim at this point with a few little holes poked in my stomach. But yeah, doing well and good to be back. |
|James Stacy| Yeah. So for those of you who maybe didn't even bother downloading the one minute, um, kind of non, non episode we put in there yesterday or last week. Uh, yeah. So we, we took the week off due to, uh, some, um, hopefully short lived illness on Jason's part and, and he got some good medical coverage and we're of course, very thankful for that. And then we also asked for topic ideas for future shows and, uh, yeah, I'm blown away by you, by all of you.  Yeah. What an absolute treat it is to have 95 comments. Yeah. At this point, like that's a year of shows. It's two years of shows. Yeah. We're set. And some of your comments are six months of shows alone. We may never have to think of a topic again. From the bottom of my heart, I mean, I've always known that everybody listening is just, we have the best audience in the world, but goodness sakes, I asked for what I thought was, you know, a relatively, you know, kind of simple favor.  But I thought maybe we'd get 20, 15. Yeah. Yeah. We're going to break. We're going to be in three digits soon. It's very humbling. Thank you so much to everyone who, who offered up these ones. I promise, even if it doesn't look like we replied to all of them, uh, Jason and I are going to have like a whole meeting and sit down and kind of work through these. Uh, and yeah, I'm, I'm just absolutely thrilled. It was really nice of everyone to step up and, uh, and offer up a topic. And if you didn't get a topic in, but you've got one for a future show, hit the show notes for, um, It's called a week off and a request. It's currently at the top. By the time you listen to this, it'll be the second post in the feed. Uh, and, and, and give that, uh, give that a look if you'd like to add in, uh, either, uh, you know, you can, you can heart somebody else's reply to kind of give it a vote, uh, or you can throw in your own and, uh, people will heart yours if they like the topic. So I think that works, uh, works pretty well. One other note I'll mention, and I do mention it again later in the episode, but, um, my distinct apologies for the noise.  I have neighbors that are cutting stone just outside my house, like for a patio of some sort. And I can't time it. They do five minutes of cutting and then they stop for an hour or they do two hours of cutting and then they're done for the day. And it's making, I now record a lot of podcasts from home and it's making me absolutely crazy. So I'm going to do my best to remain calm, even though I can hear the cutting in the background. Luckily a carbon, the sort of saw they're using, I might be able to filter for that frequency.  I'll do my very best. If you end up hearing some soft sounds, you have my legit apology. I take this stuff seriously. It bugs me too. Um, and, and I just, there's only so much I can do. I can only drive, you know, a couple hours to my parents' place for some episodes. I can't do it every time I have to record, especially this week with, uh, multiple episodes as I'm, I'm taking, uh, the next week off for some vacation. So we're going to record two episodes this week. |
|Jason Heaton|Yeah.  Unfortunately, we have topics. We can actually build an editorial calendar. Wouldn't that be a novel thing to do based on everybody's feedback? |
|James Stacy|Just what I need, more calendars. I just had a story pushed more than a year. Oh my gosh. Wow. That's the scope that Hodinkee's operating at right now, where they looked at it and they said, well, I think we can probably look at this sometime in 2023. Unreal. And I said, you realize that means it just doesn't exist to me. Like if it's more than three weeks away. Yeah. |
|Unknown|Wow. |
|James Stacy| I'm just not operating at that high level. I barely know how to use Google Calendar. I'm not keeping up. Just let me write and talk into a microphone. You guys can deal with the timing. But yeah, it's been an interesting week since we took that week off. Obviously, you had your own struggles with health, but we're thrilled that you're on the mend. The big announcement is something that I teased on the show previously is this new overseas Everest line from Vacheron Constantin. And we could go for some time, and because we already have a huge episode segment that's already been recorded for this show, we're not going to spend 20 minutes talking about these watches. But I did want to attribute that, yes, these are the watches that I said are incredible and that I would like to sell everything I own for the dual time. I'll put a link in the show notes, but next week we're working on a show kind of more about these watches in general. So stay tuned for a week. You know, if you want to see what I think in at a more loose level, I think it's pretty obvious. I love these watches that dual time is probably my favorite watch of the year. Then feel free to check out my post on Hodinkee and then save up any, any other needs you have for this topic for a week. We're hoping to possibly have a certain guest on to talk about the the watches with us, but Jason, for a minute, what do you think of these? How do they hit you? |
|Jason Heaton|I think they're fantastic. I mean, I think like you said in your write-up about this, when high-end brands go sporty, it's pretty irresistible. And I think whether we're talking like a Royal Oak offshore diver or something like these overseas Everests, I think they're just amazing. And then to do it in titanium and then that... What gets me personally, the The detail that I love the most actually is the color and the texture of the dial. I just think it makes the watch. It's just perfect. |
|James Stacy|Yeah, it's blue-gray and it kind of has like a Teflon texture. |
|Unknown|Yeah. Yeah. Yeah. |
