
# The Grey NATO – 162 – New Watches And New Grails
Published on Thu, 30 Sep 2021 06:00:16 -0400



## Synopsis
In this episode of The Great NATO podcast, hosts Jason and James discuss several watch-related topics. They begin by talking about the newly released Vacheron Constantin Overseas Everest limited edition watches, expressing their admiration for the designs while lamenting their limited availability. The hosts then share details about their own recent watch acquisitions - James has purchased a Bremont S302 GMT dive watch, while Jason has acquired a white-dial Omega Seamaster Professional. They discuss the features, aesthetics, and wearing experiences of these watches in depth. The episode concludes with the hosts sharing their picks for interesting content, including a vintage expedition video crossing the Sahara by truck and a series about driving unusual classic cars.

## Links
- [episode page](https://thegreynato.substack.com/p/162newwatches)
- [episode MP3](https://www.buzzsprout.com/2049759/11310956-the-grey-nato-162-new-watches-and-new-grails.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James| Hello and welcome to another episode of The Great NATO. It's a loose discussion of travel, diving, driving gear, and most certainly watches. This is episode 162 and we thank you so much for listening. Hey Jason, how you doing? |
|Jason Heaton|I am doing just fine. It's a very cool morning. We slept with the windows open last night and man, it's like in the forties here. Atta boy. |
|James|Yeah, yeah.  40s. Yeah. We're not quite that low. We had some rain overnight, but it's definitely, you know, it's fall and it's kind of nice. I was at the cottage this weekend and it was right on that line where you actually get kind of cold getting in and out of the water. It's not cold to swim or anything. Like it's a little chilly your first jump in it's, but it was still nice. And then in the afternoon it was actually just on the warm side. So, I mean, September in, in this part of the world, it's pretty nice. It's my favorite month. |
|Jason Heaton|Yeah. I love it. And, uh, yeah, there you go. You know, we, we, um, went out for a bike ride the other day and I was like, you know, every year I, when fall rolls around and then it slips past, I always think, ah, I didn't get enough out of fall. Um, you know, years ago we used to do like an annual Labor Day weekend cabin trip and we do a lot of hiking and stuff and we haven't done that in several years and, or go camping or whatever. And I'm like, you know, it just slips by. Fall is the fastest season. And then late October comes, all the leaves are down and it's kind of ugly and it's cold. And, um, so I just thought to myself, you know, I can get the most out of fall.  close to home if I have to, you know, like if we don't even get out of town, like there's plenty of nice color changes. We, we, there's plenty of good hiking around here. We can just get out, just be outside as much as possible. I think that's kind of my, that's going to be my, uh, my motto this, this fall is just, just soak it up because, uh, it's, it's the best season. It's the best weather I love kind of, you know, I think we've talked about it shorts and a sweater kind of thing. I love that combination. |
|James|And so, Yeah, I've been out on the bike a fair bit lately. Enough that I'm now learning on this bike what needs to be fixed. And I need to make a few modifications. You know, I'm used to a certain sort of setup on my indoor bike. And then I've got this great outdoor bike that my father found for me. And it's really nice. It's a better bike than I've ever owned in any condition. So it's probably the first one that ever really fits my kind of weird frame. I've got a lot of leg. So it's a huge bike.  But it needs new tires and it needs an adjustment to the way that the derailleurs are working. And the, the handlebars are like, you know, those really wide ones. |
|Unknown|Yeah. |
|James|It's almost like a straight bar across, but the, the grips are like significantly, uh, outside of the, the like range of motion of my, where my hands would fall naturally with my, where my shoulders are. Right. It must be for a lot of control on trails. These like longer, cause it has a soft front shock system of some sort.  Yeah. So I'm going to either go to a horn or like a drop bar or shorten these bars by a couple inches. And I think that'll bring my comfort level up quite a bit. |
|Jason Heaton|Yeah. You could just hacksaw them off. Yeah. |
|James|Yeah. Yeah. That's, I mean, that's exactly what my dad said. That's like, well, I mean, if you don't feel precious about them, you know, peel all the stuff off and make a couple of cuts and slide it all back on. |
|Jason Heaton|They'll be shorter. Well, and when they're really wide like that, it's like using a tiller on a boat, you know, it's like these big motions.  you know, from with your arms to steer. Yeah. Yeah. Well, I guess the season's getting short now too. You probably only have another month of month and a half of riding at best. Yeah. |
|James|Yeah. And so I'm, I'm on vacation next week. If you're listening to this episode, when this episode drops, I will be away from home for the first time in some time going to, uh, uh, on, on a little bit of a trip. And I'm super excited to have some time off and to actually do like TGN will be covered. And, uh, and I'm not going to have, um, I'm not gonna be doing emails or any of that kind of stuff. So that'd be pretty good, but I'll probably send the bike in for service during that time. So then when I come back, I might have, ah, who knows? I mean, if, if, uh, global warming really leans on this fall, you know, I might, I might be able to bike into November, November. Yeah. Um, you know, we were just looking at photos earlier this week. And we made it at the cottage until pretty, pretty almost December. Oh, wow. Before it's too cold to kind of keep the building warm enough to be comfortable when sleeping, that sort of thing. So yeah, yeah, yeah. But yeah, should be should be good. I too am a big fan of fall. It's a it's a you know, a time time of year that makes me think a lot about like, kind of spending a little bit more time with with family and and and yeah, nice walks. And I, you know, always look forward to the leaves turning. I'm sure that's as basic as fall gets. But I'm okay with that. |
|Jason Heaton|And the, uh, the day after this episode drops, uh, Ghoshani and I will be headed up North, which will be a proper kind of fall color getaway, but it's for that. Uh, I don't know if you remember back in the spring, I had signed up for this off-road skills course. Um, Oh, of course. |
|James|Yeah. Driving class. |
|Jason Heaton|You ended up missing it. Yeah, we, we had to postpone it. I don't even remember why, but, um, it's, uh, it's now the first weekend in October and it's up on the, What's called the iron range here in Minnesota. So it's where they were doing all the iron mining. And so it's a lot of craggy rocks and old mine pits and forest. It's going to be so fun. So the color should be nice up there. And I, I actually think it'll be much better for driving. I think cars do better when the air is a little colder. It's, it'll definitely be more comfortable than kind of, you know, kind of a sweaty, you know, I mean, it's low speed driving and there shouldn't be any bugs left. And, uh, yeah, I'm looking forward to it. I I've been, you know, I had gotten the defender already for the course back in May, you know, I got all the kind of equipment that they, the recovery gear that they recommended for the course. And, um, you know, I'll just go through and check all the fluids and make sure everything's up to snuff, but yeah, it should be, uh, should be a lot of fun. I'm, I'm looking forward to it. It seems a little daunting. I hope I don't break anything, you know, important on the truck so we can get back home. But, um, I think it'd be, I think it'd be great. |
|James|Yeah. Well, I mean, you'll be out there with other, like, uh, four by four enthusiasts. They're a type that likes to be saving each other from mud and other inclement conditions. I think that's going to be super fun. And I would say that not only is it kind of a nicer time to be out driving in an older vehicle, but it's going to be better for photography too. You'll get a much wider window of, you know, highlight angle and colors, and especially like a white defender kind of snaking its way through a leafy, you know, uh, you know, unassumed road. That's, that's going to be a good look. Yeah. I originally back when you're looking at this, you were talking about taking the drone and shooting a little bit of video of the experience and that sort of thing for Instagram. And yeah, I think if you end up doing that, it's probably, this is probably a better time of year to do it. It'll be a little bit more compressed in terms of a shooting cycle. You get better light. |
|Jason Heaton|Yeah. Yeah. I think so too. I can't wait. So I I've been driving the, uh, the old truck, the old series three lately, and I, Yesterday I was out and it's, it's running so well. And I had this, uh, this crept into my mind, like maybe I should take this one instead. This could do pretty well, the short wheelbase and whatever, but I think getting up there, it's a good four, four to five hour drive. And I think that would pretty much kill me, you know, just. |
|James| And I think it's like the, I think it's a little bit, I'm sure both of them are more than capable of doing whatever they have planned. Yeah. But I think there is something kind of extra cool about doing it in this, in the, the one that you plan to do all the adventuring in it, it'll build some confidence and, and build your relationship with the vehicle mechanically and otherwise. Yeah. Yeah. I think that'd be great for sure. Yeah. You know, I keep saying this and I was saying to you before we started recording that it's, it's getting a little embarrassing. I don't have anything to chit chat about because all I do, all I've done is work for, for the last several weeks.  You know, I ride my bike a little bit. Or the one after that. 164, I should have some experiences to chit chat about. But no, I mean, the big news around the Stacey household here is I got a new microphone arm. So if you hear a little bit less squeaking or maybe my general on mic talent, you know, my ability to actually keep my face pointing towards the mic will be a little bit better.  Yeah, just upgrading little pieces of kit. The one I had was one of those $10 ones from Amazon. |
|Jason Heaton|It's probably the same one I have, this Frameworks thing that sits on a heavy base on your desk? |
