
# The Grey NATO - 163 - Cory Richards And The Vacheron Constantin Overseas Everest
Published on Fri, 01 Oct 2021 11:21:35 -0400



## Synopsis
This episode of the Graynado podcast features an interview with Corey Richards, a National Geographic photographer, alpinist, and Vacheron Constantin ambassador. Corey discusses his involvement in creating the new Overseas Everest watch collection and reflects on his personal journey over the past few years. He talks about working on a mental health memoir, shifting his focus from mountaineering to writing and filmmaking, and learning to prioritize relationships and personal growth. Corey also shares insights on the nature of time, trust, and his role as a brand ambassador for Vacheron Constantin. The conversation touches on themes of creativity, self-discovery, and the evolving perspectives that come with age and experience.

## Links
- [episode page](https://thegreynato.substack.com/p/163coryrichards2)
- [episode MP3](https://www.buzzsprout.com/2049759/11310955-the-grey-nato-163-cory-richards-and-the-vacheron-constantin-overseas-everest.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to a surprise episode of the Graynado. It's a loose discussion of travel, adventure, diving, driving gear, and most certainly watches. And today it's my huge pleasure to present a special episode featuring a chat with none other than TGN alum, Corey Richards. For those of you who might've missed episode 85, Corey is an amazingly talented photographer with National Geographic, as well as being an alpinist, athlete, speaker, mental health advocate and an ambassador with Vacheron Constantin, where he helped create a couple of the coolest watches announced this year, their new overseas Everest collection. A big thanks to Vacheron Constantin for making this chat possible and to Corey for being such a good sport and coming on the show for a second time. Corey, welcome back to the show. It's a treat to have you on again. How are you doing? |
|Corey Richards| I'm great, man. Thanks for having me back. I think we were in Brooklyn last time. |
|Jason Heaton|Yeah. And are you in Manhattan now? |
|Corey Richards|Now I'm in Manhattan. I'm at the new Vacheron boutique, the flagship of the Americas. |
|Jason Heaton|With the newly opened exhibit as well. |
|Corey Richards|Yeah. So I'm surrounded by, oddly enough, I'm surrounded by huge images that I've taken through my career. And honestly, I've never, ever seen my pictures this big.  So it's kind of a I mean, it's odd that after 20 years of taking 22 years of being a professional photographer, I'm seeing images this this big for the first time. |
|Jason Heaton|Yeah, that's fantastic. Really, really cool. And so that's part of a new kind of presentation at the boutique in in Manhattan. We'll put the show notes. We'll put the details to that in the show notes. If you're in and around Manhattan, you should definitely swing by. I saw the images in a press release that went out yesterday. The space looks incredible. The photos, like you said, are just massive.  I remember there were some pretty big ones where we were in Brooklyn for the last time we recorded, which was episode 85. But it's super fun to see anything that big, especially your work, which has a scale to it that I always appreciate. |
|Corey Richards|Yeah. I guess for me, it takes it to another level because you get to dive into the details.  all of a sudden an image becomes more of an experience than simply a reminder or a placeholder of time and history. And, and so, um, it's been interesting too, because as, as we've talked about, I mean, the, the title of the show is the spaces between, which really is about, um, what we, what we learn and discover when we explore, which is that so much of life is, is indefinable. We try to put, you know, boxes around things and definitions around all of our life. And right.  Uh, we try to live in black and white. And what we discover is that most of, most of the spaces between while all of them are occupied by gray. And at the same time, what's so kind of cool about this is that as I've talked over the concept is that in essence, you know, photography is really a means of time travel, right? Like it, it takes one 2000th of a second to, to take a photograph, but then you get to revisit that for.  an infinite amount of time. I mean, until humans no longer exist and the files go away, but I mean, it's just really fascinating. |
|Jason Heaton|Yeah, no, I absolutely agree. And I think there's a, there's a good photography undercurrent that I'd like to get to, uh, but we should probably start with why we're lucky enough to have you on the show again, which is some new, really, really cool watches. These are watches I'm super excited about. And the response in, in kind of among our audience has been huge, you know, a sporty titanium watch now, based on a great prototype now made in a limited run and a very popular thing. But what do you think of the new pieces? Where do you, where do you, I assume you had some input on them, so you must probably like them quite a bit. |
|Corey Richards|I love them. I love the, I mean, there's so much to love about these watches. And you know, when I was on Everest in 2019, I wore the dual time model. And right now I'm wearing the chronograph, which you know, I love them both. And specifically, one of the things that I love is that, you know, it is this elegance that's meant to be worn. I mean, I'm a person who has always believed that, uh, you can have both, you can have refinement, you can have craftsmanship, you can have, um, elegance and that can be infused with and, uh, worn alongside utility. And so for me, this is the greatest expression of sort of the highest level of, of time pieces, right? Because it's not something that you just, take out for a special occasion and then have to put away in a box. It's something that you wear daily. And I mean, to me, that's just very exciting. I think it's a step forward in a lot of ways. |
|Jason Heaton|And now that you've done the prototype and you took that out into one of the toughest places in the world and tried to do something unbelievably difficult and really persevered through a lot of challenges, now you've seen the two new models. Do you have a favorite between the Chronograph and the Dual Time?  now that the whole kind of ethos has had a couple years to settle in? |
