
# The Grey NATO - 164 - September Q And A
Published on Thu, 07 Oct 2021 06:00:37 -0400



## Synopsis
This episode of The Graynado podcast features hosts Jason Heaton and James Stacey answering listener questions on a variety of topics related to watches, travel, and outdoor activities. They discuss topics including boating, modifying luxury watches, neo-classic cars from the 1990s-2000s, GMT watch functionality, and scuba diving with asthma. The hosts provide their perspectives and experiences on these subjects, offering advice and insights to listeners. They also touch on broader themes like watch branding and marketing. The casual, conversational format allows the hosts to explore different angles on each question while sharing their expertise.

## Links
- [episode page](https://thegreynato.substack.com/p/164qanda)
- [episode MP3](https://www.buzzsprout.com/2049759/11310954-the-grey-nato-164-september-q-and-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Graynado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 164 and we thank you for listening. James, September is a distant memory and it's time for our Q&A. You ready for it? |
|James Stacey|Yeah, yeah. No, I think this is great. We got, uh, you know, those who listened to the last one know that we, we pretty much got through all the questions that we had.  We got a big stack, way more than we're going to get to in this episode, but I'm pretty pumped. There's no reason to belabor it when it comes to the Q&A episodes. It's just questions and just answers. So how about we jump right in with this first one from Matt about boating? Yes, let's do it. |
|Matt|Hey, James and Jason. Matt here from beautiful Oshawa, Ontario. Big fan of the show, and I've been listening for the past few years. I have a two part question for you. The first part being if either of you are into boating, I do remember some sailboat stories in past episodes. I'm just wondering if you guys do anything else on a regular basis. I do a bit of canoeing and portage trips, and I've recently gotten into kayaking, and I'm planning on doing a beginner lesson for whitewater kayaking next summer. And that leads me to my second question, as I'll be taking my 42mm Blue Captain Cook on that trip. This is the watch that I want to hand down to my son as it shares our namesake.  Do either of you have any plans to hand down any of your watches, either to friends or family? Anyways, thanks for the time and keep doing what you're doing. |
|James Stacey|All right, Matt, thanks so much for that question. Ahoy from a fellow Ontario man. And also, I have lots of family in Oshawa. It's where my dad's family was based for most of his life. So a good town and a pleasure to hear from you. Jason, where do you land on the first half of this, the boating and your interest in boating? |
|Jason Heaton| Yeah, I've got a strong interest in boating. I was, uh, I was actually just sailing last week with a friend on a local Lake and I, I adore sailing. Um, I've had some. The good fortune of going on a couple of press trips for the Volvo ocean race and America's cup and been out on some of those boats and, um, and then kind of some more leisure sailing. And, and, you know, I think what it comes down to is I think I'm better off knowing somebody with a boat than owning one as much as I'd love to, you know, my dream would be to live on a sailboat and a Marina and kind of just go cruising.  you know, into retirement, but you know, let's face it, it's expensive and there's a lot of knowledge and, um, kind of apprenticing that needs to happen before that would, would take place. So I think I'll, I'll stick to kind of just crewing for friends. And then, you know, in terms of, of my own boat, um, cause Shani and I have a pair of kayaks that we take out on the local lakes and the Creek, uh, try to get out a few times a year. And, um, I don't know. I love being on water. I think, uh, the perspective of, Of looking back at land from the middle of a lake is, is like nothing else. And just that kind of that feeling of being in the water is, is really cool. So, uh, yeah. What about you? You've got a kayak at the lake, right? |
|James Stacey|I do. Yeah. We have like, I think it's a 14 foot, a two man. Um, you know, you can use it in pretty, it's, it's a, it's a good one. I think it's heavy at least, uh, you know, I don't know a ton about kayaks. I've been in it a couple of times, haven't been in it this year. Uh, which is probably something I should remedy. This is a nice time of year to be out on the kayak, uh, just cause the sun feels a little bit less intense.  Yeah. Um, besides that, I mean, ever since I was as young as I could be, I like driving things a lot as I'm sure many of you, but like it could be tractors, cars, boats, whatever, whatever, somebody will let me drive, especially if it's new or I haven't done it before. Um, and, and so as a kid, I definitely went out and got my boaters license, which is something you need here in Ontario. And I still have that and, you know, kind of cut my teeth on ski boats and fishing boats and things like that. And while I agree with you, Jason, kind of, as I do, um, this is how I feel about dogs as well as I like I like knowing somebody with a great dog that I don't have to be the caretaker for. Same thing goes with boats, whether it be a ski boat or a sailboat. I am lucky enough that my cousin is a very talented sailor and has offered to teach us and we just haven't found some time, but I'm hoping it'll work out this fall, get on Lake Ontario. I could definitely see like a laser or a small catamaran or like a legitimately small catamaran in my future. I love the idea of sailing and I'm excited to cut my teeth on a sail at some point in the future. |
|Unknown|Yeah. |
|James Stacey| Cool. And what about, uh, passing, passing, you know, watches on to offspring or otherwise? |
|Jason Heaton|Yeah. Um, the, the first option is, is, is not an option for me. I don't have any offspring, at least that I know of. Um, but I am taking offers for, uh, for adoptees, uh, cause I do have this burgeoning collection of watches and, uh, not quite sure what's going to happen with them. I, I suspect what I'll do is just kind of slowly sell them off as some kind of a really poor retirement strategy, but no, I don't have anybody to pass them on to. So I have, uh, you know, nieces and nephews, um, that I don't think are really into watches. So I'm not sure that, uh, that that's going to happen, but, uh, but, uh, not, not your case. You have, you have a couple of kids that, uh, that hopefully will inherit some of your cool pieces. |
