
# The Grey NATO – 165 – Rock Crawlin' In The Iron Range
Published on Thu, 14 Oct 2021 06:00:47 -0400



## Synopsis
The hosts discuss various topics including the Netflix series Squid Game, the new James Bond film No Time to Die, and Jason's experience taking an off-road driving course with his Land Rover Defender through a company called Iron Range Off-Road. They also recommend checking out the Instagram account J.E. Brickworks which features custom Lego car models, and a video called "Devil's Teeth" about diving with great white sharks near the Farallon Islands off California.

## Links
- [episode page](https://thegreynato.substack.com/p/165offroading)
- [episode MP3](https://www.buzzsprout.com/2049759/11310953-the-grey-nato-165-rock-crawlin-in-the-iron-range.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 165 and we thank you for listening. James, boy it's been a while. We've been both from different places gone and offline and all that for a couple of weeks. We pre-recorded those few episodes which people probably Hopefully enjoyed, but now we're quote unquote live again together. |
|James|Yeah. We had planned out all of these episodes so that I would have this, uh, so that I would have this sort of week long vacation, like a chance to essentially, but because of the timing of the vacation, it was kind of like two episodes. Yeah. Um, and then we had the, the Corey Richards offer from Vacheron, which is very sweet and we're super thankful, but that meant a third episode. So I ended up making four episodes in a week, which is a lift, especially with you know, other work and everything. But I hope that everybody dug it. It was really nice to have kind of some time to not really do that much, you know, flew out to BC to visit my brother. He lives in Squamish. We just kind of laid low, walked in the mountains, watched some TV.  It was a, it was a good vacation. Um, I, squid game came out while I was in there. Jason, I don't know if you got on the squid game train or not. You got to tell me about that. |
|Jason Heaton|I mean, I, well, I guess I'm probably one of four people that don't know what it's about, but, uh, I keep seeing hints about it. |
|James|Yeah. I'm not sure. Like, I guess, I guess we can, I guess we can chat about it because if you haven't seen it, I figured out the level of saturation is pretty high. It's a Korean, I think it's an eight part or seven part, uh, TV show drama in which, um, people who are in like huge amounts of debt are contacted to take part in a game. Oh, a little over 450 people are brought to an island. Huh. And and they they have to survive six games. |
|Unknown|Huh. |
|James|And the games exist in a manner where if you fail to do this task and they're all based on like childhood playground games from Korea. Yeah. And if you fail any of the tasks, you die.  or you're killed. And each person has a dollar value. Like everybody has an equal dollar value for playing. Yeah. And when they died, their amount is given to the big pot essentially. And, and it's a, it's a, yeah, it's a really fantastic sort of in the same vein as if you ever saw battle Royale, uh, which was a pretty fantastic, but this has more of a point and more of a structure. And I, I'm, I was really impressed by it, but obviously everybody was, I think at one point it was like the top, Netflix show in 90 countries or something like that. So, uh, if you haven't seen squid game, I highly recommend it as long as you're not averse to violence and, and, uh, you know, a pretty sort of depressing consideration of life. Yeah. Not, not through the whole film through the whole series, but through definitely parts of it are pretty sad and kind of difficult to manage. But I mean, for me, I, it felt like, uh, the same sort of buzz I got from watching, you know, parasite, it's not as good as parasite by any stretch.  But it is really good. It's well acted, it's well written. The art direction and the cinematography feels very kind of strange and interesting, especially the parts that are within the gameplay. |
|Unknown|Yeah. |
|James|And then the character study, it takes me back to sort of my sociological years in university, you know, looking into, you know, the prison studies and the guard versus prison mentality and all that kind of stuff. And I really enjoyed it. You know, I think it was a little bit too much for Some of the people in our party found it a little too intense, wanted something a little lighter. Yeah, yeah. But I ate it up and really enjoyed it. Watched, finished it once I got home, just the day I got home. And yeah, it was good. It was nice to have something kind of exciting to watch. I feel like the last time we all did this was Tiger King. And I'll say this has a lot more merit than Tiger King. I think that's kind of where I would leave it. |
|Jason Heaton|I'm not sure. I'll check that. It sounds intriguing. I think I'd have to be in the right frame of mind to to watch it. Speaking of death-defying Netflix backstabbing competitiveness, I launched into the third season of Drive to Survive last night, the Formula One series. We talked at length about it earlier, but Ghoshani was working late uh, doing some, uh, for a day job stuff. So I had some time to kill and I was like, Oh, I had never started the third season. I was, I binged the first two while I was convalescing after my surgery. And right. So I started the third season, which, which is all about the, the 2020 formula one season, which, you know, racing aside, it was so kind of weird to see, you know, the first couple of episodes were at the very beginning of the Corona virus, uh, pandemic and kind of how they were all coming to terms with that. And it was, I kind of made my skin crawl to like, see the, those early days and kind of gave me this weird sense of dread remembering how, you know, we were all kind of wrapping our heads around, you know, how to deal with it. |
