
# The Grey NATO – 166 – Inside Bremont's Big News
Published on Thu, 21 Oct 2021 06:00:12 -0400



## Synopsis
This episode features an in-depth interview with Nick English (co-founder) and Chris Reynolds (managing director) from the watch brand Bremont. They discuss Bremont's new ENG300 movement which is being manufactured at their facility in England. The movement incorporates an 80% redesign from the base K1 movement from a Swiss company. They also discuss the new limited edition Longitude watch which is the first to house the ENG300 movement. The Longitude has design elements inspired by the history of marine chronometers and the quest to determine longitude at sea. Nick and Chris share details about the extensive manufacturing process and testing (including a new chronometry standard) for the ENG300 at Bremont's English facilities.

## Links
- [episode page](https://thegreynato.substack.com/p/166bremont)
- [episode MP3](https://www.buzzsprout.com/2049759/11310952-the-grey-nato-166-inside-bremont-s-big-news.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of the Grey Nado, loose discussion of travel, diving, driving, gear, and most certainly watches this episode 166. And we thank you for listening. Jason, how you doing? |
|Jason Heaton|I'm doing great. Yeah, it's, uh, I'm still wearing shorts, which is kind of crazy here. Really warm October, but it's, uh, bottom's going to drop out here tomorrow. I think we're, uh, we're about to feel the, the the true essence of fall, so to speak. But I'm holding on to it as long as I can. |
|James Stacey|Yeah, we haven't had any of the like kind of weird. Well, not weird. We haven't had any of the usual like cool days here. Yeah, they're cooler. You know, we're down into the teens as far as, you know, Celsius goes. But I think we've only had a couple where it kind of dipped to where I would kind of expect to see it mid to late October. But I'm sure I'm sure that our are just desserts are on their way as far as winter and cool weather is concerned. But this should be an interesting episode. We've got some huge news from Bremont in part of both a new limited edition model and a new movement. To tell all of that, we didn't want to sit here and just ramble off specs and such. So we were fortunate enough to be able to get a couple of folks from Bremont on the show in the next little while, including Nick Linglish, one of the co-founders and Chris Reynolds, their managing director. So it should be a pretty interesting show. We've got lots of questions, obviously. That's how these things go. Jason, before we get into that, what have you been up to other than wear shorts in October? |
|Jason Heaton|Well, we have built a couple of fires. I had a nice fire outside last week and then we've been building fires indoors in the evening. And I just love you know, the, the change of seasons when it's, uh, it's time to sit by the fire and, and been kind of revisiting the whiskey collection. Um, maybe a little too much lately, but, uh, you know, that's always fun. And, uh, yeah, I don't know. I mean, it's, uh, there's frost in the forecast finally. So I've got to get that. Suddenly our tomato plants decided to put out, you know, dozens of, of tomatoes and it's like, Oh man, you know, I either have to cover them up or, or pluck them and get them inside to ripen indoors. And then, and so that's, uh, I think that's going to be happening here today or tomorrow. So if anyone's got any tips on ripening tomatoes off the vine, do let me know. I've certainly Googled it plenty of times, but if anyone's got any secret tips, I've heard if you put a ripening banana in the, in a box or a bag with them, it'll help cause it gives off the ethylene that they need or something. So we'll, we'll see. But I guess in more interesting news to people that might be following me on Instagram, they may have noticed that my new beloved, Arctic Bond Seamaster Pro. I've been, you know, playing a lot with different straps and bands and things for it. And it works so well on so many different choices. But someone had recommended this, you know, Forstner makes a bracelet for it as well as Uncle Seiko does as well. And I ordered one of the Uncle Seiko bracelets for it because, you know, I don't care for the stock bracelet that comes on the Seamaster Pro. I never have.  I got it with the rubber strap, but I don't know, a bracelet on that watch just, I kind of wanted one. And so I ordered the one from Uncle Seiko. And then as I was unwrapping it and getting ready to put it on the watch, I thought, you know, I wonder if these solid end links would work with my old Speedmaster 1171 bracelet that I tend to not wear on the Speedmaster anyway, because I've got a different band on it. And sure enough, it fits perfectly. And so I don't know, the watch just sings. It just, it made a huge difference.  putting it on an old school, you know, three link Omega bracelet with, with the Omega stamped a clasp. And, um, I don't know. I just think it looks fantastic. I think it's going to stay that way for quite a while. And I had posted a few photos on Instagram and people seem to take some interest. So I thought I'd mentioned that, but I, I do think that, you know, if you don't have an old Omega bracelet, certainly the, uh, the Forstner or the uncle Seiko varieties are probably perfectly fine and probably, you know, sturdier at this point than a vintage Omega bracelet, but I just kind of liked the idea of putting it on one. |
|James Stacey|Yeah. No, I think the combo looks killer. I saw that on your, on your Instagram and it's a nice little kind of hodgepodge of old and new and, and sort of, it encapsulates a lot of the Omega world on one wrist there. |
|Jason Heaton|Yeah. It does seem a little strange to have a, you know, ceramic dial and bezel and anti-magnetic blah, blah, blah on, on this rattly old, you know, pressed steel clasp bracelet. Um, But, uh, it works and it, and it wears nicely. I keep it a little bit on the snug side because I think that kind of flimsier bracelet with a heavier watch head would maybe, uh, tend to have the watch head flop around a little bit, but I've got it set. So it's, uh, it's wearing pretty well. So that's been, that's been a lot of fun. |
|James Stacey|I had my own weird experience with a bracelet recently, and I know some of you have read the story I posted to Houdinki about, um, my Vostok Amphibia, uh, this hilarious, you know, $70 Russian dive watch.  that I got for a story. I bought it for a story. And I think that's my new low bar for a bracelet. The watch is fine for a $70 watch. It genuinely is. I mean, it's 200 meters water resistant and has some eccentricities, but seems to be made reasonably well. There isn't any nice finishing on it. It's a $70 watch. I don't really know what to say beyond that. It's a simple thing.  that works nicely and seems very reliable and robust, but the, uh, the bracelet is beyond bad. Uh, it, it makes, it makes the, you know, the Jubilee that comes with a, or at one point could come with an SKX, you know, double Oh seven or double Oh nine really makes it seem like a, like an oyster. It's hard to even encapsulate. Like I almost broke the bracelet full stop, just removing one of the pins. Oh, wow. Wow. Um, because it's all a series of like, carefully shod together, rolled metal wrapped around various things. And as soon as you put too much force on it, the metal just bends. So if you can imagine, if you can imagine a link has sort of like an H like shape, I was actually like with the amount of force that a pair of pliers would use to pull a pin from the link. So like not over torquing anything or going too tight or whatever. It's actually the oblique. I was pulling something free. Yeah. I bent one of the arms of that eight, but I bent it laterally. So like in a way that's not very easy to bend back, I had to use a vice. Oh yeah. Yeah. And, um, and then even then, until you put the pin back in place, everything was kind of sliding around in the link. Cause there's nothing solid to it. Yeah. And don't get me wrong. I'd like, I'm, I'm in many ways a fan of cheap bracelets. It's, I've only ever owned maybe one or two decent bracelets and it's not like I like them that much more than the cheap stuff. But when you, when like sizing the bracelet can be destructive, I think that might be the point where, you know, maybe if you decide to go the Vostok route, just skip the bracelet, buy it on a strap of some sort. It's definitely not a value add. And I would say in some ways it's actually like, it's kind of a pain to size it and to figure out how to size it. And then once it's sized, it doesn't feel good or wear well. But other than that, I mean, the watch itself is kind of fun. Yeah.  Not anything that's punching all that much above its weight class, but certainly a charming watch for, uh, for $70 and a fun thing. And I think something I probably should have owned before now. |
|Jason Heaton|Well, I think, I think it's, it's just fun and a bit novel to have a watch, you know, from, from Russia. I mean, I think, you know, I've been eyeing, I follow, um, uh, seagull 1963 on, on Instagram and I'm like, you know, one of these days I think I'm going to pull the trigger and get one of those hand wound, um, seagull chronographs. I mean, I've heard, stories, you know, they're bad movements, they don't last long, et cetera. But I mean, as you're experiencing with the Vostok, I mean, it's like, that's not why you're not buying this to be an heirloom or something that you're going to travel the world with. |
|James Stacey|It's a laugh. It's fun. Yeah. It'll make a great thing to pass on to someone who's interested in watching. Yeah. Right. |
