
# The Grey NATO – 167 – October Q&A
Published on Thu, 28 Oct 2021 06:00:34 -0400



## Synopsis
Jason Heaton and James Stacey answer a variety of questions from listeners on topics like watches, diving, travel, and adventure experiences. The questions cover their thoughts on vintage Jaguar cars, changing watch straps, regrets on watches they didn't buy, the definition of "boring" watches, dual crown dive watches, anniversary watch recommendations, and any scary or dangerous situations they've encountered while diving or adventuring.

## Links
- [episode page](https://thegreynato.substack.com/p/167qanda)
- [episode MP3](https://www.buzzsprout.com/2049759/11310951-the-grey-nato-167-october-q-a.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|Jason Heaton| Hello and welcome to another episode of The Grey Nado, a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 167, and we thank you for listening. James, it's the end of October already, and here we are with another Q&A episode. |
|James Stacey|Man, it came awfully quick. Yeah, with these episodes, we don't typically do any of the other preamble. You don't get to hear about what the weather is here. You're going to have to look in your app or maybe guess.  It's basically the same as it has been. So yeah, we don't do the weather. We don't do the risk check of the rest. We just get to the questions. So what do you say we get to it? |
|Jason Heaton|Let's do it. Greg's got a cool question about an old Jaguar. |
|Greg|Oh, yeah. Hi, James and Jason. Greg here from Toronto. I've got a three part question for you, but hopefully it won't take too long to answer. A little background. I'm the owner of a 92 Jag XJS coupe.  in British Racing Green, which has been passed down through my family. So it's been with my family for a while. I know it's a divisive car, the XJS. So I, in general, just like to hear your thoughts on that car. Don't worry, it's not going to change my feelings on it. So feel free to be honest. Second, The one thing I don't like about the car, or not that I don't like, but that that's, I've always wondered about the car is what the V12 would sound like without the, the kind of really quiet, quiet exhaust that Jag put on this car. Um, and I've thought about changing the exhaust on it, but I'm always really hesitant because I don't know if it'll change the, um, the character, the original character of the car. Uh, or, or what it was intended to be. And I mean, I understand it's already a Jag, but is that going to make it more of a, that guy kind of kind of thing. And then third coupe versus coupe. Where do you come down on that term? To me, it's a coupe. Um, but if you're a fan of top gear or anything like that, then you, you hear coupe quite a bit. Um, so, so where do you guys fall down on that, on that question, coupe or coupe? Anyways, Look forward to hearing your answers and keep up the good work on the show. |
|James Stacey|All right, Greg, thanks very much for that question. Jason, we're talking about a luxury British roadster or coupe from the early 90s. What do you think of the XJS? |
|Jason Heaton|Oh, man. You know, Greg, I'm just smitten. You know, I've often said that the E-Type is my my dream Jag, actually my dream car. But if I couldn't have that, this is a, this is a close second and much more affordable and actually attainable. And I think, um, you know, you're, you're preaching to the choir. I absolutely adore the XJS and the roadsters are nicer that the convertibles, but the, uh, the coop and James and I are both saying coop, which will hint at our later later answer. But, um, I don't know the, the, the, the XJS with those, um, those like flying buttresses they put, you know, off the back window, the kind of, I mean, what a great design feature. And then to get it with the V12, I just, I mean, you can't go wrong. I think it's, it's the coolest modern, uh, if, if the nineties are still considered modern, uh, jag in my mind, I say absolutely, absolutely run with it. Um, you know, my only thing is I know I've seen like a race version that was made with a stick shift and a little more Spartan interior. And I think that would be really cool. And I don't know if you can retrofit stuff like that, but, uh, it's a little too posh for my taste, but I think I could get used to it just for the beauty of it.  So James, how do you like these cars? |
|James Stacey|I think these are great. You know, I think this is from a really special time in that brands, you know, they have a really long history. You've got a thing for E types. Um, I'm, I'm deeply a C or a D man. Uh, I really liked those early, you know, pseudo sort of the ones that look like a death trap. I'm going to say that they are, but that I like the ones that kind of look like it. I've, I've, I got a chance to sit in the, um, Lamar winning top prize, 1953 C type, uh, a few years back. And it's, uh, they're just like, And then a D, like anything cooler than XKSS, like that era. And then all of that, like spoke to these cars as well. This is before you had a lot of influence from Ford and then, um, you know, the JLR, uh, connection. Uh, I think these are, I think these are killer. I mean, these are, these are big like continent crushing V12, uh, cars and, and yeah, I think it'd probably be more fun on a half hour drive with a stick.  and a little bit less sound deadening and less wood and maybe a few less cows used on the interior. Yeah. But really like this is, this is for, you know, getting up on getting up on a Friday and driving to Monaco or, uh, or, or to, to France for some, for, for a case of wine or something like that. Like these are, I think these look really good. I think they've aged really well, despite having kind of one of the weirder headlight designs of any Jaguar too, I think. |
|Jason Heaton|Yeah, for sure. Like a, four headlamps for a while and then I think went to that kind of TV set almost looking thing. |
|James Stacey|Yeah, exactly. So I think by 92 that we're looking at the larger, the ones that look more like eyes in many ways. But I like these, I mean, they're like a long wheelbase, they're kind of old world luxury, which doesn't really exist anymore, right? Like now luxury would mean a lot of tech, whereas I think the idea with these cars is they were quiet and they were fast, right? Yeah. You know, if we get into the exhaust question, It depends on how loud it is, right? Like that's such a sliding scale for exhaust. It also depends on what sort of neighborhood you live in. If you live somewhere where you could start something like this at early in the morning and not wake anyone up, then who cares? |
