
# The Grey NATO – 168 – Designing The Clothes Of The Future With Steve Tidball Of Vollebak
Published on Thu, 04 Nov 2021 05:42:50 -0400



## Synopsis
This episode featured an interview with Steve Tidball, co-founder of the adventure clothing company Vollebak. Steve discussed the origins of the brand, which stemmed from his and his twin brother Nick's experiences with extreme endurance races and a desire to create clothing that could withstand those adventures. He explained their philosophy of over-engineering products instead of de-speccing them, and highlighted innovative items like the Planet Earth shirt designed with input from a military advisor, as well as upcoming products like the 100-year clothing line and a watch made from recycled e-waste materials. Steve emphasized Vollebak's aim to merge clothing and technology for the future while drawing some inspiration from traditional materials like wool. The conversation also covered the brothers' professional backgrounds in advertising before starting Vollebak.

## Links
- [episode page](https://thegreynato.substack.com/p/168vollebak)
- [episode MP3](https://www.buzzsprout.com/2049759/11310950-the-grey-nato-168-designing-the-clothes-of-the-future-with-steve-tidball-of-vollebak.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|----|----|
|James Stacey| Hello and welcome to another episode of the Graynado. It's a loose discussion of travel, diving, driving, gear, and most certainly watches. This is episode 168 and, you know, we thank you for listening. Jason, how you doing? |
|Jason Heaton|Oh, I'm doing great. Yeah, I'm excited for this episode. |
|James Stacey| It's a fun one. We have a really awesome chat with one of the two kind of founders and minds behind this incredible British clothing company, Volbuck. I learned so much. We just finished the call as we'd like to do. We record it as a segment and then we do the before and after. |
|Jason Heaton|Yeah, I hope people like it. Steve was a lot of fun. I was telling you, it sounds like even while he's talking, he's got a smile on his face. Just sounds like he's got a real vigor for life. |
|James Stacey|And a legit adventure, which is always fun. Yeah.  Yeah, had some great stories. So look forward to that in just a few minutes time. But before then, you know, last week was a Q&A, so we didn't get any chit chat and that sort of stuff in. How's the weather your way, Jason? Weather's cool. |
|Jason Heaton|Yeah, it's blue sky, crisp. Yeah, it's November, but it still feels a bit October-ish. It's really nice. We got out for a hike on Sunday and it was decidedly cooler than than we've been having. I mean, we've been on the bike and that's still tolerable even with the breeze you're creating. But, but even hiking was, was a bit, uh, a bit chilly. It was kind of a wake up call, but you know, Hey, we're, we're in November, so that's fine. Yeah. The big news on my end is I got a, uh, I got a Mac book air. I finally upgraded my machine. So I had my old air. Uh, I looked at the, about this Mac and it was an eight year old Mac book air, a 13 inch, my old one.  And it was just starting to run a little slow. I kept kind of bumping up against the storage. And so I just thought, you know, eight years is a good run time to, uh, time to get the next one. And I noticed all the new pros are out, whatever. But when I was comparing specs and kind of looking at what I need, I just basically just got a newer version of what I had. Um, but this one has the, the M one chip, a five 12 gigabyte hard drive, and it's still the 13 inch, uh, display. But, uh,|
|James Stacey| I nerd out a lot harder on stuff like computers than you do. Like, I think, I think you see them quite wisely in many ways as more of a tool, not something necessarily to get super excited about. Yeah. In, in a previous life when I sold computers for a living or, or was just deeper into it, I used to follow all of it. Yeah. Mac, PC, you know, Intel, AMD, I've like had a handle on all of it, but these days I really only follow whatever's happening with the top spec MacBooks. Oh yeah. Cause that's what I buy every few years.  Yeah, I'm thrilled. I mean, that's a huge jump for you to move to the M1 platform, even if you were moving it from a two-year-old MacBook Air. It's a big jump in performance. But to be going from one that's that old, I'm happy for you, dude. That's exciting. |
|Jason Heaton|Yeah. And like you said, I mean, to me, these are tools. And I think it's funny because We, um, made our first visit to one of the malls here and in about two years and it felt very strange, but, uh, I needed some new pants. And so we went to Eddie Bauer and, and, uh, I bought a couple of pairs of pants and then we were, we were out walking past the Apple store and I've been talking for, for weeks about, or actually months about getting a new Mac book. I just kind of felt like it was time. And I thought, well, I'll just pop in here and take a look. So I did and walked out with this new one. And it was almost like it was such a mundane feeling purchase. I had researched it. I talked to you about it and I just thought, You know, rather than order it and have it delivered, I'm right here. I might as well just walk out with it. So I did got home. The transition took about two hours for it to transfer the files and everything works exactly the way the old one is. It was a little bit of a letdown. I was expecting, you know, fireworks and um, whatever, but here we are recording and everything plugged in fine. My, my one disappointment with this is that, you know, compared to the old one, they took away the SD card slot, the thunderbolt port, three of the USB slots. I mean, it's, It almost feels like they took stuff away. I had to buy this USB hub to plug into it to get HDMI to plug in and a bunch of USBs, but you know, so be it. That's great. |
|James Stacey|Yeah. I mean, we're, we're not a, a computer based podcast. Well, I mean, we're with the podcast is absolutely based in computers, but we don't typically talk about computers, I guess, in my point, but As someone who's owned... I'm on my fifth MacBook Pro, like the big 15-inch, as long as I've been working in this space. And then even before that, through university, I liked that product. They really, a few years ago, they made a conscious decision to remove a lot of features, and specifically remove I.O., ports and such. So I remember when I made this jump, and the one I'm on now is a fairly loaded out 2019.  32 gigs of RAM, and it's got the goods. The hard drive is way too small, but I didn't actually get to spec this one my own way. But the ports was a huge thing for me. Yeah. Because it's one thing to not have all the USB-A ports and the rest of it. Like I get going to USB-C and then no longer needing an HDMI port because they can share those duties. Yeah. Like I have both of my external monitors that I use while we're recording connected just over USB-C, so that works fine.  But man, I can't tell you how much I miss an SD card slot in the computer. I know. I know. As a working photographer. Yeah. To always need one of three or four dongles. I have one on my desk. I have one next to my bed. I have one in each bag just to connect an SD card. It's brutal. Yeah. And then just last week or the week before they announced the brand new 16 inch MacBook Pros, which have the new M1 Macs or the M1 Pro processors. And that's definitely on my radar.  for as soon as I have either the need for a write-off or the excuse or whatever. Yeah. And those ones they've brought back some ports. So you have an HDMI port and you have an SD card reader. So I'd be, I'd be pretty exciting to see that come back. But the, it makes sense to not have all the ports on the air because it is this, the goal is to make it as small as possible. But like I've owned so many of these big 15 inch, I have yet to own a 16 inch, which I think they started in 2020 or maybe even just later in 19 that I got this one.  but I've never thought like, oh, I need this to be, you know, a quarter of an inch thinner, but I would also give things up. Yeah. Yeah. I kind of miss when you could swap the battery, when you could open it up and install your own Ram. Like I use, you know, two, two Mac books ago, I actually had one that still had a disc drive, like a, a DVD drive. Oh yeah. Right. And I remember the modern community had realized that DVDs were going away and you didn't even need them to install the OS anymore.  So you could actually remove that, and a company called OWC, Other World Computing, they made a little replacement bracket that filled the space and allowed you to install a second hard drive. Oh, wow. Okay. Which if you go back five, six, seven years, that meant that I could... The 5400 RPM spinning platter normal style drive could become a backup drive, and I could actually buy an SSD. They were very new and expensive at the time, but you could buy an SSD and install it, and the computer tripled in speed.  Huh. That's cool. I remember the first time I saw like a, you know, a 12 or 13 second boot up. And now that's a joke. Now, now these things boot in five seconds, three seconds. Yeah. Yeah. Sometimes you're not even sure that you actually turned it off. They boot so quickly. Like I was saying, when, when you first mentioned you were getting it and then how it's, yeah, it's not all that exciting, but it is nice to have it. For me, it's still exciting. I love this stuff. |
